date,open,high,low,close,volume
2023-01-11,63.94,64.11,62.255,62.85,7557065.0
2023-01-12,63.44,64.78,63.2702,64.03,7232049.0
2023-01-13,63.91,64.15,62.88,63.59,5474122.0
2023-01-17,63.77,64.39,63.19,63.49,5383876.0
2023-01-18,64.04,65.41,62.59,62.62,8349637.0
2023-01-19,62.18,64.2,62.04,64.08,7312935.0
2023-01-20,64.31,64.95,63.3921,64.75,7093792.0
2023-01-23,65.33,66.26,65.0435,65.76,6246101.0
2023-01-24,65.75,66.12,63.81,63.97,7043504.0
2023-01-25,63.4,64.18,62.41,64.17,5834717.0
2023-01-26,65.13,65.73,63.69,65.72,6346714.0
2023-01-27,65.72,66.955,65.25,65.27,7210246.0
2023-01-30,64.6,64.94,62.29,62.34,8003892.0
2023-01-31,62.4,63.735,61.96,63.24,7472273.0
2023-02-01,62.56,62.8,60.74,61.89,9653361.0
2023-02-02,62.06,62.06,60.0,60.95,8770255.0
2023-02-03,61.0,62.535,60.765,60.85,6564084.0
2023-02-06,60.61,61.3209,59.305,60.14,7394882.0
2023-02-07,60.72,62.33,59.855,62.21,8170789.0
2023-02-08,62.3,62.8,60.9,61.33,7848736.0
2023-02-09,61.27,61.51,60.16,60.3,5685323.0
2023-02-10,61.37,63.69,61.22,63.54,8727505.0
2023-02-13,62.96,64.11,62.4,63.56,7606834.0
2023-02-14,62.92,64.4042,62.54,63.94,8775617.0
2023-02-15,58.85,59.17,55.4,57.23,52451715.0
2023-02-16,57.01,57.4174,55.68,55.72,17678661.0
2023-02-17,54.8,54.8,52.45,53.33,25514589.0
2023-02-21,53.68,54.09,53.19,53.73,11378827.0
2023-02-22,53.71,54.35,52.56,53.59,13144356.0
2023-02-23,54.4,55.2662,53.8,55.0,11919438.0
2023-02-24,54.42,55.19,53.9012,55.0,10030081.0
2023-02-27,55.12,55.27,54.26,54.52,9624194.0
2023-02-28,54.97,55.13,53.88,53.92,10887290.0
2023-03-01,53.82,55.045,53.56,54.74,9308078.0
2023-03-02,54.25,56.0,54.2,55.7,8666721.0
2023-03-03,54.91,57.13,54.7765,56.67,10997779.0
2023-03-06,56.16,56.7999,55.87,56.49,8926267.0
2023-03-07,56.11,56.34,54.76,55.03,9492546.0
2023-03-08,54.69,55.58,54.01,54.5,8379129.0
2023-03-09,54.82,55.37,52.85,52.98,9275201.0
2023-03-10,52.85,53.67,51.335,51.76,12351121.0
2023-03-13,50.0,51.07,49.0201,49.98,15449727.0
2023-03-14,49.01,50.84,48.3101,49.22,12442470.0
2023-03-15,47.09,47.27,44.37,45.12,23274164.0
2023-03-16,44.41,46.35,44.03,46.27,14265567.0
2023-03-17,46.31,46.45,45.041,46.15,28300456.0
2023-03-20,46.0,47.315,45.98,47.0,8906614.0
2023-03-21,48.04,49.51,47.88,49.06,11184699.0
2023-03-22,49.19,49.54,47.685,47.76,8633194.0
2023-03-23,48.13,48.605,46.231,46.72,8905813.0
2023-03-24,45.45,46.985,45.44,46.57,8731451.0
2023-03-27,47.4,48.405,46.575,48.08,7759554.0
2023-03-28,47.72,49.2225,47.68,48.57,7671145.0
