date,open,high,low,close,volume
2023-01-11,45.34,45.4,44.82,45.01,303638.0
2023-01-12,45.39,45.77,44.81,45.21,172670.0
2023-01-13,44.81,45.48,44.325,45.33,140694.0
2023-01-17,45.45,46.39,44.51,44.57,126223.0
2023-01-18,44.52,44.52,43.68,43.78,152752.0
2023-01-19,45.1,46.97,43.66,46.56,352506.0
2023-01-20,47.06,47.67,46.427,47.67,264822.0
2023-01-23,47.87,48.12,47.46,47.78,344614.0
2023-01-24,47.83,47.98,46.25,46.29,131591.0
2023-01-25,46.24,46.64,45.76,46.07,160063.0
2023-01-26,46.43,46.6,45.76,46.04,171201.0
2023-01-27,46.18,46.46,45.88,46.07,273420.0
2023-01-30,46.0,46.85,45.83,46.74,147704.0
2023-01-31,46.83,48.03,46.83,47.49,202383.0
2023-02-01,47.47,48.27,47.11,47.71,217796.0
2023-02-02,48.0,48.48,47.82,48.46,192555.0
2023-02-03,48.26,49.04,48.02,48.57,232255.0
2023-02-06,48.4,48.7,47.72,48.0,147077.0
2023-02-07,47.77,48.6,47.43,48.13,248612.0
2023-02-08,47.94,48.065,47.45,47.9,97737.0
2023-02-09,48.0,48.15,46.71,46.91,192548.0
2023-02-10,46.75,47.2,46.37,46.79,148489.0
2023-02-13,46.81,47.23,46.24,46.83,111544.0
2023-02-14,46.8,47.19,45.95,46.45,95765.0
2023-02-15,46.15,46.72,45.95,46.7,89786.0
2023-02-16,46.28,46.29,45.265,45.49,121444.0
2023-02-17,45.61,46.19,44.85,45.94,217453.0
2023-02-21,45.72,46.04,44.66,44.68,129950.0
2023-02-22,44.78,45.18,44.24,44.29,186184.0
2023-02-23,44.4,44.67,43.6,43.69,150945.0
2023-02-24,43.47,43.865,43.1,43.5,236779.0
2023-02-27,43.78,44.14,43.52,44.0,118901.0
2023-02-28,43.93,44.34,43.79,43.81,235871.0
2023-03-01,43.62,43.62,43.15,43.46,145449.0
2023-03-02,43.17,43.37,42.66,43.07,149671.0
2023-03-03,43.41,43.59,42.98,43.43,177017.0
2023-03-06,43.42,43.62,42.35,42.91,187713.0
2023-03-07,42.78,42.78,41.7,41.88,148451.0
2023-03-08,42.13,42.33,41.72,41.98,155238.0
2023-03-09,41.93,41.93,39.85,40.08,271554.0
2023-03-10,39.33,39.855,37.43,38.86,315615.0
2023-03-13,38.08,38.08,34.18,35.45,828066.0
2023-03-14,38.04,38.855,35.25,35.91,411480.0
2023-03-15,34.51,36.2,34.075,35.64,554124.0
2023-03-16,35.19,38.15,34.84,37.2,421368.0
2023-03-17,36.94,36.94,35.03,35.84,920594.0
