date,open,high,low,close,volume
2023-01-11,68.36,69.48,68.04,69.42,4205728.0
2023-01-12,69.5,69.8,68.43,68.45,3764671.0
2023-01-13,67.93,68.395,67.195,68.2,1485606.0
2023-01-17,68.74,69.66,68.55,68.7,3081955.0
2023-01-18,68.94,68.99,66.76,66.79,1893763.0
2023-01-19,66.46,66.66,65.24,65.67,2273957.0
2023-01-20,65.67,66.8,64.93,66.73,1895337.0
2023-01-23,66.71,68.175,66.64,67.03,1856311.0
2023-01-24,66.85,68.08,66.22,67.82,1417690.0
2023-01-25,67.17,67.74,66.93,67.53,1635317.0
2023-01-26,67.4,68.5,67.37,68.37,1609253.0
2023-01-27,68.29,68.89,68.1,68.74,1229965.0
2023-01-30,68.37,68.97,68.1,68.14,1333018.0
2023-01-31,68.63,68.92,67.69,68.9,2172114.0
2023-02-01,68.03,68.61,66.91,67.87,2265029.0
2023-02-02,68.03,70.06,67.64,68.74,2491496.0
2023-02-03,68.13,68.32,66.23,66.87,2281222.0
2023-02-06,66.61,67.84,66.34,67.81,2373038.0
2023-02-07,67.55,67.86,66.72,67.31,1414433.0
2023-02-08,66.96,67.31,66.62,66.81,1025574.0
2023-02-09,66.91,67.3,65.7,65.81,992683.0
2023-02-10,66.04,67.147,65.84,67.01,1031375.0
2023-02-13,67.01,68.175,66.99,68.02,1111113.0
2023-02-14,67.84,68.42,67.25,67.54,1039178.0
2023-02-15,67.26,67.73,66.78,67.7,1293097.0
2023-02-16,66.84,67.6,66.265,67.22,918898.0
2023-02-17,67.32,67.865,66.71,67.59,6172465.0
2023-02-21,67.35,67.54,66.48,66.71,1700489.0
2023-02-22,66.45,67.18,66.03,66.2,1702786.0
2023-02-23,66.65,67.045,65.51,65.86,2142347.0
2023-02-24,66.55,68.89,66.51,68.63,3337130.0
2023-02-27,69.1,69.79,68.035,68.13,1833011.0
2023-02-28,67.94,68.15,66.17,66.21,3012368.0
2023-03-01,66.0,66.0,64.4,64.59,2738916.0
2023-03-02,64.4,65.7,63.93,65.56,2450546.0
2023-03-03,65.67,67.34,65.36,67.3,1807434.0
2023-03-06,67.36,68.5,67.3301,68.42,2370212.0
