date,open,high,low,close,volume
2023-01-11,263.69,265.0,261.18,263.61,1092422.0
2023-01-12,264.6,265.6699,259.54,262.25,1259126.0
2023-01-13,261.82,267.79,261.82,267.22,914164.0
2023-01-17,266.0,269.44,264.465,267.04,1389107.0
2023-01-18,267.7,268.76,263.08,263.25,1414002.0
2023-01-19,260.25,261.8399,259.0,259.51,1292333.0
2023-01-20,260.0,267.83,260.0,267.56,1251697.0
2023-01-23,270.0,274.58,268.69,274.49,1555900.0
2023-01-24,273.1,277.68,271.05,277.16,1530106.0
2023-01-25,273.58,275.62,269.76,273.94,1299616.0
2023-01-26,276.17,276.85,270.345,273.22,1950660.0
2023-01-27,275.5,275.76,270.11,270.79,1805172.0
2023-01-30,269.1,271.86,268.18,271.21,1147312.0
2023-01-31,271.97,277.15,269.29,277.08,1338947.0
2023-02-01,275.21,281.83,273.01,280.8,1727504.0
2023-02-02,273.73,283.6225,265.69,268.41,3688210.0
2023-02-03,268.05,270.6015,265.5207,269.54,1913459.0
2023-02-06,266.63,267.91,260.22,261.17,1819756.0
2023-02-07,258.64,261.62,255.95,261.01,2679228.0
2023-02-08,258.0,259.86,255.63,259.19,1404973.0
2023-02-09,262.27,262.81,252.49,252.51,1967306.0
2023-02-10,248.17,252.15,246.54,250.24,3101926.0
2023-02-13,253.37,256.48,251.53,255.29,1921692.0
2023-02-14,254.37,262.255,253.8,255.52,1602431.0
2023-02-15,252.18,255.41,251.31,254.65,1175780.0
2023-02-16,249.73,252.645,248.62,249.53,1191431.0
2023-02-17,248.0,254.03,247.505,252.88,1200475.0
2023-02-21,247.5,252.42,247.5,249.99,1297541.0
2023-02-22,249.32,253.48,248.0,249.25,852565.0
2023-02-23,251.05,252.94,248.44,249.66,862465.0
2023-02-24,245.0,246.55,241.695,242.72,1132531.0
2023-02-27,244.36,245.79,242.07,242.14,1142016.0
2023-02-28,241.49,244.82,239.18,243.05,1245917.0
2023-03-01,246.25,250.1,244.57,245.83,1963171.0
2023-03-02,243.49,249.6544,243.19,248.84,902023.0
2023-03-03,250.97,254.18,248.9113,253.23,1055917.0
2023-03-06,252.24,254.39,250.6,251.69,867805.0
2023-03-07,251.44,253.32,244.85,245.46,798494.0
2023-03-08,246.65,249.59,245.78,248.48,769301.0
2023-03-09,248.4,248.47,241.79,243.48,1092818.0
2023-03-10,242.88,243.52,234.62,236.2,1260529.0
2023-03-13,235.11,236.97,231.3,234.96,1570686.0
