date,open,high,low,close,volume
2023-01-11,25.55,25.7,25.4,25.54,4089005.0
2023-01-12,25.62,25.85,25.52,25.66,4253389.0
2023-01-13,25.75,25.885,25.595,25.75,3294285.0
2023-01-17,25.85,25.92,25.53,25.55,4694695.0
2023-01-18,25.69,25.74,25.13,25.14,4942876.0
2023-01-19,25.05,25.57,25.0202,25.49,4087250.0
2023-01-20,25.69,25.81,25.59,25.74,4486935.0
2023-01-23,25.94,26.22,25.89,26.1,7187276.0
2023-01-24,26.5,26.5,25.93,26.33,5436628.0
2023-01-25,26.34,26.39,26.04,26.18,4922502.0
2023-01-26,26.44,26.49,26.15,26.32,4945961.0
2023-01-27,26.45,26.56,26.275,26.53,10655217.0
2023-01-30,26.07,26.09,25.42,25.59,8351875.0
2023-01-31,25.5,25.6,25.28,25.6,5375580.0
2023-02-01,25.6,25.84,25.385,25.68,5264143.0
2023-02-02,25.7,25.89,25.49,25.81,4747817.0
2023-02-03,25.7,26.05,25.6905,25.81,3949264.0
2023-02-06,25.82,25.88,25.5416,25.82,2959397.0
2023-02-07,25.82,25.965,25.6526,25.84,3106896.0
2023-02-08,25.84,25.92,25.69,25.85,4422292.0
2023-02-09,25.88,25.975,25.6701,25.8,2562647.0
2023-02-10,25.9,26.37,25.8901,26.37,5390794.0
2023-02-13,26.3,26.49,26.29,26.38,3203497.0
2023-02-14,26.47,26.67,26.3799,26.61,4269329.0
2023-02-15,26.55,26.85,26.365,26.66,4592247.0
2023-02-16,26.5,26.86,26.47,26.78,5279601.0
2023-02-17,26.63,26.77,26.33,26.38,4684548.0
2023-02-21,26.25,26.41,25.86,25.96,4215104.0
2023-02-22,25.81,26.02,25.655,25.85,3637225.0
2023-02-23,25.98,26.12,25.875,25.95,2801883.0
2023-02-24,25.85,26.05,25.785,25.94,2526283.0
2023-02-27,25.9,26.04,25.76,25.84,2691303.0
2023-02-28,25.86,25.97,25.49,25.53,4452539.0
2023-03-01,25.57,25.735,25.51,25.62,3057367.0
2023-03-02,25.62,26.1,25.605,25.99,4392164.0
2023-03-03,25.9,26.2891,25.9,26.09,3655692.0
2023-03-06,26.09,26.365,26.07,26.23,2687891.0
2023-03-07,26.24,26.3799,25.96,26.12,3234267.0
2023-03-08,26.13,26.32,25.84,26.02,3434751.0
2023-03-09,26.07,26.22,25.81,25.81,3411180.0
2023-03-10,25.91,25.995,25.4852,25.6,4549467.0
2023-03-13,25.3,25.765,24.94,25.4,6237535.0
2023-03-14,25.49,26.05,25.45,25.69,5685686.0
2023-03-15,25.3,25.84,24.79,25.17,8738505.0
2023-03-16,24.9,25.26,24.76,25.24,6358135.0
2023-03-17,25.34,25.34,24.66,25.07,10607591.0
2023-03-20,25.15,25.39,24.8,24.92,5469041.0
2023-03-21,25.15,25.34,25.06,25.12,4171397.0
2023-03-22,25.44,25.44,24.905,24.94,4662050.0
2023-03-23,25.06,25.21,24.83,24.97,4873843.0
2023-03-24,24.8,25.51,24.775,25.31,4740957.0
2023-03-27,25.35,25.6,25.33,25.35,4267721.0
2023-03-28,25.33,25.62,25.225,25.43,4403920.0
2023-03-29,25.53,25.67,25.305,25.59,5185422.0
2023-03-30,25.65,25.89,25.52,25.75,3636321.0
2023-03-31,25.84,25.9799,25.68,25.9,3501578.0
