date,open,high,low,close,volume
2023-01-11,30.77,30.87,30.32,30.84,5119614.0
2023-01-12,31.17,31.75,30.94,31.45,3751133.0
2023-01-13,31.16,31.585,31.05,31.42,5133662.0
2023-01-17,31.25,31.5427,30.96,31.15,3527856.0
2023-01-18,31.56,31.75,30.8,30.81,3708754.0
2023-01-19,30.67,31.075,30.505,31.04,2783837.0
2023-01-20,30.99,31.475,30.7,31.31,2982264.0
2023-01-23,31.23,31.59,31.0,31.08,3259424.0
2023-01-24,30.49,31.0,30.26,30.58,2818227.0
2023-01-25,29.87,30.12,29.55,30.08,2858392.0
2023-01-26,29.93,30.44,29.72,30.42,4673543.0
2023-01-27,30.55,30.84,30.36,30.38,3035075.0
2023-01-30,30.24,30.485,30.05,30.06,2565704.0
2023-01-31,29.89,30.445,29.74,30.43,2542034.0
2023-02-01,30.6,30.62,29.88,30.37,3303685.0
2023-02-02,29.94,29.955,29.07,29.22,3808511.0
2023-02-03,29.2,29.75,29.05,29.11,2756730.0
2023-02-06,28.88,29.01,28.46,28.89,3176438.0
2023-02-07,28.66,29.33,28.66,29.28,3635761.0
2023-02-08,31.39,31.68,30.59,31.36,6118797.0
2023-02-09,31.68,31.96,31.415,31.69,5459653.0
2023-02-10,32.57,33.03,32.42,33.03,5048399.0
2023-02-13,32.62,32.78,32.4,32.75,4740616.0
2023-02-14,32.08,32.695,32.05,32.5,3036931.0
2023-02-15,31.99,32.04,31.515,31.98,2526853.0
2023-02-16,31.6,31.98,31.6,31.65,2559518.0
2023-02-17,30.96,31.1453,30.595,30.65,3093655.0
2023-02-21,30.68,30.92,30.61,30.66,2224969.0
2023-02-22,30.62,30.82,30.425,30.61,2698682.0
2023-02-23,31.14,31.385,30.82,31.19,2848397.0
2023-02-24,31.11,31.525,30.94,31.42,2788794.0
2023-02-27,31.18,31.26,30.96,31.11,2468936.0
2023-02-28,31.21,31.23,30.47,30.51,2327421.0
2023-03-01,30.49,30.89,30.39,30.86,2979393.0
2023-03-02,30.91,31.155,30.78,31.11,1962140.0
2023-03-03,30.26,31.265,30.24,31.22,3245155.0
2023-03-06,30.95,31.13,30.76,30.99,2024551.0
2023-03-07,30.61,30.67,29.95,30.1,1940720.0
2023-03-08,30.04,30.32,29.67,29.83,3142330.0
2023-03-09,29.54,30.23,29.35,29.51,6044245.0
2023-03-10,29.89,30.22,29.68,29.79,5716930.0
2023-03-13,28.77,29.565,28.54,29.0,5091311.0
2023-03-14,28.94,29.46,28.3,28.64,5190103.0
2023-03-15,27.0,27.52,26.595,27.34,6154566.0
2023-03-16,26.54,27.17,26.28,27.11,6116526.0
2023-03-17,27.32,27.4,26.84,27.08,4761474.0
2023-03-20,27.24,27.485,27.015,27.34,4154831.0
2023-03-21,28.4,28.42,27.64,27.92,5830792.0
2023-03-22,27.77,28.11,27.51,27.51,3657899.0
2023-03-23,28.19,28.285,27.225,27.45,4338749.0
2023-03-24,26.85,27.2,26.575,27.06,3468555.0
2023-03-27,27.22,27.595,27.045,27.56,2003813.0
2023-03-28,27.86,28.475,27.8,28.38,4154919.0
2023-03-29,28.28,28.365,27.955,28.1,2239365.0
2023-03-30,28.64,28.66,28.28,28.44,1889674.0
2023-03-31,28.52,28.71,28.33,28.43,2307523.0
2023-04-03,30.13,30.48,29.99,30.42,5580267.0
2023-04-04,29.97,29.97,29.085,29.35,5499094.0
2023-04-05,29.25,29.5,29.13,29.3,2339178.0
2023-04-06,29.5,29.575,28.6,28.72,3408610.0
2023-04-10,28.8,28.985,28.54,28.84,2926076.0
2023-04-11,28.865,29.1086,28.71,29.0,4509993.0
2023-04-12,29.73,29.75,29.25,29.38,3020501.0
2023-04-13,29.59,29.74,29.45,29.52,2351100.0
2023-04-14,29.81,29.875,29.32,29.54,2893828.0
2023-04-17,29.6,29.64,29.175,29.32,2151096.0
2023-04-18,28.96,29.2,28.83,29.06,1892087.0
2023-04-19,28.51,28.65,28.32,28.51,2233776.0
2023-04-20,28.24,28.6,28.24,28.58,2121440.0
