date,open,high,low,close,volume
2023-01-11,59.09,61.44,59.0,61.39,2258057.0
2023-01-12,61.78,61.9,60.9,61.52,2077961.0
2023-01-13,60.76,61.18,60.17,60.62,2144282.0
2023-01-17,61.39,61.975,60.7764,61.37,3148510.0
2023-01-18,61.56,61.78,60.43,60.73,2376142.0
2023-01-19,60.51,61.6,60.4,60.71,1932750.0
2023-01-20,60.7,61.38,59.92,61.33,2211716.0
2023-01-23,61.48,61.73,60.8,61.6,1965138.0
2023-01-24,61.67,63.0,61.2,62.6,2324975.0
2023-01-25,62.35,62.79,61.84,62.14,2118022.0
2023-01-26,62.46,62.93,62.04,62.23,4090261.0
2023-01-27,62.15,63.69,62.15,63.36,2430578.0
2023-01-30,62.9,63.347,61.93,62.06,2269118.0
2023-01-31,62.09,63.65,62.0103,63.65,9337303.0
2023-02-01,63.35,64.54,62.79,64.0,2327164.0
2023-02-02,64.71,67.05,64.66,66.35,2333497.0
2023-02-03,65.01,65.3,63.97,64.73,1817341.0
2023-02-06,63.95,64.14,63.43,63.98,1989954.0
2023-02-07,63.51,65.23,63.16,64.74,2324797.0
2023-02-08,64.85,65.41,64.3,65.23,2436759.0
2023-02-09,65.28,65.98,63.87,64.34,2305912.0
2023-02-10,65.04,65.61,63.725,64.82,2644453.0
2023-02-13,65.15,66.5,64.93,66.13,2357656.0
2023-02-14,66.03,66.58,65.47,66.3,1838180.0
2023-02-15,65.93,66.66,65.76,66.59,1459731.0
2023-02-16,65.92,66.83,65.56,65.99,1545527.0
2023-02-17,65.95,65.95,64.8,65.88,5155992.0
2023-02-21,65.13,65.57,64.06,64.39,1942702.0
2023-02-22,64.83,64.96,64.03,64.28,1691361.0
2023-02-23,64.58,65.001,63.93,64.65,983272.0
2023-02-24,63.84,64.38,63.26,63.67,1365451.0
2023-02-27,64.48,64.65,62.56,62.81,1815545.0
2023-02-28,62.74,63.47,62.51,62.52,2803199.0
2023-03-01,61.99,62.35,60.21,60.94,1849731.0
