date,open,high,low,close,volume
2023-01-11,215.135,222.705,215.135,222.47,376798.0
2023-01-12,223.79,223.79,217.38,220.5,399814.0
2023-01-13,218.24,221.32,217.5,218.54,293210.0
2023-01-17,221.04,223.07,219.33,220.08,386578.0
2023-01-18,220.64,220.96,215.22,215.34,406463.0
2023-01-19,214.34,218.55,214.34,216.21,426833.0
2023-01-20,215.25,216.335,212.61,216.19,406650.0
2023-01-23,215.64,217.3,214.55,216.87,357817.0
2023-01-24,217.0,220.17,216.73,218.57,453788.0
2023-01-25,217.67,218.34,215.75,216.64,406465.0
2023-01-26,218.13,220.6,216.43,217.59,362347.0
2023-01-27,217.47,223.9,217.47,223.42,431513.0
2023-01-30,221.19,223.425,219.23,219.54,437211.0
2023-01-31,219.66,226.07,218.84,226.07,1979185.0
2023-02-01,225.0,229.41,223.73,227.21,580754.0
2023-02-02,230.0,238.43,230.0,236.93,538200.0
2023-02-03,232.32,232.32,227.43,230.34,732067.0
2023-02-06,227.08,227.72,225.385,226.57,460881.0
2023-02-07,224.51,232.11,224.05,230.32,745256.0
2023-02-08,229.38,236.2,227.87,235.12,739624.0
2023-02-09,236.29,238.695,235.5061,236.43,1106606.0
2023-02-10,235.12,237.58,233.485,233.77,752534.0
2023-02-13,234.21,237.62,234.075,235.68,607291.0
2023-02-14,234.24,240.25,234.0,238.83,1018183.0
2023-02-15,237.05,239.42,236.37,239.22,588399.0
2023-02-16,235.7,240.97,235.06,237.08,501878.0
2023-02-17,237.06,237.55,233.93,236.83,445071.0
2023-02-21,234.05,235.17,230.18,231.43,338895.0
2023-02-22,231.7,233.15,230.2,231.3,334660.0
2023-02-23,233.85,234.23,229.71,232.24,264162.0
2023-02-24,230.83,230.83,228.25,229.46,409884.0
2023-02-27,232.02,232.51,225.96,227.58,414168.0
2023-02-28,227.115,231.42,226.85,228.06,606349.0
2023-03-01,225.34,226.23,220.95,222.84,430566.0
2023-03-02,221.02,227.15,221.02,226.53,1293063.0
2023-03-03,229.18,233.02,228.49,232.18,366338.0
2023-03-06,233.5,236.16,233.25,234.66,327545.0
2023-03-07,234.35,234.4777,227.12,228.0,366490.0
2023-03-08,227.39,233.97,227.2,232.41,431703.0
2023-03-09,233.05,233.05,226.0,226.55,558340.0
2023-03-10,226.73,226.73,210.77,211.37,1094285.0
2023-03-13,210.0,215.925,209.37,213.99,763474.0
2023-03-14,217.96,219.41,212.81,214.49,615715.0
2023-03-15,212.815,217.075,211.86,216.79,622027.0
2023-03-16,214.79,215.07,209.51,211.88,497985.0
2023-03-17,211.43,211.88,207.09,207.19,724929.0
2023-03-20,207.19,210.07,205.785,208.58,381333.0
2023-03-21,209.28,210.06,204.78,206.14,506441.0
2023-03-22,203.11,205.7,199.02,199.22,476845.0
2023-03-23,200.0,201.73,196.03,196.17,505829.0
2023-03-24,195.53,200.91,195.03,200.77,552255.0
2023-03-27,202.75,203.94,200.85,201.09,451297.0
2023-03-28,198.29,201.785,198.29,200.26,263128.0
2023-03-29,202.37,204.32,201.665,204.31,434951.0
2023-03-30,204.75,205.47,202.83,204.18,373985.0
2023-03-31,205.42,209.39,204.62,209.14,597827.0
2023-04-03,208.68,211.66,207.32,208.34,377182.0
2023-04-04,209.54,209.54,205.235,208.28,387598.0
2023-04-05,208.265,210.78,207.73,209.44,487937.0
2023-04-06,211.0,211.0,207.92,209.74,401479.0
2023-04-10,207.67,210.84,206.845,210.77,455876.0
2023-04-11,210.4,212.37,209.31,211.41,427468.0
2023-04-12,214.98,215.73,210.46,211.02,343248.0
2023-04-13,209.97,212.09,208.42,210.78,246292.0
2023-04-14,210.91,211.705,205.39,207.94,286087.0
2023-04-17,205.48,213.05,205.48,213.0,433668.0
2023-04-18,212.85,213.54,211.22,212.1,230589.0
2023-04-19,210.53,215.575,210.16,215.4,240352.0
2023-04-20,214.78,214.78,210.99,211.72,216762.0
2023-04-21,211.8,213.27,210.315,212.42,358911.0
2023-04-24,213.9,213.9,208.8,211.68,350913.0
2023-04-25,210.92,210.92,207.67,207.87,267221.0
2023-04-26,207.99,210.03,205.32,205.98,373383.0
2023-04-27,208.74,213.38,208.015,211.46,434653.0
2023-04-28,213.44,220.85,212.38,219.73,592837.0
2023-05-01,220.88,224.0,220.495,220.66,412811.0
2023-05-02,219.71,220.74,213.3,217.17,351882.0
2023-05-03,219.4,219.77,215.705,216.65,395512.0
2023-05-04,216.51,218.25,214.19,216.6,268617.0
2023-05-05,218.08,220.49,217.65,220.0,283721.0
2023-05-08,218.795,219.975,217.42,218.63,267524.0
2023-05-09,216.01,217.665,214.01,216.31,285580.0
2023-05-10,219.32,219.355,214.94,216.77,382629.0
2023-05-11,215.05,217.08,214.095,216.98,211769.0
2023-05-12,216.6,217.2868,213.43,215.32,313508.0
2023-05-15,213.79,215.195,211.96,214.05,276401.0
2023-05-16,212.37,214.27,208.93,209.14,250047.0
2023-05-17,209.63,211.34,208.05,210.97,282948.0
2023-05-18,209.47,211.97,207.73,209.63,288232.0
2023-05-19,211.75,213.205,209.22,209.78,236314.0
2023-05-22,209.75,213.2,208.89,211.0,191905.0
2023-05-23,211.35,214.2099,210.87,211.22,301685.0
2023-05-24,210.85,210.85,207.3,208.24,424951.0
2023-05-25,209.05,210.63,206.7,206.82,571597.0
2023-05-26,206.01,210.99,204.56,210.38,409897.0
2023-05-30,212.5,215.72,211.07,214.51,538988.0
2023-05-31,214.46,217.19,214.0,216.06,704622.0
2023-06-01,215.92,219.91,212.83,219.17,449854.0
2023-06-02,222.06,229.1,222.0,228.55,813878.0
2023-06-05,226.44,228.23,224.4,225.22,606413.0
2023-06-06,226.21,226.21,223.14,225.68,494242.0
2023-06-07,227.16,231.65,226.46,230.8,400755.0
2023-06-08,229.08,233.29,226.5,232.99,495652.0
2023-06-09,233.91,234.75,232.285,234.3,406551.0
2023-06-12,233.84,233.94,229.335,231.83,285170.0
2023-06-13,230.01,234.33,229.54,234.25,370541.0
2023-06-14,234.55,236.07,231.88,233.39,263734.0
2023-06-15,232.82,234.93,231.71,234.8,419091.0
2023-06-16,237.01,237.4,235.64,236.92,729267.0
2023-06-20,235.32,236.155,233.46,234.2,335102.0
2023-06-21,232.56,233.56,231.09,232.68,384060.0
2023-06-22,232.12,232.12,223.74,225.0,534432.0
2023-06-23,224.25,224.67,219.48,220.02,672294.0
2023-06-26,220.02,228.65,219.6848,228.59,413370.0
2023-06-27,228.99,231.17,227.265,231.03,376814.0
2023-06-28,229.59,233.3,228.38,230.27,372568.0
2023-06-29,227.32,233.14,226.3,233.07,316461.0
2023-06-30,235.48,237.54,229.925,234.3,609845.0
2023-07-03,233.32,237.79,232.69,236.59,149361.0
2023-07-05,234.07,237.8572,233.15,235.23,390105.0
2023-07-06,231.85,235.37,227.8628,234.85,455473.0
2023-07-07,232.8,234.71,231.45,233.25,375919.0
2023-07-10,231.73,234.42,231.25,234.29,341951.0
2023-07-11,235.5,238.29,233.96,238.09,214972.0
2023-07-12,241.23,243.93,240.62,240.69,557821.0
2023-07-13,240.15,244.74,239.14,244.43,479438.0
2023-07-14,243.26,246.23,242.2,245.44,333841.0
2023-07-17,243.81,246.3,241.95,242.53,339162.0
2023-07-18,239.54,241.56,237.565,239.79,463518.0
2023-07-19,240.21,243.91,240.21,243.05,440822.0
2023-07-20,242.35,244.0,239.24,243.94,294568.0
2023-07-21,244.5,245.48,242.87,245.14,393873.0
2023-07-24,246.01,246.89,243.5,244.4,399603.0
2023-07-25,243.86,244.76,238.185,239.77,451063.0
2023-07-26,240.12,242.0,237.155,239.45,471637.0
2023-07-27,240.77,240.77,231.43,231.75,611892.0
2023-07-28,238.23,240.565,233.82,237.31,815216.0
2023-07-31,238.37,246.73,237.1,243.55,1892794.0
2023-08-01,242.05,244.2,241.535,244.04,655506.0
2023-08-02,242.99,245.75,242.1385,244.62,435199.0
2023-08-03,242.88,244.28,237.88,244.17,383171.0
2023-08-04,243.24,248.8,243.04,243.92,342509.0
2023-08-07,244.36,245.96,244.06,245.34,241075.0
2023-08-08,243.56,243.955,240.81,242.55,313391.0
2023-08-09,242.01,242.63,240.27,241.32,243862.0
2023-08-10,242.81,245.43,241.11,242.84,257734.0
2023-08-11,241.11,245.7,241.11,245.53,207936.0
2023-08-14,245.0,246.09,239.67,239.95,346999.0
2023-08-15,237.66,239.76,237.25,238.17,198561.0
2023-08-16,238.68,239.78,236.115,238.02,219460.0
2023-08-17,238.56,240.57,236.12,236.45,267896.0
2023-08-18,234.69,238.535,234.51,236.31,233720.0
