date,open,high,low,close,volume
2023-01-11,12.48,12.58,12.44,12.53,8658836.0
2023-01-12,12.62,12.76,12.53,12.64,10386844.0
2023-01-13,12.64,12.68,12.56,12.67,5837525.0
2023-01-17,12.69,12.85,12.605,12.62,14703226.0
2023-01-18,12.77,12.89,12.5,12.51,13843085.0
2023-01-19,12.5,12.63,12.42,12.6,11364371.0
2023-01-20,12.76,12.8,12.62,12.76,10182939.0
2023-01-23,12.95,13.07,12.8512,13.01,17524087.0
2023-01-24,12.99,13.67,12.84,13.07,10545373.0
2023-01-25,13.04,13.165,12.86,13.15,11125105.0
2023-01-26,13.47,13.526,13.12,13.5,24145910.0
2023-01-27,13.52,13.57,13.27,13.36,16136269.0
2023-01-30,13.36,13.3701,13.06,13.1,34494697.0
2023-01-31,13.16,13.28,13.03,13.28,13143386.0
2023-02-01,13.35,13.36,13.02,13.07,24295600.0
2023-02-02,13.17,13.33,13.095,13.28,16323475.0
2023-02-03,13.35,13.51,13.25,13.28,18015736.0
2023-02-06,13.04,13.09,12.82,12.98,16139452.0
2023-02-07,13.03,13.0699,12.7732,12.85,12692881.0
2023-02-08,12.9,12.92,12.725,12.78,15961405.0
2023-02-09,12.88,12.89,12.7,12.76,9458057.0
2023-02-10,12.78,12.93,12.78,12.84,9734623.0
2023-02-13,12.87,13.03,12.82,12.95,9203186.0
2023-02-14,12.95,13.19,12.9,13.09,10596480.0
2023-02-15,13.09,13.14,12.78,13.14,9984205.0
2023-02-16,12.95,13.245,12.945,13.05,17515403.0
2023-02-17,12.95,12.975,12.7,12.87,13445269.0
2023-02-21,12.86,12.97,12.7,12.74,12948672.0
2023-02-22,12.9,13.04,12.71,13.0,13906157.0
2023-02-23,13.14,13.18,12.9625,13.01,12273586.0
2023-02-24,12.95,12.9721,12.81,12.86,11848478.0
2023-02-27,13.0,13.0,12.73,12.76,11867728.0
2023-02-28,12.8,12.828,12.66,12.66,10127256.0
2023-03-01,12.69,12.85,12.63,12.79,12046546.0
2023-03-02,12.75,12.98,12.68,12.95,10556645.0
2023-03-03,12.9,13.12,12.87,13.05,13324040.0
2023-03-06,13.06,13.25,12.96,13.2,9810377.0
2023-03-07,13.24,13.25,13.0,13.13,11204678.0
2023-03-08,13.11,13.19,12.93,13.16,12026291.0
2023-03-09,13.19,13.21,12.87,12.9,8986622.0
2023-03-10,12.92,12.98,12.52,12.6,17618130.0
2023-03-13,12.44,12.5099,11.935,12.26,27275246.0
2023-03-14,12.4,12.69,12.21,12.34,11223205.0
2023-03-15,12.05,12.125,11.65,11.94,28747373.0
2023-03-16,11.8,12.26,11.56,12.25,21768089.0
2023-03-17,12.23,12.25,11.82,11.99,22859781.0
2023-03-20,11.99,12.16,11.8,11.84,12118826.0
2023-03-21,11.99,12.16,11.97,12.11,9857048.0
2023-03-22,12.11,12.11,11.75,11.76,11738871.0
2023-03-23,11.88,12.0,11.56,11.68,12791994.0
2023-03-24,11.52,11.77,11.45,11.7,11420552.0
2023-03-27,11.83,11.92,11.59,11.84,12296822.0
2023-03-28,11.81,12.11,11.79,12.05,9275266.0
2023-03-29,12.16,12.29,12.06,12.2,9686957.0
2023-03-30,12.3,12.445,12.18,12.44,8488263.0
2023-03-31,12.46,12.5,12.38,12.47,7379214.0
2023-04-03,12.73,12.95,12.7,12.82,14849853.0
2023-04-04,12.93,12.93,12.59,12.75,9375545.0
2023-04-05,12.78,12.8,12.6101,12.76,7046421.0
2023-04-06,12.8,12.8,12.49,12.51,9591856.0
2023-04-10,12.5,12.65,12.48,12.51,6674797.0
2023-04-11,12.54,12.64,12.51,12.56,9861158.0
2023-04-12,12.66,12.75,12.6,12.62,5286305.0
2023-04-13,12.64,12.8,12.61,12.76,6068837.0
2023-04-14,12.79,12.85,12.75,12.84,4999355.0
2023-04-17,12.89,12.95,12.77,12.88,7517815.0
2023-04-18,12.9,12.99,12.86,12.91,6471937.0
2023-04-19,12.85,12.89,12.665,12.68,8829077.0
2023-04-20,12.64,12.75,12.58,12.67,6181584.0
2023-04-21,12.71,12.79,12.65,12.77,5665675.0
2023-04-24,12.78,12.81,12.63,12.69,8279211.0
2023-04-25,12.67,12.67,12.5,12.53,8784925.0
2023-04-26,12.54,12.64,12.43,12.48,6977685.0
2023-04-27,12.52,12.84,12.46,12.79,10035598.0
2023-04-28,12.83,12.95,12.765,12.88,10366138.0
2023-05-01,12.93,13.09,12.88,12.91,12632080.0
2023-05-02,12.97,12.97,12.5,12.69,16849750.0
2023-05-03,12.62,12.895,12.53,12.66,15148097.0
2023-05-04,12.75,12.805,12.505,12.61,15437897.0
2023-05-05,12.5,12.61,12.32,12.36,13296884.0
2023-05-08,12.45,12.46,12.2616,12.33,8989096.0
2023-05-09,12.25,12.52,12.175,12.5,12535949.0
