date,open,high,low,close,volume
2023-01-11,126.14,126.895,123.98,126.41,474580.0
2023-01-12,127.06,128.26,125.23,128.16,505126.0
2023-01-13,127.11,128.0,126.095,126.72,298141.0
2023-01-17,126.08,127.945,125.39,126.42,337028.0
2023-01-18,126.43,127.52,123.61,123.84,349942.0
2023-01-19,121.95,123.88,120.33,123.12,397070.0
2023-01-20,123.88,124.99,122.53,124.99,327715.0
2023-01-23,124.77,126.07,123.14,126.04,287318.0
2023-01-24,126.04,126.85,124.71,125.1,169048.0
2023-01-25,123.61,125.78,123.6,125.66,244793.0
2023-01-26,126.21,128.24,125.17,127.51,284550.0
2023-01-27,127.29,128.99,126.96,127.76,337237.0
2023-01-30,126.87,129.36,126.46,127.0,379035.0
2023-01-31,126.8,129.82,125.84,129.81,1381176.0
2023-02-01,131.88,132.9279,125.23,131.78,826260.0
2023-02-02,133.0,137.18,131.19,132.69,1019736.0
2023-02-03,128.84,134.96,128.84,134.23,661000.0
2023-02-06,133.12,135.57,132.93,133.95,633690.0
2023-02-07,131.35,133.9,129.77,133.12,779721.0
2023-02-08,130.24,133.62,130.24,131.66,648923.0
2023-02-09,132.68,133.275,129.61,129.8,596465.0
2023-02-10,128.47,131.31,128.36,130.76,610073.0
2023-02-13,130.44,135.43,130.31,135.42,693170.0
2023-02-14,134.83,137.4175,134.62,136.17,697146.0
2023-02-15,135.12,136.1,132.64,133.52,384152.0
2023-02-16,131.14,132.89,130.4,130.56,369095.0
2023-02-17,130.24,130.82,128.89,130.74,514331.0
2023-02-21,128.34,129.99,126.08,126.34,379862.0
2023-02-22,125.85,127.34,125.15,126.1,252030.0
2023-02-23,126.95,127.19,124.31,126.72,308190.0
2023-02-24,126.36,127.05,124.79,126.56,322664.0
2023-02-27,128.17,129.91,127.06,129.8,438949.0
2023-02-28,129.95,132.15,129.6106,131.18,553365.0
2023-03-01,130.4,132.99,130.28,131.11,410192.0
2023-03-02,129.4,131.785,128.78,131.19,273076.0
2023-03-03,131.65,132.98,130.52,132.36,308514.0
2023-03-06,132.0,133.37,129.51,130.21,473995.0
2023-03-07,129.77,130.685,128.41,128.41,213600.0
2023-03-08,128.59,129.81,128.02,129.2,252454.0
2023-03-09,128.6,129.04,124.54,125.27,401583.0
2023-03-10,123.7,123.7,117.97,118.62,526653.0
2023-03-13,115.27,117.46,111.49,112.68,715511.0
2023-03-14,117.33,119.0,113.88,117.47,847384.0
2023-03-15,113.57,114.71,111.205,114.55,625487.0
2023-03-16,113.69,117.47,111.39,117.35,554284.0
2023-03-17,116.09,116.645,112.23,113.0,1683591.0
2023-03-20,115.3,115.86,112.95,113.86,345103.0
2023-03-21,117.43,118.66,116.1,118.11,446426.0
2023-03-22,118.16,119.03,114.83,114.83,293406.0
2023-03-23,115.31,117.11,113.66,114.18,304196.0
2023-03-24,111.34,112.0583,107.14,110.54,503533.0
2023-03-27,113.34,113.44,111.66,112.74,244007.0
2023-03-28,112.26,112.26,110.48,111.41,277028.0
2023-03-29,112.67,112.67,109.56,111.94,423770.0
2023-03-30,113.34,114.18,112.01,112.4,304903.0
2023-03-31,113.78,116.18,113.44,115.38,401106.0
2023-04-03,115.21,116.59,114.72,115.51,300362.0
2023-04-04,115.55,115.55,111.72,113.31,345800.0
2023-04-05,111.73,113.39,110.555,113.3,302201.0
2023-04-06,113.57,114.79,112.58,113.45,267902.0
2023-04-10,113.47,115.41,113.34,115.21,270263.0
2023-04-11,115.79,117.97,115.755,116.53,322438.0
2023-04-12,120.13,123.42,118.0,118.15,773210.0
2023-04-13,118.27,120.68,117.84,120.54,331408.0
2023-04-14,121.59,122.53,119.12,120.81,394318.0
2023-04-17,120.4,123.09,120.4,121.9,387766.0
