date,open,high,low,close,volume
2023-01-11,34.252,34.496,33.913,34.472,632030.0
2023-01-12,34.53,35.138,34.282,34.84,535940.0
2023-01-13,34.572,34.912,34.5564,34.812,554815.0
2023-01-17,34.738,35.21,34.454,34.474,713715.0
2023-01-18,34.474,34.732,33.466,33.558,1170000.0
2023-01-19,33.556,33.934,33.176,33.186,675755.0
2023-01-20,33.556,33.912,33.136,33.872,896980.0
2023-01-23,33.934,34.566,33.704,34.374,692080.0
2023-01-24,34.328,34.534,33.976,34.442,728735.0
2023-01-25,34.126,34.252,33.386,34.214,806330.0
2023-01-26,34.516,34.71,34.04,34.378,582360.0
2023-01-27,34.456,34.508,33.97,34.002,379485.0
2023-01-30,33.836,34.4103,33.708,33.754,511960.0
2023-01-31,33.684,34.233,33.635,34.12,1720120.0
2023-02-01,33.952,34.33,32.658,33.864,3043745.0
2023-02-02,34.18,34.876,34.094,34.626,1065565.0
2023-02-03,34.348,34.712,33.958,34.398,937095.0
2023-02-06,34.356,34.398,33.631,33.902,849705.0
2023-02-07,33.852,34.61,33.402,34.298,1320670.0
2023-02-08,34.122,34.95,34.014,34.516,616400.0
2023-02-09,34.896,35.01,34.358,34.45,587285.0
2023-02-10,34.548,34.796,34.24,34.632,526540.0
2023-02-13,34.598,35.299,34.574,35.142,511685.0
2023-02-14,35.0,35.465,34.294,34.564,970750.0
2023-02-15,34.26,34.668,34.082,34.406,680160.0
2023-02-16,33.982,34.612,33.685,34.114,942380.0
2023-02-17,34.178,34.22,33.84,34.106,1048320.0
2023-02-21,33.762,34.226,33.402,33.902,1216155.0
2023-02-22,33.932,34.386,33.802,34.022,1164100.0
2023-02-23,34.224,34.876,32.972,34.396,1519545.0
2023-02-24,34.056,34.167,33.26,33.69,840575.0
2023-02-27,33.902,34.14,33.208,33.244,664715.0
2023-02-28,33.176,33.489,32.854,32.902,1484125.0
2023-03-01,33.142,33.142,32.426,32.65,1364055.0
2023-03-02,32.59,33.081,32.322,32.976,611485.0
