date,open,high,low,close,volume
2023-01-11,35.15,35.15,34.84,34.91,15698
2023-01-12,35.12,35.39,34.9,35.27,31099
2023-01-13,35.03,35.62,34.94,35.57,16654
2023-01-17,35.45,35.575,35.39,35.455,13900
2023-01-18,35.28,35.28,33.23,33.46,40163
2023-01-19,33.23,33.23,32.56,32.85,50545
2023-01-20,33.08,33.93,32.85,33.93,23758
2023-01-23,33.97,34.135,33.6,33.83,19793
2023-01-24,33.48,34.03,33.28,33.73,9261
2023-01-25,33.76,33.78,33.53,33.75,7845
2023-01-26,34.01,34.01,33.2881,33.42,13317
2023-01-27,33.87,35.12,33.87,34.48,23200
2023-01-30,34.61,35.1,34.37,34.76,23575
2023-01-31,35.03,35.85,34.8742,35.8,18026
2023-02-01,35.91,36.2816,35.62,35.85,22862
2023-02-02,36.04,36.15,35.48,35.95,18451
2023-02-03,35.32,36.48,35.11,36.36,19530
2023-02-06,36.36,36.5,35.9,36.39,20338
2023-02-07,36.24,37.2634,36.24,36.84,19859
2023-02-08,36.89,37.0,36.17,36.38,10664
2023-02-09,36.54,36.54,35.54,35.71,12305
2023-02-10,35.52,36.05,35.52,35.85,10718
2023-02-13,36.1,37.1679,35.85,36.95,23185
2023-02-14,37.01,37.01,36.41,36.43,16938
2023-02-15,36.6,36.62,35.9,36.38,12890
2023-02-16,36.38,36.81,36.02,36.42,24884
2023-02-17,36.49,37.29,36.33,37.06,28342
2023-02-21,36.47,36.66,36.21,36.31,24143
2023-02-22,36.22,36.3399,35.82,35.9,14000
2023-02-23,36.2,36.2,35.75,35.92,8143
2023-02-24,35.54,35.65,34.9201,35.55,34410
2023-02-27,34.64,35.79,34.64,35.47,8202
2023-02-28,35.4,35.74,35.4,35.42,11597
2023-03-01,35.32,35.6587,35.16,35.35,14288
2023-03-02,35.8901,35.8901,35.2,35.55,17396
2023-03-03,35.47,35.92,35.45,35.83,9659
2023-03-06,36.08,36.5377,35.5,35.54,34022
2023-03-07,35.53,35.5894,35.08,35.1,21475
2023-03-08,35.01,35.21,34.88,35.21,12445
2023-03-09,34.9,34.9,33.22,33.28,26089
2023-03-10,33.3,33.3,32.05,32.56,32268
2023-03-13,31.52,31.52,29.61,30.21,57433
2023-03-14,31.15,32.54,30.5,30.98,62877
2023-03-15,30.1,31.1629,30.1,30.71,31565
2023-03-16,30.39,31.93,30.26,31.25,43015
2023-03-17,31.13,31.13,30.1301,30.65,69661
2023-03-20,30.97,31.4,30.52,30.92,17058
2023-03-21,31.51,32.22,31.1801,31.9,20317
2023-03-22,32.17,32.17,30.74,30.8,20180
2023-03-23,31.22,31.5,30.01,30.12,27564
2023-03-24,29.86,30.805,29.86,30.57,17094
2023-03-27,31.14,31.75,30.3344,31.14,17370
2023-03-28,31.05,31.455,30.52,30.97,10301
2023-03-29,31.05,31.2185,30.88,31.19,6884
2023-03-30,31.5,31.62,30.02,30.17,14309
2023-03-31,31.2973,31.2973,30.17,30.51,13660
2023-04-03,30.31,30.94,29.865,30.7,14813
2023-04-04,30.72,30.72,29.57,30.05,18593
2023-04-05,29.945,29.945,29.73,29.73,9756
2023-04-06,29.7,30.26,29.35,29.41,16626
2023-04-10,29.5471,29.78,28.0,29.09,26469
2023-04-11,29.15,29.195,28.9,29.06,18480
2023-04-12,28.9404,28.9404,28.56,28.62,8989
2023-04-13,28.66,28.88,28.35,28.75,16651
2023-04-14,29.1,29.1,28.11,28.61,16737
2023-04-17,28.55,29.13,28.3799,29.13,12160
2023-04-18,29.2,29.2,28.76,28.96,16630
2023-04-19,29.05,29.88,29.05,29.67,6711
2023-04-20,29.64,29.64,29.0,29.34,11028
2023-04-21,29.16,29.59,29.0,29.05,9183
2023-04-24,28.9,29.0838,28.28,28.31,12864
2023-04-25,28.15,28.5,27.95,27.95,15619
2023-04-26,27.71,28.4,27.705,28.21,21255
2023-04-27,28.86,28.98,28.43,28.78,7097
2023-04-28,29.445,29.94,28.54,28.69,11678
2023-05-01,28.5,29.285,27.31,27.5,21870
2023-05-02,27.41,29.34,25.67,26.05,25562
2023-05-03,26.17,27.275,25.96,26.12,20988
2023-05-04,25.84,26.345,25.25,25.77,27321
2023-05-05,26.0,26.2928,25.56,26.02,16831
2023-05-08,25.74,26.79,25.1,25.38,21024
2023-05-09,25.49,25.49,24.67,25.32,7504
2023-05-10,25.74,25.74,25.03,25.56,15654
2023-05-11,25.38,25.55,24.99,25.24,8362
2023-05-12,25.02,25.35,24.57,25.24,10113
2023-05-15,25.21,25.87,25.01,25.45,10616
2023-05-16,25.5,25.84,25.4,25.51,8931
2023-05-17,25.6179,26.66,25.6179,26.57,10619
2023-05-18,26.76,27.47,25.87,27.13,15674
2023-05-19,27.53,28.15,26.72,26.75,17376
2023-05-22,26.63,27.39,26.63,27.3,7715
2023-05-23,27.3254,28.3,27.3254,28.06,7814
2023-05-24,27.3986,28.39,27.3986,28.06,16502
2023-05-25,27.95,28.0,27.14,27.35,13185
2023-05-26,27.32,27.785,27.25,27.65,5541
2023-05-30,27.54,27.67,27.08,27.5,7487
2023-05-31,27.26,27.26,26.56,26.77,12579
2023-06-01,27.07,27.54,26.89,26.89,10125
2023-06-02,27.35,28.725,27.35,28.51,11941
2023-06-05,28.54,28.54,27.2702,27.36,7717
2023-06-06,27.56,29.45,27.0401,29.29,23903
2023-06-07,29.53,31.29,29.41,31.06,42127
2023-06-08,31.29,31.3,30.6,30.985,8851
2023-06-09,30.635,30.635,30.06,30.1,5841
2023-06-12,30.5,31.34,30.2897,30.61,35644
2023-06-13,31.21,31.48,31.0,31.37,35334
2023-06-14,32.0,32.0,29.75,30.11,16345
2023-06-15,30.13,30.75,29.83,30.19,27057
2023-06-16,30.47,30.72,29.7,29.97,23706
2023-06-20,29.97,30.57,29.62,30.43,15086
2023-06-21,30.41,30.755,30.16,30.16,5521
2023-06-22,30.21,30.31,29.34,29.59,6004
2023-06-23,29.26,29.6527,28.59,29.29,59463
2023-06-26,29.08,29.66,29.04,29.25,7867
2023-06-27,29.49,29.94,29.3,29.44,11939
2023-06-28,29.41,29.6,29.07,29.5,7241
2023-06-29,29.6,29.9582,29.435,29.8,4328
2023-06-30,29.89,29.89,29.09,29.49,10362
2023-07-03,29.211,29.97,29.211,29.97,3246
2023-07-05,29.95,30.15,29.36,29.36,10730
2023-07-06,29.19,29.2,28.4,28.95,11174
2023-07-07,29.18,29.6,29.18,29.6,34379
2023-07-10,30.2246,30.2246,29.3016,29.83,13208
2023-07-11,29.86,29.8994,28.88,29.09,16732
2023-07-12,29.5,30.2,29.23,29.42,10715
2023-07-13,29.92,29.975,29.83,29.83,2309
2023-07-14,29.96,29.96,29.31,29.34,7250
2023-07-17,29.7,30.235,29.7,29.92,10140
2023-07-18,29.95,31.41,29.595,31.29,9428
2023-07-19,31.16,32.0,31.045,32.0,9342
2023-07-20,31.89,32.5,31.35,32.5,15656
2023-07-21,32.5,32.5,31.84,32.11,18360
2023-07-24,32.33,32.935,32.33,32.7,5312
2023-07-25,32.61,33.77,32.57,33.06,13795
2023-07-26,33.36,34.4799,33.36,34.05,14126
2023-07-27,34.05,34.34,33.625,33.99,11432
2023-07-28,34.0,34.19,33.98,34.16,9199
2023-07-31,34.25,34.25,32.81,33.99,15485
2023-08-01,33.72,33.99,33.1,33.88,8722
2023-08-02,33.7,34.41,33.24,33.91,15097
2023-08-03,34.17,35.04,34.08,34.59,9166
2023-08-04,34.44,34.44,33.7601,33.88,7480
2023-08-07,33.03,34.585,33.03,34.3,9796
2023-08-08,33.51,34.48,33.4,34.35,6622
2023-08-09,34.44,34.48,34.21,34.21,6940
2023-08-10,33.83,33.83,33.61,33.61,4897
2023-08-11,33.59,33.59,33.39,33.54,7270
2023-08-14,33.5,33.5,32.5,33.1,9538
2023-08-15,33.01,33.16,32.55,32.77,6004
2023-08-16,32.0,32.76,32.0,32.1,3430
2023-08-17,32.95,33.71,32.29,32.31,7574
2023-08-18,32.17,32.71,30.97,31.15,33015
2023-08-21,31.26,31.82,31.04,31.82,8061
2023-08-22,31.9,33.0,31.16,32.52,39132
2023-08-23,32.8,32.825,32.2,32.2,7018
2023-08-24,32.1,32.38,31.75,31.89,10331
2023-08-25,31.61,32.21,31.54,31.85,7393
2023-08-28,31.85,32.64,31.85,32.32,11866
2023-08-29,32.19,32.285,31.1,31.68,52924
2023-08-30,31.3419,31.56,30.9,30.9,15038
2023-08-31,31.15,31.53,30.9,31.53,21650
2023-09-01,31.53,32.79,31.53,32.68,12841
2023-09-05,32.26,32.26,31.5,31.5,8313
2023-09-06,30.46,31.885,30.46,30.87,15596
2023-09-07,30.98,31.68,30.89,31.1,55191
2023-09-08,31.38,31.6412,31.06,31.43,8136
2023-09-11,31.8,31.8,30.7201,31.05,9099
2023-09-12,30.97,31.37,30.9,30.9,5861
2023-09-13,31.05,31.05,30.51,30.58,6904
2023-09-14,30.72,31.03,30.61,31.03,8567
2023-09-15,31.04,31.04,30.56,30.56,33185
2023-09-18,30.41,31.3699,30.15,30.15,12922
2023-09-19,29.825,30.272,29.76,29.93,13230
2023-09-20,30.8257,30.8257,30.04,30.06,4716
2023-09-21,30.04,30.09,30.04,30.09,6334
2023-09-22,29.98,29.98,29.75,29.75,6160
2023-09-25,29.84,29.86,29.6,29.62,5332
2023-09-26,29.835,29.94,29.46,29.46,19565
2023-09-27,29.515,29.53,29.515,29.53,4625
2023-09-28,29.8,29.915,29.63,29.63,7585
2023-09-29,29.7422,30.01,29.69,30.01,8867
2023-10-02,29.79,29.79,29.64,29.66,5545
2023-10-03,29.26,29.56,29.26,29.28,7485
2023-10-04,29.32,29.66,29.28,29.31,12244
2023-10-05,30.01,30.14,29.72,30.12,11995
2023-10-06,29.83,30.4963,29.83,30.15,10585
2023-10-09,29.93,30.4327,29.93,29.96,8843
2023-10-10,29.96,30.7799,29.95,30.47,8796
2023-10-11,30.945,31.2,30.915,31.07,7009
2023-10-12,30.99,30.99,30.66,30.83,6355
2023-10-13,30.81,30.81,29.8804,30.25,9198
2023-10-16,30.15,30.5,30.0,30.36,10541
2023-10-17,30.36,31.15,30.18,30.43,14363
2023-10-18,30.54,30.54,29.67,29.92,8389
2023-10-19,30.0,30.0,29.45,29.45,7871
2023-10-20,29.6,29.71,28.96,29.4,10988
2023-10-23,28.355,29.7565,28.355,29.46,8718
2023-10-24,28.5,29.7,28.5,29.7,7752
2023-10-25,29.74,29.8472,28.665,29.28,16174
2023-10-26,29.83,30.35,29.83,30.35,6387
2023-10-27,29.57,30.02,29.326,29.6,6190
