date,open,high,low,close,volume
2023-01-11,13.14,13.2,13.03,13.09,1929089.0
2023-01-12,13.19,13.41,13.16,13.25,918009.0
2023-01-13,13.09,13.3,12.97,13.24,1578816.0
2023-01-17,13.26,13.3,13.1,13.24,1727932.0
2023-01-18,13.21,13.275,12.74,12.79,1356799.0
2023-01-19,12.73,12.95,12.63,12.91,882131.0
2023-01-20,13.1,13.37,12.98,13.36,1023111.0
2023-01-23,13.35,13.62,13.335,13.53,1158056.0
2023-01-24,13.56,13.59,13.2,13.21,927075.0
2023-01-25,13.18,13.25,12.965,13.18,1022272.0
2023-01-26,13.24,13.54,13.22,13.52,1974354.0
2023-01-27,13.51,13.52,13.15,13.45,1057407.0
2023-01-30,13.1,13.335,12.92,12.99,1875009.0
2023-01-31,13.12,13.47,13.06,13.45,1942801.0
2023-02-01,13.35,14.06,13.292,13.92,1908676.0
2023-02-02,13.95,14.395,13.95,14.35,1363583.0
2023-02-03,14.29,14.62,14.21,14.39,1212220.0
2023-02-06,14.26,14.3699,14.05,14.1,796734.0
2023-02-07,13.94,14.36,13.875,14.33,1001805.0
2023-02-08,14.19,14.395,14.09,14.13,1228188.0
2023-02-09,14.24,14.25,13.895,13.97,1089384.0
2023-02-10,13.98,14.25,13.98,14.24,856053.0
2023-02-13,14.17,14.22,14.02,14.16,1203379.0
2023-02-14,14.13,14.315,14.045,14.17,988419.0
2023-02-15,14.06,14.46,14.05,14.42,925446.0
2023-02-16,14.23,14.47,14.1793,14.28,949383.0
2023-02-17,14.29,14.56,14.26,14.51,719212.0
2023-02-21,14.34,14.485,14.15,14.3,1102761.0
2023-02-22,14.33,14.43,14.24,14.38,1308102.0
2023-02-23,14.26,14.435,14.15,14.33,898454.0
2023-02-24,14.2,14.39,14.14,14.39,906350.0
2023-02-27,14.43,14.62,14.4,14.53,848262.0
2023-02-28,14.56,14.6327,14.49,14.51,1401386.0
2023-03-01,14.44,14.54,14.33,14.4,1053038.0
2023-03-02,14.27,14.2875,13.97,14.08,814376.0
2023-03-03,14.17,14.28,14.05,14.19,942216.0
2023-03-06,14.2,14.29,14.02,14.09,1211758.0
2023-03-07,14.0,14.02,13.65,13.7,1176900.0
2023-03-08,13.74,13.74,13.13,13.28,3153038.0
2023-03-09,13.17,13.17,12.81,12.85,1831541.0
2023-03-10,12.62,13.01,12.282,12.84,2476483.0
2023-03-13,12.27,12.99,11.565,12.07,4450397.0
2023-03-14,12.9,13.03,11.835,11.97,2569814.0
2023-03-15,11.5,11.88,11.31,11.61,3370098.0
2023-03-16,11.42,12.215,11.19,11.99,3369602.0
2023-03-17,11.39,11.56,11.05,11.15,6466367.0
2023-03-20,11.39,11.8563,11.39,11.43,1695632.0
2023-03-21,11.99,12.16,11.755,11.93,1280459.0
2023-03-22,11.94,11.965,11.29,11.3,1369080.0
2023-03-23,11.4,11.4425,10.91,10.92,1436398.0
2023-03-24,10.74,11.24,10.69,11.23,1561912.0
2023-03-27,11.64,11.75,11.28,11.38,1359215.0
2023-03-28,11.38,11.45,11.18,11.26,1130746.0
2023-03-29,11.44,11.455,11.14,11.28,988409.0
2023-03-30,11.46,11.49,10.92,10.94,1022280.0
2023-03-31,11.09,11.46,11.02,11.42,1985496.0
2023-04-03,11.46,11.53,11.205,11.29,1133640.0
2023-04-04,11.31,11.34,10.85,11.15,1624998.0
2023-04-05,10.86,11.12,10.86,11.08,1008661.0
2023-04-06,11.07,11.305,11.07,11.24,804178.0
2023-04-10,11.12,11.35,10.955,11.12,3831679.0
2023-04-11,11.21,11.305,11.075,11.2,1047799.0
2023-04-12,11.31,11.32,11.03,11.07,623821.0
2023-04-13,11.17,11.39,11.07,11.32,1085785.0
2023-04-14,11.53,11.61,11.06,11.19,1064435.0
2023-04-17,11.15,11.48,10.95,11.45,960886.0
2023-04-18,11.5,11.5,11.13,11.21,888119.0
2023-04-19,11.22,11.5,11.09,11.42,1196848.0
2023-04-20,11.26,11.41,11.16,11.34,1234775.0
2023-04-21,11.31,11.3913,11.085,11.29,1032702.0
2023-04-24,11.16,11.46,11.16,11.34,1141687.0
2023-04-25,11.06,11.48,11.06,11.15,1513302.0
2023-04-26,11.22,11.75,11.1598,11.59,1362787.0
2023-04-27,11.68,11.78,11.54,11.66,1058749.0
2023-04-28,11.53,11.84,11.53,11.75,1415723.0
2023-05-01,11.75,11.78,11.395,11.6,1914478.0
2023-05-02,11.5,11.57,10.74,11.06,1615274.0
2023-05-03,11.16,11.4,10.72,10.79,1593764.0
2023-05-04,10.54,10.97,10.1799,10.76,2417742.0
2023-05-05,11.23,11.38,10.91,11.3,1532981.0
2023-05-08,11.45,11.465,10.95,10.96,1158365.0
2023-05-09,10.935,11.03,10.76,10.88,1028512.0
2023-05-10,11.13,11.15,10.705,10.86,899294.0
2023-05-11,10.63,10.87,10.56,10.72,1086268.0
2023-05-12,10.79,10.85,10.56,10.71,776011.0
2023-05-15,10.75,11.09,10.75,10.92,1067424.0
2023-05-16,10.88,11.11,10.87,10.9,1226833.0
2023-05-17,11.07,11.61,11.03,11.55,1198249.0
2023-05-18,11.51,11.62,11.41,11.56,1090447.0
2023-05-19,11.64,11.74,11.15,11.35,1153387.0
2023-05-22,11.45,11.725,11.29,11.72,1532777.0
2023-05-23,11.53,11.94,11.5,11.63,1554027.0
2023-05-24,11.63,11.69,11.37,11.54,984120.0
2023-05-25,11.56,11.58,11.31,11.51,777088.0
2023-05-26,11.49,11.665,11.29,11.66,1365904.0
2023-05-30,11.74,11.795,11.42,11.61,869749.0
2023-05-31,11.48,11.58,11.1,11.16,1320963.0
2023-06-01,11.27,11.71,11.18,11.58,1263246.0
2023-06-02,11.81,12.47,11.69,12.38,1596589.0
2023-06-05,12.08,12.22,11.725,11.9,1537902.0
2023-06-06,11.87,12.66,11.87,12.58,2023229.0
2023-06-07,12.82,13.185,12.65,13.03,1906683.0
2023-06-08,12.95,13.02,12.605,12.87,1252285.0
2023-06-09,12.79,12.905,12.645,12.71,984729.0
2023-06-12,12.6,12.825,12.4,12.5,1341758.0
2023-06-13,12.62,12.95,12.48,12.91,1489276.0
2023-06-14,12.86,13.0793,12.49,12.63,1680956.0
2023-06-15,12.55,12.87,12.5,12.81,1345398.0
2023-06-16,12.92,12.92,12.55,12.69,4249095.0
2023-06-20,12.69,12.71,12.465,12.66,1406810.0
2023-06-21,12.62,12.73,12.42,12.42,1067259.0
2023-06-22,12.38,12.45,11.98,12.15,1233098.0
2023-06-23,11.99,12.2,11.82,11.84,2827194.0
2023-06-26,11.96,12.14,11.865,11.87,1153450.0
2023-06-27,11.95,12.21,11.8,12.06,1002129.0
2023-06-28,12.06,12.12,11.9216,12.03,873252.0
2023-06-29,12.24,12.4,12.155,12.34,782669.0
2023-06-30,12.54,12.54,12.21,12.22,827255.0
2023-07-03,12.16,12.59,12.16,12.51,486872.0
2023-07-05,12.39,12.59,12.31,12.51,1058271.0
2023-07-06,12.22,12.33,12.05,12.31,925337.0
2023-07-07,12.47,12.705,12.24,12.57,1087123.0
2023-07-10,12.51,12.74,12.5,12.59,1074732.0
2023-07-11,12.7,12.805,12.54,12.7,2030758.0
2023-07-12,12.93,13.09,12.85,13.01,1067858.0
2023-07-13,13.09,13.35,13.0103,13.15,1028033.0
2023-07-14,13.21,13.21,12.84,12.99,880101.0
2023-07-17,12.98,13.35,12.98,13.28,809942.0
2023-07-18,13.27,13.67,13.27,13.63,1668247.0
2023-07-19,13.73,13.895,13.57,13.83,1264958.0
2023-07-20,13.79,14.0,13.67,13.98,1480588.0
