date,open,high,low,close,volume
2023-01-11,189.99,193.91,189.99,192.2,1913178.0
2023-01-12,192.13,193.14,190.45,191.89,1560732.0
2023-01-13,190.45,191.0,188.21,188.63,1343863.0
2023-01-17,187.96,188.5,186.05,188.13,1853546.0
2023-01-18,188.22,191.7099,187.52,187.67,1337994.0
2023-01-19,185.94,186.86,183.64,184.23,1321238.0
2023-01-20,185.18,186.98,184.218,186.88,1595873.0
2023-01-23,187.2,192.2898,186.31,191.15,1642266.0
2023-01-24,189.78,192.15,188.78,189.25,1238861.0
2023-01-25,186.71,188.32,185.85,187.81,1020614.0
2023-01-26,188.9,190.31,186.8,190.14,1045755.0
2023-01-27,189.79,193.17,189.6101,190.56,1435920.0
2023-01-30,188.05,188.55,183.59,184.08,2091759.0
2023-01-31,184.5,193.95,184.39,193.86,2423172.0
2023-02-01,193.1,204.06,192.56,202.11,5262068.0
2023-02-02,209.28,217.385,209.28,214.5,3836529.0
2023-02-03,212.24,215.94,211.4234,214.67,2255091.0
2023-02-06,213.0,214.47,209.19,210.59,1890037.0
2023-02-07,209.71,210.64,205.94,209.91,1822296.0
2023-02-08,209.24,210.96,208.25,209.48,1425860.0
2023-02-09,210.1,211.0,207.87,208.62,1245365.0
2023-02-10,206.39,210.33,206.11,209.37,1286719.0
2023-02-13,207.61,211.91,207.2501,211.66,1159559.0
2023-02-14,210.34,213.02,208.6,212.67,1101959.0
2023-02-15,211.39,213.13,210.0,213.04,953149.0
2023-02-16,209.52,212.7581,209.0,211.67,1278571.0
2023-02-17,210.38,211.85,209.24,210.3,993348.0
2023-02-21,206.68,207.99,203.1,205.65,1715949.0
2023-02-22,205.65,207.18,199.585,202.83,2388936.0
2023-02-23,204.82,205.57,202.56,205.18,1344966.0
2023-02-24,203.24,204.14,200.64,203.28,1387626.0
2023-02-27,206.04,208.0977,203.745,204.06,1324195.0
2023-02-28,204.035,206.74,203.08,203.22,1464094.0
2023-03-01,203.25,206.5703,202.58,204.33,1179821.0
2023-03-02,203.32,207.62,202.58,206.93,1092554.0
2023-03-03,208.46,210.1,207.13,209.08,1612507.0
2023-03-06,209.6,211.89,209.35,210.13,2148072.0
