date,open,high,low,close,volume
2023-01-11,42.5,42.925,42.38,42.86,3092765.0
2023-01-12,42.92,43.18,42.73,43.09,3257842.0
2023-01-13,43.14,43.14,42.57,42.73,4147787.0
2023-01-17,42.89,43.31,42.75,42.99,5005727.0
2023-01-18,43.11,43.11,41.945,42.12,7578677.0
2023-01-19,42.07,42.21,41.535,41.9,4626492.0
2023-01-20,41.99,42.23,41.0,42.2,6142457.0
2023-01-23,41.46,41.94,41.055,41.14,5870331.0
2023-01-24,41.2,41.6,40.91,41.18,5116320.0
2023-01-25,40.92,41.07,40.6,41.0,4920492.0
2023-01-26,40.92,41.4,40.79,41.39,2085448.0
2023-01-27,41.36,41.575,41.13,41.23,1573357.0
2023-01-30,41.1,41.505,41.058,41.3,2513829.0
2023-01-31,41.34,41.34,40.605,40.95,5723360.0
2023-02-01,40.74,41.31,40.43,41.14,4235825.0
2023-02-02,41.14,41.76,40.9,41.0,6050565.0
2023-02-03,41.03,41.09,39.3,39.52,6981568.0
2023-02-06,39.01,39.75,38.78,39.71,5329433.0
2023-02-07,39.55,40.23,39.39,40.07,4830839.0
2023-02-08,39.89,39.9,39.295,39.37,2828149.0
2023-02-09,39.55,39.83,39.25,39.35,4145527.0
2023-02-10,39.48,39.96,39.41,39.9,2247017.0
2023-02-13,39.86,40.39,39.86,40.39,2955921.0
2023-02-14,40.19,41.23,39.49,40.17,5000281.0
2023-02-15,40.38,40.78,40.23,40.76,3517366.0
2023-02-16,40.41,40.77,40.15,40.57,3831949.0
2023-02-17,40.7,41.38,40.65,41.03,3426554.0
2023-02-21,40.85,40.93,40.29,40.49,2350614.0
2023-02-22,40.64,40.64,39.81,39.89,2633972.0
2023-02-23,39.89,39.95,39.225,39.48,2702465.0
2023-02-24,39.21,39.85,38.93,39.8,3232875.0
2023-02-27,40.05,40.479,39.825,39.91,3723692.0
2023-02-28,39.99,40.18,39.52,39.54,5820350.0
2023-03-01,39.26,39.36,38.535,38.74,4978220.0
2023-03-02,38.63,39.095,38.315,39.08,4347263.0
2023-03-03,39.36,39.77,38.86,39.76,2973195.0
2023-03-06,39.76,40.09,39.67,39.98,3059832.0
2023-03-07,40.0,40.06,38.86,39.16,2493672.0
2023-03-08,39.23,39.79,39.11,39.71,2713744.0
2023-03-09,39.86,40.07,39.025,39.15,2660070.0
2023-03-10,39.16,39.23,38.01,38.09,4260207.0
2023-03-13,37.88,39.53,37.67,38.8,4123083.0
2023-03-14,39.18,39.55,38.67,39.19,4439691.0
2023-03-15,38.95,39.945,38.82,39.72,3069732.0
2023-03-16,39.67,40.17,39.215,40.15,3246272.0
2023-03-17,39.97,39.97,39.44,39.78,8566575.0
2023-03-20,39.91,40.63,39.68,40.32,2619931.0
2023-03-21,40.33,40.4,38.755,39.38,2573843.0
2023-03-22,39.17,39.37,38.33,38.36,2377655.0
2023-03-23,38.27,38.47,37.565,37.75,3442644.0
