date,open,high,low,close,volume
2023-01-11,24.96,25.1,24.82,24.92,305249.0
2023-01-12,25.0,25.33,24.74,24.85,315007.0
2023-01-13,24.6,24.79,24.27,24.66,261803.0
2023-01-17,24.72,24.72,24.19,24.24,213164.0
2023-01-18,24.07,24.09,23.39,23.41,267481.0
2023-01-19,23.23,23.46,23.15,23.27,266353.0
2023-01-20,23.58,23.645,23.23,23.56,359134.0
2023-01-23,23.63,23.7,23.38,23.54,299412.0
2023-01-24,23.57,23.57,23.26,23.34,214295.0
2023-01-25,23.26,23.28,22.87,23.12,179000.0
2023-01-26,23.29,23.4,22.99,23.38,204865.0
2023-01-27,23.75,24.71,23.72,24.26,558484.0
2023-01-30,24.38,24.645,24.215,24.34,326903.0
2023-01-31,24.42,25.37,24.37,25.33,395897.0
2023-02-01,25.21,25.95,24.08,25.54,402559.0
2023-02-02,25.55,26.07,25.43,26.06,329422.0
2023-02-03,25.89,26.53,25.83,26.24,391706.0
2023-02-06,26.19,26.35,25.81,25.96,223715.0
2023-02-07,25.87,26.255,25.72,26.13,226630.0
2023-02-08,25.97,26.143,25.79,25.94,173384.0
2023-02-09,26.16,26.226,25.59,25.66,178658.0
2023-02-10,25.54,25.745,25.48,25.71,156313.0
2023-02-13,25.63,25.8,25.51,25.63,162447.0
2023-02-14,25.62,25.74,25.17,25.28,184042.0
2023-02-15,25.05,25.39,25.0494,25.38,151424.0
2023-02-16,25.19,25.245,25.0,25.03,152127.0
2023-02-17,25.1,25.565,25.03,25.52,216992.0
2023-02-21,25.33,25.455,24.98,25.08,215324.0
2023-02-22,25.13,25.34,24.97,25.07,289457.0
2023-02-23,25.14,25.31,24.88,25.14,155830.0
2023-02-24,24.97,25.08,24.78,25.07,202716.0
2023-02-27,25.24,25.41,24.88,24.89,207559.0
2023-02-28,24.63,24.94,24.63,24.64,309917.0
2023-03-01,24.45,24.93,24.36,24.9,258263.0
2023-03-02,24.71,24.72,24.19,24.38,166910.0
2023-03-03,24.49,24.68,24.2,24.63,166977.0
2023-03-06,24.56,24.63,23.89,24.03,418945.0
2023-03-07,23.89,23.89,23.24,23.3,233960.0
2023-03-08,23.36,23.46,23.17,23.35,230244.0
2023-03-09,23.19,23.19,22.13,22.17,390569.0
2023-03-10,21.7,22.49,21.17,22.15,536752.0
2023-03-13,21.22,23.06,19.87,21.56,1065486.0
2023-03-14,22.39,23.26,21.575,21.93,606385.0
2023-03-15,21.15,21.98,20.82,21.55,632820.0
2023-03-16,21.25,22.93,21.02,22.4,480806.0
2023-03-17,21.91,21.96,21.01,21.49,1639869.0
