date,open,high,low,close,volume
2023-01-11,19.72,19.77,19.505,19.54,91178.0
2023-01-12,19.68,19.98,19.45,19.5,877067.0
2023-01-13,19.5,20.07,19.42,20.03,267043.0
2023-01-17,19.94,20.1,19.76,19.86,129625.0
2023-01-18,19.74,19.74,19.5,19.55,111552.0
2023-01-19,19.5,19.77,19.36,19.71,126233.0
2023-01-20,19.9,20.01,19.67,19.97,160095.0
2023-01-23,19.93,20.31,19.93,20.29,120509.0
2023-01-24,20.22,20.46,20.15,20.21,126158.0
2023-01-25,20.15,20.22,19.755,19.97,99419.0
2023-01-26,20.09,20.09,19.61,19.85,160462.0
2023-01-27,20.17,20.27,18.25,18.37,524813.0
2023-01-30,18.45,19.19,18.45,18.66,171949.0
2023-01-31,18.7,19.2,18.65,19.19,323919.0
2023-02-01,19.18,19.58,18.89,19.46,202763.0
2023-02-02,19.5,20.25,19.5,20.07,190707.0
2023-02-03,19.97,20.365,19.84,20.27,125794.0
2023-02-06,20.2,20.35,20.03,20.19,134992.0
2023-02-07,20.17,20.45,20.075,20.25,137949.0
2023-02-08,20.2,20.34,20.005,20.19,95802.0
2023-02-09,20.19,20.24,19.7301,19.87,93218.0
2023-02-10,19.82,19.99,19.665,19.74,97314.0
2023-02-13,19.74,19.97,19.64,19.89,59115.0
2023-02-14,19.85,19.93,19.53,19.58,64417.0
2023-02-15,19.6,20.0,19.44,19.98,140884.0
2023-02-16,19.78,19.96,19.655,19.83,123544.0
2023-02-17,19.91,20.03,19.78,19.82,192127.0
2023-02-21,19.62,19.929,19.5884,19.69,231400.0
2023-02-22,19.67,19.79,19.5,19.66,110654.0
2023-02-23,19.7,20.01,19.7,19.83,101888.0
2023-02-24,19.73,19.8,19.535,19.61,113856.0
2023-02-27,19.72,19.8,19.48,19.51,144430.0
2023-02-28,19.57,19.64,19.45,19.46,107112.0
2023-03-01,19.4,19.43,19.2,19.31,110874.0
2023-03-02,19.36,19.36,19.13,19.34,161990.0
2023-03-03,19.4,19.42,19.19,19.27,153339.0
2023-03-06,19.36,19.4,18.75,18.79,165340.0
2023-03-07,18.74,18.81,18.33,18.39,170368.0
2023-03-08,18.43,18.45,18.19,18.4,129897.0
2023-03-09,18.07,18.12,17.13,17.19,223857.0
2023-03-10,16.94,17.14,16.265,16.75,330032.0
2023-03-13,16.19,16.75,15.425,15.59,414683.0
2023-03-14,16.52,16.62,15.43,15.57,371134.0
2023-03-15,15.12,16.03,14.835,15.87,405527.0
2023-03-16,15.71,16.76,15.59,16.49,218509.0
2023-03-17,16.31,16.395,15.0,15.04,476489.0
2023-03-20,15.31,15.64,14.95,14.99,167191.0
2023-03-21,15.31,15.85,15.245,15.36,275689.0
2023-03-22,15.4,15.47,14.72,14.73,173221.0
2023-03-23,14.9,14.9,14.1,14.14,180727.0
2023-03-24,14.04,14.75,13.92,14.74,275141.0
2023-03-27,14.72,14.98,14.69,14.72,173756.0
2023-03-28,14.86,15.0098,14.66,14.78,102636.0
2023-03-29,14.88,15.05,14.7456,14.92,157897.0
2023-03-30,15.09,15.1386,14.43,14.53,124184.0
2023-03-31,14.65,15.155,14.55,14.89,234508.0
2023-04-03,14.94,15.09,14.71,14.94,139974.0
2023-04-04,14.94,14.94,14.375,14.66,133582.0
2023-04-05,14.51,14.7,14.45,14.52,130917.0
2023-04-06,14.46,14.6,14.37,14.44,109803.0
2023-04-10,14.4,14.61,14.1801,14.35,210257.0
2023-04-11,14.58,14.58,14.17,14.27,148934.0
2023-04-12,14.28,14.4,13.75,13.8,162310.0
2023-04-13,13.85,14.09,13.6949,13.92,230322.0
2023-04-14,14.16,14.17,13.57,13.67,162615.0
2023-04-17,13.66,13.98,13.42,13.9,151393.0
2023-04-18,13.95,13.95,13.37,13.39,167794.0
2023-04-19,13.51,13.89,13.38,13.72,224876.0
2023-04-20,13.63,13.6896,13.43,13.43,174947.0
2023-04-21,13.41,13.51,13.35,13.43,136994.0
2023-04-24,13.41,13.92,13.26,13.3,121989.0
2023-04-25,13.2,13.37,12.82,12.84,134760.0
2023-04-26,12.25,13.0,11.54,12.17,430305.0
2023-04-27,12.24,12.415,11.89,11.93,293996.0
2023-04-28,12.01,12.36,11.9,12.03,268174.0
2023-05-01,12.05,12.08,11.5,11.53,191232.0
2023-05-02,11.49,11.49,10.19,10.395,240970.0
2023-05-03,10.43,10.6668,10.21,10.43,316125.0
2023-05-04,10.16,10.37,9.42,9.81,334649.0
2023-05-05,10.18,10.685,10.14,10.37,245414.0
2023-05-08,10.45,10.61,10.1,10.15,233500.0
2023-05-09,10.08,10.4293,9.71,9.96,129632.0
2023-05-10,10.19,10.19,9.52,9.56,160323.0
2023-05-11,9.5,9.57,9.35,9.44,214825.0
2023-05-12,9.6,9.6,9.28,9.4,147988.0
2023-05-15,9.52,9.84,9.45,9.76,256227.0
2023-05-16,9.83,9.91,9.59,9.6,165098.0
2023-05-17,9.84,10.81,9.84,10.74,277340.0
2023-05-18,10.75,11.24,10.7,11.21,170330.0
2023-05-19,11.35,11.35,10.71,10.76,199853.0
2023-05-22,10.87,11.76,10.75,11.55,330898.0
2023-05-23,11.55,12.33,11.4801,11.99,240782.0
2023-05-24,11.91,11.96,11.65,11.67,235555.0
