date,open,high,low,close,volume
2023-01-11,19.98,20.34,19.49,20.25,375444.0
2023-01-12,20.22,20.62,19.77,19.93,343308.0
2023-01-13,19.56,20.88,19.56,20.77,177379.0
2023-01-17,20.77,21.78,20.62,21.09,209111.0
2023-01-18,21.09,21.64,20.67,20.68,272090.0
2023-01-19,20.46,21.0,20.38,20.71,232593.0
2023-01-20,20.68,21.58,20.5354,20.97,133732.0
2023-01-23,20.95,21.19,20.4287,21.0,148634.0
2023-01-24,20.97,21.55,20.5,21.21,142697.0
2023-01-25,21.06,21.4,20.8761,21.34,124397.0
2023-01-26,21.37,21.62,21.16,21.48,230080.0
2023-01-27,21.39,21.635,21.17,21.19,75912.0
2023-01-30,21.11,21.39,20.93,21.03,64681.0
2023-01-31,21.02,21.565,20.95,21.46,154516.0
2023-02-01,21.42,21.78,21.11,21.57,184615.0
2023-02-02,21.83,22.2199,21.69,21.95,220313.0
2023-02-03,21.79,22.18,21.615,21.75,120841.0
2023-02-06,21.6,21.78,21.545,21.65,81698.0
2023-02-07,21.5,21.885,21.31,21.5,186519.0
2023-02-08,21.39,21.87,21.39,21.63,125061.0
2023-02-09,21.71,22.265,21.63,21.87,136931.0
2023-02-10,21.85,24.405,21.825,23.82,635485.0
2023-02-13,23.82,24.1,23.16,23.34,225624.0
2023-02-14,23.31,23.6284,22.85,22.99,267282.0
2023-02-15,22.83,23.22,22.82,23.12,162656.0
2023-02-16,23.0,23.0,21.65,21.73,284173.0
2023-02-17,21.57,21.97,21.09,21.69,190866.0
2023-02-21,21.58,21.795,20.07,20.31,225991.0
2023-02-22,20.25,20.69,19.89,20.67,208039.0
2023-02-23,20.85,22.0,20.63,21.16,250085.0
2023-02-24,21.05,21.35,20.585,21.03,133486.0
2023-02-27,21.0,21.38,20.6,20.73,131210.0
2023-02-28,20.78,20.94,20.35,20.37,467260.0
2023-03-01,20.37,21.06,20.25,20.39,182529.0
2023-03-02,20.25,20.64,20.1401,20.54,141221.0
2023-03-03,20.53,20.68,20.2689,20.44,166725.0
2023-03-06,20.4,20.46,19.47,19.52,321742.0
2023-03-07,19.45,19.66,19.02,19.48,255937.0
2023-03-08,19.54,19.75,19.38,19.71,185717.0
2023-03-09,19.62,19.67,19.02,19.06,90974.0
2023-03-10,19.0,19.0,17.41,17.75,321310.0
2023-03-13,17.0,18.37,17.0,18.05,287684.0
2023-03-14,18.5,18.59,17.79,18.16,274439.0
