date,open,high,low,close,volume
2023-01-11,38.89,39.23,38.75,38.94,350872.0
2023-01-12,38.89,39.7,38.8,39.6,332630.0
2023-01-13,39.28,39.76,38.78,39.4,383240.0
2023-01-17,39.4,39.48,38.7009,38.75,602216.0
2023-01-18,38.59,38.59,37.48,37.57,475106.0
2023-01-19,37.42,37.49,36.6,37.35,730341.0
2023-01-20,37.75,38.22,37.31,37.91,546972.0
2023-01-23,38.01,38.265,37.61,37.98,422337.0
2023-01-24,37.98,37.98,37.15,37.21,601174.0
2023-01-25,37.1,38.1,37.04,38.1,962405.0
2023-01-26,38.26,38.26,37.5325,37.71,543007.0
2023-01-27,36.67,36.67,33.41,33.62,2955911.0
2023-01-30,33.29,34.68,33.16,34.28,2885140.0
2023-01-31,34.4,35.94,34.17,35.88,1584995.0
2023-02-01,36.16,37.08,35.9637,36.6,1107359.0
2023-02-02,36.62,37.1,36.36,37.06,827778.0
2023-02-03,36.99,37.69,36.795,37.59,721850.0
2023-02-06,36.92,37.27,36.6,36.86,696970.0
2023-02-07,36.64,37.15,36.48,37.07,622273.0
2023-02-08,36.76,37.27,36.415,36.57,406266.0
2023-02-09,36.78,36.94,36.36,36.45,524911.0
2023-02-10,36.43,36.71,36.12,36.69,405218.0
2023-02-13,36.71,37.05,36.57,37.04,491042.0
2023-02-14,36.92,37.16,36.3,36.59,456351.0
2023-02-15,36.4,37.35,36.22,37.31,479988.0
2023-02-16,37.15,37.15,36.48,36.53,359454.0
2023-02-17,36.77,37.165,36.335,37.13,448504.0
2023-02-21,36.71,36.8,35.99,36.08,673576.0
2023-02-22,36.07,36.5,35.725,35.91,465398.0
2023-02-23,35.99,36.44,35.81,36.21,340545.0
2023-02-24,36.06,36.32,35.66,35.93,507655.0
2023-02-27,36.19,36.48,35.72,35.95,465008.0
2023-02-28,35.9,35.9,35.45,35.54,986550.0
2023-03-01,35.54,35.5401,34.89,35.03,721316.0
2023-03-02,34.81,34.86,33.97,34.56,766010.0
2023-03-03,34.72,35.19,34.29,35.13,492910.0
2023-03-06,35.14,35.58,34.9,35.17,560223.0
2023-03-07,34.94,34.94,34.03,34.37,613480.0
2023-03-08,34.46,34.46,33.765,33.87,537248.0
2023-03-09,33.6,33.6,31.87,31.94,726590.0
2023-03-10,31.12,32.18,30.26,31.74,1312579.0
