date,open,high,low,close,volume
2023-01-11,68.94,69.48,68.17,69.47,6241263.0
2023-01-12,69.8,70.04,68.265,69.28,9572507.0
2023-01-13,68.53,69.765,68.5001,69.75,6474406.0
2023-01-17,69.09,71.555,68.78,71.41,6474888.0
2023-01-18,71.94,71.98,69.59,69.64,5699876.0
2023-01-19,68.67,72.12,68.32,71.03,11258217.0
2023-01-20,71.55,74.28,70.87,73.92,7548207.0
2023-01-23,74.49,75.04,73.44,74.48,4297063.0
2023-01-24,73.86,75.02,73.7401,74.41,2761297.0
2023-01-25,73.56,74.22,72.51,74.22,3511771.0
2023-01-26,75.02,75.15,73.44,74.89,2536430.0
2023-01-27,74.99,75.42,74.42,75.33,3510264.0
2023-01-30,74.38,74.92,73.85,74.39,4117220.0
2023-01-31,74.51,75.07,73.62,75.04,5182226.0
2023-02-01,74.92,77.28,74.51,76.79,3360667.0
2023-02-02,77.52,79.32,77.284,77.81,4320185.0
2023-02-03,76.63,76.73,74.34,75.39,3890681.0
2023-02-06,74.35,74.75,72.73,73.09,4536773.0
2023-02-07,73.26,75.41,72.91,75.24,7222299.0
2023-02-08,74.58,74.94,73.19,73.36,2742994.0
2023-02-09,75.75,76.28,73.39,73.95,6712416.0
2023-02-10,73.53,75.67,73.41,75.43,4047659.0
2023-02-13,65.405,66.04,63.51,66.0,20327207.0
2023-02-14,66.07,69.61,66.0,67.81,11465210.0
2023-02-15,66.65,67.65,65.9105,67.45,6794050.0
2023-02-16,66.88,69.515,66.5,69.16,8059216.0
2023-02-17,68.72,69.65,67.83,69.5,6132990.0
2023-02-21,69.1,69.1,66.4782,67.11,6191218.0
2023-02-22,67.79,68.22,66.4,67.03,4871157.0
2023-02-23,67.42,67.465,65.03,66.18,5703955.0
2023-02-24,65.05,65.62,64.25,64.9,6299374.0
2023-02-27,65.0,65.364,64.4,64.52,3774383.0
2023-02-28,64.26,64.68,63.27,63.37,5809726.0
2023-03-01,63.67,63.99,61.92,62.85,9882488.0
2023-03-02,63.03,63.95,62.2301,63.89,6656618.0
2023-03-03,64.365,64.7,63.31,63.93,5114284.0
2023-03-06,64.23,64.8,63.68,63.88,3342862.0
2023-03-07,63.88,64.48,62.46,62.63,4832268.0
2023-03-08,62.33,62.96,61.99,62.92,3275350.0
2023-03-09,62.51,62.82,59.68,59.76,5938737.0
2023-03-10,59.12,59.4,56.715,57.22,7361388.0
2023-03-13,56.36,56.425,49.64,49.82,16366964.0
2023-03-14,52.82,54.34,52.34,53.32,9912563.0
2023-03-15,51.5,51.97,50.42,51.57,13603342.0
2023-03-16,50.65,52.435,49.14,52.15,10724537.0
2023-03-17,52.27,52.91,51.62,51.64,17111471.0
2023-03-20,51.79,52.71,51.04,51.55,8089764.0
2023-03-21,53.17,53.405,52.115,53.09,6940559.0
2023-03-22,52.92,52.92,51.22,51.27,5787562.0
2023-03-23,51.12,51.75,49.91,49.97,6570500.0
2023-03-24,49.13,49.93,48.57,49.7,7602033.0
2023-03-27,50.96,51.5875,50.1,50.21,7104735.0
2023-03-28,50.21,50.99,49.96,50.65,4622214.0
2023-03-29,51.37,51.585,50.93,51.47,6846850.0
2023-03-30,52.23,52.98,51.6,52.17,7118139.0
2023-03-31,52.68,54.44,52.555,54.33,7492472.0
2023-04-03,54.5,54.7125,53.78,54.09,5743711.0
2023-04-04,54.25,54.28,52.89,52.95,6982382.0
2023-04-05,52.51,54.1009,52.51,53.72,6628082.0
2023-04-06,53.63,55.49,53.6,55.43,5721738.0
2023-04-10,55.18,55.43,53.97,54.69,4372237.0
2023-04-11,54.69,56.41,54.53,56.0,4954830.0
2023-04-12,56.79,57.17,54.93,55.31,4471313.0
2023-04-13,55.16,57.18,55.06,56.7,5090914.0
2023-04-14,57.02,57.81,56.7376,57.41,4702834.0
2023-04-17,57.24,58.085,57.06,58.04,4898477.0
2023-04-18,58.1,58.28,56.59,56.66,4137945.0
2023-04-19,56.76,56.805,55.85,56.01,4705400.0
2023-04-20,55.58,56.44,55.17,56.28,4504921.0
2023-04-21,56.35,56.61,55.9,56.28,3763222.0
2023-04-24,56.47,56.55,55.605,55.86,5842752.0
2023-04-25,55.6,56.15,55.08,55.28,2923170.0
2023-04-26,55.0,55.96,54.62,54.84,5129113.0
2023-04-27,58.49,59.31,56.15,56.31,8197413.0
2023-04-28,57.29,58.81,56.76,58.72,5817972.0
2023-05-01,57.97,58.34,56.55,56.69,3898576.0
2023-05-02,56.39,56.56,53.03,53.13,5896026.0
2023-05-03,53.22,54.19,52.44,52.86,7877920.0
2023-05-04,52.27,53.34,51.9193,53.23,6083189.0
2023-05-05,54.03,55.8,53.41,55.75,4910412.0
2023-05-08,55.58,56.2375,55.435,55.96,4016976.0
2023-05-09,55.33,56.21,55.09,55.65,3639126.0
2023-05-10,56.14,56.43,54.52,55.14,3414448.0
2023-05-11,54.57,55.29,54.2,55.0,3697671.0
2023-05-12,55.38,55.385,54.28,55.07,2178403.0
2023-05-15,55.49,55.71,54.73,55.53,2747794.0
2023-05-16,55.41,55.63,54.57,54.91,3358314.0
2023-05-17,55.31,56.32,55.09,55.98,3735833.0
2023-05-18,55.89,57.9,55.53,57.85,4434238.0
2023-05-19,58.28,58.59,56.69,56.84,3828114.0
2023-05-22,57.0,58.58,56.85,57.47,3835267.0
2023-05-23,57.01,57.18,55.69,55.79,3583315.0
2023-05-24,55.02,55.29,53.65,53.86,5055253.0
2023-05-25,53.76,53.925,52.84,53.28,2936521.0
2023-05-26,53.52,54.49,53.4005,54.46,2696486.0
2023-05-30,54.5,54.61,53.34,53.97,4006426.0
2023-05-31,53.5,54.77,53.07,54.57,14522741.0
2023-06-01,54.86,55.6,54.6,55.0,4123477.0
2023-06-02,55.74,56.0,54.88,55.38,8896804.0
2023-06-05,55.59,55.63,54.175,54.7,4795064.0
2023-06-06,54.73,55.37,54.66,54.98,8332375.0
2023-06-07,55.37,55.425,54.81,55.06,11502012.0
2023-06-08,54.53,54.87,53.73,54.49,3246660.0
2023-06-09,54.69,54.96,54.22,54.66,2764959.0
2023-06-12,54.86,55.2,54.19,54.48,6077026.0
2023-06-13,54.95,55.665,54.49,55.2,4476877.0
2023-06-14,55.35,56.21,54.6102,54.7,4577175.0
2023-06-15,54.3,54.55,53.79,54.05,7761504.0
