date,open,high,low,close,volume
2023-01-11,24.28,24.38,24.08,24.2,27186.0
2023-01-12,24.25,24.85,24.25,24.65,25401.0
2023-01-13,24.5,24.71,24.5,24.65,18931.0
2023-01-17,24.72,24.8,24.26,24.43,35858.0
2023-01-18,24.31,24.31,23.65,23.73,34367.0
2023-01-19,23.55,23.845,23.38,23.72,31033.0
2023-01-20,23.91,24.15,23.88,24.06,30113.0
2023-01-23,24.1,24.15,23.8725,24.01,35342.0
2023-01-24,23.84,23.9381,23.66,23.74,30402.0
2023-01-25,23.92,23.92,23.54,23.85,23470.0
2023-01-26,23.86,24.1,23.63,24.06,30356.0
2023-01-27,24.06,24.32,24.04,24.15,24956.0
2023-01-30,24.2259,24.8,24.16,24.45,30034.0
2023-01-31,24.625,24.9399,24.27,24.71,54637.0
2023-02-01,24.5,25.18,24.5,24.94,58255.0
2023-02-02,24.94,25.78,24.88,25.68,47615.0
2023-02-03,25.63,25.85,25.44,25.6,32234.0
2023-02-06,25.53,25.53,24.75,24.97,35359.0
2023-02-07,24.97,25.38,24.79,25.1,24512.0
2023-02-08,24.945,25.09,24.7,24.83,23090.0
2023-02-09,24.84,24.97,24.4,24.6,25763.0
2023-02-10,24.67,24.97,24.59,24.79,27660.0
2023-02-13,24.9376,25.425,24.815,25.33,40431.0
2023-02-14,25.14,25.19,24.85,25.01,23178.0
2023-02-15,25.08,25.39,24.99,25.37,23467.0
2023-02-16,25.06,25.311,24.93,25.04,33310.0
2023-02-17,25.07,25.39,24.935,25.39,56873.0
2023-02-21,25.46,25.46,25.01,25.12,34481.0
2023-02-22,25.2,25.2,24.65,24.83,44725.0
2023-02-23,25.0,25.16,24.79,25.07,37547.0
2023-02-24,24.84,24.84,24.55,24.71,26381.0
2023-02-27,24.69,24.97,24.64,24.88,31324.0
2023-02-28,24.97,25.13,24.78,24.96,42016.0
2023-03-01,24.82,25.03,24.72,25.0,33396.0
2023-03-02,24.655,24.73,24.38,24.66,24987.0
2023-03-03,24.79,24.895,24.51,24.76,23314.0
2023-03-06,24.795,24.8099,24.18,24.3,70292.0
2023-03-07,24.32,24.32,24.01,24.05,27644.0
2023-03-08,23.98,24.19,23.93,24.13,32984.0
2023-03-09,24.03,24.07,22.96,23.07,38114.0
2023-03-10,22.88,23.7254,22.15,22.48,72740.0
2023-03-13,22.1,22.16,19.99,20.89,105574.0
2023-03-14,21.72,22.56,21.09,21.23,72566.0
2023-03-15,20.25,21.01,20.25,21.01,93700.0
2023-03-16,20.76,21.805,20.02,21.4,69942.0
2023-03-17,21.21,21.21,19.41,19.73,170947.0
2023-03-20,19.73,20.34,19.5,19.84,84617.0
2023-03-21,20.62,20.62,19.88,20.16,118670.0
2023-03-22,20.16,20.24,19.46,19.52,86875.0
2023-03-23,19.68,19.68,18.61,18.68,116328.0
2023-03-24,18.58,19.28,18.35,19.17,68194.0
2023-03-27,19.48,19.72,19.33,19.59,63521.0
2023-03-28,19.58,19.76,19.35,19.63,40234.0
2023-03-29,19.75,19.85,19.3693,19.57,48085.0
2023-03-30,19.75,19.75,19.06,19.17,48197.0
2023-03-31,19.24,19.37,18.95,19.28,98578.0
2023-04-03,19.41,19.45,18.92,19.25,61489.0
2023-04-04,19.25,19.25,18.52,18.66,40041.0
2023-04-05,18.44,18.62,18.17,18.39,53008.0
2023-04-06,18.39,18.55,18.27,18.45,46753.0
2023-04-10,18.45,18.6821,18.26,18.33,60173.0
2023-04-11,18.33,18.46,18.25,18.35,37330.0
2023-04-12,18.41,18.41,18.0,18.13,50840.0
2023-04-13,18.13,18.36,17.97,18.25,68520.0
2023-04-14,18.17,18.365,17.55,17.85,70660.0
2023-04-17,17.79,18.34,17.62,18.32,51880.0
2023-04-18,18.59,18.59,17.7022,17.93,65505.0
2023-04-19,17.96,18.52,17.7,18.39,61242.0
2023-04-20,18.19,18.55,17.96,18.15,42096.0
2023-04-21,18.1,18.11,17.73,17.94,82038.0
2023-04-24,17.91,18.26,17.82,17.91,38312.0
2023-04-25,17.69,17.81,17.3,17.41,67933.0
2023-04-26,17.55,17.55,16.72,17.39,55858.0
2023-04-27,17.72,17.72,17.36,17.48,42778.0
2023-04-28,17.37,17.85,17.37,17.48,41919.0
2023-05-01,17.62,17.69,17.29,17.35,51000.0
2023-05-02,17.35,17.36,16.1,16.17,98053.0
2023-05-03,16.26,16.72,15.418,15.51,112059.0
2023-05-04,15.23,15.525,13.835,15.09,179346.0
2023-05-05,15.55,16.24,15.55,16.07,62668.0
