date,open,high,low,close,volume
2023-01-11,101.26,101.59,100.17,101.53,2355379.0
2023-01-12,101.2,102.6,101.095,102.42,2681380.0
2023-01-13,102.19,102.83,101.29,102.56,3881176.0
2023-01-17,102.96,104.11,102.83,104.01,3697053.0
2023-01-18,104.23,105.1,103.2,103.23,3269466.0
2023-01-19,102.9,103.57,101.91,102.18,2666640.0
2023-01-20,102.07,104.16,101.58,104.05,2444266.0
2023-01-23,104.33,106.3,104.08,105.55,2391297.0
2023-01-24,105.79,105.87,103.56,103.71,3218134.0
2023-01-25,102.57,104.51,101.72,104.4,1749139.0
2023-01-26,105.17,106.3,104.41,106.26,2030871.0
2023-01-27,106.04,107.15,105.935,106.49,2091748.0
2023-01-30,105.62,106.76,105.23,105.75,3116145.0
2023-01-31,106.17,106.69,105.805,106.68,2434222.0
2023-02-01,105.94,108.64,105.65,108.16,2906201.0
2023-02-02,108.78,110.02,107.21,107.6,3905093.0
2023-02-03,105.46,107.08,105.1,106.6,3451588.0
2023-02-06,105.89,106.6,105.52,106.4,3958996.0
2023-02-07,109.25,115.5,109.11,115.28,7775072.0
2023-02-08,115.28,117.15,114.9,115.9,4156773.0
2023-02-09,116.79,117.49,115.72,116.5,4673775.0
2023-02-10,116.21,116.675,114.83,115.64,3918355.0
2023-02-13,114.51,116.64,114.12,116.45,3467001.0
2023-02-14,116.0,117.195,115.0646,116.01,2782451.0
2023-02-15,115.51,118.02,114.975,117.74,3246772.0
2023-02-16,116.19,118.05,115.86,115.95,2518016.0
2023-02-17,116.18,116.18,114.6801,115.37,2820245.0
2023-02-21,114.65,115.315,113.72,113.82,2789600.0
2023-02-22,114.29,114.29,112.73,113.1,3227198.0
2023-02-23,114.71,116.99,114.13,116.54,5156391.0
2023-02-24,114.89,115.22,114.17,114.45,3880855.0
2023-02-27,116.52,116.52,114.38,114.71,3382213.0
2023-02-28,114.53,116.22,114.42,115.09,3172910.0
2023-03-01,114.74,115.98,113.915,115.81,3184210.0
2023-03-02,116.0,117.57,115.51,117.06,3733673.0
2023-03-03,117.15,118.285,117.04,118.26,3050578.0
2023-03-06,118.38,119.48,118.0,118.06,2237240.0
2023-03-07,118.16,118.78,116.86,117.25,2457559.0
2023-03-08,117.11,117.6,116.7606,117.07,2476944.0
2023-03-09,116.915,118.47,115.3,115.41,2742960.0
2023-03-10,114.85,114.85,110.88,111.83,4708080.0
2023-03-13,110.55,110.6,103.99,104.25,9819924.0
2023-03-14,108.07,112.3,107.0,110.53,9400639.0
2023-03-15,109.17,109.67,107.12,109.26,5686476.0
2023-03-16,108.13,109.795,106.52,109.49,5951775.0
2023-03-17,109.07,110.0879,107.76,108.17,8972190.0
2023-03-20,108.58,111.07,108.305,110.81,4695017.0
2023-03-21,112.92,114.26,111.73,113.04,4124034.0
2023-03-22,112.8,114.355,111.3,111.35,3848897.0
2023-03-23,110.98,113.36,110.38,111.1,3432173.0
2023-03-24,109.77,112.68,109.13,112.52,3377478.0
2023-03-27,113.52,114.08,111.65,111.77,3054355.0
2023-03-28,111.36,111.51,110.68,111.28,2762418.0
2023-03-29,112.21,112.5,111.22,111.84,2936173.0
2023-03-30,112.66,113.69,112.0,113.0,2222337.0
2023-03-31,113.79,113.9,112.6,113.03,3874126.0
2023-04-03,112.57,113.1,111.91,112.83,3303334.0
2023-04-04,113.07,113.35,111.08,111.59,2364743.0
2023-04-05,111.29,112.45,111.1,112.34,2376605.0
2023-04-06,112.34,113.3927,111.98,113.01,2456884.0
2023-04-10,112.55,113.75,112.35,113.71,1749104.0
2023-04-11,114.32,115.275,113.86,114.83,3166355.0
2023-04-12,115.62,116.025,113.7,114.49,4208526.0
2023-04-13,114.73,115.97,114.3,115.72,2647456.0
2023-04-14,115.85,116.53,114.385,115.59,2327073.0
2023-04-17,115.59,117.2,115.375,117.11,2541559.0
2023-04-18,117.49,117.75,116.47,117.11,2561075.0
2023-04-19,117.3,117.545,116.25,117.08,2276297.0
2023-04-20,116.9,117.41,116.48,116.81,3019783.0
