date,open,high,low,close,volume
2023-01-11,16.3,17.01,16.27,16.73,9014
2023-01-12,17.03,17.64,17.03,17.56,6613
2023-01-13,16.01,18.44,16.01,17.63,21267
2023-01-17,17.48,17.8,16.85,17.71,8327
2023-01-18,17.587,17.9,17.587,17.65,1156
2023-01-19,17.8,18.1736,17.51,18.15,7705
2023-01-20,18.3,18.59,18.3,18.4,1927
2023-01-23,18.4297,19.285,18.3,18.83,13824
2023-01-24,18.55,18.915,18.22,18.22,7593
2023-01-25,18.02,18.45,17.9,18.45,3087
2023-01-26,17.84,18.7615,17.84,18.7,2919
2023-01-27,18.2,18.7417,18.2,18.63,8290
2023-01-30,18.5,19.0,18.135,18.76,6099
2023-01-31,18.695,20.04,18.695,19.26,15328
2023-02-01,19.64,20.09,19.215,19.32,11587
2023-02-02,19.32,20.5611,19.32,19.8522,15108
2023-02-03,19.75,19.8,18.98,19.06,6256
2023-02-06,19.8668,20.0,18.7,19.1,31800
2023-02-07,19.65,19.65,18.0,19.5,17076
2023-02-08,19.23,20.36,19.05,20.3,17331
2023-02-09,20.04,20.5,19.125,20.0,11564
2023-02-10,19.7,20.69,19.075,20.02,23251
2023-02-13,20.04,20.15,19.6054,20.1,3568
2023-02-14,20.1,20.5,19.88,20.06,7243
2023-02-15,20.1,20.1,20.09,20.1,4882
2023-02-16,20.1,21.1,20.085,21.1,15050
2023-02-17,21.13,22.17,19.86,22.17,17543
2023-02-21,22.17,22.17,20.4401,21.01,22167
2023-02-22,20.53,20.95,20.53,20.93,14680
2023-02-23,21.3,21.7,21.185,21.7,12697
2023-02-24,21.41,21.41,20.24,20.24,6871
2023-02-27,20.65,20.65,20.42,20.58,2196
2023-02-28,20.95,21.22,20.7001,21.22,4198
2023-03-01,21.3,21.3,20.87,20.87,1252
2023-03-02,20.85,20.85,20.25,20.3,4726
2023-03-03,20.37,20.8335,19.62,20.5,9188
2023-03-06,20.31,20.38,19.61,19.67,7180
2023-03-07,19.7,20.3079,19.2801,19.52,5515
2023-03-08,19.9,20.22,19.24,19.91,8445
2023-03-09,19.81,19.879,19.2,19.77,5386
2023-03-10,19.37,19.845,18.67,19.27,6384
2023-03-13,19.74,19.74,18.7201,18.8,7331
2023-03-14,19.18,19.815,18.93,19.51,7256
2023-03-15,19.15,19.87,19.15,19.84,9454
2023-03-16,19.875,20.47,19.875,20.47,4209
2023-03-17,20.125,22.38,20.125,21.22,66559
2023-03-20,21.65,22.575,21.5701,22.49,20150
2023-03-21,22.25,22.63,21.5,21.8,8640
2023-03-22,21.64,21.64,20.35,21.08,26043
2023-03-23,21.22,21.47,20.352,20.69,4508
2023-03-24,20.35,20.35,19.55,19.95,8882
2023-03-27,19.555,19.6,19.13,19.45,5070
2023-03-28,19.19,19.5557,19.19,19.39,5710
2023-03-29,19.1201,19.49,19.12,19.25,2685
2023-03-30,19.5,19.8,19.49,19.55,10244
2023-03-31,19.49,20.04,19.14,19.26,6047
2023-04-03,19.49,20.5006,19.49,19.51,10166
2023-04-04,19.61,19.61,19.13,19.21,10416
2023-04-05,19.49,19.49,19.13,19.25,1965
2023-04-06,19.5,19.5,19.1,19.25,7064
2023-04-10,19.12,19.19,18.65,18.65,2369
2023-04-11,18.23,19.1,18.19,18.19,3695
