date,open,high,low,close,volume
2023-01-11,13.29,13.345,13.205,13.23,1892517.0
2023-01-12,13.29,13.49,13.27,13.39,1667215.0
2023-01-13,13.28,13.43,13.11,13.41,1905492.0
2023-01-17,13.39,13.42,13.15,13.16,1798415.0
2023-01-18,13.07,13.11,12.72,12.74,2499446.0
2023-01-19,12.64,12.805,12.58,12.7,2208043.0
2023-01-20,12.8,12.98,12.68,12.93,2027428.0
2023-01-23,12.92,13.27,12.9,13.11,3322056.0
2023-01-24,13.2,13.7,12.99,13.57,4363914.0
2023-01-25,13.5,13.565,13.305,13.52,3216655.0
2023-01-26,13.6,13.67,13.45,13.65,2423145.0
2023-01-27,13.69,13.76,13.6,13.75,1697588.0
2023-01-30,13.71,13.94,13.7,13.82,2527578.0
2023-01-31,13.87,14.36,13.76,14.27,5465287.0
2023-02-01,14.17,14.54,14.09,14.42,3451350.0
2023-02-02,14.42,14.54,14.215,14.33,3854781.0
2023-02-03,14.31,14.625,14.26,14.47,3122101.0
2023-02-06,14.45,14.605,14.3854,14.48,3513957.0
2023-02-07,14.38,14.68,14.36,14.65,2027283.0
2023-02-08,14.54,14.635,14.4,14.52,1691929.0
2023-02-09,14.59,14.625,14.335,14.37,1481722.0
2023-02-10,14.35,14.415,14.26,14.39,2055426.0
2023-02-13,14.4,14.58,14.33,14.54,1479001.0
2023-02-14,14.53,14.5887,14.365,14.48,1477021.0
2023-02-15,14.4,14.68,14.3,14.65,1332094.0
2023-02-16,14.5,14.62,14.44,14.49,1439068.0
2023-02-17,14.51,14.61,14.44,14.55,1443017.0
2023-02-21,14.44,14.44,14.1621,14.21,1582069.0
2023-02-22,14.23,14.28,14.07,14.12,1591448.0
2023-02-23,14.22,14.26,14.045,14.18,1094993.0
2023-02-24,14.09,14.28,14.02,14.25,1585662.0
2023-02-27,14.38,14.45,14.23,14.29,1381111.0
2023-02-28,14.35,14.39,14.25,14.27,2345659.0
2023-03-01,14.18,14.365,14.13,14.34,1621229.0
2023-03-02,14.11,14.13,13.92,14.03,1318714.0
2023-03-03,14.06,14.22,13.955,14.2,1464716.0
2023-03-06,14.25,14.31,14.08,14.1,2929836.0
2023-03-07,14.02,14.08,13.76,13.76,1854709.0
2023-03-08,13.77,13.83,13.475,13.57,2072307.0
2023-03-09,13.48,13.48,12.865,12.9,2775363.0
2023-03-10,12.6,13.145,12.335,12.78,4764808.0
2023-03-13,12.05,13.22,11.68,12.47,9550713.0
2023-03-14,13.16,13.42,12.3,12.48,6928564.0
2023-03-15,12.03,12.43,11.88,12.05,5014019.0
2023-03-16,11.87,12.68,11.64,12.37,4412320.0
2023-03-17,12.1,12.29,11.5,11.58,7382390.0
2023-03-20,11.89,12.17,11.655,11.71,3618127.0
2023-03-21,12.16,12.38,12.095,12.32,2883738.0
2023-03-22,12.29,12.31,11.61,11.64,2779094.0
2023-03-23,11.76,11.78,11.19,11.26,3504977.0
2023-03-24,11.08,11.585,11.06,11.54,2600986.0
2023-03-27,11.8,11.8899,11.58,11.6,2457341.0
2023-03-28,11.53,11.685,11.44,11.55,1528812.0
2023-03-29,11.74,11.74,11.47,11.67,1703918.0
2023-03-30,11.82,11.82,11.455,11.5,1394123.0
2023-03-31,11.63,11.73,11.485,11.6,2386725.0
2023-04-03,11.65,11.655,11.4,11.41,1593617.0
2023-04-04,11.6,11.63,11.09,11.29,2820177.0
2023-04-05,11.09,11.29,11.08,11.27,2216195.0
2023-04-06,11.25,11.4,11.19,11.32,1877526.0
2023-04-10,11.3,11.51,11.25,11.45,1972297.0
2023-04-11,11.42,11.52,11.33,11.43,3061528.0
2023-04-12,11.53,11.57,11.26,11.37,2237222.0
2023-04-13,11.38,11.62,11.275,11.52,2319811.0
2023-04-14,11.71,11.74,11.18,11.25,2259893.0
2023-04-17,11.22,11.61,11.13,11.59,3088782.0
2023-04-18,11.55,11.55,11.285,11.4,2299593.0
2023-04-19,11.42,11.73,11.35,11.63,3070407.0
2023-04-20,11.63,11.91,11.6,11.82,4019005.0
2023-04-21,11.63,11.725,11.42,11.46,3406645.0
2023-04-24,11.46,11.665,11.36,11.51,2849412.0
2023-04-25,11.36,11.48,11.12,11.17,2840590.0
2023-04-26,11.11,11.39,11.04,11.2,1978396.0
2023-04-27,11.3,11.59,11.24,11.49,3879039.0
2023-04-28,11.44,11.62,11.39,11.48,2570390.0
2023-05-01,11.42,11.46,11.205,11.26,2574458.0
