date,open,high,low,close,volume
2023-01-11,81.74,84.37,80.84,84.3,1567369.0
2023-01-12,85.39,87.13,83.475,86.58,1994653.0
2023-01-13,85.14,88.7197,84.78,84.8,1473009.0
2023-01-17,84.12,84.26,81.61,83.99,1644679.0
2023-01-18,85.5,88.5,85.11,85.22,1770474.0
2023-01-19,83.42,83.816,79.89,80.05,1491363.0
2023-01-20,79.79,83.855,78.18,83.69,1731371.0
2023-01-23,83.96,87.45,83.835,87.32,1453392.0
2023-01-24,87.0,87.79,85.87,87.22,623007.0
2023-01-25,85.32,89.055,83.71,88.5,1378751.0
2023-01-26,89.38,90.96,84.52,84.72,1870305.0
2023-01-27,83.35,88.62,83.01,86.83,1815038.0
2023-01-30,85.66,87.04,84.99,85.27,1277518.0
2023-01-31,85.65,90.8,85.65,90.77,1411212.0
2023-02-01,90.8,95.71,89.5294,95.37,1697677.0
2023-02-02,97.0,102.61,97.0,100.28,3618294.0
2023-02-03,96.52,100.91,96.52,99.79,2177235.0
2023-02-06,97.8,101.02,97.45,99.84,1893228.0
2023-02-07,98.52,101.1,97.12,100.85,2070857.0
2023-02-08,99.21,99.615,98.0,99.0,1320583.0
2023-02-09,100.55,101.5,98.75,98.96,1502601.0
2023-02-10,97.01,97.45,93.95,94.11,1879368.0
2023-02-13,94.43,99.38,93.56,98.13,1270326.0
2023-02-14,96.62,100.46,95.14,100.2,1037414.0
2023-02-15,98.9,101.17,98.19,100.61,1246882.0
2023-02-16,94.97,100.19,94.85,97.72,1590440.0
2023-02-17,96.18,96.715,92.87,94.5,1861264.0
2023-02-21,92.45,92.45,87.34,88.14,2398652.0
2023-02-22,88.84,90.83,88.62,89.11,1159026.0
2023-02-23,89.33,91.175,88.24,90.83,1819344.0
2023-02-24,94.99,94.99,88.78,91.0,3010275.0
2023-02-27,92.77,92.77,90.0,90.38,1192571.0
2023-02-28,90.43,92.56,89.195,91.81,1606753.0
2023-03-01,91.34,92.11,88.08,88.47,1376405.0
2023-03-02,86.72,89.015,86.13,88.39,884290.0
2023-03-03,89.16,91.5,88.46,91.28,927969.0
2023-03-06,91.54,92.51,89.09,89.68,901540.0
2023-03-07,89.67,90.54,87.78,87.83,1041487.0
2023-03-08,88.11,89.075,87.26,88.78,1965179.0
2023-03-09,88.57,90.07,85.51,85.73,1195516.0
2023-03-10,85.85,88.25,83.99,86.75,2312910.0
2023-03-13,85.41,89.74,85.085,88.85,2261414.0
2023-03-14,90.48,91.14,87.62,88.98,1705722.0
2023-03-15,87.28,89.42,86.67,88.75,965299.0
2023-03-16,88.23,91.13,88.16,90.58,1364439.0
2023-03-17,90.72,91.94,89.46,91.52,1789359.0
2023-03-20,91.82,94.09,91.41,92.43,1384565.0
2023-03-21,93.49,96.12,93.49,93.76,1429402.0
2023-03-22,93.98,95.24,92.21,92.3,958933.0
2023-03-23,93.2,93.62,90.305,91.92,1169278.0
2023-03-24,91.0,93.37,90.55,93.09,871541.0
2023-03-27,93.41,93.82,90.15,92.39,971474.0
2023-03-28,91.95,93.72,91.56,93.41,1037822.0
2023-03-29,94.21,94.55,92.78,94.45,790747.0
2023-03-30,95.44,96.06,94.24,94.7,1476825.0
2023-03-31,95.3,98.43,94.915,98.22,1245805.0
2023-04-03,97.62,98.73,96.35,98.63,1154741.0
2023-04-04,99.37,99.37,97.59,98.15,1138764.0
2023-04-05,97.16,97.57,92.7,93.32,1604850.0
2023-04-06,92.58,92.79,90.44,92.38,1570382.0
2023-04-10,91.78,98.37,91.63,97.74,1503590.0
2023-04-11,98.55,99.2,97.29,98.7,1023533.0
2023-04-12,99.55,100.0,96.11,96.41,997154.0
2023-04-13,96.95,98.975,96.25,98.22,978883.0
2023-04-14,98.26,99.77,97.93,98.41,815141.0
2023-04-17,98.46,98.7899,97.17,98.01,1186001.0
2023-04-18,99.24,101.39,98.66,100.48,2848610.0
2023-04-19,99.52,99.675,98.18,99.34,971038.0
2023-04-20,98.3,100.15,98.21,98.91,980923.0
2023-04-21,99.22,99.56,97.18,98.39,1120761.0
2023-04-24,98.85,99.44,97.92,98.9,816727.0
2023-04-25,99.07,99.62,97.08,97.13,1233890.0
2023-04-26,98.09,98.525,93.35,93.85,2073216.0
2023-04-27,94.48,96.49,94.11,96.4,2189450.0
2023-04-28,97.0,99.7,96.68,99.34,841507.0
2023-05-01,98.84,99.79,98.37,99.66,1004210.0
2023-05-02,99.6,100.3,97.65,99.47,839661.0
2023-05-03,99.5,101.31,97.32,97.55,1577148.0
2023-05-04,97.5,100.13,96.565,97.32,1600283.0
2023-05-05,91.05,94.1,87.62,92.44,4863533.0
2023-05-08,92.3,93.0,90.595,92.05,1380054.0
2023-05-09,92.0,92.82,90.84,91.73,1345997.0
2023-05-10,92.36,93.2,90.73,92.65,1219595.0
2023-05-11,93.61,93.83,91.925,93.16,846507.0
2023-05-12,93.28,93.97,91.89,92.57,1196832.0
2023-05-15,92.12,92.73,91.32,92.28,942953.0
2023-05-16,89.87,90.6475,87.865,89.07,2181995.0
2023-05-17,89.24,91.6,88.58,91.37,1329325.0
2023-05-18,91.41,91.67,90.11,91.08,963782.0
2023-05-19,90.61,90.61,87.45,88.45,1345579.0
2023-05-22,88.06,90.95,87.965,90.57,1014401.0
2023-05-23,89.92,91.89,88.77,90.71,1209089.0
2023-05-24,90.84,91.09,87.935,90.13,822447.0
2023-05-25,90.7,91.88,88.31,88.44,852011.0
2023-05-26,88.5,92.03,88.025,91.79,909613.0
