date,open,high,low,close,volume
2023-01-11,36.12,36.36,35.65,36.21,27651.0
2023-01-12,36.54,36.61,35.64,35.67,57605.0
2023-01-13,35.66,37.57,35.6,36.91,49737.0
2023-01-17,37.08,37.21,36.22,36.32,44176.0
2023-01-18,36.67,37.22,36.32,36.6,28234.0
2023-01-19,36.28,37.11,36.15,36.56,44809.0
2023-01-20,36.75,37.53,36.1,36.91,66294.0
2023-01-23,36.99,37.18,36.38,36.58,46652.0
2023-01-24,36.57,37.84,36.2,37.01,43518.0
2023-01-25,36.71,37.14,36.05,37.14,37193.0
2023-01-26,37.4,37.4,36.1701,36.63,38341.0
2023-01-27,36.74,37.45,36.25,37.15,29681.0
2023-01-30,36.83,36.965,36.0722,36.32,42132.0
2023-01-31,36.39,37.09,36.15,37.06,60383.0
2023-02-01,37.0,38.05,36.86,37.88,81194.0
2023-02-02,37.97,39.08,37.9067,38.58,88300.0
2023-02-03,38.14,39.0507,37.72,38.65,88854.0
2023-02-06,38.49,39.09,38.14,38.6,81444.0
2023-02-07,38.43,39.04,37.505,38.89,71834.0
2023-02-08,38.53,38.53,36.41,37.86,73717.0
2023-02-09,38.25,38.65,36.67,36.98,81404.0
2023-02-10,34.9,35.05,30.285,31.79,200954.0
2023-02-13,32.06,33.71,31.705,33.14,118859.0
2023-02-14,32.78,34.1,32.42,32.76,96704.0
2023-02-15,32.62,34.79,32.23,34.74,160143.0
2023-02-16,34.07,35.5,33.91,35.41,127930.0
2023-02-17,35.54,36.38,34.94,36.03,276524.0
2023-02-21,35.62,36.15,33.75,34.19,71082.0
2023-02-22,34.21,35.275,32.87,33.22,132966.0
2023-02-23,33.22,34.205,32.99,33.9,80235.0
2023-02-24,33.37,34.09,33.155,33.37,61220.0
2023-02-27,33.56,34.05,32.99,33.17,59344.0
2023-02-28,32.99,34.515,32.5575,32.89,103884.0
2023-03-01,33.1,33.72,32.95,33.04,79651.0
2023-03-02,32.71,33.94,32.64,33.94,56682.0
2023-03-03,33.9,34.67,33.18,34.56,80514.0
2023-03-06,34.38,34.61,33.32,34.09,108286.0
2023-03-07,33.98,34.52,33.8,34.29,74109.0
2023-03-08,34.04,34.94,33.84,34.21,80896.0
2023-03-09,34.23,34.62,33.41,33.63,74452.0
2023-03-10,33.35,34.5487,31.71,31.84,106806.0
2023-03-13,31.48,32.52,31.26,31.64,83325.0
2023-03-14,32.45,33.29,31.62,31.96,87278.0
2023-03-15,31.24,31.69,30.3576,31.56,98643.0
2023-03-16,31.33,32.71,31.33,32.53,93024.0
2023-03-17,32.43,32.74,31.65,31.72,357027.0
2023-03-20,31.9,32.55,31.9,32.27,76805.0
2023-03-21,32.82,33.14,32.49,33.03,74534.0
2023-03-22,32.96,33.17,32.28,32.35,50066.0
2023-03-23,32.48,32.48,31.66,31.89,41555.0
2023-03-24,31.51,32.22,31.25,32.07,38953.0
2023-03-27,32.34,32.72,32.02,32.49,50535.0
2023-03-28,32.29,32.78,32.28,32.41,40201.0
2023-03-29,32.86,32.86,32.155,32.38,53395.0
2023-03-30,32.41,32.41,31.62,31.83,61928.0
2023-03-31,32.18,32.41,31.74,32.35,87815.0
2023-04-03,32.41,32.41,31.521,31.83,108310.0
2023-04-04,31.98,32.445,31.55,32.02,52748.0
2023-04-05,31.75,32.675,31.39,31.52,64501.0
2023-04-06,31.75,32.05,30.98,31.96,52095.0
2023-04-10,31.76,33.0,31.71,32.88,93696.0
2023-04-11,32.99,33.58,32.97,33.22,42708.0
2023-04-12,33.62,33.89,32.77,32.91,65352.0
2023-04-13,33.18,33.77,33.0,33.69,32575.0
2023-04-14,33.78,34.0,32.8949,33.09,48253.0
2023-04-17,33.23,33.23,32.82,33.04,44233.0
2023-04-18,33.24,33.41,32.86,33.0,37933.0
2023-04-19,32.8,33.21,32.5,33.08,57319.0
2023-04-20,32.78,33.68,32.49,32.76,103524.0
2023-04-21,32.79,33.75,32.18,32.77,67563.0
2023-04-24,32.74,33.12,32.43,32.65,44420.0
2023-04-25,32.32,32.9,30.69,30.79,36846.0
2023-04-26,30.5,31.6,30.5,31.04,49569.0
2023-04-27,31.16,31.23,30.58,30.83,29370.0
2023-04-28,30.77,31.28,30.77,30.94,41380.0
2023-05-01,30.75,31.14,30.4,31.01,33144.0
2023-05-02,30.8,30.8,29.7901,29.98,48723.0
2023-05-03,30.17,30.77,30.11,30.22,38975.0
2023-05-04,29.91,30.52,29.2,29.46,72045.0
2023-05-05,28.15,28.71,22.62,25.44,405235.0
2023-05-08,25.31,26.36,25.012,25.58,69927.0
2023-05-09,25.38,26.3,25.04,25.79,70318.0
2023-05-10,26.27,26.65,25.69,25.92,47186.0
2023-05-11,25.79,25.79,24.98,25.38,37235.0
2023-05-12,25.61,26.18,25.1,26.03,39849.0
2023-05-15,25.99,25.99,25.48,25.77,40131.0
2023-05-16,25.54,25.735,25.34,25.47,34675.0
2023-05-17,25.77,26.65,25.38,26.54,58710.0
2023-05-18,26.45,27.37,26.26,27.19,66491.0
2023-05-19,27.57,27.92,26.98,27.4,53515.0
2023-05-22,27.48,28.23,27.18,28.21,45571.0
2023-05-23,28.05,28.72,27.49,28.38,49631.0
2023-05-24,28.28,28.72,28.23,28.6,31848.0
2023-05-25,28.43,28.7,27.745,28.41,30108.0
2023-05-26,28.4,29.58,28.3,29.39,77990.0
2023-05-30,29.46,29.59,28.91,29.27,32374.0
2023-05-31,29.01,29.07,28.4,28.7,51366.0
2023-06-01,28.85,29.32,28.65,29.01,43580.0
2023-06-02,29.25,30.355,28.81,30.14,59334.0
2023-06-05,29.84,29.84,28.81,29.3,66570.0
2023-06-06,29.15,29.84,28.74,29.65,85336.0
2023-06-07,29.72,30.47,29.72,30.26,60324.0
2023-06-08,30.12,30.52,29.16,29.73,46274.0
2023-06-09,29.68,29.97,29.085,29.2,39693.0
2023-06-12,29.17,29.81,28.96,29.61,39563.0
2023-06-13,29.67,30.45,29.67,30.33,42902.0
2023-06-14,30.34,30.96,29.42,29.52,48123.0
2023-06-15,29.48,29.78,29.13,29.74,51451.0
2023-06-16,30.05,30.205,29.14,29.79,300548.0
2023-06-20,29.7,31.01,29.51,30.79,50757.0
2023-06-21,30.57,30.91,30.29,30.57,54139.0
2023-06-22,30.63,30.63,29.765,29.88,58656.0
2023-06-23,29.39,29.84,28.69,28.89,169979.0
2023-06-26,28.89,29.34,28.89,28.99,62222.0
2023-06-27,29.03,29.396,28.9,29.31,39174.0
2023-06-28,29.3,29.3,28.72,28.83,44029.0
2023-06-29,28.68,29.46,28.68,29.16,43922.0
2023-06-30,29.43,29.53,29.06,29.09,43823.0
2023-07-03,28.91,29.23,28.91,29.06,19477.0
2023-07-05,29.05,29.05,28.55,28.86,45416.0
2023-07-06,28.56,28.78,28.35,28.66,36817.0
2023-07-07,28.63,28.91,28.505,28.52,56430.0
2023-07-10,28.62,29.065,28.62,28.8,33604.0
2023-07-11,28.79,30.185,28.79,30.16,109234.0
2023-07-12,30.73,30.91,30.02,30.81,62330.0
2023-07-13,30.91,31.5,30.82,31.24,66501.0
2023-07-14,30.87,32.18,30.87,32.12,42783.0
2023-07-17,32.02,32.79,31.705,31.98,67584.0
2023-07-18,31.735,32.25,31.56,32.21,33984.0
2023-07-19,32.26,32.625,32.11,32.29,40428.0
2023-07-20,32.37,32.37,31.635,31.72,33215.0
2023-07-21,31.96,32.13,30.92,31.19,68230.0
2023-07-24,31.27,32.28,31.2615,31.9,65891.0
2023-07-25,31.75,32.03,31.34,31.53,40327.0
2023-07-26,31.45,31.875,31.21,31.39,34402.0
2023-07-27,31.55,31.55,30.63,30.92,37449.0
2023-07-28,31.9,32.35,31.345,31.7,55533.0
2023-07-31,31.92,32.775,31.6,31.87,46197.0
2023-08-01,31.63,32.52,31.35,32.41,44876.0
2023-08-02,32.08,32.11,31.315,31.98,42038.0
2023-08-03,31.69,32.24,31.575,32.09,30469.0
2023-08-04,31.98,32.415,31.47,31.64,39650.0
2023-08-07,31.78,32.67,31.665,32.18,31728.0
2023-08-08,31.99,32.44,31.58,32.39,40204.0
2023-08-09,32.27,32.78,32.14,32.46,53674.0
2023-08-10,32.43,32.61,32.01,32.39,40037.0
2023-08-11,32.26,32.67,31.88,31.95,33368.0
2023-08-14,31.73,31.9566,31.18,31.78,43856.0
2023-08-15,31.67,31.7,31.12,31.17,23086.0
2023-08-16,31.21,31.54,31.01,31.1,37131.0
2023-08-17,31.19,31.56,31.13,31.14,33086.0
2023-08-18,30.92,31.24,30.88,30.92,31761.0
2023-08-21,30.88,31.0999,30.31,30.57,58674.0
2023-08-22,30.64,30.96,30.58,30.7,26026.0
2023-08-23,30.69,31.1,30.51,31.09,89099.0
2023-08-24,30.98,31.33,30.92,31.04,36253.0
2023-08-25,30.94,31.17,30.827,31.04,23731.0
2023-08-28,31.04,31.445,30.96,31.1,42243.0
2023-08-29,30.8587,31.46,30.8587,31.4,23958.0
2023-08-30,31.3,31.67,31.17,31.25,31553.0
2023-08-31,31.2,31.39,30.59,30.63,37876.0
2023-09-01,30.73,31.1199,30.49,30.67,41407.0
2023-09-05,30.43,30.43,29.08,29.93,51194.0
2023-09-06,29.81,30.11,29.41,29.73,34593.0
2023-09-07,29.56,29.56,28.39,28.52,59688.0
2023-09-08,28.89,29.37,28.25,29.26,48172.0
2023-09-11,29.37,29.67,29.19,29.57,42782.0
2023-09-12,29.41,29.71,29.4,29.52,60763.0
2023-09-13,29.52,30.12,29.495,29.62,51284.0
2023-09-14,29.74,30.42,29.55,30.28,51513.0
2023-09-15,30.37,30.63,29.92,29.97,180002.0
2023-09-18,29.97,30.16,29.3,29.59,29544.0
2023-09-19,29.61,29.68,29.31,29.51,28067.0
2023-09-20,29.575,29.79,29.46,29.49,35262.0
2023-09-21,29.42,29.87,29.18,29.79,33818.0
2023-09-22,29.85,30.435,29.5,30.27,46128.0
2023-09-25,30.06,31.08,29.82,31.03,56288.0
2023-09-26,30.89,31.2,29.8,30.77,41284.0
2023-09-27,31.06,31.315,30.72,31.08,29691.0
2023-09-28,31.05,31.28,29.26,29.46,84638.0
2023-09-29,29.53,29.7,28.85,28.9,75441.0
