date,open,high,low,close,volume
2023-01-11,31.99,32.135,31.485,32.07,2455725.0
2023-01-12,32.19,32.315,31.785,32.21,2238496.0
2023-01-13,31.98,32.35,31.83,32.33,1718251.0
2023-01-17,32.16,32.39,31.665,31.77,1763225.0
2023-01-18,31.77,32.08,31.435,31.48,2383102.0
2023-01-19,31.36,31.46,30.82,31.31,2820109.0
2023-01-20,31.47,31.64,31.23,31.56,1956169.0
2023-01-23,31.6,32.745,31.6,32.67,1770984.0
2023-01-24,32.49,32.85,32.365,32.67,1733383.0
2023-01-25,33.26,34.14,33.04,33.49,5308169.0
2023-01-26,33.54,34.05,33.42,33.96,2239171.0
2023-01-27,33.93,34.075,33.665,33.85,1518567.0
2023-01-30,33.58,33.87,33.49,33.66,1951787.0
2023-01-31,33.66,33.98,33.515,33.94,2027808.0
2023-02-01,33.73,34.525,33.5,34.31,2376677.0
2023-02-02,34.45,35.27,34.2,34.98,1893100.0
2023-02-03,34.8,35.02,34.077,34.6,2128933.0
2023-02-06,34.4,34.4,33.78,33.97,2300924.0
2023-02-07,33.64,34.11,33.22,34.05,2536933.0
2023-02-08,36.32,36.8,35.13,35.54,7006488.0
2023-02-09,36.36,36.42,35.47,35.74,4691633.0
2023-02-10,35.76,36.05,35.49,35.81,3722656.0
2023-02-13,35.85,36.12,35.47,35.69,2772248.0
2023-02-14,35.59,35.96,35.36,35.76,2319388.0
2023-02-15,35.71,37.15,35.615,37.12,2963986.0
2023-02-16,36.67,37.215,36.59,36.73,2840081.0
2023-02-17,36.72,37.26,36.5,37.03,4451426.0
2023-02-21,36.79,37.15,36.14,36.17,2916430.0
2023-02-22,36.15,36.645,36.095,36.51,3062758.0
2023-02-23,36.37,36.74,35.905,36.34,2639028.0
2023-02-24,35.87,36.17,35.7,35.89,2115327.0
2023-02-27,36.05,36.08,35.575,35.68,2596778.0
2023-02-28,35.15,35.64,34.87,35.02,3706093.0
2023-03-01,34.74,35.0,34.63,34.8,2213855.0
2023-03-02,34.75,35.17,34.66,35.11,2442034.0
2023-03-03,35.24,35.33,34.8,34.92,2451381.0
2023-03-06,35.16,35.56,34.745,34.8,2913088.0
2023-03-07,34.8,35.165,34.64,34.69,2658788.0
2023-03-08,34.69,35.01,34.33,34.5,2177539.0
2023-03-09,34.54,34.76,33.22,33.27,2899105.0
2023-03-10,33.13,33.4075,32.8,33.14,3165848.0
2023-03-13,32.89,33.03,32.2,32.28,3687511.0
2023-03-14,32.77,33.19,32.5,32.9,3109505.0
2023-03-15,32.26,32.81,32.245,32.52,2807843.0
2023-03-16,32.33,33.05,32.25,32.94,3746690.0
2023-03-17,32.78,33.05,32.63,32.73,6166425.0
2023-03-20,32.77,33.9,32.67,33.43,3204462.0
2023-03-21,33.81,34.08,33.45,33.73,3386248.0
2023-03-22,33.7,34.05,33.3,33.32,2748664.0
2023-03-23,33.47,34.22,33.3922,33.67,2733459.0
2023-03-24,33.47,33.48,32.14,33.06,4762588.0
2023-03-27,33.23,34.015,33.22,33.63,3449062.0
2023-03-28,32.82,33.35,32.71,32.76,3843500.0
2023-03-29,33.03,33.33,32.925,33.17,2546982.0
2023-03-30,33.38,33.895,33.38,33.67,2135635.0
2023-03-31,33.8,34.09,33.725,34.05,3280123.0
2023-04-03,34.12,34.37,33.925,34.18,2835502.0
2023-04-04,34.26,34.445,33.63,33.87,2516334.0
2023-04-05,33.57,33.92,33.435,33.74,2499688.0
2023-04-06,33.37,33.65,33.22,33.45,2604121.0
2023-04-10,33.31,34.0,33.31,33.93,2343643.0
2023-04-11,33.92,34.5,33.54,34.19,2762459.0
2023-04-12,34.38,34.59,33.67,33.73,2262196.0
2023-04-13,33.83,34.08,33.79,33.94,2362479.0
2023-04-14,33.72,33.99,33.13,33.41,2292544.0
2023-04-17,33.44,34.085,33.43,33.99,2292006.0
2023-04-18,34.13,34.23,33.7,34.0,3359006.0
2023-04-19,33.5,33.99,32.765,33.84,4257953.0
2023-04-20,33.7,34.0,33.51,33.7,2770237.0
2023-04-21,33.55,33.65,32.965,33.62,3066977.0
2023-04-24,33.52,33.835,31.8,32.64,11115149.0
2023-04-25,32.46,32.89,32.15,32.44,4127917.0
2023-04-26,32.34,32.88,32.33,32.47,3241234.0
2023-04-27,32.51,32.88,31.87,32.86,4978686.0
2023-04-28,32.69,33.495,32.69,33.26,3777144.0
2023-05-01,33.14,33.675,33.14,33.3,2676518.0
2023-05-02,33.15,33.185,32.515,33.06,2700924.0
2023-05-03,33.16,33.435,32.62,32.7,3526411.0
2023-05-04,32.0,32.01,31.1,31.16,6172895.0
2023-05-05,31.47,32.11,31.375,31.97,3059958.0
2023-05-08,31.88,32.33,31.8401,32.17,4548149.0
2023-05-09,32.41,33.16,31.58,31.68,6425637.0
2023-05-10,31.92,32.08,30.68,31.19,5386097.0
2023-05-11,30.83,31.04,30.22,30.67,5624321.0
2023-05-12,30.37,30.86,30.215,30.72,4623972.0
2023-05-15,30.77,31.095,30.485,31.01,3188837.0
2023-05-16,30.96,31.08,30.515,30.53,3368087.0
2023-05-17,30.74,31.42,30.57,31.38,3940484.0
2023-05-18,31.39,31.615,30.745,31.09,4198098.0
2023-05-19,31.14,31.46,31.06,31.34,3922133.0
2023-05-22,31.55,31.69,31.16,31.31,2898988.0
2023-05-23,31.32,31.82,31.32,31.35,3020126.0
2023-05-24,31.33,31.48,30.965,31.03,2867602.0
2023-05-25,30.8,31.385,30.78,31.07,3713967.0
2023-05-26,31.21,31.61,31.13,31.4,3144632.0
2023-05-30,31.37,31.65,31.225,31.48,4574630.0
2023-05-31,31.36,31.48,30.95,31.2,9037118.0
2023-06-01,31.28,31.61,30.95,31.31,3766198.0
2023-06-02,31.56,32.015,31.515,31.87,3583301.0
2023-06-05,31.84,32.25,31.78,32.19,3528359.0
2023-06-06,32.07,32.74,31.94,32.54,3253276.0
2023-06-07,32.79,33.545,32.66,33.35,4994862.0
2023-06-08,33.41,33.87,33.26,33.84,3883031.0
2023-06-09,33.86,33.965,33.455,33.54,4944813.0
2023-06-12,33.51,33.795,33.285,33.49,3060239.0
2023-06-13,33.73,33.86,33.24,33.31,4844958.0
2023-06-14,33.45,33.91,33.15,33.29,4153661.0
2023-06-15,33.23,33.87,33.13,33.67,5036932.0
2023-06-16,33.73,34.04,33.465,33.64,10266021.0
2023-06-20,33.54,33.69,32.97,33.25,6063115.0
2023-06-21,33.25,33.445,33.01,33.19,3799804.0
2023-06-22,33.1,33.135,32.705,32.9,4326465.0
2023-06-23,32.73,32.84,32.56,32.67,4638095.0
2023-06-26,32.79,33.295,32.7201,33.24,3545344.0
2023-06-27,33.27,34.57,33.26,34.36,5144027.0
2023-06-28,34.4,34.44,34.055,34.33,3081809.0
2023-06-29,34.22,34.58,34.07,34.41,2398967.0
2023-06-30,34.58,34.63,33.97,34.0,3015883.0
2023-07-03,33.77,34.35,33.68,34.32,1194985.0
2023-07-05,34.07,34.525,33.81,34.21,2830340.0
2023-07-06,33.85,34.11,33.72,34.04,3485529.0
2023-07-07,33.95,34.37,33.76,34.08,3464407.0
2023-07-10,33.16,34.12,33.06,33.7,6563937.0
2023-07-11,33.845,33.92,33.65,33.73,3581538.0
2023-07-12,34.15,34.485,33.62,33.67,4139041.0
2023-07-13,33.64,33.88,33.3,33.68,5477734.0
2023-07-14,33.6,33.6,32.935,33.19,3906305.0
2023-07-17,33.16,33.525,33.0,33.44,2880135.0
2023-07-18,33.53,34.29,33.49,34.0,3111700.0
2023-07-19,33.93,34.24,33.46,33.72,4909459.0
2023-07-20,33.88,33.88,33.49,33.78,3129054.0
2023-07-21,33.75,33.78,33.33,33.51,3163872.0
2023-07-24,33.48,33.57,32.915,33.2,4016067.0
2023-07-25,33.11,33.34,32.88,32.97,4132469.0
2023-07-26,33.1,33.39,32.88,33.15,5014892.0
2023-07-27,33.4,33.645,33.03,33.1,3185193.0
2023-07-28,33.41,33.48,32.86,33.24,5216925.0
2023-07-31,33.32,33.8,33.32,33.45,3808619.0
2023-08-01,33.42,33.49,33.21,33.26,1945318.0
2023-08-02,33.2,33.425,33.11,33.33,2321727.0
2023-08-03,33.19,33.3,32.715,32.96,3655395.0
2023-08-04,32.9,33.57,32.76,33.06,3574393.0
2023-08-07,33.29,33.44,33.04,33.08,5276860.0
2023-08-08,34.49,35.22,34.36,34.93,14957066.0
2023-08-09,34.9,35.405,34.47,34.65,5866862.0
2023-08-10,34.85,35.04,34.125,34.49,5052327.0
2023-08-11,34.32,34.9,34.22,34.6,2671989.0
2023-08-14,34.47,34.61,33.75,33.84,5834377.0
2023-08-15,33.61,34.2,33.34,34.01,3445352.0
2023-08-16,33.93,34.195,33.58,33.59,3210224.0
2023-08-17,33.6,33.71,32.93,32.95,4366319.0
2023-08-18,32.76,33.52,32.76,33.45,2764683.0
2023-08-21,33.38,33.555,33.06,33.2,3361296.0
2023-08-22,33.17,33.37,32.81,32.86,2974819.0
2023-08-23,32.91,33.1,32.85,32.94,2217239.0
