date,open,high,low,close,volume
2023-01-11,73.44,74.38,72.69,74.38,242289.0
2023-01-12,74.59,74.96,74.08,74.74,313739.0
2023-01-13,74.17,74.54,73.825,74.19,310567.0
2023-01-17,74.25,74.35,72.64,72.95,413344.0
2023-01-18,72.98,73.53,71.5,71.83,552036.0
2023-01-19,71.53,72.99,68.2,69.08,1051604.0
2023-01-20,69.61,70.395,68.03,68.85,747852.0
2023-01-23,68.67,69.855,68.24,68.54,671174.0
2023-01-24,67.97,69.09,66.88,68.17,479025.0
2023-01-25,67.29,67.91,66.505,67.24,427673.0
2023-01-26,66.62,68.35,66.62,68.32,430052.0
2023-01-27,68.11,68.81,68.045,68.34,356438.0
2023-01-30,68.13,69.22,67.83,67.84,335892.0
2023-01-31,68.28,69.5,68.07,69.1,647141.0
2023-02-01,68.79,71.26,68.79,70.26,385321.0
2023-02-02,70.32,73.41,70.32,73.35,604160.0
2023-02-03,73.5,74.95,73.23,73.93,679914.0
2023-02-06,73.75,73.86,72.52,73.0,362916.0
2023-02-07,72.47,73.445,71.94,73.24,292291.0
2023-02-08,72.28,73.05,72.07,72.14,405698.0
2023-02-09,72.54,72.975,70.34,70.59,350505.0
2023-02-10,70.21,70.685,69.615,70.59,346813.0
2023-02-13,70.59,71.89,70.26,71.81,344410.0
2023-02-14,71.56,72.51,70.99,71.25,312973.0
2023-02-15,70.7,72.25,70.43,72.08,307318.0
2023-02-16,70.65,72.29,70.44,71.65,314072.0
2023-02-17,71.84,72.13,71.41,71.84,270244.0
2023-02-21,71.52,71.525,68.681,68.79,270661.0
2023-02-22,68.81,69.89,68.81,69.58,362997.0
2023-02-23,69.76,70.25,68.69,69.49,320026.0
2023-02-24,68.36,70.01,67.984,69.75,435628.0
2023-02-27,70.68,70.78,70.05,70.19,291051.0
2023-02-28,70.16,70.96,69.73,69.76,461694.0
2023-03-01,69.67,70.71,69.03,70.41,271296.0
2023-03-02,69.89,71.45,69.49,71.2,250745.0
2023-03-03,71.82,72.309,70.9757,72.21,240821.0
2023-03-06,71.95,72.26,70.36,70.4,351920.0
2023-03-07,70.3,70.385,68.875,69.31,191726.0
2023-03-08,69.41,70.33,69.18,69.89,170983.0
2023-03-09,70.21,70.585,68.2,68.37,276767.0
2023-03-10,68.4,68.4,66.04,66.8,344132.0
2023-03-13,65.74,66.87,65.15,65.65,338651.0
2023-03-14,67.54,68.105,65.69,66.36,512510.0
2023-03-15,64.44,65.28,63.72,65.08,474632.0
2023-03-16,64.43,65.94,63.87,65.51,409420.0
2023-03-17,65.17,65.17,64.23,64.65,749327.0
2023-03-20,65.39,66.61,65.39,66.37,461379.0
2023-03-21,67.56,67.98,67.31,67.67,307651.0
2023-03-22,67.51,67.99,65.72,65.89,348194.0
2023-03-23,66.09,66.93,64.84,65.56,236277.0
2023-03-24,65.18,66.96,64.65,66.88,338111.0
2023-03-27,67.66,68.03,67.09,67.3,261515.0
2023-03-28,67.31,68.15,67.11,67.81,395738.0
2023-03-29,68.68,68.915,68.22,68.39,406342.0
2023-03-30,67.58,68.3,65.9,67.05,823458.0
2023-03-31,67.39,68.62,67.39,68.45,489123.0
2023-04-03,68.66,68.97,67.07,67.37,445423.0
2023-04-04,67.72,67.72,65.25,65.65,472266.0
2023-04-05,64.67,65.375,64.24,65.07,286293.0
2023-04-06,64.78,64.9,63.6,64.1,416874.0
2023-04-10,64.09,66.24,64.09,66.16,474772.0
2023-04-11,66.62,67.595,66.15,67.23,382848.0
2023-04-12,68.06,68.1542,66.38,66.77,408193.0
2023-04-13,66.87,67.75,66.39,67.37,275451.0
2023-04-14,67.32,68.03,65.96,66.24,265628.0
2023-04-17,66.25,67.62,66.135,67.4,225189.0
2023-04-18,67.92,68.0,66.76,67.4,219742.0
2023-04-19,66.76,67.47,66.51,67.43,223966.0
2023-04-20,66.87,67.46,66.22,66.96,192528.0
2023-04-21,67.28,67.28,65.65,66.17,225358.0
2023-04-24,66.27,66.7,65.9,66.26,140091.0
2023-04-25,65.41,65.61,63.8,63.95,358365.0
2023-04-26,63.16,63.71,62.84,63.32,216683.0
2023-04-27,63.5,65.2,63.5,64.88,244756.0
2023-04-28,64.85,66.465,64.85,66.17,354413.0
2023-05-01,66.05,66.79,65.67,65.8,261302.0
2023-05-02,65.42,65.725,63.78,65.32,242138.0
2023-05-03,65.74,66.42,65.11,65.18,296403.0
2023-05-04,64.95,65.2,63.94,64.73,405198.0
2023-05-05,65.6,66.34,65.38,66.18,256799.0
2023-05-08,66.66,67.08,65.72,66.21,163475.0
2023-05-09,65.8,66.21,65.39,65.81,194251.0
2023-05-10,66.85,67.225,65.18,66.06,216878.0
2023-05-11,65.41,65.87,64.93,65.82,222070.0
2023-05-12,66.1,66.2684,64.82,65.31,216349.0
2023-05-15,65.67,66.07,65.37,65.63,186556.0
2023-05-16,65.36,65.36,64.02,64.67,244817.0
2023-05-17,64.86,66.52,64.66,66.1,277518.0
2023-05-18,66.03,66.24,65.465,66.09,245981.0
2023-05-19,66.61,66.65,65.37,65.78,260637.0
2023-05-22,66.09,66.21,64.91,65.37,298726.0
2023-05-23,64.94,66.58,64.73,65.21,286350.0
2023-05-24,64.82,64.82,63.9634,64.13,342003.0
2023-05-25,63.95,63.95,62.84,63.4,210218.0
2023-05-26,63.67,64.555,63.62,64.1,198153.0
2023-05-30,64.05,64.79,63.27,64.38,306941.0
2023-05-31,64.07,64.375,62.57,62.94,320219.0
2023-06-01,62.84,63.85,62.74,63.32,258259.0
2023-06-02,64.83,67.33,64.81,67.1,230295.0
2023-06-05,66.44,66.56,64.62,65.27,255331.0
2023-06-06,65.14,67.335,65.14,67.02,222177.0
2023-06-07,67.05,68.8,67.05,68.66,273991.0
2023-06-08,68.3,68.52,66.57,66.82,247869.0
2023-06-09,66.48,66.48,65.183,65.55,246247.0
2023-06-12,65.52,66.21,65.02,65.35,280436.0
2023-06-13,65.49,66.77,65.49,66.11,281231.0
2023-06-14,66.59,66.8031,64.95,65.27,244462.0
2023-06-15,64.84,66.875,64.84,66.67,265179.0
2023-06-16,67.32,67.32,65.98,66.81,846961.0
2023-06-20,66.24,66.61,64.56,64.7,382389.0
2023-06-21,64.6,65.0925,63.96,64.33,330670.0
2023-06-22,64.31,64.37,63.445,64.18,265580.0
2023-06-23,62.75,64.21,62.62,63.15,634747.0
2023-06-26,62.79,64.325,62.79,63.77,312115.0
2023-06-27,64.13,64.945,63.54,64.36,291795.0
2023-06-28,64.17,64.69,63.47,64.64,545275.0
2023-06-29,63.9,69.595,63.72,69.24,954810.0
2023-06-30,69.0,71.9,69.0,71.51,875288.0
2023-07-03,71.34,72.338,71.22,71.64,264614.0
2023-07-05,71.12,71.12,67.91,68.26,668919.0
2023-07-06,67.5,68.07,66.46,67.56,484987.0
2023-07-07,67.6,69.86,67.555,69.09,386010.0
2023-07-10,68.91,69.99,68.79,69.57,359535.0
2023-07-11,70.18,70.68,69.6,69.91,242426.0
2023-07-12,71.06,71.71,70.4,71.42,372585.0
2023-07-13,71.54,72.08,71.21,71.73,263068.0
2023-07-14,71.5,71.62,70.04,70.68,237077.0
2023-07-17,70.44,71.15,70.16,70.96,287602.0
2023-07-18,71.18,73.05,71.08,73.04,337715.0
2023-07-19,73.07,73.145,72.13,73.03,335481.0
