date,open,high,low,close,volume
2023-01-11,46.83,46.99,46.471,46.89,463573.0
2023-01-12,46.86,47.77,46.855,47.56,493878.0
2023-01-13,47.24,47.78,47.13,47.72,484780.0
2023-01-17,47.81,48.22,47.37,47.38,549157.0
2023-01-18,47.43,47.8867,46.85,46.93,516278.0
2023-01-19,46.81,47.29,46.72,47.0,539000.0
2023-01-20,47.0,47.78,46.83,47.77,627180.0
2023-01-23,47.7,48.26,47.54,48.23,503761.0
2023-01-24,47.76,48.32,47.275,47.39,759264.0
2023-01-25,46.96,48.08,46.925,47.85,944231.0
2023-01-26,48.19,48.47,47.48,47.8,560746.0
2023-01-27,47.57,47.605,46.87,46.9,523555.0
2023-01-30,46.9,47.255,46.805,46.9,509155.0
2023-01-31,46.89,47.44,46.791,47.28,1050800.0
2023-02-01,47.14,48.0,47.02,47.5,1172625.0
2023-02-02,47.67,47.99,47.2,47.6,1311235.0
2023-02-03,47.19,47.47,46.805,47.09,776401.0
2023-02-06,46.8,47.23,46.53,46.71,641989.0
2023-02-07,46.51,47.23,46.33,47.0,1363935.0
2023-02-08,47.0,47.665,46.93,47.22,792729.0
2023-02-09,47.49,47.83,46.67,46.92,1182331.0
2023-02-10,48.05,48.05,45.815,47.29,1058741.0
2023-02-13,47.43,48.08,47.385,47.8,592600.0
2023-02-14,47.66,47.9,47.11,47.12,564256.0
2023-02-15,46.88,47.52,46.88,47.46,569034.0
2023-02-16,46.92,47.59,46.6,47.01,665577.0
2023-02-17,46.86,47.61,46.85,47.56,722416.0
2023-02-21,47.51,48.335,47.47,48.04,1152848.0
2023-02-22,47.91,48.515,47.91,48.15,990488.0
2023-02-23,47.92,48.58,47.92,48.36,682889.0
2023-02-24,47.9,48.14,47.64,47.73,583541.0
2023-02-27,48.04,48.2119,47.67,47.76,432116.0
2023-02-28,47.61,48.0,47.61,47.73,669180.0
2023-03-01,47.59,47.96,47.415,47.49,783049.0
2023-03-02,47.34,47.78,47.22,47.75,990498.0
2023-03-03,47.79,47.79,47.405,47.49,792328.0
2023-03-06,47.45,47.66,46.9939,47.33,856802.0
2023-03-07,47.35,47.54,46.9,46.9,437364.0
2023-03-08,47.0,47.39,46.62,46.81,506246.0
2023-03-09,46.73,46.94,45.89,45.9,521896.0
2023-03-10,45.77,45.892,44.71,44.75,644651.0
2023-03-13,44.27,44.75,43.91,44.38,892295.0
2023-03-14,44.99,45.18,44.51,44.91,746091.0
2023-03-15,44.46,44.53,43.25,43.63,1164031.0
2023-03-16,43.4,44.11,43.23,44.0,1026338.0
2023-03-17,43.83,44.095,43.6,43.74,1163689.0
2023-03-20,44.02,45.02,43.965,44.84,747504.0
2023-03-21,45.38,45.56,45.17,45.44,1253623.0
2023-03-22,45.44,45.61,44.66,44.69,1084540.0
2023-03-23,44.67,45.21,44.35,44.77,866069.0
2023-03-24,44.49,45.16,44.16,45.16,1093309.0
2023-03-27,45.59,45.77,45.3,45.35,824217.0
2023-03-28,45.26,45.7,45.0,45.17,909676.0
2023-03-29,45.42,45.55,45.27,45.45,1782541.0
2023-03-30,45.71,45.88,45.39,45.52,977917.0
2023-03-31,45.76,46.25,45.42,46.22,863590.0
2023-04-03,46.09,46.1518,45.73,45.98,473780.0
2023-04-04,46.05,46.19,45.23,45.39,908395.0
2023-04-05,45.38,45.715,44.83,44.85,922535.0
2023-04-06,45.19,45.2,44.71,45.12,702852.0
2023-04-10,44.81,44.95,44.515,44.86,566389.0
2023-04-11,44.91,45.31,44.83,45.12,558262.0
2023-04-12,45.24,45.44,45.04,45.11,549736.0
2023-04-13,45.15,45.88,45.0,45.77,649681.0
2023-04-14,45.69,45.99,45.11,45.39,820467.0
2023-04-17,45.46,45.5,44.79,45.08,699840.0
2023-04-18,45.24,45.28,44.54,44.92,1513108.0
2023-04-19,44.96,45.38,44.855,44.94,801598.0
2023-04-20,44.65,44.85,44.51,44.77,626185.0
2023-04-21,44.96,44.96,44.25,44.69,746586.0
2023-04-24,44.6,44.83,44.03,44.17,558845.0
2023-04-25,44.01,44.08,43.53,43.58,597046.0
2023-04-26,43.31,43.62,43.1,43.2,623933.0
2023-04-27,43.3,43.925,43.205,43.83,663541.0
2023-04-28,43.9,44.58,43.9,44.55,703639.0
2023-05-01,44.37,44.63,44.29,44.6,681807.0
2023-05-02,44.58,44.58,43.44,43.86,1390819.0
