date,open,high,low,close,volume
2023-01-11,8.79,8.97,8.7658,8.88,14440.0
2023-01-12,8.9,8.9,8.57,8.75,33992.0
2023-01-13,8.63,9.03,8.63,9.0,26708.0
2023-01-17,9.03,9.09,8.99,9.0,17364.0
2023-01-18,9.01,9.3,9.0,9.07,132630.0
2023-01-19,9.09,9.29,9.09,9.27,47824.0
2023-01-20,9.29,9.43,9.2,9.25,75136.0
2023-01-23,9.25,9.63,9.21,9.43,90092.0
2023-01-24,9.38,9.495,9.34,9.36,30294.0
2023-01-25,9.34,9.65,9.33,9.56,78688.0
2023-01-26,9.55,9.64,9.42,9.64,96766.0
2023-01-27,9.63,9.72,9.54,9.61,65612.0
2023-01-30,9.59,9.65,9.42,9.55,59823.0
2023-01-31,9.61,9.69,9.43,9.57,68864.0
2023-02-01,9.57,9.74,9.51,9.68,53970.0
2023-02-02,9.7,9.82,9.64,9.73,75076.0
2023-02-03,9.5,9.73,9.452,9.67,38473.0
2023-02-06,9.66,10.11,9.66,10.03,59722.0
2023-02-07,10.04,10.07,9.93,10.03,48258.0
2023-02-08,10.0,10.5,10.0,10.28,80640.0
2023-02-09,10.44,10.47,10.22,10.25,32284.0
2023-02-10,10.17,10.3399,10.01,10.05,19023.0
2023-02-13,9.98,10.33,9.5,9.95,118708.0
2023-02-14,9.98,10.33,9.94,10.14,43772.0
2023-02-15,10.17,10.37,10.02,10.11,35460.0
2023-02-16,9.97,9.97,9.5,9.67,52985.0
2023-02-17,9.72,9.86,9.595,9.86,34719.0
2023-02-21,9.7,9.74,9.51,9.58,34767.0
2023-02-22,9.6,10.07,9.6,9.96,33405.0
2023-02-23,9.97,10.23,9.635,9.99,31676.0
2023-02-24,9.84,10.08,9.71,9.79,19387.0
2023-02-27,9.82,10.04,9.78,9.91,19710.0
2023-02-28,9.91,9.9911,9.74,9.78,14348.0
2023-03-01,9.75,9.82,9.33,9.52,27346.0
2023-03-02,9.41,9.77,9.26,9.57,35449.0
2023-03-03,9.73,9.73,9.47,9.71,11601.0
2023-03-06,9.68,9.88,9.5,9.51,15727.0
2023-03-07,9.5001,9.93,9.44,9.73,27041.0
2023-03-08,9.73,9.78,9.51,9.59,7709.0
2023-03-09,9.6172,9.6172,9.33,9.5,20149.0
2023-03-10,9.54,9.695,8.82,8.94,52440.0
2023-03-13,8.9,9.55,8.8,8.98,38922.0
2023-03-14,9.29,9.44,9.11,9.37,58435.0
2023-03-15,9.21,9.63,9.21,9.53,37171.0
2023-03-16,9.52,9.825,9.4,9.66,42067.0
2023-03-17,9.61,9.97,9.455,9.9,48334.0
2023-03-20,9.9,10.05,9.78,10.01,29428.0
2023-03-21,10.1,10.1725,9.76,9.91,22562.0
2023-03-22,9.97,10.3955,9.97,10.06,62898.0
2023-03-23,9.67,10.1,9.2701,9.97,82776.0
2023-03-24,9.8,10.08,9.2771,9.98,87852.0
2023-03-27,10.06,10.11,9.6433,9.73,23307.0
2023-03-28,9.79,10.01,9.33,9.57,37254.0
2023-03-29,10.05,10.25,9.65,9.92,46990.0
2023-03-30,10.02,10.1,9.81,9.95,27877.0
2023-03-31,10.0,10.01,9.86,9.91,51857.0
2023-04-03,9.9,9.9,9.56,9.79,26404.0
2023-04-04,9.73,9.87,9.73,9.86,16300.0
2023-04-05,9.71,9.84,9.62,9.68,17782.0
2023-04-06,9.75,9.78,9.55,9.76,12799.0
2023-04-10,9.62,10.01,9.62,10.01,39786.0
2023-04-11,10.03,10.05,9.93,9.99,18842.0
2023-04-12,9.91,10.0,9.71,9.78,13071.0
2023-04-13,9.81,9.94,9.67,9.86,16800.0
2023-04-14,9.89,9.9,9.82,9.82,7296.0
2023-04-17,9.83,9.84,9.505,9.84,18210.0
2023-04-18,9.655,9.86,9.3901,9.78,25296.0
2023-04-19,9.42,9.93,9.3795,9.75,36768.0
2023-04-20,9.72,9.88,9.6,9.88,10266.0
2023-04-21,9.81,10.0,9.6567,9.9,26409.0
2023-04-24,9.85,9.87,9.59,9.71,23410.0
2023-04-25,10.1,10.71,9.81,10.19,307999.0
2023-04-26,10.25,10.3,10.09,10.25,52590.0
2023-04-27,10.21,10.3,9.9423,10.15,55637.0
2023-04-28,9.97,10.2,9.61,9.82,69156.0
2023-05-01,9.72,9.81,9.45,9.5,48286.0
2023-05-02,9.46,9.69,9.29,9.39,65790.0
2023-05-03,9.35,9.58,8.5,9.24,89499.0
2023-05-04,9.13,9.63,8.8783,9.42,32436.0
2023-05-05,9.5,10.02,9.41,9.855,56368.0
2023-05-08,9.93,10.06,9.8301,9.96,33066.0
2023-05-09,10.01,10.04,9.74,10.0,40652.0
2023-05-10,10.01,10.04,9.82,9.99,27066.0
2023-05-11,9.94,10.06,9.935,9.96,21088.0
2023-05-12,9.98,10.09,9.91,10.01,24819.0
2023-05-15,9.91,9.91,8.96,9.85,108231.0
2023-05-16,9.83,9.9,9.62,9.82,13699.0
2023-05-17,9.86,10.05,9.595,9.83,33866.0
2023-05-18,9.93,10.1,9.0001,9.8,118769.0
2023-05-19,10.03,10.04,9.69,10.0,81571.0
2023-05-22,10.04,10.12,10.01,10.1,66022.0
2023-05-23,10.0,10.235,9.89,10.06,67172.0
2023-05-24,10.05,10.23,9.98,10.11,42819.0
2023-05-25,10.18,10.2,10.06,10.13,22146.0
