date,open,high,low,close,volume
2023-01-11,69.8,70.41,69.57,70.36,578754.0
2023-01-12,70.52,70.715,69.79,70.03,640778.0
2023-01-13,69.72,70.72,69.5,70.62,682922.0
2023-01-17,70.42,70.85,69.38,69.46,580585.0
2023-01-18,69.59,70.225,68.65,68.78,812564.0
2023-01-19,68.54,68.68,66.46,66.5,811815.0
2023-01-20,66.69,67.05,66.12,67.02,1116596.0
2023-01-23,67.18,67.37,66.24,66.76,1046955.0
2023-01-24,66.78,67.787,65.93,67.21,472202.0
2023-01-25,66.58,67.31,66.09,67.06,718921.0
2023-01-26,67.46,67.7,65.98,66.62,959706.0
2023-01-27,66.39,67.825,66.32,67.21,751909.0
2023-01-30,67.09,67.705,66.45,66.57,841043.0
2023-01-31,66.81,68.33,66.81,68.32,1454191.0
2023-02-01,68.28,70.89,68.1,70.55,1232546.0
2023-02-02,71.9,72.5,71.18,71.42,1213697.0
2023-02-03,70.81,71.49,70.76,71.31,888084.0
2023-02-06,70.77,71.34,70.77,71.0,1030058.0
2023-02-07,70.51,71.17,69.65,70.85,798149.0
2023-02-08,70.38,70.85,69.97,70.17,427283.0
2023-02-09,70.54,70.7878,68.94,68.96,569490.0
2023-02-10,69.93,71.23,69.81,70.82,1462137.0
2023-02-13,70.96,72.23,70.83,72.05,866579.0
2023-02-14,71.97,72.49,71.27,71.89,841888.0
2023-02-15,71.7,72.87,71.7,72.45,607431.0
2023-02-16,71.46,72.42,71.22,71.47,634589.0
2023-02-17,71.51,72.65,71.36,72.47,724634.0
2023-02-21,71.73,71.99,70.28,70.31,1087680.0
2023-02-22,70.53,71.16,70.3,70.42,818772.0
2023-02-23,70.67,71.32,69.63,70.3,1056403.0
2023-02-24,69.35,69.895,68.82,69.66,959128.0
2023-02-27,70.19,71.04,69.9,69.97,1108498.0
2023-02-28,69.87,70.485,69.54,69.54,9515858.0
2023-03-01,69.25,69.79,69.02,69.17,1339079.0
2023-03-02,68.84,69.94,68.6096,69.87,1027934.0
2023-03-03,70.0,71.08,69.63,71.08,1099155.0
2023-03-06,71.09,71.2725,70.24,70.39,753234.0
2023-03-07,70.43,70.5,69.42,69.66,757378.0
2023-03-08,69.7,70.04,69.475,69.88,659431.0
2023-03-09,70.1,70.41,68.84,69.1,636678.0
2023-03-10,69.17,69.17,66.95,67.65,878778.0
2023-03-13,66.94,68.05,66.47,67.14,682879.0
2023-03-14,68.31,69.18,67.84,68.9,820457.0
2023-03-15,67.81,68.0,66.17,67.17,1016412.0
2023-03-16,66.59,68.35,66.54,68.07,819450.0
2023-03-17,67.95,67.95,66.71,67.25,1342086.0
2023-03-20,67.71,69.03,67.63,68.93,646168.0
2023-03-21,69.74,69.995,68.76,69.49,679493.0
2023-03-22,69.46,69.95,68.25,68.3,613324.0
2023-03-23,68.35,69.96,68.13,69.04,1112315.0
2023-03-24,68.58,69.12,67.98,69.05,758191.0
2023-03-27,69.81,69.99,69.3,69.9,1082980.0
2023-03-28,70.0,70.48,69.89,70.43,638135.0
2023-03-29,71.14,71.405,70.77,71.33,836499.0
2023-03-30,71.86,72.16,71.6917,71.75,614775.0
2023-03-31,72.25,73.1,72.085,73.01,777182.0
2023-04-03,72.79,73.08,71.96,72.38,1023552.0
2023-04-04,72.47,72.47,70.32,70.7,900886.0
2023-04-05,70.25,70.5,68.96,69.54,799238.0
2023-04-06,69.53,69.63,68.8,69.04,496393.0
2023-04-10,68.77,69.82,68.76,69.81,363671.0
2023-04-11,70.17,70.655,69.99,70.27,480724.0
2023-04-12,70.7,71.11,70.39,70.66,488045.0
2023-04-13,70.73,71.15,69.615,71.11,665791.0
2023-04-14,71.0,71.625,70.32,70.72,622813.0
2023-04-17,70.92,71.145,70.4847,71.11,613487.0
2023-04-18,71.41,71.58,70.63,70.95,639167.0
2023-04-19,70.75,70.89,70.1,70.43,550245.0
2023-04-20,70.08,70.745,69.76,70.62,776607.0
2023-04-21,70.87,71.07,70.285,70.95,805168.0
2023-04-24,70.7,71.3,70.43,70.55,664778.0
2023-04-25,70.37,70.74,69.997,70.09,771672.0
2023-04-26,69.36,69.97,68.78,68.96,1239910.0
2023-04-27,72.0,78.22,71.495,77.65,2672618.0
2023-04-28,77.99,79.45,77.86,79.29,1745416.0
2023-05-01,79.65,80.9,79.55,80.27,1149114.0
2023-05-02,80.27,80.47,78.79,79.86,1753660.0
2023-05-03,80.3,80.755,78.28,78.7,1255698.0
2023-05-04,79.0,79.48,78.0,78.29,833944.0
2023-05-05,79.29,79.67,78.24,78.64,864107.0
2023-05-08,78.78,78.78,77.69,78.29,713708.0
2023-05-09,78.22,78.67,77.765,77.85,725244.0
2023-05-10,78.31,78.33,77.08,78.13,635339.0
2023-05-11,77.79,78.23,76.59,77.45,602534.0
2023-05-12,77.77,78.21,76.52,77.14,440980.0
2023-05-15,77.12,77.57,76.72,77.12,430719.0
2023-05-16,76.54,77.3,76.23,76.97,696978.0
2023-05-17,77.44,77.73,76.89,77.4,453326.0
2023-05-18,77.39,78.59,77.1212,78.47,670414.0
2023-05-19,79.08,79.11,77.75,78.05,386940.0
2023-05-22,78.11,78.96,77.88,78.94,860866.0
2023-05-23,78.48,79.08,76.93,76.99,630420.0
2023-05-24,76.71,76.75,75.49,75.78,634423.0
2023-05-25,76.21,76.68,75.68,76.29,534165.0
2023-05-26,76.3,77.38,76.07,77.13,706221.0
2023-05-30,77.49,77.61,76.55,76.84,730197.0
2023-05-31,76.53,76.78,75.77,76.49,7386525.0
2023-06-01,76.46,77.58,75.96,77.19,893125.0
2023-06-02,77.85,79.86,77.77,79.8,638398.0
2023-06-05,79.49,79.69,78.175,78.91,644143.0
2023-06-06,78.77,80.43,78.52,80.16,801808.0
2023-06-07,79.87,82.57,79.83,82.37,959798.0
2023-06-08,81.9,83.09,81.49,82.92,1234721.0
2023-06-09,82.99,83.24,81.85,82.55,570162.0
2023-06-12,82.55,83.7399,82.1826,83.56,568223.0
2023-06-13,83.56,85.22,83.56,85.19,1105315.0
2023-06-14,85.1,85.29,83.65,84.14,953323.0
2023-06-15,83.94,85.45,83.46,85.4,962177.0
2023-06-16,85.76,86.299,85.35,86.12,1752900.0
2023-06-20,85.41,85.41,83.92,84.0,1207896.0
2023-06-21,83.49,85.22,83.21,84.96,774533.0
2023-06-22,85.01,85.01,84.11,84.31,665841.0
2023-06-23,83.53,83.77,83.06,83.55,1613200.0
2023-06-26,83.5,84.66,83.09,84.47,690960.0
2023-06-27,84.9,85.94,84.49,85.78,554669.0
2023-06-28,86.04,86.285,84.58,84.75,1072391.0
2023-06-29,84.35,86.1,84.35,85.73,638088.0
2023-06-30,86.33,86.81,86.11,86.35,763405.0
2023-07-03,85.84,86.13,85.35,85.67,353424.0
2023-07-05,84.74,84.96,84.18,84.35,672192.0
2023-07-06,83.75,84.16,82.61,83.26,780416.0
2023-07-07,82.95,84.29,82.95,83.57,851423.0
2023-07-10,83.74,85.22,83.71,85.14,523184.0
2023-07-11,85.47,85.98,84.96,85.59,581547.0
2023-07-12,86.59,86.71,85.78,85.98,739037.0
2023-07-13,86.49,86.58,85.8,86.56,587178.0
2023-07-14,86.17,86.57,85.49,86.31,752076.0
2023-07-17,86.14,87.94,85.85,87.4,636348.0
2023-07-18,87.25,87.9035,87.06,87.27,748225.0
2023-07-19,86.96,87.63,86.63,87.42,632998.0
2023-07-20,87.5,87.62,86.67,86.88,548193.0
2023-07-21,87.08,87.19,86.13,86.24,814853.0
2023-07-24,86.4,87.09,86.01,86.53,629753.0
2023-07-25,85.87,87.285,85.87,86.73,752451.0
2023-07-26,86.39,87.05,85.78,86.76,1258510.0
2023-07-27,78.16,81.5,73.28,80.24,2415023.0
2023-07-28,80.6,80.76,78.63,79.09,1094476.0
2023-07-31,79.42,79.905,78.83,79.33,832804.0
2023-08-01,79.05,80.08,78.88,79.99,939807.0
2023-08-02,79.52,79.9539,78.37,78.52,849101.0
2023-08-03,78.06,78.71,77.78,78.44,639863.0
2023-08-04,78.63,78.63,76.755,77.05,786505.0
2023-08-07,77.48,78.52,77.4,78.24,396791.0
2023-08-08,77.4,77.675,76.56,77.52,463811.0
2023-08-09,77.32,77.6,76.89,77.15,364876.0
2023-08-10,77.33,77.95,76.92,77.28,458984.0
2023-08-11,77.13,77.84,77.015,77.78,493975.0
2023-08-14,77.67,78.22,77.165,78.2,481263.0
2023-08-15,77.67,78.0,76.82,76.88,401169.0
2023-08-16,76.81,77.3,76.0,76.03,423846.0
2023-08-17,76.2,76.34,74.98,75.04,273845.0
2023-08-18,74.75,75.97,74.735,75.47,450168.0
2023-08-21,75.36,75.65,74.71,75.56,382447.0
2023-08-22,76.08,76.15,75.41,75.71,349473.0
2023-08-23,76.05,77.08,75.87,76.97,299534.0
2023-08-24,76.75,77.63,76.1,76.13,382317.0
2023-08-25,76.76,77.76,76.65,77.32,365155.0
2023-08-28,77.58,78.285,77.54,77.66,305697.0
2023-08-29,77.66,78.885,77.3,78.81,390741.0
2023-08-30,79.0,79.68,78.701,78.81,540665.0
2023-08-31,78.89,79.79,78.82,78.94,1388008.0
2023-09-01,79.37,79.72,78.875,79.46,455511.0
2023-09-05,79.0,79.25,75.84,76.69,449253.0
2023-09-06,76.88,77.608,76.47,77.0,343186.0
2023-09-07,76.52,76.52,75.08,75.89,825524.0
2023-09-08,75.88,76.325,75.44,75.71,493338.0
2023-09-11,75.99,76.105,75.05,75.84,526449.0
2023-09-12,75.25,75.9,75.05,75.44,395102.0
2023-09-13,75.16,75.53,74.735,75.15,497875.0
2023-09-14,75.8,76.12,75.1,75.21,830137.0
2023-09-15,74.86,75.33,74.47,75.25,1415838.0
2023-09-18,75.48,76.197,75.15,75.72,564307.0
2023-09-19,75.18,75.55,74.7,74.99,684609.0
2023-09-20,75.4,75.73,74.525,74.75,413677.0
2023-09-21,74.32,74.32,73.27,73.31,479267.0
2023-09-22,73.24,73.85,73.02,73.34,394821.0
2023-09-25,73.1,74.11,73.01,73.81,475073.0
2023-09-26,73.28,73.525,72.06,72.08,644306.0
2023-09-27,72.45,72.9,72.07,72.59,733911.0
2023-09-28,72.53,73.84,72.485,73.09,548779.0
2023-09-29,73.58,73.775,72.79,72.88,565383.0
2023-10-02,72.77,73.61,72.36,72.91,565151.0
2023-10-03,72.51,73.21,72.21,72.55,435290.0
2023-10-04,72.72,74.598,72.59,74.37,892983.0
2023-10-05,73.72,74.445,73.38,73.48,917195.0
2023-10-06,73.31,75.13,72.6001,74.81,994742.0
2023-10-09,73.97,75.39,73.81,75.24,604748.0
2023-10-10,75.54,75.97,74.82,74.85,738696.0
2023-10-11,74.89,75.9,74.66,75.88,559852.0
2023-10-12,76.11,76.4,74.33,74.63,628116.0
2023-10-13,74.52,74.76,73.26,73.58,387883.0
2023-10-16,74.33,75.035,74.0,74.47,409970.0
2023-10-17,74.05,75.555,74.02,74.76,936581.0
2023-10-18,73.79,73.92,71.2,71.22,616781.0
2023-10-19,71.14,71.81,70.29,70.74,1053589.0
2023-10-20,70.98,71.17,70.01,70.13,833513.0
2023-10-23,70.01,70.9,69.92,70.05,765646.0
2023-10-24,70.65,71.11,70.0,70.73,953935.0
2023-10-25,70.17,70.71,69.78,69.8,996768.0
2023-10-26,71.57,75.6301,70.8,74.73,1509113.0
2023-10-27,74.7,76.03,73.38,73.51,1085650.0
2023-10-30,74.23,74.63,73.62,74.37,908936.0
2023-10-31,74.32,75.17,73.92,74.35,1807348.0
2023-11-01,74.4,74.56,73.03,74.21,836283.0
2023-11-02,75.16,76.56,74.785,75.86,809147.0
2023-11-03,77.07,77.96,77.04,77.05,561593.0
2023-11-06,76.84,77.725,76.6826,77.47,768109.0
2023-11-07,77.18,77.37,76.81,76.94,489919.0
2023-11-08,77.12,77.67,76.28,76.45,629123.0
2023-11-09,76.98,77.1408,76.28,76.64,601117.0
2023-11-10,76.81,77.98,76.68,77.87,695134.0
2023-11-13,77.62,77.76,77.03,77.07,592069.0
2023-11-14,78.48,79.46,78.255,79.36,454886.0
2023-11-15,79.57,80.1,79.29,79.61,672634.0
2023-11-16,79.94,80.33,79.425,79.57,524709.0
2023-11-17,80.01,80.66,79.69,80.59,953025.0
2023-11-20,80.37,80.9,79.97,80.66,575823.0
2023-11-21,80.64,81.12,80.41,80.57,461400.0
2023-11-22,80.82,81.16,80.4,80.74,352098.0
2023-11-24,80.63,81.58,80.63,81.48,189280.0
2023-11-27,81.2,81.62,80.915,81.21,485363.0
2023-11-28,81.21,81.47,79.73,79.8,530843.0
2023-11-29,80.28,80.64,79.8,80.1,582995.0
2023-11-30,80.44,80.99,79.67,80.78,1566114.0
2023-12-01,80.69,82.2,80.38,81.96,633157.0
2023-12-04,81.46,82.51,81.34,82.39,587297.0
2023-12-05,81.71,82.15,81.14,81.57,461774.0
2023-12-06,81.96,82.97,81.96,82.07,554234.0
2023-12-07,82.13,82.5,81.61,82.24,365598.0
2023-12-08,82.05,82.97,82.05,82.63,468079.0
2023-12-11,82.67,83.32,82.51,82.85,443692.0
2023-12-12,82.95,83.18,82.49,82.97,742142.0
2023-12-13,82.98,84.48,82.49,83.91,818128.0
2023-12-14,84.47,86.08,84.33,85.74,787073.0
2023-12-15,85.68,86.2,84.955,85.1,1544505.0
2023-12-18,85.22,85.49,84.39,85.28,490400.0
2023-12-19,85.74,85.94,85.17,85.63,497132.0
2023-12-20,85.42,86.05,84.93,84.95,557856.0
2023-12-21,85.66,85.83,85.02,85.68,344221.0
2023-12-22,86.0,86.7574,85.79,86.37,449975.0
2023-12-26,86.39,87.08,86.0735,86.84,395826.0
2023-12-27,86.81,87.47,86.515,86.94,299348.0
2023-12-28,86.59,87.13,86.395,86.85,367775.0
2023-12-29,86.9,87.37,86.69,86.76,565829.0
2024-01-02,86.0,86.52,84.85,85.3,668287.0
2024-01-03,84.45,84.4541,83.06,83.1,424816.0
2024-01-04,83.01,83.925,83.01,83.37,474126.0
2024-01-05,82.91,83.532,82.875,83.16,524387.0
2024-01-08,83.22,83.78,82.91,83.73,616628.0
