date,open,high,low,close,volume
2023-01-11,17.9926,18.0467,17.751,17.8451,47900.794773
2023-01-12,17.9532,17.9965,17.7664,17.8745,31321.236942
2023-01-13,17.7075,18.0937,17.7075,17.9826,34691.867863
2023-01-17,17.9926,18.5727,17.9926,18.5727,27943.486401
2023-01-18,18.73,18.73,18.3858,18.5333,12971.945314
2023-01-19,18.5431,18.6871,18.4259,18.6808,12616.981467
2023-01-20,18.6808,18.6897,18.3072,18.376,46974.22725
2023-01-23,18.5037,18.6169,18.2188,18.3367,37840.773516
2023-01-24,18.5037,18.6415,18.2875,18.3465,10886.914117
2023-01-25,18.2088,18.3269,18.0318,18.199,35748.622701
2023-01-26,18.2285,18.4546,18.2285,18.3465,13247.576267
2023-01-27,18.6021,18.8872,18.5037,18.7496,77529.596635
2023-01-30,18.8774,18.8774,18.5628,18.8676,50721.180876
2023-01-31,18.8774,18.956,18.7004,18.7496,112880.537775
2023-02-01,18.7595,18.9537,18.5137,18.8086,86678.306695
2023-02-02,18.5235,18.8689,18.5235,18.5431,52326.146354
2023-02-03,18.4841,18.8971,18.4841,18.7595,80102.830259
2023-02-06,18.6808,18.8578,18.3857,18.3857,40302.127418
2023-02-07,18.3465,18.6232,18.3465,18.4743,17020.974192
2023-02-08,18.5198,18.5973,18.3857,18.4252,13925.974223
2023-02-09,18.376,18.612,18.3305,18.3957,35736.417639
2023-02-10,18.2187,18.7546,18.2187,18.6316,41431.09553
2023-02-13,18.7397,18.9324,18.6808,18.8282,40794.398198
2023-02-14,18.8774,18.8774,18.4841,18.5037,38129.626619
2023-02-15,18.5037,18.6216,18.4645,18.4645,14636.919007
2023-02-16,18.5923,18.6341,18.4791,18.5235,18559.828925
2023-02-17,18.5235,18.8578,18.4907,18.5825,39865.796498
2023-02-21,18.6709,18.6709,18.3184,18.5481,21640.589655
2023-02-22,18.6709,18.6709,18.4103,18.4546,17816.337311
2023-02-23,18.3857,18.5262,17.8973,17.9532,78656.530571
2023-02-24,17.8745,17.9532,17.5452,17.6386,113871.181866
2023-02-27,17.6976,17.6977,17.3634,17.4026,77594.690293
2023-02-28,17.6386,17.6976,17.3337,17.3829,69727.511603
2023-03-01,17.3043,17.4092,17.0389,17.1174,49295.222955
2023-03-02,17.3141,17.3141,16.9602,16.9994,27620.052294
2023-03-03,16.9994,17.2649,16.9994,17.1962,21675.17066
2023-03-06,16.8619,16.911,16.2228,16.5571,172851.120461
2023-03-07,16.5963,16.9405,16.3901,16.8225,43344.238789
2023-03-08,16.7439,16.9012,16.444,16.852,41088.336743
2023-03-09,16.7143,16.7537,16.5276,16.5375,34564.731815
2023-03-10,16.5177,16.5963,16.0653,16.1049,52342.419768
2023-03-13,16.0753,16.7537,15.9769,16.38,64417.293124
2023-03-14,16.3212,16.616,16.1049,16.154,28519.15843
2023-03-15,15.9769,16.7635,15.8766,16.6063,44246.396191
2023-03-16,16.3408,16.6631,16.3332,16.4686,26739.25375
2023-03-17,16.5491,16.7451,16.379,16.5669,22866.181163
2023-03-20,16.6259,17.1765,16.6259,17.0094,29895.279021
2023-03-21,17.0094,17.2748,16.9467,17.147,15202.420151
2023-03-22,17.3043,17.4911,17.0192,17.2846,31425.997046
2023-03-23,17.2355,17.3813,16.7635,16.852,30831.000339
2023-03-24,16.8028,17.147,16.8028,17.088,15260.39419
2023-03-27,17.1568,17.3732,17.0586,17.1274,11984.352489
