date,open,high,low,close,volume
2023-01-11,87.12,87.2,86.02,87.19,5947077.0
2023-01-12,86.5,86.59,85.08,85.72,6013291.0
2023-01-13,85.54,86.3,85.325,86.27,5305720.0
2023-01-17,86.05,86.365,85.36,85.41,5959790.0
2023-01-18,85.02,85.125,83.6,83.74,6374849.0
2023-01-19,84.17,84.58,83.2514,83.62,6922528.0
2023-01-20,83.54,83.8,82.51,83.01,16678603.0
2023-01-23,82.76,84.38,82.42,83.23,5673156.0
2023-01-24,83.43,84.08,82.11,84.02,4776447.0
2023-01-25,84.15,84.55,83.56,84.07,3892838.0
2023-01-26,83.76,83.81,82.61,83.62,3670867.0
2023-01-27,83.33,83.97,83.11,83.73,4108412.0
2023-01-30,83.52,83.84,82.3301,83.35,7283048.0
2023-01-31,83.52,84.21,83.225,83.94,9621752.0
2023-02-01,84.01,84.655,82.7,84.0,6673648.0
2023-02-02,82.365,82.5,80.48,81.39,10933779.0
2023-02-03,84.655,86.97,83.6201,84.5,12852404.0
2023-02-06,84.5,87.18,84.5,86.36,7611135.0
2023-02-07,86.6,86.69,85.38,86.05,7298804.0
2023-02-08,85.4,86.03,85.29,85.67,7376596.0
2023-02-09,85.83,86.605,85.13,85.53,6656819.0
2023-02-10,85.56,86.96,85.28,86.7,5522187.0
2023-02-13,86.7,87.82,86.39,87.49,5801725.0
2023-02-14,87.59,87.61,85.02,85.68,7206203.0
2023-02-15,85.27,85.27,84.44,85.05,5614951.0
2023-02-16,84.31,84.756,83.37,83.39,5760563.0
2023-02-17,83.61,85.25,83.28,84.76,6236264.0
2023-02-21,84.73,85.49,84.62,84.64,6085631.0
2023-02-22,84.63,84.75,83.04,83.5,4986884.0
2023-02-23,83.15,83.85,82.25,82.54,5344979.0
2023-02-24,82.27,82.3,80.33,80.66,6289964.0
2023-02-27,81.16,81.31,80.58,80.89,4930041.0
2023-02-28,80.81,80.93,79.92,80.53,5808885.0
2023-03-01,80.34,80.34,79.39,79.59,5269941.0
2023-03-02,79.51,79.9,79.2148,79.62,3459569.0
2023-03-03,79.81,81.18,79.59,81.07,4915444.0
2023-03-06,81.11,81.34,80.54,81.11,4500484.0
2023-03-07,81.3,81.3,79.94,80.28,6112573.0
2023-03-08,80.5,80.8262,79.8214,80.2,3859680.0
2023-03-09,80.57,80.6999,78.29,78.95,7500053.0
2023-03-10,79.02,80.31,78.9,79.5,6203914.0
2023-03-13,78.565,81.27,78.565,79.51,6845669.0
2023-03-14,79.03,79.91,78.32,79.77,5499121.0
2023-03-15,79.1,79.89,78.51,79.65,4875419.0
2023-03-16,79.18,79.97,78.42,79.85,7274465.0
2023-03-17,79.76,79.76,76.525,77.31,16828078.0
2023-03-20,77.71,79.68,77.63,79.46,4672679.0
2023-03-21,79.525,80.05,78.355,79.14,4744836.0
2023-03-22,79.1,79.38,77.76,77.81,4909540.0
2023-03-23,77.78,78.93,77.64,78.76,5015742.0
2023-03-24,78.93,80.4,78.33,80.0,4807017.0
2023-03-27,80.38,80.99,79.41,79.58,4444950.0
2023-03-28,79.96,81.11,79.7891,80.97,4154918.0
2023-03-29,81.26,81.9693,80.93,81.29,5469280.0
2023-03-30,81.78,81.9,81.06,81.45,3822725.0
2023-03-31,81.64,83.14,81.19,82.97,7135830.0
2023-04-03,82.935,83.8,82.64,83.24,5083675.0
2023-04-04,83.16,83.45,81.815,82.12,4490721.0
2023-04-05,82.3,83.72,81.945,83.65,4615196.0
2023-04-06,84.07,84.83,83.26,83.37,3729061.0
2023-04-10,83.5,83.5003,82.32,82.6,3465548.0
2023-04-11,82.56,83.11,82.255,82.54,3669443.0
