date,open,high,low,close,volume
2023-01-11,20.02,20.16,19.98,20.04,105917.0
2023-01-12,20.2,20.36,20.0,20.36,85221.5
2023-01-13,20.28,20.4,20.12,20.3,96332.5
2023-01-17,20.36,20.64,20.3,20.34,129254.0
2023-01-18,20.3,20.52,20.16,20.28,128824.0
2023-01-19,20.0,20.18,19.86,20.04,66776.0
2023-01-20,20.12,20.2,20.0276,20.18,56911.5
2023-01-23,20.16,20.42,20.09,20.32,111057.5
2023-01-24,20.28,20.39,20.12,20.16,49321.0
2023-01-25,20.12,20.2,19.9602,20.18,55585.0
2023-01-26,20.22,20.23,20.02,20.14,86828.0
2023-01-27,20.2,20.3,20.06,20.12,60546.5
2023-01-30,20.1,20.4,20.08,20.22,54592.0
2023-01-31,20.4,20.66,20.3284,20.66,93173.5
2023-02-01,20.68,20.86,20.49,20.66,93259.0
2023-02-02,20.82,21.0,20.62,20.78,85924.0
2023-02-03,20.78,20.9836,20.62,20.9,68079.0
2023-02-06,20.92,21.0,20.5,20.72,78288.5
2023-02-07,20.94,21.74,20.8,21.7,153144.0
2023-02-08,21.52,21.66,21.28,21.42,70074.5
2023-02-09,21.4,21.6,21.05,21.16,71461.5
2023-02-10,21.22,21.26,21.0,21.26,45132.0
2023-02-13,21.32,21.36,21.16,21.32,62196.0
2023-02-14,21.26,21.4,21.18,21.36,55109.5
2023-02-15,21.38,21.38,21.17,21.28,102434.5
2023-02-16,20.88,21.237,20.86,21.0,61555.5
2023-02-17,21.02,21.2,20.9,20.94,84605.5
2023-02-21,20.78,20.9,20.4048,20.54,77304.5
2023-02-22,20.54,20.58,20.28,20.38,75203.5
2023-02-23,20.54,20.678,20.3,20.5,48032.5
2023-02-24,20.48,20.5,20.32,20.34,45416.0
2023-02-27,20.22,20.5798,20.2,20.3,79592.0
2023-02-28,20.46,20.46,20.2,20.24,64196.5
2023-03-01,20.26,20.36,19.98,20.1,65344.0
2023-03-02,20.04,20.1798,19.96,20.12,50203.5
2023-03-03,20.12,20.32,20.12,20.22,59688.5
2023-03-06,20.2,20.38,20.08,20.14,76174.5
2023-03-07,20.04,20.2,19.96,20.04,44110.5
2023-03-08,19.96,20.0998,19.96,20.04,50670.0
2023-03-09,20.08,20.12,19.42,19.46,101629.5
2023-03-10,19.4,19.44,18.5,18.62,158005.5
2023-03-13,18.24,18.7,17.76,18.38,150332.0
2023-03-14,18.8,19.217,18.63,18.78,90816.5
2023-03-15,18.34,18.6,18.1,18.46,104722.0
2023-03-16,18.3,18.9,18.12,18.8,119572.0
2023-03-17,18.68,18.7,18.26,18.28,73862.5
2023-03-20,18.44,18.76,18.07,18.2,72990.5
2023-03-21,18.38,18.86,18.34,18.58,61927.0
2023-03-22,18.54,18.68,18.14,18.14,48253.5
2023-03-23,18.16,18.3788,17.82,18.0,68010.5
2023-03-24,17.92,18.28,17.74,18.26,62936.0
2023-03-27,18.42,18.56,18.1806,18.4,52893.0
2023-03-28,18.44,18.54,18.34,18.48,31230.5
2023-03-29,18.6,18.74,18.54,18.7,47443.0
2023-03-30,18.72,18.7406,18.5,18.58,48688.0
2023-03-31,18.76,19.02,18.68,18.8,70307.0
2023-04-03,18.86,18.96,18.6,18.66,113478.0
2023-04-04,18.78,18.8592,18.56,18.76,64806.0
2023-04-05,18.74,18.76,18.5,18.6,43763.0
2023-04-06,18.54,18.6368,18.46,18.48,41029.5
2023-04-10,18.5,18.62,18.22,18.42,55028.0
2023-04-11,18.46,18.6,18.38,18.4,49166.5
2023-04-12,18.6,18.64,18.42,18.44,67080.5
2023-04-13,18.56,18.86,18.54,18.86,68246.5
2023-04-14,18.86,19.14,18.64,18.78,137426.0
2023-04-17,18.82,19.14,18.72,19.12,84096.5
2023-04-18,19.16,19.16,18.86,19.02,59050.0
2023-04-19,19.04,19.18,19.0,19.06,92523.0
2023-04-20,18.82,19.0,18.76,18.94,71542.5
2023-04-21,19.04,19.04,18.84,18.92,71477.5
2023-04-24,18.84,19.04,18.8,18.98,73681.0
2023-04-25,18.96,19.0798,18.74,18.82,42599.5
2023-04-26,18.86,19.16,18.84,19.02,61206.5
2023-04-27,19.12,19.26,19.02,19.2,80242.5
2023-04-28,19.24,19.58,19.18,19.3,66373.5
2023-05-01,19.46,19.48,19.0,19.02,76412.0
2023-05-02,19.06,19.1,18.52,18.84,106689.5
2023-05-03,18.76,19.04,18.6232,18.74,50469.0
2023-05-04,18.74,18.96,18.52,18.74,67453.0
2023-05-05,18.98,19.06,18.76,18.84,63014.5
2023-05-08,18.86,18.91,18.54,18.78,83705.5
2023-05-09,18.72,18.87,18.64,18.74,56145.0
2023-05-10,18.96,18.96,18.68,18.86,57809.0
2023-05-11,18.84,18.84,18.62,18.72,33105.0
2023-05-12,18.72,18.84,18.6,18.7,32245.0
2023-05-15,19.02,19.02,18.8,18.9,52808.0
2023-05-16,18.88,18.9,18.7,18.7,34019.0
2023-05-17,18.72,19.04,18.62,18.98,88975.5
2023-05-18,18.86,18.95,18.84,18.84,46665.5
2023-05-19,18.86,19.1,18.86,18.92,127286.0
2023-05-22,18.76,18.88,18.56,18.82,75847.5
2023-05-23,18.8,18.9,18.7,18.78,57715.0
2023-05-24,18.7,18.76,18.4,18.6,65633.5
2023-05-25,18.6,18.72,18.38,18.64,62550.0
2023-05-26,18.68,18.96,18.64,18.94,62888.0
2023-05-30,18.89,18.9414,18.82,18.82,4245.5
2023-05-31,18.88,18.88,18.72,18.83,71135.0
2023-06-01,18.78,18.91,18.66,18.84,106231.5
2023-06-02,18.96,18.98,18.76,18.84,126424.5
2023-06-05,18.9,18.98,18.82,18.88,78775.0
2023-06-06,18.88,19.12,18.86,19.1,117277.0
2023-06-07,19.16,19.84,19.06,19.62,143513.0
2023-06-08,19.68,19.7888,19.52,19.6,88776.5
2023-06-09,19.6,19.6,19.4,19.42,64283.0
2023-06-12,19.42,19.64,19.42,19.6,69975.5
2023-06-13,19.62,19.76,19.5402,19.72,82691.5
2023-06-14,19.78,19.8,19.28,19.4,130782.5
2023-06-15,19.5,19.702,19.48,19.54,116823.0
2023-06-16,19.61,19.72,19.4734,19.56,142025.5
2023-06-20,19.42,19.4556,19.26,19.26,105904.5
2023-06-21,19.26,19.3488,19.04,19.04,66066.0
2023-06-22,19.1,19.16,19.0,19.02,71083.5
2023-06-23,19.0,19.04,18.82,18.86,56141.5
2023-06-26,18.9,18.9754,18.84,18.92,69050.5
2023-06-27,18.93,19.0,18.877,18.94,59936.0
2023-06-28,18.96,19.0,18.8,18.94,52435.0
2023-06-29,18.92,19.36,18.92,19.3,59149.5
2023-06-30,19.38,19.64,19.38,19.52,63644.5
2023-07-03,19.54,19.88,19.48,19.82,59076.5
2023-07-05,19.88,20.2,19.7504,20.0,153749.5
2023-07-06,20.0,20.26,19.8,20.2,92445.0
2023-07-07,20.12,20.396,20.1098,20.28,83481.0
2023-07-10,20.2,20.4,20.02,20.22,82854.0
2023-07-11,20.28,20.32,20.12,20.32,55289.5
2023-07-12,20.42,20.86,20.4,20.72,85542.5
2023-07-13,20.8,20.998,20.72,20.9,94669.0
2023-07-14,21.0,21.02,20.72,21.0,68036.5
2023-07-17,21.16,21.6,21.02,21.4,138375.0
2023-07-18,21.35,21.7,21.2414,21.62,89298.0
2023-07-19,21.66,21.9998,21.622,21.84,102097.5
2023-07-20,21.62,21.66,20.66,20.78,147960.5
2023-07-21,20.86,21.26,20.8,21.08,65610.5
2023-07-24,21.12,21.54,21.12,21.38,64906.5
2023-07-25,21.34,21.58,21.3,21.46,58490.5
2023-07-26,21.46,21.78,21.3826,21.72,61342.0
2023-07-27,22.0,22.56,21.88,22.02,178665.0
2023-07-28,22.02,22.2,21.7,21.94,122754.0
2023-07-31,22.08,22.38,22.02,22.18,99413.0
2023-08-01,22.02,22.46,22.02,22.38,73865.5
2023-08-02,22.24,22.26,21.94,22.1,80575.5
2023-08-03,22.02,22.22,22.0,22.06,55700.0
2023-08-04,22.16,22.26,21.96,22.04,70568.5
2023-08-07,22.1,22.16,21.62,21.68,115170.0
2023-08-08,21.74,22.0,21.5,21.86,65362.5
2023-08-09,21.74,22.08,21.74,21.86,70419.5
2023-08-10,21.86,22.04,21.76,21.76,72201.5
2023-08-11,21.8,21.88,21.0,21.56,149339.0
2023-08-14,21.5,21.5598,21.24,21.34,65795.0
2023-08-15,21.4,21.44,21.06,21.14,61394.5
2023-08-16,21.18,21.192,20.69,20.74,112377.0
2023-08-17,20.78,20.84,20.38,20.46,94702.5
2023-08-18,20.46,20.5,20.26,20.42,175798.0
2023-08-21,20.42,20.4998,20.24,20.3,202598.0
2023-08-22,20.1,20.14,19.86,20.04,163321.0
2023-08-23,20.02,20.32,20.02,20.12,153776.0
2023-08-24,20.16,20.28,19.96,20.02,151565.0
2023-08-25,20.1,20.2598,20.0,20.08,177019.5
2023-08-28,20.18,20.33,19.8,19.96,721359.5
2023-08-29,20.0,20.12,19.9,20.0,409987.5
2023-08-30,20.0,20.3,19.8,20.2,1119866.0
2023-08-31,20.36,20.44,20.224,20.32,472538.0
2023-09-01,20.54,20.7402,20.36,20.48,459351.5
2023-09-05,20.5,20.6,20.18,20.2,266404.0
2023-09-06,20.2,20.299,19.38,19.44,557882.5
2023-09-07,19.42,19.89,19.42,19.74,185748.0
2023-09-08,19.82,19.98,19.78,19.9,107626.5
2023-09-11,19.92,20.22,19.92,20.08,136799.0
2023-09-12,20.1,20.2798,20.0,20.04,85430.0
2023-09-13,20.1,20.18,20.02,20.06,103248.5
2023-09-14,20.22,20.3,20.06,20.24,159589.5
2023-09-15,20.28,20.52,20.22,20.4,145252.0
2023-09-18,20.4,20.54,20.34,20.46,158966.0
2023-09-19,20.54,20.66,20.38,20.4,203480.5
2023-09-20,20.24,20.4136,20.16,20.2,127784.0
2023-09-21,20.1,20.12,19.88,20.02,135401.5
2023-09-22,20.06,20.22,20.0596,20.2,124413.5
2023-09-25,20.22,20.3,19.7,20.18,1327501.5
2023-09-26,20.14,20.24,19.08,19.22,927887.0
2023-09-27,19.37,19.74,19.34,19.46,333430.0
2023-09-28,19.48,19.55,19.32,19.34,304210.5
2023-09-29,19.48,19.62,19.28,19.28,244528.0
2023-10-02,19.32,19.38,18.85,18.98,291845.0
2023-10-03,18.96,19.06,18.5,18.58,263895.5
2023-10-04,18.6,18.758,18.4,18.69,218741.0
