date,open,high,low,close,volume
2023-01-11,32.05,32.295,31.45,31.77,603378.0
2023-01-12,32.01,32.18,31.32,32.08,594759.0
2023-01-13,31.88,32.82,31.7,32.53,473435.0
2023-01-17,31.9,32.39,30.84,31.24,755020.0
2023-01-18,31.7,32.12,29.97,30.16,423705.0
2023-01-19,29.77,30.68,29.53,30.09,499844.0
2023-01-20,30.36,31.26,30.01,31.06,860964.0
2023-01-23,31.06,31.21,30.645,31.04,623227.0
2023-01-24,30.85,31.51,30.64,31.13,351798.0
2023-01-25,30.54,32.3,30.21,32.07,764048.0
2023-01-26,32.43,32.73,30.705,31.14,539107.0
2023-01-27,31.05,32.04,30.63,31.2,388756.0
2023-01-30,30.67,31.72,30.25,31.05,565042.0
2023-01-31,32.945,36.19,32.33,34.77,3062733.0
2023-02-01,34.66,35.4,33.2,34.94,1066314.0
2023-02-02,35.14,36.335,34.695,35.8,929384.0
2023-02-03,35.8,36.305,33.94,33.96,949699.0
2023-02-06,33.73,34.62,33.53,34.2,1244407.0
2023-02-07,34.13,34.42,32.83,33.92,1309498.0
2023-02-08,34.38,37.49,34.34,36.54,2009603.0
2023-02-09,37.06,37.4,34.54,34.95,959104.0
2023-02-10,35.08,35.54,34.15,34.66,845643.0
2023-02-13,34.36,36.125,33.91,35.33,992644.0
2023-02-14,35.1,35.94,34.22,35.79,680680.0
2023-02-15,35.65,36.79,35.095,36.76,738091.0
2023-02-16,36.21,36.89,35.905,35.97,691219.0
2023-02-17,35.6,35.81,34.36,34.64,577649.0
2023-02-21,33.89,34.745,33.27,33.36,568681.0
2023-02-22,33.28,33.98,33.08,33.48,569116.0
2023-02-23,33.92,34.58,33.365,34.04,554623.0
2023-02-24,33.45,34.77,33.265,34.75,610524.0
2023-02-27,35.07,35.49,34.67,35.29,593550.0
2023-02-28,35.56,35.68,34.47,34.67,822509.0
2023-03-01,34.67,35.58,34.585,35.33,830052.0
2023-03-02,34.93,35.03,33.91,34.24,637205.0
2023-03-03,34.15,35.09,33.29,34.94,895929.0
2023-03-06,34.76,35.735,33.08,33.48,963901.0
2023-03-07,33.5,33.835,32.55,33.01,667893.0
2023-03-08,33.11,33.58,32.57,33.36,640342.0
2023-03-09,33.39,33.77,32.32,32.57,658951.0
2023-03-10,32.47,33.38,31.41,31.66,891023.0
2023-03-13,30.55,32.12,29.69,31.03,891215.0
2023-03-14,32.24,32.715,31.175,32.17,758139.0
2023-03-15,30.75,32.08,30.347,31.5,1339565.0
2023-03-16,30.82,32.05,30.5,31.155,1160590.0
2023-03-17,30.61,31.2,30.09,31.13,3238638.0
2023-03-20,31.18,31.91,30.75,31.17,1072010.0
2023-03-21,32.07,32.91,31.591,31.98,658761.0
2023-03-22,31.79,32.131,30.15,30.23,863422.0
2023-03-23,30.38,31.17,28.86,28.91,911487.0
2023-03-24,27.815,30.51,27.73,30.47,984128.0
2023-03-27,30.97,31.4,30.02,30.95,721848.0
2023-03-28,30.67,31.72,30.52,31.29,683915.0
2023-03-29,31.74,31.79,30.29,31.0,623841.0
2023-03-30,31.48,31.62,30.37,30.58,450096.0
2023-03-31,30.89,31.15,30.755,30.99,385392.0
2023-04-03,31.77,32.15,31.21,31.78,813452.0
2023-04-04,31.77,31.924,30.785,30.86,770514.0
2023-04-05,30.68,30.855,29.76,30.05,1112511.0
2023-04-06,30.02,30.64,29.5,30.56,948158.0
2023-04-10,30.44,31.775,30.19,31.51,1024484.0
2023-04-11,32.35,32.51,31.65,32.25,493739.0
2023-04-12,32.64,33.55,32.17,33.17,1318752.0
2023-04-13,33.37,33.49,32.16,33.13,721730.0
2023-04-14,33.11,33.165,32.11,32.35,671707.0
2023-04-17,32.9,33.16,32.03,32.27,632702.0
2023-04-18,32.51,33.7,32.27,33.56,1067493.0
2023-04-19,33.1,33.24,31.85,33.24,760713.0
2023-04-20,32.64,33.01,32.3,32.42,453656.0
2023-04-21,32.38,33.16,31.91,32.94,1206192.0
2023-04-24,32.69,33.855,32.64,33.75,393583.0
2023-04-25,33.36,33.48,32.59,32.65,513254.0
2023-04-26,32.6,33.21,32.37,32.95,572342.0
2023-04-27,33.23,33.86,33.14,33.64,345866.0
2023-04-28,33.52,34.43,33.28,34.17,467036.0
2023-05-01,34.01,34.89,33.65,34.01,513403.0
2023-05-02,33.65,33.87,32.74,33.71,671874.0
2023-05-03,33.5,34.45,33.155,33.43,973861.0
2023-05-04,33.4,34.25,31.82,33.36,1557773.0
2023-05-05,33.5,33.5,31.01,31.83,1875947.0
2023-05-08,31.88,32.13,30.93,30.96,1306310.0
2023-05-09,30.53,30.53,29.335,29.71,2002105.0
2023-05-10,30.0,30.4,29.44,29.71,1003823.0
2023-05-11,29.42,30.225,28.92,30.02,1080582.0
2023-05-12,30.48,31.765,30.45,31.59,1028060.0
2023-05-15,31.43,31.59,30.75,31.02,719367.0
2023-05-16,30.76,30.76,29.48,29.49,598125.0
2023-05-17,29.6,30.49,29.22,30.04,824278.0
2023-05-18,29.92,30.63,29.595,30.58,713131.0
2023-05-19,31.05,31.06,30.04,30.93,1476758.0
2023-05-22,31.17,32.71,30.5,32.38,801273.0
2023-05-23,32.45,32.95,32.015,32.18,751282.0
2023-05-24,32.2,32.38,31.24,32.13,553263.0
2023-05-25,31.78,31.855,30.9,31.17,919293.0
2023-05-26,31.2,31.34,30.39,30.42,423174.0
2023-05-30,30.2,30.32,29.11,29.57,725222.0
2023-05-31,29.31,29.635,27.92,29.0,1260096.0
2023-06-01,29.0,29.89,28.81,29.02,1239161.0
2023-06-02,29.56,31.52,29.54,31.5,1300485.0
2023-06-05,31.38,31.55,30.32,30.95,664678.0
2023-06-06,30.79,32.43,30.72,32.13,948149.0
2023-06-07,32.53,32.75,31.85,32.07,985781.0
2023-06-08,32.08,32.35,31.16,31.73,531012.0
2023-06-09,31.64,31.87,31.19,31.86,502501.0
2023-06-12,31.62,32.09,31.2,31.98,436811.0
2023-06-13,32.41,33.0,32.23,32.52,548926.0
2023-06-14,32.82,33.22,32.46,33.06,591182.0
2023-06-15,32.95,33.45,32.77,32.91,584392.0
2023-06-16,33.21,33.4,31.75,32.19,1037620.0
2023-06-20,32.21,32.7,31.15,31.46,610157.0
2023-06-21,31.09,31.12,30.33,30.33,657745.0
2023-06-22,29.95,30.075,29.22,29.7,867031.0
2023-06-23,29.29,30.41,29.19,30.19,1787244.0
2023-06-26,29.94,30.82,29.77,30.07,449046.0
2023-06-27,30.4,30.88,30.07,30.595,436280.0
2023-06-28,30.65,31.02,30.28,30.99,1000354.0
2023-06-29,31.0,31.79,30.92,31.65,592166.0
2023-06-30,32.06,32.79,31.7,32.24,826792.0
2023-07-03,32.22,33.115,31.61,32.89,416987.0
2023-07-05,32.81,33.1,32.41,32.69,853881.0
2023-07-06,32.36,32.51,31.73,32.01,568898.0
2023-07-07,32.14,33.64,32.14,33.35,459250.0
2023-07-10,33.35,33.86,33.35,33.79,558703.0
2023-07-11,33.92,34.4,33.54,33.98,734473.0
2023-07-12,34.26,35.19,33.73,34.42,908670.0
2023-07-13,34.44,34.55,33.21,33.36,1042256.0
2023-07-14,33.44,33.45,31.765,32.37,779684.0
2023-07-17,32.33,32.78,32.12,32.43,572704.0
2023-07-18,32.44,33.775,32.23,33.75,544907.0
2023-07-19,34.01,34.595,33.92,34.44,895989.0
2023-07-20,34.71,34.745,33.66,34.19,454511.0
2023-07-21,34.45,34.53,33.72,34.12,619603.0
2023-07-24,34.46,35.06,34.38,34.55,643540.0
2023-07-25,34.37,35.02,34.37,34.85,474221.0
2023-07-26,34.57,35.2,34.57,35.11,397942.0
2023-07-27,35.35,35.395,34.78,35.01,588192.0
2023-07-28,35.34,35.48,34.75,35.41,624936.0
2023-07-31,35.6,36.02,35.26,35.51,731432.0
2023-08-01,35.08,35.781,34.92,35.4,1110069.0
2023-08-02,35.03,35.12,34.49,34.92,467179.0
2023-08-03,34.87,34.97,34.1,34.21,636904.0
2023-08-04,32.67,33.58,31.67,31.77,2104925.0
2023-08-07,31.44,33.355,31.16,32.77,1770199.0
2023-08-08,32.21,33.42,32.12,33.41,772756.0
2023-08-09,33.18,34.12,33.1,33.85,751853.0
2023-08-10,33.55,34.0,33.215,33.89,664700.0
