date,open,high,low,close,volume
2023-01-11,17.48,17.59,17.4,17.47,329603.0
2023-01-12,17.59,17.63,17.27,17.46,353114.0
2023-01-13,17.37,17.7211,17.35,17.7,282327.0
2023-01-17,17.73,17.87,17.455,17.74,369894.0
2023-01-18,17.83,18.12,17.75,17.8,439117.0
2023-01-19,17.64,17.95,17.345,17.86,453762.0
2023-01-20,17.94,18.05,17.79,18.0,377930.0
2023-01-23,18.0,18.3,17.89,18.15,675124.0
2023-01-24,18.14,18.53,18.05,18.39,471789.0
2023-01-25,18.28,18.3699,17.7501,18.18,413266.0
2023-01-26,18.33,18.38,17.58,17.92,437118.0
2023-01-27,18.0,18.5,17.9669,18.4,351232.0
2023-01-30,18.26,18.52,17.99,17.99,377160.0
2023-01-31,17.99,18.56,17.87,18.53,304617.0
2023-02-01,18.55,19.28,18.55,19.13,445485.0
2023-02-02,19.38,19.55,18.67,18.82,443020.0
2023-02-03,18.66,19.71,18.56,19.37,804999.0
2023-02-06,19.38,19.54,19.1,19.42,407402.0
2023-02-07,19.51,19.79,19.1,19.42,993705.0
2023-02-08,19.42,19.819,19.375,19.63,374451.0
2023-02-09,19.8,19.9299,19.38,19.6,520981.0
2023-02-10,19.5,19.6,18.96,19.18,408082.0
2023-02-13,19.18,19.3,18.75,18.76,461577.0
2023-02-14,18.7,18.88,18.33,18.61,613848.0
2023-02-15,18.52,18.8,18.13,18.64,342734.0
2023-02-16,18.59,19.36,18.46,19.28,427844.0
2023-02-17,19.4,19.69,19.27,19.62,551456.0
2023-02-21,19.1,19.17,18.525,18.63,530218.0
2023-02-22,18.62,18.76,18.2713,18.55,333635.0
2023-02-23,18.72,19.41,18.72,19.4,485759.0
2023-02-24,19.22,19.56,19.05,19.48,420506.0
2023-02-27,19.51,20.27,19.51,20.08,799338.0
2023-02-28,20.07,20.1,19.26,19.38,690116.0
2023-03-01,20.3,21.15,19.81,20.54,1691133.0
2023-03-02,20.39,20.83,20.0,20.7,1206275.0
2023-03-03,20.79,21.07,20.51,21.07,1080806.0
2023-03-06,21.0,21.08,20.3432,20.58,798742.0
2023-03-07,20.58,20.84,20.38,20.49,1004963.0
2023-03-08,20.6,20.92,20.352,20.59,640701.0
2023-03-09,20.54,20.67,19.45,19.46,702952.0
2023-03-10,19.52,19.8,19.01,19.25,649154.0
2023-03-13,18.81,19.56,18.585,18.97,774178.0
2023-03-14,19.45,19.87,19.25,19.51,453276.0
2023-03-15,19.0,19.1685,18.61,19.06,583010.0
2023-03-16,18.9,19.09,18.36,19.04,382594.0
2023-03-17,18.93,19.12,18.09,18.34,868390.0
2023-03-20,18.48,18.69,17.98,18.03,451992.0
2023-03-21,18.37,18.9388,18.33,18.52,461602.0
2023-03-22,18.45,18.63,18.07,18.07,380667.0
2023-03-23,18.3,18.49,18.12,18.31,474285.0
2023-03-24,18.12,18.13,17.78,18.08,347739.0
2023-03-27,18.16,18.4142,17.8796,18.28,328913.0
2023-03-28,18.3,18.63,18.3,18.45,302391.0
2023-03-29,18.61,18.79,18.5,18.66,302503.0
2023-03-30,18.82,18.99,18.395,18.52,230915.0
2023-03-31,18.61,18.78,18.4301,18.74,748818.0
2023-04-03,18.65,18.84,18.25,18.44,717663.0
2023-04-04,18.44,18.75,18.16,18.23,371918.0
2023-04-05,18.11,18.56,17.85,18.51,840966.0
2023-04-06,18.6,18.73,18.3255,18.41,686312.0
2023-04-10,18.5,18.89,18.45,18.82,773074.0
2023-04-11,18.98,19.59,18.9525,19.45,830246.0
2023-04-12,19.6,19.835,19.495,19.58,750633.0
2023-04-13,19.8,20.29,19.8,20.1,561680.0
2023-04-14,20.23,20.48,20.09,20.43,444473.0
2023-04-17,20.49,20.84,20.47,20.68,855759.0
