date,open,high,low,close,volume
2023-01-11,7.69,7.86,7.64,7.79,103959.0
2023-01-12,7.81,7.91,7.77,7.82,119907.0
2023-01-13,7.8,7.96,7.7566,7.91,122448.0
2023-01-17,7.8,7.86,7.59,7.61,183691.0
2023-01-18,7.53,7.72,7.53,7.67,169457.0
2023-01-19,7.66,7.68,7.54,7.62,101792.0
2023-01-20,7.6,7.7,7.55,7.6,160923.0
2023-01-23,7.66,7.74,7.45,7.56,235040.0
2023-01-24,7.56,7.7,7.5019,7.68,131261.0
2023-01-25,7.65,7.68,7.5367,7.65,111983.0
2023-01-26,7.65,7.85,7.61,7.75,190319.0
2023-01-27,7.77,7.91,7.76,7.84,232124.0
2023-01-30,7.79,7.9,7.77,7.79,145818.0
2023-01-31,7.8,8.02,7.78,8.0,231987.0
2023-02-01,8.06,8.39,8.01,8.38,298821.0
2023-02-02,8.45,8.538,8.32,8.38,258244.0
2023-02-03,8.36,8.57,8.26,8.5,241230.0
2023-02-06,8.5,8.64,8.32,8.62,266496.0
2023-02-07,8.65,8.65,8.25,8.3,244564.0
2023-02-08,8.28,8.42,8.11,8.39,263692.0
2023-02-09,8.48,8.58,8.25,8.27,216466.0
2023-02-10,8.25,8.39,8.2,8.35,190623.0
2023-02-13,8.3,8.58,8.18,8.44,189008.0
2023-02-14,8.05,8.43,7.7468,8.27,426099.0
2023-02-15,8.25,8.51,8.1701,8.32,371812.0
2023-02-16,8.28,8.28,8.05,8.24,208850.0
2023-02-17,8.2,8.42,8.16,8.36,152202.0
2023-02-21,8.29,8.29,7.805,7.91,314820.0
2023-02-22,7.9,7.995,7.78,7.95,125389.0
2023-02-23,7.97,8.1,7.71,7.72,151180.0
2023-02-24,7.57,7.78,7.41,7.7,181765.0
2023-02-27,7.79,7.8957,7.62,7.75,182546.0
2023-02-28,7.74,7.78,7.63,7.72,135227.0
2023-03-01,7.71,7.87,7.61,7.84,179256.0
2023-03-02,7.84,7.935,7.7613,7.91,102154.0
2023-03-03,7.96,8.115,7.9448,8.03,121832.0
2023-03-06,8.05,8.08,7.885,7.95,97956.0
2023-03-07,7.93,8.05,7.835,8.04,303848.0
2023-03-08,8.04,8.07,7.66,7.85,134775.0
2023-03-09,7.84,7.885,7.64,7.64,134392.0
2023-03-10,7.64,7.72,7.28,7.3,135226.0
2023-03-13,7.15,7.2838,7.02,7.15,205083.0
2023-03-14,7.2,7.4,7.18,7.29,289349.0
2023-03-15,7.16,7.16,6.915,7.0,205220.0
2023-03-16,6.86,7.14,6.83,7.07,170884.0
2023-03-17,6.99,7.02,6.63,6.84,357353.0
2023-03-20,6.84,6.89,6.78,6.82,128814.0
2023-03-21,6.87,7.0667,6.84,6.89,150620.0
2023-03-22,6.88,7.25,6.88,7.08,117150.0
2023-03-23,7.1,7.16,6.82,6.96,160256.0
2023-03-24,6.96,7.12,6.95,7.12,106199.0
2023-03-27,7.09,7.26,7.09,7.16,69089.0
2023-03-28,7.12,7.4,7.12,7.35,204418.0
2023-03-29,7.4,7.48,7.33,7.44,81049.0
2023-03-30,7.48,7.63,7.23,7.31,135072.0
2023-03-31,7.33,7.69,7.2856,7.66,476190.0
2023-04-03,7.72,7.82,7.7,7.71,118216.0
2023-04-04,7.86,8.24,7.78,8.13,394119.0
2023-04-05,8.11,8.17,7.932,8.16,332341.0
2023-04-06,8.11,8.1526,8.01,8.01,118610.0
2023-04-10,8.03,8.1698,7.96,8.11,101358.0
2023-04-11,8.14,8.26,8.13,8.24,111747.0
2023-04-12,8.29,8.355,8.23,8.25,83393.0
2023-04-13,8.25,8.4399,8.11,8.18,632728.0
2023-04-14,8.17,8.26,7.86,7.9,255496.0
2023-04-17,8.49,8.55,7.96,8.02,497293.0
2023-04-18,8.01,8.15,7.79,7.97,563868.0
2023-04-19,7.95,8.165,7.84,8.12,244529.0
2023-04-20,8.04,8.2,8.0,8.19,364934.0
2023-04-21,8.24,8.29,8.02,8.18,278206.0
2023-04-24,8.3,8.3,7.52,8.13,558104.0
2023-04-25,8.13,8.43,7.99,8.16,506189.0
2023-04-26,8.15,8.225,8.03,8.15,210823.0
2023-04-27,8.06,8.32,8.06,8.31,352380.0
2023-04-28,8.3,8.38,8.2,8.26,244180.0
2023-05-01,8.23,8.5,8.225,8.35,408360.0
2023-05-02,8.35,8.41,8.15,8.41,689526.0
2023-05-03,8.41,8.46,8.08,8.08,235638.0
2023-05-04,8.05,8.15,7.7301,7.78,263290.0
2023-05-05,7.8,8.04,7.79,7.97,155164.0
2023-05-08,7.94,8.13,7.94,8.08,257461.0
2023-05-09,8.05,8.34,8.05,8.32,386783.0
2023-05-10,8.4,8.44,8.23,8.27,271198.0
2023-05-11,8.18,8.18,7.91,8.09,170315.0
2023-05-12,8.12,8.265,7.94,7.98,213746.0
2023-05-15,7.99,8.238,7.96,8.09,228601.0
2023-05-16,8.07,8.28,8.05,8.22,214563.0
2023-05-17,8.23,8.25,8.04,8.12,306236.0
2023-05-18,8.13,8.4227,8.08,8.3,345963.0
2023-05-19,8.37,8.37,8.09,8.13,173152.0
2023-05-22,8.13,8.33,8.1,8.29,211352.0
2023-05-23,8.28,8.34,8.18,8.19,207452.0
2023-05-24,8.17,8.19,8.05,8.15,298738.0
2023-05-25,8.15,8.22,7.96,8.19,269021.0
2023-05-26,8.2,8.25,8.11,8.12,140179.0
2023-05-30,8.06,8.11,7.93,7.98,293078.0
2023-05-31,7.98,8.3,7.949,8.28,1202356.0
2023-06-01,8.3,8.67,8.21,8.53,435420.0
2023-06-02,8.61,8.68,8.45,8.52,388289.0
2023-06-05,8.5,8.52,8.02,8.09,395589.0
2023-06-06,8.07,8.32,8.01,8.31,701275.0
2023-06-07,8.35,8.365,8.1401,8.22,306516.0
2023-06-08,8.2,8.25,7.66,7.7,3905291.0
2023-06-09,7.75,7.84,7.48,7.68,563996.0
2023-06-12,7.73,7.845,7.7,7.74,487189.0
2023-06-13,8.0,8.17,7.91,7.97,1562020.0
2023-06-14,7.99,8.0,7.49,7.76,4407219.0
2023-06-15,7.71,7.77,7.5,7.54,2016578.0
2023-06-16,7.52,7.64,7.44,7.6,985923.0
2023-06-20,7.59,7.66,7.52,7.64,562667.0
2023-06-21,7.65,7.69,7.605,7.64,377342.0
2023-06-22,7.65,7.65,7.47,7.6,1101508.0
2023-06-23,7.52,7.62,7.36,7.36,808761.0
2023-06-26,7.34,7.52,7.29,7.47,557397.0
2023-06-27,7.51,7.64,7.42,7.59,631293.0
2023-06-28,7.61,7.75,7.37,7.72,611665.0
2023-06-29,7.69,7.77,7.63,7.63,1352980.0
2023-06-30,7.67,7.7,7.48,7.57,662946.0
2023-07-03,7.57,7.63,7.505,7.56,562238.0
2023-07-05,7.6,7.62,7.435,7.51,2101660.0
2023-07-06,7.47,7.565,7.4401,7.48,960177.0
2023-07-07,7.45,7.53,7.39,7.41,1591048.0
2023-07-10,7.4,7.51,7.31,7.46,875941.0
2023-07-11,7.48,7.5,7.41,7.44,845019.0
2023-07-12,7.5,7.505,7.44,7.47,1061837.0
2023-07-13,7.48,7.6,7.345,7.44,2683015.0
2023-07-14,7.4,7.505,7.34,7.46,2077959.0
2023-07-17,7.46,7.49,7.41,7.45,1975728.0
2023-07-18,7.44,7.49,7.2,7.23,2172601.0
2023-07-19,7.22,7.43,7.14,7.39,1429306.0
2023-07-20,7.36,7.41,7.28,7.32,813424.0
2023-07-21,7.36,7.45,7.29,7.44,849026.0
2023-07-24,7.49,7.53,7.39,7.41,2597748.0
2023-07-25,7.39,7.4,7.03,7.29,5126666.0
2023-07-26,7.32,7.47,7.265,7.44,2465757.0
2023-07-27,7.69,8.015,7.55,7.77,2920985.0
2023-07-28,7.81,8.05,7.71,8.04,1777790.0
2023-07-31,8.0,8.03,7.71,7.78,1345894.0
2023-08-01,7.77,7.94,7.69,7.89,1377886.0
2023-08-02,7.87,8.02,7.755,7.86,3413883.0
2023-08-03,7.84,7.87,7.5,7.57,1734187.0
2023-08-04,7.57,7.68,7.5425,7.6,961992.0
2023-08-07,7.7,7.78,7.565,7.67,937016.0
2023-08-08,7.68,7.68,7.51,7.6,777862.0
2023-08-09,7.7,8.0,7.7,7.95,1302519.0
2023-08-10,7.95,8.0,7.67,7.69,822224.0
2023-08-11,7.69,7.855,7.635,7.65,963158.0
2023-08-14,7.72,7.93,7.63,7.87,1091253.0
2023-08-15,7.85,8.04,7.75,7.99,1562253.0
2023-08-16,7.89,8.005,7.83,7.85,854868.0
2023-08-17,7.85,8.02,7.815,7.87,1108070.0
2023-08-18,7.85,8.025,7.69,8.01,1148539.0
2023-08-21,8.02,8.0797,7.88,7.97,791761.0
2023-08-22,8.01,8.02,7.945,8.0,544118.0
2023-08-23,7.97,8.04,7.92,8.02,567927.0
2023-08-24,7.99,8.05,7.9408,8.02,547986.0
2023-08-25,8.06,8.0727,7.95,7.99,457784.0
2023-08-28,7.96,8.03,7.879,7.92,639692.0
2023-08-29,7.91,7.935,7.51,7.56,922280.0
2023-08-30,7.53,7.73,7.53,7.71,1211689.0
2023-08-31,7.7,7.84,7.66,7.76,1917016.0
2023-09-01,7.75,7.75,7.6,7.67,673147.0
2023-09-05,7.67,7.92,7.66,7.88,1151722.0
2023-09-06,7.9,7.9,7.77,7.78,672172.0
2023-09-07,7.73,7.795,7.59,7.6,686993.0
