date,open,high,low,close,volume
2023-01-11,24.52,24.79,24.38,24.75,275689.0
2023-01-12,24.95,25.51,24.935,25.38,342461.0
2023-01-13,25.09,25.46,24.73,25.33,158052.0
2023-01-17,25.25,25.365,24.82,25.0,98880.0
2023-01-18,24.84,24.91,24.13,24.16,93014.0
2023-01-19,24.0,24.265,23.92,24.21,111560.0
2023-01-20,24.48,24.61,24.22,24.55,164004.0
2023-01-23,24.55,24.85,24.455,24.61,197911.0
2023-01-24,24.63,24.74,24.32,24.54,79387.0
2023-01-25,24.0,24.0,22.29,22.89,409509.0
2023-01-26,22.89,23.1499,22.66,23.05,156557.0
2023-01-27,23.04,23.22,22.8,23.14,161273.0
2023-01-30,23.07,23.23,22.825,22.94,125387.0
2023-01-31,23.07,23.45,22.85,23.29,232890.0
2023-02-01,23.12,23.99,23.1001,23.7,208109.0
2023-02-02,23.72,24.19,23.72,24.11,120669.0
2023-02-03,23.74,24.16,23.49,24.12,146312.0
2023-02-06,24.02,24.12,23.54,23.71,113566.0
2023-02-07,23.57,24.08,23.4501,23.94,263353.0
2023-02-08,23.76,23.915,23.64,23.65,146419.0
2023-02-09,23.85,23.94,23.45,23.47,181773.0
2023-02-10,23.59,23.81,23.3108,23.64,226772.0
2023-02-13,23.61,24.0494,23.61,24.0,126651.0
2023-02-14,23.95,24.01,23.59,23.71,176576.0
2023-02-15,23.52,24.06,23.49,23.93,93484.0
2023-02-16,23.7,23.89,23.56,23.61,160743.0
2023-02-17,23.75,24.14,23.46,23.88,497212.0
2023-02-21,23.67,23.96,23.57,23.93,263596.0
2023-02-22,24.04,24.125,23.6854,23.84,191658.0
2023-02-23,23.99,24.29,23.94,24.2,201745.0
2023-02-24,24.0,24.125,23.77,23.97,95397.0
2023-02-27,24.13,24.16,23.66,23.74,97457.0
2023-02-28,23.79,23.91,23.58,23.62,171079.0
2023-03-01,23.55,23.7,23.43,23.57,132396.0
2023-03-02,23.38,23.38,22.97,23.22,124412.0
2023-03-03,23.32,23.52,23.1,23.44,101240.0
2023-03-06,23.45,23.45,22.89,23.12,169251.0
2023-03-07,23.07,23.07,22.685,22.8,148124.0
2023-03-08,22.9,23.07,22.57,22.96,161241.0
2023-03-09,22.76,22.81,21.55,21.64,202759.0
2023-03-10,21.23,21.785,20.55,21.45,246291.0
2023-03-13,20.4,21.17,19.37,20.03,578405.0
2023-03-14,21.07,23.0699,19.725,19.87,590870.0
2023-03-15,19.0,20.01,18.95,19.72,450333.0
2023-03-16,19.24,21.1,19.05,20.73,302724.0
2023-03-17,20.42,20.86,19.21,19.27,1470012.0
2023-03-20,19.5,20.17,19.26,19.31,320342.0
2023-03-21,20.11,20.9,19.78,20.05,435551.0
2023-03-22,20.07,20.1,19.12,19.14,220233.0
2023-03-23,19.52,19.72,18.43,18.47,189439.0
2023-03-24,18.2,18.85,18.14,18.72,419973.0
2023-03-27,19.06,19.55,19.06,19.19,229720.0
2023-03-28,19.2,19.39,18.835,18.97,324219.0
2023-03-29,19.11,19.18,18.72,18.88,156298.0
2023-03-30,19.06,19.2,18.245,18.34,202008.0
2023-03-31,18.41,18.6,18.24,18.57,174693.0
2023-04-03,18.56,18.66,18.23,18.43,143351.0
2023-04-04,18.44,18.4899,17.78,17.99,140680.0
2023-04-05,17.86,18.07,17.695,17.97,156207.0
2023-04-06,17.94,18.34,17.94,18.31,125852.0
2023-04-10,18.21,18.61,18.2066,18.28,188722.0
2023-04-11,18.29,18.355,18.005,18.09,96166.0
2023-04-12,18.2,18.325,17.8,17.86,87241.0
2023-04-13,17.93,18.27,17.84,18.16,93411.0
2023-04-14,18.38,18.395,17.68,17.79,105750.0
2023-04-17,17.76,18.19,17.605,18.19,250701.0
2023-04-18,18.3,18.3,17.7,17.82,92213.0
2023-04-19,17.92,18.45,17.72,18.28,131435.0
2023-04-20,18.14,18.27,17.91,18.08,104005.0
2023-04-21,18.1,18.15,17.85,18.12,152335.0
2023-04-24,17.98,18.28,17.85,17.89,179650.0
2023-04-25,17.73,18.45,17.2,17.23,162568.0
2023-04-26,17.0,17.3,15.8,16.09,217479.0
2023-04-27,16.26,16.72,16.04,16.29,165360.0
2023-04-28,16.27,16.7,16.12,16.16,188273.0
2023-05-01,15.63,16.09,15.592,15.66,215352.0
2023-05-02,15.67,15.82,14.91,14.94,260820.0
2023-05-03,14.99,15.33,14.5,14.56,243582.0
2023-05-04,14.31,14.52,13.35,14.06,244293.0
2023-05-05,14.13,14.5853,14.08,14.5,260856.0
2023-05-08,14.8,15.0,14.12,14.13,232077.0
2023-05-09,14.07,14.455,13.855,14.0,174927.0
2023-05-10,14.19,14.37,13.82,14.01,192693.0
2023-05-11,13.8,14.09,13.68,13.73,186282.0
2023-05-12,13.87,13.915,13.64,13.77,152437.0
2023-05-15,13.69,14.26,13.69,14.12,140956.0
2023-05-16,14.17,14.32,13.85,13.88,110152.0
2023-05-17,14.25,15.1,13.78,15.0,195359.0
2023-05-18,15.05,15.23,14.8112,15.14,232774.0
2023-05-19,15.29,15.355,14.59,14.7,197371.0
2023-05-22,14.87,15.21,14.555,15.15,188674.0
2023-05-23,15.15,15.64,15.1001,15.35,203131.0
2023-05-24,15.25,15.295,14.99,15.0,268891.0
2023-05-25,14.98,15.09,14.62,14.72,177278.0
2023-05-26,14.72,15.02,14.39,14.95,112988.0
2023-05-30,14.99,15.5599,14.7,14.88,91167.0
2023-05-31,14.79,14.82,14.345,14.4,146145.0
2023-06-01,14.48,14.93,14.18,14.71,167847.0
2023-06-02,14.96,15.93,14.86,15.88,175461.0
2023-06-05,15.87,15.87,15.115,15.24,156641.0
2023-06-06,15.18,16.49,15.18,16.34,219326.0
2023-06-07,16.55,17.21,16.53,17.07,236525.0
2023-06-08,16.91,16.91,16.43,16.77,201529.0
2023-06-09,16.71,16.71,16.06,16.25,247894.0
2023-06-12,16.27,16.77,16.01,16.15,181068.0
2023-06-13,16.16,16.66,16.15,16.48,173416.0
2023-06-14,16.51,16.68,16.04,16.1,166664.0
2023-06-15,15.99,16.49,15.96,16.46,164578.0
2023-06-16,16.56,16.56,15.88,16.19,522470.0
2023-06-20,16.19,16.215,15.81,15.92,142391.0
2023-06-21,15.91,15.91,15.7,15.71,281569.0
2023-06-22,15.59,15.72,15.1,15.38,273739.0
2023-06-23,15.23,15.49,15.07,15.21,271737.0
2023-06-26,15.29,15.62,15.13,15.14,256590.0
2023-06-27,15.22,15.56,15.0,15.36,260105.0
2023-06-28,15.3,15.51,15.02,15.13,199211.0
2023-06-29,15.26,15.53,15.26,15.28,130892.0
2023-06-30,15.41,15.69,14.92,14.93,190609.0
2023-07-03,15.0,15.37,15.0,15.3,140662.0
2023-07-05,15.18,15.47,14.955,15.2,179136.0
2023-07-06,15.0,15.095,14.7,14.95,178069.0
2023-07-07,14.97,15.57,14.94,15.32,598051.0
2023-07-10,15.33,15.92,15.33,15.62,276682.0
2023-07-11,15.66,15.91,15.1941,15.7,132141.0
2023-07-12,16.04,16.35,15.98,16.26,194403.0
2023-07-13,16.33,16.58,16.22,16.52,202165.0
2023-07-14,16.67,16.67,16.19,16.26,161861.0
2023-07-17,16.23,16.7,16.21,16.52,82363.0
2023-07-18,16.53,17.07,16.485,16.98,204292.0
2023-07-19,17.12,17.4075,16.975,17.29,178664.0
2023-07-20,17.3,17.3167,16.97,17.21,148661.0
2023-07-21,17.39,17.39,17.04,17.06,139108.0
2023-07-24,17.09,17.8,17.09,17.75,129913.0
2023-07-25,17.78,18.09,17.74,17.78,215706.0
2023-07-26,18.05,18.85,17.95,18.5,308842.0
2023-07-27,18.63,19.15,18.563,18.65,207704.0
2023-07-28,18.88,19.26,18.61,19.06,147186.0
2023-07-31,19.03,19.13,18.635,19.0,190160.0
2023-08-01,18.79,18.98,18.515,18.82,162708.0
2023-08-02,18.57,18.84,18.465,18.78,116310.0
2023-08-03,18.68,19.057,18.5,19.0,131801.0
2023-08-04,18.7,19.15,18.62,19.06,153326.0
2023-08-07,18.99,19.61,18.97,19.55,164931.0
2023-08-08,19.18,19.38,18.7,19.3,127032.0
2023-08-09,19.27,19.27,18.94,19.08,180865.0
2023-08-10,19.17,19.33,18.87,19.01,226132.0
2023-08-11,19.0,19.1215,18.95,19.1,101499.0
2023-08-14,18.99,19.08,18.61,18.65,194634.0
2023-08-15,18.46,18.72,17.99,18.02,209779.0
2023-08-16,17.99,18.22,17.8,17.86,137073.0
2023-08-17,17.99,18.12,17.8,17.9,86463.0
2023-08-18,17.69,18.08,17.69,17.87,342139.0
2023-08-21,17.98,18.07,17.54,17.56,111800.0
2023-08-22,17.57,17.927,17.07,17.08,123423.0
2023-08-23,17.17,17.46,16.99,17.3,86707.0
2023-08-24,17.24,17.6392,17.13,17.35,121307.0
2023-08-25,17.41,17.5,16.92,17.17,64873.0
2023-08-28,17.27,17.6,17.27,17.5,78587.0
2023-08-29,17.51,17.75,17.31,17.52,111332.0
2023-08-30,17.6,17.6,17.28,17.29,181328.0
2023-08-31,17.38,17.49,17.25,17.32,108477.0
2023-09-01,17.5,18.02,17.5,17.95,117680.0
2023-09-05,17.82,17.82,17.24,17.35,134967.0
2023-09-06,17.27,17.48,16.83,16.84,104651.0
2023-09-07,16.78,16.955,16.4,16.53,226822.0
