date,open,high,low,close,volume
2023-01-11,14.48,14.575,14.38,14.57,11205877.0
2023-01-12,14.6,14.74,14.55,14.65,10520623.0
2023-01-13,14.49,14.6,14.13,14.58,18410898.0
2023-01-17,14.54,14.58,14.41,14.5,17971679.0
2023-01-18,14.41,14.49,14.05,14.07,16754176.0
2023-01-19,13.95,14.13,13.781,14.02,24312541.0
2023-01-20,14.17,14.445,13.75,14.11,24914213.0
2023-01-23,14.18,14.755,14.115,14.74,20103769.0
2023-01-24,14.76,14.8176,14.585,14.68,11088560.0
2023-01-25,14.61,14.75,14.4601,14.75,13122519.0
2023-01-26,14.89,14.95,14.78,14.92,11508667.0
2023-01-27,14.915,15.06,14.9,15.01,11921762.0
2023-01-30,14.94,15.02,14.83,14.84,9498986.0
2023-01-31,14.83,15.195,14.75,15.17,29536637.0
2023-02-01,15.0,15.37,14.93,15.22,16821284.0
2023-02-02,15.3,15.6,15.15,15.5,16912905.0
2023-02-03,15.395,15.57,15.345,15.45,12975885.0
2023-02-06,15.36,15.4,15.25,15.36,9787971.0
2023-02-07,15.34,15.62,15.29,15.57,12364878.0
2023-02-08,15.45,15.59,15.39,15.44,9641142.0
2023-02-09,15.5,15.5291,15.19,15.26,10169070.0
2023-02-10,15.21,15.28,15.1,15.23,7695809.0
2023-02-13,15.17,15.42,15.15,15.38,8589133.0
2023-02-14,15.36,15.4145,15.16,15.35,9903875.0
2023-02-15,15.22,15.44,15.18,15.41,8182623.0
2023-02-16,15.27,15.42,15.185,15.34,8596468.0
2023-02-17,15.37,15.43,15.13,15.4,12383948.0
2023-02-21,15.34,15.36,14.95,15.03,10887674.0
2023-02-22,15.01,15.065,14.86,14.93,15023125.0
2023-02-23,15.01,15.13,14.9,15.09,9539601.0
2023-02-24,14.97,15.31,14.905,15.29,10727690.0
2023-02-27,15.44,15.54,15.27,15.31,10134930.0
2023-02-28,15.34,15.41,15.27,15.32,14643160.0
2023-03-01,15.31,15.3599,15.13,15.3,11757661.0
2023-03-02,15.18,15.205,14.785,14.97,11210108.0
2023-03-03,15.03,15.25,14.9,15.22,14027362.0
2023-03-06,15.24,15.36,15.12,15.18,11530854.0
2023-03-07,15.13,15.13,14.41,14.45,18582465.0
2023-03-08,14.46,14.57,14.37,14.44,17392837.0
2023-03-09,14.27,14.36,13.72,13.74,20986228.0
2023-03-10,13.24,13.68,12.66,13.37,43247693.0
2023-03-13,11.96,11.96,10.56,11.12,79742788.0
2023-03-14,13.02,13.28,10.7,11.05,67471571.0
2023-03-15,10.68,10.86,9.94,10.85,71165728.0
2023-03-16,10.75,11.26,10.1,11.13,47795406.0
2023-03-17,10.62,10.7,10.25,10.34,80446716.0
2023-03-20,10.575,10.89,10.45,10.64,30271007.0
2023-03-21,11.11,11.32,10.9,11.24,34061938.0
2023-03-22,11.22,11.22,10.62,10.66,25851994.0
2023-03-23,10.75,11.07,10.62,10.68,38668642.0
2023-03-24,10.51,10.82,10.408,10.78,21347550.0
2023-03-27,11.19,11.42,10.96,11.115,24809577.0
2023-03-28,11.11,11.235,10.94,11.12,14751736.0
2023-03-29,11.25,11.36,11.18,11.34,14239515.0
2023-03-30,11.51,11.525,11.07,11.14,15931146.0
2023-03-31,11.26,11.3,11.03,11.2,15360472.0
2023-04-03,11.27,11.385,11.0,11.17,17960930.0
2023-04-04,11.23,11.25,10.73,10.98,17010625.0
2023-04-05,10.76,11.09,10.71,11.04,16483142.0
2023-04-06,11.15,11.3366,11.02,11.19,14406058.0
2023-04-10,11.1,11.48,11.0304,11.3,16774179.0
2023-04-11,11.3,11.5,11.27,11.4,10479425.0
2023-04-12,11.44,11.5572,11.27,11.32,14995218.0
2023-04-13,11.3,11.45,11.12,11.33,14317414.0
2023-04-14,11.56,11.58,11.28,11.41,13932830.0
2023-04-17,11.49,11.745,11.14,11.71,16107221.0
2023-04-18,11.73,11.7399,11.49,11.6,18141029.0
2023-04-19,11.65,11.89,11.47,11.84,15951877.0
2023-04-20,11.9,12.04,11.5,11.63,15658823.0
2023-04-21,11.59,11.59,11.375,11.44,13493212.0
2023-04-24,11.45,11.465,11.17,11.2,14696934.0
2023-04-25,11.0,11.16,10.805,10.94,18822177.0
2023-04-26,10.9,11.06,10.72,10.83,16139330.0
2023-04-27,10.92,11.21,10.88,11.15,10426322.0
2023-04-28,11.1,11.365,11.05,11.2,17237707.0
2023-05-01,11.21,11.245,10.95,10.99,14412632.0
2023-05-02,10.93,10.9301,10.08,10.3,26016452.0
2023-05-03,10.4,10.52,10.04,10.07,17779686.0
