date,open,high,low,close,volume
2023-01-11,69.3,70.76,68.9,70.69,149003.0
2023-01-12,71.32,72.49,69.725,72.38,172823.0
2023-01-13,71.49,73.94,71.17,73.36,138900.0
2023-01-17,72.91,73.63,71.815,73.13,174893.0
2023-01-18,73.4,74.64,72.33,72.42,117207.0
2023-01-19,71.72,72.07,70.625,71.79,149563.0
2023-01-20,72.59,74.82,71.81,73.58,205752.0
2023-01-23,73.78,75.59,73.26,75.0,188387.0
2023-01-24,74.78,75.932,74.3,75.07,140547.0
2023-01-25,74.28,75.0979,73.406,74.86,166786.0
2023-01-26,75.51,75.975,74.44,75.95,220633.0
2023-01-27,75.76,77.8,75.76,77.19,154284.0
2023-01-30,76.45,77.8498,76.34,76.9,123019.0
2023-01-31,77.08,78.42,76.98,77.86,178671.0
2023-02-01,77.49,79.65,76.8,78.62,145997.0
2023-02-02,79.37,80.885,78.93,79.55,145249.0
2023-02-03,78.24,79.94,78.24,79.87,157063.0
2023-02-06,79.02,80.43,78.45,78.61,333456.0
2023-02-07,72.73,78.49,72.73,77.46,407025.0
2023-02-08,77.41,78.47,76.7,78.12,231429.0
2023-02-09,78.76,79.04,75.66,75.91,173709.0
2023-02-10,75.62,77.51,75.165,77.21,190639.0
2023-02-13,77.69,79.57,77.27,79.17,156661.0
2023-02-14,78.69,80.02,78.38,79.78,136085.0
2023-02-15,79.29,80.97,78.7496,80.75,121081.0
2023-02-16,79.88,81.23,78.105,80.52,150584.0
2023-02-17,80.61,81.14,79.742,80.95,128739.0
2023-02-21,79.72,80.775,78.245,78.95,293007.0
2023-02-22,79.06,79.57,77.03,77.59,180432.0
2023-02-23,78.13,78.62,77.15,78.14,92923.0
2023-02-24,77.1,77.89,76.515,77.49,85775.0
2023-02-27,78.2,79.23,77.77,78.0,104762.0
2023-02-28,77.9,78.895,77.325,77.8,160935.0
2023-03-01,77.76,78.57,77.39,77.64,130092.0
2023-03-02,77.06,77.47,76.43,77.29,82129.0
2023-03-03,77.9,78.3,77.49,77.54,107556.0
2023-03-06,77.48,78.93,76.885,77.94,143838.0
2023-03-07,76.95,76.95,75.42,75.96,356275.0
2023-03-08,76.14,77.88,76.04,77.5,220691.0
2023-03-09,77.37,77.53,73.1869,73.29,188428.0
2023-03-10,72.91,72.91,65.21,65.44,875248.0
2023-03-13,64.25,67.11,62.47,64.76,550278.0
2023-03-14,67.26,67.95,64.88,65.63,556273.0
2023-03-15,66.12,67.21,64.89,66.75,408071.0
2023-03-16,65.91,69.45,65.71,68.81,281015.0
2023-03-17,67.98,69.5,67.23,68.86,531435.0
2023-03-20,69.38,70.7,68.3,69.13,212439.0
2023-03-21,70.15,71.91,69.105,71.27,121396.0
2023-03-22,71.17,71.8,69.58,69.87,198554.0
2023-03-23,70.14,71.72,70.015,71.17,219318.0
2023-03-24,70.43,71.38,69.45,71.14,147199.0
2023-03-27,72.1,72.59,71.24,71.79,110505.0
2023-03-28,71.51,71.91,70.85,71.69,88674.0
2023-03-29,72.36,72.93,70.96,71.53,97870.0
2023-03-30,72.23,72.69,71.15,71.35,149885.0
