date,open,high,low,close,volume
2023-01-11,19.925,20.26,19.925,20.04,63000.0
2023-01-12,20.22,20.55,20.04,20.33,67131.0
2023-01-13,20.3,20.5,19.883,20.4,32373.0
2023-01-17,20.4,20.7099,20.1,20.1,30671.0
2023-01-18,19.96,20.35,19.95,20.2,49418.0
2023-01-19,20.15,20.2,19.55,19.66,44925.0
2023-01-20,19.605,19.77,19.57,19.7,43080.0
2023-01-23,19.75,19.91,19.57,19.71,47580.0
2023-01-24,19.78,20.08,19.63,19.95,44996.0
2023-01-25,19.88,20.43,19.7,20.29,46676.0
2023-01-26,20.27,20.3713,19.94,20.14,39151.0
2023-01-27,20.17,20.66,20.14,20.52,24301.0
2023-01-30,20.49,20.63,20.41,20.5,23116.0
2023-01-31,20.34,21.21,20.34,21.06,43335.0
2023-02-01,21.04,21.25,20.75,20.77,48044.0
2023-02-02,20.93,21.515,20.1918,21.16,43348.0
2023-02-03,20.96,21.37,20.69,21.13,26646.0
2023-02-06,21.15,21.15,20.62,20.72,51114.0
2023-02-07,20.77,21.025,20.5134,20.88,28920.0
2023-02-08,20.68,20.96,20.6,20.91,35186.0
2023-02-09,21.1,21.245,20.97,20.97,31099.0
2023-02-10,20.845,21.08,20.845,20.85,25974.0
2023-02-13,21.0563,21.23,21.0563,21.13,17593.0
2023-02-14,20.97,21.16,20.51,20.54,35481.0
2023-02-15,20.165,20.88,20.165,20.73,25933.0
2023-02-16,20.66,21.12,20.51,21.07,48591.0
2023-02-17,20.9,21.39,20.5298,21.37,34649.0
2023-02-21,21.14,21.47,20.65,20.65,25197.0
2023-02-22,20.815,20.94,20.66,20.82,55225.0
2023-02-23,21.0,21.29,20.94,21.27,27730.0
2023-02-24,21.03,21.37,20.9401,21.31,27996.0
2023-02-27,21.5,21.63,21.0501,21.63,27961.0
2023-02-28,21.74,22.0,21.635,21.985,20249.0
2023-03-01,22.1,22.1,20.53,21.83,30961.0
2023-03-02,21.59,21.6,21.03,21.03,22136.0
2023-03-03,21.24,21.25,20.68,20.76,17783.0
2023-03-06,20.75,20.75,20.04,20.3,37850.0
2023-03-07,20.14,20.7,20.14,20.55,27901.0
2023-03-08,20.72,21.1,20.51,21.1,35589.0
2023-03-09,21.0,21.39,21.0,21.16,44483.0
2023-03-10,21.1,21.33,20.7656,20.97,80745.0
2023-03-13,20.65,20.71,20.275,20.36,34728.0
2023-03-14,20.83,20.94,20.625,20.84,26139.0
2023-03-15,20.4,20.565,20.0983,20.19,26595.0
2023-03-16,19.8,20.61,19.655,20.53,28586.0
2023-03-17,20.25,20.53,19.11,19.46,44284.0
2023-03-20,19.4473,19.78,19.43,19.5,21999.0
2023-03-21,19.56,19.73,18.52,18.52,87695.0
2023-03-22,18.39,19.15,18.39,18.76,45136.0
2023-03-23,18.96,19.405,18.77,18.78,50238.0
2023-03-24,18.76,19.15,18.5,18.63,125481.0
2023-03-27,18.88,19.1,18.88,18.9,22402.0
2023-03-28,18.95,19.005,18.53,18.85,42983.0
2023-03-29,19.01,19.135,17.81,18.43,83887.0
2023-03-30,18.44,18.6,17.83,17.9,81270.0
2023-03-31,18.08,18.26,17.75,18.19,66914.0
2023-04-03,18.17,19.01,18.135,18.98,125797.0
2023-04-04,19.14,19.14,18.65,18.77,45268.0
2023-04-05,18.83,18.83,18.31,18.31,43505.0
2023-04-06,18.1,18.43,18.1,18.33,22978.0
2023-04-10,18.19,19.0,18.19,18.73,44026.0
2023-04-11,18.8,19.06,18.71,18.82,43522.0
2023-04-12,18.97,19.085,18.67,18.99,68057.0
2023-04-13,18.47,18.55,17.59,17.83,87822.0
2023-04-14,17.81,18.53,17.5978,18.16,39592.0
2023-04-17,17.9,18.28,17.67,17.97,46251.0
2023-04-18,17.9,18.16,17.67,17.9,54492.0
2023-04-19,17.75,17.89,17.46,17.47,94118.0
2023-04-20,17.52,17.64,16.88,16.91,54593.0
2023-04-21,16.83,16.86,16.49,16.55,91762.0
