date,open,high,low,close,volume
2023-01-11,43.89,44.35,43.61,44.32,901599.0
2023-01-12,44.63,45.89,44.34,45.52,1693264.0
2023-01-13,44.57,45.62,44.48,45.5,970386.0
2023-01-17,45.31,45.9,44.92,44.95,1181287.0
2023-01-18,45.22,45.47,44.23,44.35,1049521.0
2023-01-19,43.8,43.9,42.42,43.1,1293884.0
2023-01-20,42.85,43.29,42.27,43.19,1382054.0
2023-01-23,43.39,44.46,42.99,44.38,1451770.0
2023-01-24,44.08,44.85,43.51,44.46,626227.0
2023-01-25,44.0,44.47,43.78,44.2,969176.0
2023-01-26,44.69,44.69,43.73,44.08,1094511.0
2023-01-27,44.03,45.47,43.93,45.17,1920780.0
2023-01-30,44.77,45.87,44.77,45.12,1523171.0
2023-01-31,45.47,46.05,44.92,46.03,2548101.0
2023-02-01,45.86,46.87,45.18,46.72,2606976.0
2023-02-02,50.05,51.77,49.58,51.72,4859875.0
2023-02-03,51.16,51.38,50.53,51.31,1752889.0
2023-02-06,50.87,51.145,49.9802,50.49,1604696.0
2023-02-07,50.33,50.33,49.29,50.21,1307867.0
2023-02-08,50.02,50.29,48.94,49.19,1345481.0
2023-02-09,49.63,49.75,47.77,47.82,1083845.0
2023-02-10,47.39,48.2,47.36,47.75,778656.0
2023-02-13,47.87,48.7,47.59,48.49,769154.0
2023-02-14,48.13,49.02,47.8486,48.84,812951.0
2023-02-15,48.34,49.39,48.215,48.82,1193619.0
2023-02-16,47.96,48.43,47.61,47.79,1082916.0
2023-02-17,47.76,48.78,47.36,48.47,1182508.0
2023-02-21,48.16,48.2004,47.365,47.4,901013.0
2023-02-22,47.51,48.21,47.36,47.4,601511.0
2023-02-23,47.72,48.08,46.875,47.56,519993.0
2023-02-24,46.91,47.009,46.37,46.78,928210.0
2023-02-27,47.34,47.97,47.15,47.25,1691205.0
2023-02-28,47.21,47.89,46.97,47.55,1730778.0
2023-03-01,47.77,48.235,47.29,47.49,1294979.0
2023-03-02,46.75,46.94,46.37,46.93,914142.0
2023-03-03,47.4,47.655,46.88,47.53,938587.0
2023-03-06,47.42,47.54,45.86,45.94,1926081.0
2023-03-07,45.95,46.55,45.36,45.63,2305398.0
2023-03-08,45.69,45.69,42.88,43.48,3102465.0
2023-03-09,43.25,43.445,41.15,41.31,2798927.0
2023-03-10,41.1,41.21,39.315,39.76,4264611.0
2023-03-13,38.25,39.19,36.67,38.67,4939974.0
2023-03-14,39.23,40.13,38.85,39.37,2370862.0
2023-03-15,38.51,39.38,38.26,39.25,3051271.0
2023-03-16,38.74,39.405,38.41,38.59,2630940.0
2023-03-17,38.0,38.21,36.34,37.26,3603727.0
2023-03-20,37.53,38.205,37.31,37.55,2060736.0
2023-03-21,39.15,40.07,38.85,39.04,2209035.0
2023-03-22,38.86,39.04,37.78,37.88,2114995.0
2023-03-23,37.81,38.25,36.005,36.3,2525168.0
2023-03-24,36.0,36.2,35.15,35.77,2918967.0
2023-03-27,36.43,36.78,35.85,36.49,1517439.0
2023-03-28,36.51,36.9,36.3,36.45,962216.0
2023-03-29,36.8,36.885,36.24,36.47,1344976.0
2023-03-30,36.99,37.4,36.815,37.15,1630249.0
2023-03-31,37.59,38.07,37.49,37.97,1282081.0
2023-04-03,38.0,38.845,38.0,38.54,2418756.0
2023-04-04,38.58,38.63,36.6701,36.98,1620207.0
2023-04-05,36.59,37.22,36.305,37.2,1601780.0
2023-04-06,37.13,37.15,36.34,36.5,1238707.0
2023-04-10,36.45,37.82,36.44,37.56,1902808.0
2023-04-11,37.92,38.04,37.1,37.86,1663461.0
2023-04-12,38.38,38.56,37.31,37.36,1187048.0
2023-04-13,36.26,36.765,35.6,36.71,4674500.0
2023-04-14,36.81,37.36,36.18,37.1,3283802.0
2023-04-17,36.88,37.44,36.46,37.44,1090684.0
2023-04-18,37.87,37.91,37.28,37.85,1090405.0
2023-04-19,37.5,37.8,37.175,37.68,901576.0
2023-04-20,37.2,37.68,37.01,37.25,955259.0
2023-04-21,37.5,37.755,37.04,37.6,1370939.0
2023-04-24,37.78,38.26,37.64,38.07,1582416.0
2023-04-25,37.89,38.07,37.295,37.35,1711407.0
2023-04-26,37.25,37.9,36.73,36.9,2718811.0
2023-04-27,38.18,38.24,33.8,36.76,4495299.0
2023-04-28,36.63,37.57,36.63,37.1,2075617.0
2023-05-01,37.22,37.43,36.59,36.83,1605501.0
2023-05-02,36.66,36.73,35.75,36.42,1850824.0
2023-05-03,36.23,36.57,35.47,35.58,1891795.0
2023-05-04,35.55,35.55,34.16,34.24,1986342.0
2023-05-05,34.93,35.47,34.51,35.44,1786034.0
2023-05-08,35.59,36.07,35.2,35.65,1498123.0
2023-05-09,35.4,35.54,35.17,35.41,950634.0
2023-05-10,36.07,36.22,33.83,34.18,2104906.0
2023-05-11,34.08,34.519,33.93,34.4,1780860.0
2023-05-12,34.22,34.4728,33.43,33.67,1731254.0
2023-05-15,33.33,33.34,32.322,33.02,3469470.0
2023-05-16,32.79,33.03,31.63,31.7,3187054.0
2023-05-17,31.97,33.16,31.97,32.93,2213891.0
2023-05-18,32.9,33.72,32.75,33.48,1863042.0
2023-05-19,33.58,33.615,32.49,32.49,1469427.0
2023-05-22,32.56,32.75,32.215,32.5,1315213.0
2023-05-23,32.45,33.23,32.41,32.81,1337439.0
2023-05-24,32.57,32.65,32.02,32.33,1152049.0
2023-05-25,32.08,32.91,32.05,32.8,1185726.0
2023-05-26,32.92,33.25,32.8048,32.97,836252.0
2023-05-30,33.24,33.3672,31.915,32.02,1964039.0
2023-05-31,31.7,31.99,30.85,31.11,2582964.0
2023-06-01,31.2,31.6103,30.905,31.33,1507114.0
2023-06-02,31.7,33.01,31.6155,32.87,2532040.0
2023-06-05,32.84,32.86,32.04,32.39,1385910.0
2023-06-06,32.59,34.13,32.42,34.11,2609231.0
2023-06-07,34.44,35.33,34.1,35.33,2352914.0
2023-06-08,35.38,35.54,34.77,34.84,1569815.0
2023-06-09,34.83,35.06,33.61,33.73,2291405.0
2023-06-12,33.63,33.925,33.1646,33.29,1990536.0
2023-06-13,33.58,34.99,33.44,34.95,2574054.0
2023-06-14,35.05,35.36,33.99,34.3,1401346.0
2023-06-15,33.98,34.68,33.96,34.58,1101188.0
2023-06-16,34.75,34.78,33.91,34.35,2665714.0
2023-06-20,34.12,34.29,33.82,33.97,1690431.0
2023-06-21,33.57,34.31,33.45,34.11,1139596.0
2023-06-22,33.98,34.085,33.5701,33.69,801639.0
2023-06-23,33.25,33.48,33.02,33.41,1468940.0
2023-06-26,33.6,33.99,33.46,33.81,1165938.0
2023-06-27,33.83,34.21,33.47,34.13,1174252.0
2023-06-28,33.95,34.375,33.65,34.25,1004402.0
2023-06-29,34.48,35.14,34.45,34.87,1061298.0
2023-06-30,35.23,35.48,34.96,35.21,1194249.0
2023-07-03,35.41,36.49,35.41,36.35,1259647.0
2023-07-05,36.07,36.22,35.51,35.93,1370648.0
2023-07-06,35.5,35.72,34.49,34.74,1231002.0
2023-07-07,34.71,35.41,34.585,34.8,1476601.0
2023-07-10,34.58,35.6141,34.5,35.44,1438269.0
2023-07-11,35.73,36.3638,35.385,35.96,1445347.0
2023-07-12,36.4,36.67,35.695,35.87,1499340.0
2023-07-13,35.64,36.09,35.03,36.06,2076838.0
2023-07-14,35.9,36.08,35.49,35.99,1824207.0
2023-07-17,35.82,35.95,35.185,35.29,1694465.0
2023-07-18,35.3,36.2989,35.21,35.9,2012416.0
2023-07-19,35.87,36.805,35.6,36.74,1691812.0
2023-07-20,36.5,36.85,36.01,36.6,1418964.0
2023-07-21,38.09,38.6,36.83,37.29,3080655.0
2023-07-24,37.39,37.9897,37.235,37.3,1802823.0
2023-07-25,37.06,37.59,36.56,37.29,1676830.0
2023-07-26,37.17,37.74,37.04,37.67,2332752.0
2023-07-27,38.6,40.29,37.34,37.7,5242101.0
2023-07-28,38.39,39.13,38.08,38.72,2340390.0
2023-07-31,38.68,38.785,37.95,38.61,1651272.0
2023-08-01,38.36,38.705,38.18,38.52,1284231.0
2023-08-02,38.05,38.13,37.535,37.97,1067317.0
2023-08-03,37.86,38.13,37.22,37.59,1067969.0
2023-08-04,37.7,37.83,37.11,37.55,1001872.0
2023-08-07,37.29,37.29,35.385,35.59,2250545.0
2023-08-08,35.11,35.72,34.72,35.53,1775201.0
2023-08-09,35.33,35.845,35.15,35.35,890725.0
2023-08-10,35.39,35.57,34.97,35.49,1383170.0
2023-08-11,35.06,35.2025,34.145,34.27,1372367.0
2023-08-14,34.04,34.855,33.94,34.76,1170094.0
2023-08-15,34.45,34.45,33.44,33.51,1038522.0
2023-08-16,33.19,33.5745,32.88,33.06,1247953.0
2023-08-17,33.2,33.3441,32.63,32.74,955579.0
2023-08-18,32.5,33.64,32.331,33.62,1275096.0
2023-08-21,33.7,33.9183,33.2075,33.37,968492.0
2023-08-22,33.52,33.56,32.69,32.9,777510.0
2023-08-23,32.69,33.62,32.6,33.58,979206.0
2023-08-24,33.39,33.97,33.17,33.19,783123.0
2023-08-25,33.36,33.74,33.19,33.54,662405.0
2023-08-28,33.74,34.08,33.51,33.6,683642.0
2023-08-29,33.62,34.135,33.45,34.01,633580.0
2023-08-30,33.83,34.06,33.61,33.7,789097.0
2023-08-31,33.9,34.08,33.68,33.75,996914.0
2023-09-01,33.93,34.2299,33.78,34.21,743350.0
2023-09-05,33.91,33.91,33.34,33.52,1062193.0
2023-09-06,34.07,35.155,34.07,34.58,1582048.0
2023-09-07,34.2,34.23,33.51,33.51,1657396.0
2023-09-08,33.58,33.72,33.14,33.53,795717.0
2023-09-11,33.2,33.26,31.77,32.56,1842895.0
2023-09-12,32.63,33.54,32.59,33.47,1070529.0
2023-09-13,33.46,33.715,33.385,33.65,1135665.0
2023-09-14,33.94,34.71,33.94,34.38,1194479.0
2023-09-15,33.47,34.13,33.2,33.36,3084409.0
2023-09-18,33.16,33.239,32.7,32.81,1404169.0
2023-09-19,32.93,33.13,32.69,32.83,1377921.0
2023-09-20,33.07,33.28,32.83,32.86,908521.0
2023-09-21,32.69,33.02,32.475,32.67,873598.0
2023-09-22,32.89,33.06,32.59,32.6,709205.0
2023-09-25,32.44,33.35,32.36,32.99,861126.0
2023-09-26,32.57,33.08,32.16,32.19,949252.0
2023-09-27,32.31,32.685,32.23,32.41,870773.0
2023-09-28,32.28,33.22,32.26,32.94,849429.0
2023-09-29,33.23,33.55,33.0,33.06,888086.0
2023-10-02,33.03,33.295,32.2126,32.3,926551.0
2023-10-03,32.01,32.45,31.525,31.68,1032965.0
2023-10-04,32.0,32.07,30.9,31.53,2758841.0
2023-10-05,31.29,31.56,29.98,30.03,1713624.0
2023-10-06,29.48,30.73,29.46,30.25,2390349.0
2023-10-09,29.99,30.55,29.69,30.39,1026769.0
2023-10-10,30.39,31.08,30.285,30.82,1162359.0
2023-10-11,31.02,31.375,30.7,30.86,1374714.0
2023-10-12,30.84,30.97,29.57,29.91,1345470.0
2023-10-13,29.92,30.15,29.65,29.82,1189783.0
2023-10-16,30.04,30.61,29.94,30.3,1105088.0
2023-10-17,30.0,31.2,29.9,30.75,1326253.0
2023-10-18,30.29,30.3899,29.95,30.0,896023.0
2023-10-19,29.86,30.385,29.67,29.79,1289999.0
2023-10-20,29.75,30.23,29.69,30.1,1277939.0
2023-10-23,29.86,30.2584,29.74,29.79,1339419.0
2023-10-24,29.85,30.04,29.22,29.23,1339448.0
2023-10-25,29.12,29.27,28.74,28.82,2024986.0
2023-10-26,28.59,28.73,25.4302,26.96,5225114.0
2023-10-27,27.01,27.32,26.11,26.17,2054283.0
2023-10-30,26.53,26.645,25.45,25.88,2143397.0
2023-10-31,26.0,27.105,25.9,26.85,2519507.0
2023-11-01,26.95,27.52,26.74,27.3,1840784.0
2023-11-02,27.67,28.01,27.33,27.85,1240429.0
2023-11-03,28.14,29.13,28.13,28.92,1399141.0
