date,open,high,low,close,volume
2023-01-11,44.8,45.889,44.2,45.5,3419041.0
2023-01-12,44.99,47.46,44.98,46.74,2070511.0
2023-01-13,47.52,49.06,47.18,47.59,3848446.0
2023-01-17,46.5,46.76,44.89,45.39,3120224.0
2023-01-18,45.4,46.16,44.58,45.02,2383802.0
2023-01-19,46.0,47.25,45.56,46.9,2290618.0
2023-01-20,48.96,49.02,48.05,48.48,1335803.0
2023-01-23,48.28,48.96,48.2001,48.72,1060172.0
2023-01-24,48.33,49.1,48.0,48.98,1017129.0
2023-01-25,49.34,49.96,48.99,49.78,616980.0
2023-01-26,50.57,50.99,49.88,50.97,1622380.0
2023-01-27,50.61,50.88,50.04,50.23,608643.0
2023-01-30,47.99,49.89,47.5635,48.75,2380735.0
2023-01-31,47.5,48.57,47.28,47.48,1684206.0
2023-02-01,48.91,49.3,47.08,47.98,1152895.0
2023-02-02,47.71,47.8,46.855,47.51,1350539.0
2023-02-03,47.24,47.78,46.53,46.68,1156677.0
2023-02-06,45.95,46.51,44.35,46.39,1622655.0
2023-02-07,47.29,49.095,47.23,48.92,1658103.0
2023-02-08,49.06,50.08,48.885,49.36,1172106.0
2023-02-09,50.3,51.93,50.3,51.35,1882769.0
2023-02-10,50.77,51.379,50.15,51.0,1318580.0
2023-02-13,52.0,53.52,51.94,52.49,2002263.0
2023-02-14,52.1,52.53,51.21,51.89,1022229.0
2023-02-15,50.81,51.91,50.65,51.9,1407673.0
2023-02-16,52.13,52.22,51.19,51.81,930035.0
2023-02-17,50.39,50.99,48.89,49.22,1375710.0
2023-02-21,48.9,49.94,48.675,49.5,1282507.0
2023-02-22,49.66,50.71,49.57,50.29,1096520.0
2023-02-23,51.125,51.42,50.05,50.25,719971.0
2023-02-24,48.89,48.955,47.42,47.65,1822662.0
2023-02-27,48.25,48.49,46.815,47.16,1735524.0
2023-02-28,46.62,48.33,46.545,47.37,1746594.0
2023-03-01,50.28,50.61,49.79,49.99,2100252.0
2023-03-02,50.11,51.58,49.6,51.55,1200169.0
2023-03-03,51.59,52.08,51.59,52.01,1153176.0
2023-03-06,52.0,52.2,51.22,51.85,1271240.0
2023-03-07,51.85,52.535,50.55,50.63,1036638.0
2023-03-08,50.1,51.22,49.715,51.04,1143963.0
2023-03-09,49.25,49.855,47.7,47.79,1453859.0
2023-03-10,48.09,49.49,47.86,48.31,1528576.0
2023-03-13,48.565,50.26,48.41,49.12,1389401.0
2023-03-14,48.8,50.29,48.8,49.35,2793041.0
2023-03-15,48.26,48.37,46.95,48.29,1817656.0
2023-03-16,47.14,49.26,47.03,49.05,1096438.0
2023-03-17,49.78,49.78,47.15,47.44,2044469.0
2023-03-20,46.61,48.18,46.58,47.51,1483810.0
2023-03-21,47.91,48.88,47.6,48.59,1952622.0
2023-03-22,49.28,49.6,48.54,48.8,834592.0
2023-03-23,49.84,50.77,48.67,49.09,1434249.0
2023-03-24,48.96,49.155,47.26,47.49,847214.0
2023-03-27,48.6,50.21,46.37,47.38,1550017.0
2023-03-28,48.5,49.925,47.72,47.94,1290091.0
2023-03-29,47.94,48.095,46.81,47.11,997870.0
2023-03-30,47.11,48.84,47.06,48.77,1556642.0
2023-03-31,48.8,49.525,48.68,48.98,1562492.0
2023-04-03,49.38,49.82,49.2,49.65,1659870.0
2023-04-04,49.05,49.98,48.06,49.38,846654.0
2023-04-05,49.0,49.24,48.02,48.5,752752.0
2023-04-06,48.75,50.32,48.33,50.12,1191834.0
2023-04-10,50.03,50.19,49.29,49.71,546022.0
2023-04-11,50.49,50.89,49.53,49.57,818986.0
2023-04-12,49.005,49.7,47.27,47.54,1553754.0
2023-04-13,48.19,48.68,47.64,47.78,844031.0
2023-04-14,47.5,47.57,46.44,47.15,1075782.0
2023-04-17,48.87,49.53,48.43,49.36,1941860.0
2023-04-18,49.76,49.98,49.4,49.6,550786.0
2023-04-19,49.52,50.0,49.44,49.58,1602288.0
2023-04-20,49.21,49.64,48.2,48.21,1063383.0
2023-04-21,48.0,48.18,46.6,47.02,845881.0
2023-04-24,46.0,46.14,44.545,45.04,2117353.0
2023-04-25,44.84,45.22,44.06,44.97,1154084.0
2023-04-26,45.51,47.74,45.51,46.17,1222891.0
2023-04-27,45.87,46.54,44.97,45.57,1424471.0
2023-04-28,45.79,47.1,45.68,46.9,1046308.0
2023-05-01,46.34,46.85,45.82,45.97,574581.0
2023-05-02,46.0,46.11,44.84,44.93,1220696.0
2023-05-03,44.55,44.985,44.0,44.87,1793148.0
2023-05-04,45.07,45.73,44.455,45.2,1103933.0
2023-05-05,45.15,45.56,44.53,45.06,1051301.0
2023-05-08,44.51,45.12,43.55,44.0,1288150.0
2023-05-09,42.0,42.91,41.39,42.01,2101282.0
2023-05-10,41.88,42.0,41.12,41.67,3264041.0
