date,open,high,low,close,volume
2023-01-11,16.21,16.37,16.08,16.24,130279.0
2023-01-12,16.35,16.41,16.21,16.39,158571.0
2023-01-13,16.23,16.5,16.2,16.49,139375.0
2023-01-17,16.5,16.72,16.3101,16.41,131305.0
2023-01-18,16.55,16.81,16.49,16.52,194959.0
2023-01-19,16.38,16.59,16.175,16.46,167181.0
2023-01-20,16.71,16.71,16.07,16.68,174541.0
2023-01-23,16.59,17.03,16.5,16.91,155662.0
2023-01-24,16.8,16.96,16.7,16.88,115069.0
2023-01-25,16.81,16.87,16.65,16.84,125189.0
2023-01-26,16.97,16.975,16.19,16.4,202918.0
2023-01-27,16.44,16.91,16.44,16.63,145902.0
2023-01-30,16.4,16.83,16.38,16.49,148762.0
2023-01-31,16.46,16.87,16.23,16.82,252646.0
2023-02-01,16.88,17.4,16.54,17.25,242557.0
2023-02-02,17.13,18.09,16.91,17.66,421211.0
2023-02-03,16.78,18.1699,16.22,16.32,478331.0
2023-02-06,16.38,16.535,16.19,16.38,248304.0
2023-02-07,16.3,16.74,16.3,16.58,320372.0
2023-02-08,16.55,16.59,16.1638,16.34,210190.0
2023-02-09,16.39,16.39,15.91,16.12,230924.0
2023-02-10,16.06,16.12,15.77,16.06,220822.0
2023-02-13,16.04,16.25,15.865,16.23,123344.0
2023-02-14,16.16,16.34,16.01,16.27,157762.0
2023-02-15,16.5,16.64,16.3818,16.54,223813.0
2023-02-16,16.27,16.725,16.18,16.63,232879.0
2023-02-17,16.67,16.85,16.495,16.83,305746.0
2023-02-21,16.64,16.72,16.46,16.6,323216.0
2023-02-22,16.61,16.78,16.61,16.66,215667.0
2023-02-23,16.73,16.82,16.46,16.73,151089.0
2023-02-24,16.5,16.53,16.4,16.44,149549.0
2023-02-27,16.58,16.715,16.3017,16.35,163981.0
2023-02-28,16.28,16.45,16.08,16.13,404719.0
2023-03-01,16.15,16.52,16.15,16.31,189526.0
2023-03-02,16.2,16.705,16.13,16.68,160335.0
2023-03-03,16.78,16.96,16.435,16.91,166917.0
2023-03-06,16.89,16.96,16.38,16.46,197149.0
2023-03-07,16.46,16.75,16.32,16.45,170256.0
2023-03-08,16.45,16.49,16.11,16.26,346470.0
2023-03-09,16.37,16.59,16.37,16.39,175865.0
2023-03-10,16.35,16.36,16.01,16.1,152845.0
2023-03-13,15.89,16.05,15.46,15.8,287217.0
2023-03-14,16.12,16.15,15.79,15.95,288722.0
2023-03-15,15.73,15.99,15.61,15.92,230336.0
2023-03-16,15.89,16.45,15.83,16.33,280941.0
2023-03-17,16.25,16.39,15.63,15.76,736420.0
2023-03-20,15.87,15.94,15.58,15.69,229793.0
2023-03-21,15.87,16.155,15.8,15.86,244038.0
2023-03-22,15.77,15.97,15.55,15.56,177532.0
2023-03-23,15.57,15.68,15.22,15.28,199488.0
2023-03-24,15.2,15.31,15.08,15.3,166156.0
2023-03-27,15.39,15.49,15.3,15.42,137183.0
2023-03-28,15.37,15.58,15.37,15.54,134055.0
2023-03-29,15.66,15.66,15.5,15.6,166545.0
2023-03-30,15.64,15.74,15.56,15.6,100661.0
2023-03-31,15.65,15.96,15.65,15.92,214201.0
2023-04-03,15.87,15.92,15.51,15.61,212232.0
2023-04-04,15.6,15.69,15.17,15.23,193820.0
2023-04-05,15.22,15.505,15.03,15.2,174132.0
2023-04-06,15.19,15.29,15.1,15.27,134768.0
2023-04-10,15.21,15.51,15.18,15.5,163894.0
2023-04-11,15.61,15.96,15.54,15.82,177843.0
2023-04-12,15.91,16.0,15.63,15.67,153024.0
2023-04-13,15.7,15.715,15.49,15.51,121637.0
2023-04-14,15.56,15.96,15.47,15.59,178936.0
2023-04-17,15.56,15.71,15.33,15.51,142186.0
2023-04-18,15.45,15.63,15.38,15.54,129322.0
2023-04-19,15.41,15.67,15.41,15.63,118823.0
2023-04-20,15.63,15.84,15.48,15.76,165326.0
2023-04-21,15.73,16.31,15.535,15.6,123348.0
2023-04-24,15.58,15.64,15.37,15.52,85042.0
2023-04-25,15.34,15.36,15.06,15.14,105247.0
2023-04-26,14.97,14.97,14.4,14.5,234531.0
2023-04-27,14.57,14.69,14.421,14.55,168991.0
2023-04-28,14.4,14.82,14.15,14.48,514509.0
2023-05-01,14.47,14.84,14.47,14.81,219323.0
2023-05-02,14.7,14.72,14.44,14.53,156956.0
2023-05-03,14.6,15.12,14.6,14.96,223627.0
2023-05-04,14.85,14.97,14.59,14.97,319788.0
2023-05-05,15.1,15.19,14.96,15.0,301240.0
