date,open,high,low,close,volume
2023-01-11,39.975,40.915,39.8,40.855,545052.0
2023-01-12,40.945,41.51,40.64,41.425,485652.0
2023-01-13,41.165,41.7422,40.745,40.89,391340.0
2023-01-17,41.08,41.175,40.305,40.325,365962.0
2023-01-18,40.43,42.385,40.43,40.515,380170.0
2023-01-19,40.355,40.865,40.31,40.605,291362.0
2023-01-20,40.995,41.575,40.5675,41.52,461656.0
2023-01-23,41.725,41.925,41.095,41.45,555718.0
2023-01-24,41.4,42.23,41.0,42.12,328616.0
2023-01-25,41.815,42.0375,41.185,41.79,191402.0
2023-01-26,42.0,42.0,40.885,41.29,314460.0
2023-01-27,41.345,42.7075,41.345,41.795,263536.0
2023-01-30,41.57,42.27,40.935,41.265,492250.0
2023-01-31,41.265,42.715,41.265,42.635,340432.0
2023-02-01,42.715,44.825,42.395,44.135,546650.0
2023-02-02,44.08,46.225,44.045,45.945,718052.0
2023-02-03,50.16,52.335,46.405,48.725,1151880.0
2023-02-06,48.175,49.12,47.3299,48.57,692236.0
2023-02-07,48.505,49.67,48.2406,49.615,519846.0
2023-02-08,49.45,49.6875,48.29,48.89,387136.0
2023-02-09,49.22,49.22,47.685,47.765,353700.0
2023-02-10,47.595,48.045,47.0451,47.55,402394.0
2023-02-13,47.5,48.4,47.15,48.19,387086.0
2023-02-14,48.06,49.32,47.815,48.835,366442.0
2023-02-15,48.4,48.71,47.955,48.545,217660.0
2023-02-16,48.15,48.29,47.43,47.975,313932.0
2023-02-17,48.125,48.795,47.8725,48.395,306866.0
2023-02-21,47.765,48.2,46.62,46.725,345078.0
2023-02-22,46.77,47.58,46.67,46.725,377022.0
2023-02-23,47.005,47.435,46.6,47.3,163364.0
2023-02-24,46.61,46.99,46.11,46.96,255702.0
2023-02-27,47.335,47.81,46.65,46.695,257678.0
2023-02-28,46.6,47.22,45.74,45.865,727702.0
2023-03-01,45.875,46.48,45.1817,46.06,440876.0
2023-03-02,45.74,47.14,45.135,46.845,326942.0
2023-03-03,47.01,47.01,46.23,46.855,388056.0
2023-03-06,46.715,47.03,45.845,45.95,373136.0
2023-03-07,45.95,46.19,45.07,45.135,534146.0
2023-03-08,45.285,45.945,44.65,45.85,468530.0
2023-03-09,45.91,46.5925,45.185,45.315,260386.0
2023-03-10,45.125,45.2,43.8825,44.225,306598.0
2023-03-13,43.47,44.1775,42.8787,42.98,513788.0
2023-03-14,44.385,44.385,41.285,42.225,705834.0
2023-03-15,41.25,41.4825,40.4025,41.415,629554.0
2023-03-16,41.25,42.4275,40.635,42.275,472836.0
2023-03-17,42.295,42.54,40.8175,41.045,1420732.0
2023-03-20,41.42,41.675,40.615,40.73,403052.0
2023-03-21,41.49,42.22,41.07,41.44,392084.0
2023-03-22,41.37,42.16,40.83,40.87,308908.0
2023-03-23,41.01,41.7676,40.42,40.695,315808.0
2023-03-24,40.35,40.915,39.875,40.695,223888.0
2023-03-27,41.15,41.5125,40.6,41.39,278440.0
2023-03-28,41.15,41.69,40.97,41.19,216948.0
2023-03-29,41.55,41.67,40.795,41.185,344718.0
2023-03-30,41.03,41.26,40.355,40.78,392740.0
2023-03-31,41.145,42.135,41.1,41.97,579610.0
2023-04-03,41.93,42.305,40.44,41.28,465678.0
2023-04-04,41.325,41.68,39.875,40.025,310120.0
2023-04-05,39.62,40.04,39.165,39.405,381348.0
2023-04-06,39.45,39.685,38.97,39.01,276332.0
2023-04-10,39.035,40.535,38.9225,40.51,547694.0
2023-04-11,40.67,40.99,40.14,40.72,301462.0
2023-04-12,41.075,41.075,40.125,40.275,270632.0
2023-04-13,40.435,40.435,39.5,40.295,317042.0
2023-04-14,40.345,40.96,40.345,40.575,385306.0
2023-04-17,40.695,41.26,40.215,40.555,355378.0
2023-04-18,40.72,41.2825,40.29,40.46,551950.0
2023-04-19,40.445,41.265,40.005,41.13,349902.0
2023-04-20,40.97,41.585,40.905,41.16,334782.0
2023-04-21,41.15,41.5975,40.87,41.06,371688.0
2023-04-24,41.37,41.645,41.24,41.53,355366.0
2023-04-25,41.03,41.1,40.08,40.475,364058.0
2023-04-26,40.075,40.18,38.4175,38.73,573492.0
2023-04-27,39.065,40.645,38.84,40.41,708810.0
2023-04-28,37.5,38.1755,36.5373,37.7,1125740.0
2023-05-01,37.735,38.5413,37.575,38.08,598988.0
2023-05-02,37.785,37.855,36.88,37.67,564782.0
2023-05-03,37.815,38.245,36.725,36.96,667584.0
2023-05-04,36.715,37.315,36.005,36.27,769446.0
2023-05-05,36.635,37.325,36.405,37.02,478642.0
2023-05-08,37.255,37.64,36.5175,36.705,458274.0
2023-05-09,36.585,36.835,36.11,36.5,608372.0
2023-05-10,36.965,36.965,36.225,36.645,510966.0
2023-05-11,36.66,37.25,36.265,37.1,557882.0
2023-05-12,37.3,37.7525,36.89,37.235,418216.0
2023-05-15,37.275,37.275,36.605,36.61,424632.0
2023-05-16,36.54,36.6675,35.855,36.18,439120.0
2023-05-17,36.315,37.01,36.1325,36.96,646074.0
2023-05-18,36.805,37.66,36.795,37.575,559400.0
2023-05-19,37.975,38.045,37.105,37.565,501682.0
2023-05-22,37.7,38.015,37.1875,37.595,487626.0
2023-05-23,37.46,37.84,37.18,37.215,341700.0
2023-05-24,36.95,37.035,36.1427,36.6,641176.0
2023-05-25,36.47,37.445,36.2875,37.335,438334.0
2023-05-26,37.335,37.425,36.935,37.2,455520.0
2023-05-30,37.41,37.9,36.5025,37.52,595886.0
2023-05-31,37.4,37.68,36.585,36.78,573122.0
2023-06-01,36.82,36.95,36.4975,36.625,461734.0
2023-06-02,36.87,38.015,36.87,37.705,519824.0
2023-06-05,37.47,37.525,36.59,36.76,385160.0
2023-06-06,36.755,38.1175,36.385,37.835,679248.0
2023-06-07,37.91,38.91,37.3875,38.71,707394.0
2023-06-08,38.77,39.2,38.67,38.955,580898.0
2023-06-09,38.86,39.19,38.375,38.505,444790.0
2023-06-12,38.615,39.125,38.47,38.97,491236.0
2023-06-13,38.995,39.545,38.755,39.12,626634.0
2023-06-14,39.275,39.985,39.035,39.625,660722.0
2023-06-15,39.425,40.58,39.28,40.49,593856.0
2023-06-16,40.89,40.89,39.425,40.08,1055160.0
2023-06-20,39.9,39.955,38.99,39.025,260528.0
2023-06-21,38.71,39.195,38.5775,38.935,355714.0
2023-06-22,38.8,39.03,38.5551,38.925,440176.0
2023-06-23,38.58,39.2,38.0,38.27,555178.0
2023-06-26,38.27,39.055,38.21,38.605,300324.0
2023-06-27,38.64,39.735,38.61,39.415,319658.0
2023-06-28,39.36,39.615,39.08,39.48,279852.0
2023-06-29,39.78,40.475,39.725,40.105,283328.0
2023-06-30,40.5,40.5,39.89,40.16,260670.0
2023-07-03,39.925,40.805,39.925,40.71,145720.0
2023-07-05,40.425,40.425,39.895,40.01,349282.0
2023-07-06,39.475,39.85,39.23,39.555,406882.0
2023-07-07,39.48,40.24,39.46,39.805,646714.0
2023-07-10,39.805,40.605,39.51,40.33,330412.0
2023-07-11,40.33,40.79,40.33,40.745,222100.0
2023-07-12,41.335,41.37,40.745,40.77,441918.0
2023-07-13,40.77,40.825,40.135,40.2,406672.0
2023-07-14,40.155,40.2425,39.8151,39.99,272168.0
2023-07-17,39.8,40.13,39.5125,39.595,510868.0
2023-07-18,39.9,41.04,39.745,40.53,605162.0
2023-07-19,40.92,42.6,40.875,42.26,581198.0
2023-07-20,42.44,42.44,41.63,42.105,393324.0
2023-07-21,42.175,42.5845,41.87,42.295,434394.0
2023-07-24,42.035,42.8,41.9525,42.2,308662.0
2023-07-25,42.12,42.835,42.12,42.335,364844.0
2023-07-26,42.305,43.6,42.305,43.47,510626.0
2023-07-27,43.62,43.915,43.275,43.375,449212.0
2023-07-28,43.61,45.85,42.3451,44.945,877304.0
2023-07-31,45.21,45.33,44.755,45.065,423080.0
2023-08-01,44.785,44.9925,44.185,44.915,338354.0
2023-08-02,44.565,45.01,44.2275,44.54,442488.0
2023-08-03,44.41,44.7,43.775,44.43,397960.0
2023-08-04,44.665,44.87,44.065,44.245,287986.0
2023-08-07,44.355,44.74,43.57,43.77,605758.0
2023-08-08,43.29,43.715,42.8,43.635,463546.0
2023-08-09,43.455,43.9,42.4286,43.73,360160.0
2023-08-10,43.925,44.2925,42.835,42.96,354206.0
2023-08-11,42.715,42.79,42.015,42.43,472320.0
2023-08-14,42.255,42.27,41.61,42.095,243204.0
2023-08-15,41.75,41.815,41.22,41.36,213054.0
2023-08-16,41.32,41.86,40.48,40.74,379514.0
2023-08-17,40.95,41.18,40.205,40.3,223610.0
2023-08-18,40.09,40.605,40.0076,40.425,360828.0
2023-08-21,40.37,40.76,40.21,40.355,226792.0
2023-08-22,40.355,40.695,39.0875,39.145,282486.0
2023-08-23,39.07,39.885,38.8875,39.7875,520816.0
