date,open,high,low,close,volume
2023-01-11,5.8166,5.85,5.7704,5.85,3930.0
2023-01-12,5.8209,5.86,5.68,5.8,2985.0
2023-01-13,5.7,5.8,5.7,5.77,5880.0
2023-01-17,5.7,5.87,5.7,5.74,4147.0
2023-01-18,5.7211,5.7211,5.59,5.7,12717.0
2023-01-19,5.79,5.88,5.57,5.64,5425.0
2023-01-20,5.8,5.83,5.5,5.5,11800.0
2023-01-23,5.5586,5.68,5.52,5.57,2283.0
2023-01-24,5.68,5.68,5.5897,5.6,3778.0
2023-01-25,5.61,5.69,5.61,5.65,5935.0
2023-01-26,5.88,5.88,5.61,5.61,2046.0
2023-01-27,5.6565,5.6565,5.5101,5.58,3462.0
2023-01-30,5.6,5.6,5.51,5.52,5399.0
2023-01-31,5.6,5.72,5.55,5.7,10715.0
2023-02-01,5.81,5.9,5.7,5.7,15213.0
2023-02-02,5.5,5.75,5.5,5.68,8121.0
2023-02-03,5.59,5.6,5.55,5.55,3874.0
2023-02-06,5.46,5.46,5.35,5.3797,17092.0
2023-02-07,5.38,5.39,5.3289,5.35,7334.0
2023-02-08,5.44,5.44,5.29,5.42,6646.0
2023-02-09,5.5,5.5,5.3101,5.43,9670.0
2023-02-10,5.57,5.57,5.4,5.44,2693.0
2023-02-13,5.44,5.52,5.31,5.52,4408.0
2023-02-14,5.5,5.5,5.3401,5.47,6378.0
2023-02-15,5.5,5.5,5.3001,5.36,5457.0
2023-02-16,5.479,5.5,5.39,5.5,9915.0
2023-02-17,5.49,5.5,5.312,5.34,14480.0
2023-02-21,5.35,5.5899,5.35,5.5,3833.0
2023-02-22,5.5881,5.63,5.3801,5.5,6200.0
2023-02-23,5.6,5.65,5.3992,5.505,3551.0
2023-02-24,5.5099,5.5099,5.38,5.38,10186.0
2023-02-27,5.5,5.5,5.27,5.3699,9974.0
2023-02-28,5.4,5.495,5.25,5.25,29183.0
2023-03-01,5.25,5.449,5.15,5.15,8688.0
2023-03-02,5.25,5.35,5.2,5.2,3609.0
2023-03-03,5.32,5.32,5.02,5.12,5505.0
2023-03-06,5.1,5.2899,5.1,5.26,6304.0
2023-03-07,5.39,5.39,5.1,5.12,4065.0
2023-03-08,5.16,5.31,4.96,5.0,11830.0
2023-03-09,5.14,5.14,4.96,4.96,4221.0
2023-03-10,4.99,5.3085,4.99,5.1,12323.0
2023-03-13,5.04,5.2999,4.96,5.03,11871.0
2023-03-14,5.091,5.1,4.96,4.96,19570.0
2023-03-15,4.95,5.15,4.92,4.92,27712.0
2023-03-16,5.0,5.05,4.9,5.0,21118.0
2023-03-17,5.05,5.05,4.94,4.99,13636.0
2023-03-20,4.93,5.0,4.8328,4.85,21510.0
2023-03-21,4.71,4.91,4.71,4.85,31913.0
2023-03-22,4.94,4.94,4.7301,4.86,11097.0
2023-03-23,4.78,4.8712,4.76,4.8499,3618.0
2023-03-24,4.95,5.0,4.7,4.95,10292.0
2023-03-27,4.99,4.99,4.86,4.88,4904.0
2023-03-28,4.79,5.0,4.75,4.8,5373.0
2023-03-29,4.86,4.86,4.7,4.7,4278.0
2023-03-30,4.81,4.81,4.7101,4.8,1207.0
2023-03-31,4.9294,4.93,4.82,4.87,4883.0
2023-04-03,4.85,4.91,4.8101,4.9,5577.0
2023-04-04,4.95,5.08,4.85,5.03,24409.0
2023-04-05,5.06,5.06,4.8701,4.93,6572.0
2023-04-06,4.86,5.02,4.85,4.9,30387.0
2023-04-10,4.92,4.92,4.47,4.56,141227.0
2023-04-11,4.52,4.9599,4.52,4.88,11663.0
2023-04-12,4.91,5.0,4.55,4.82,65069.0
2023-04-13,4.9023,4.94,4.825,4.92,19107.0
2023-04-14,4.9,5.05,4.87,5.05,30887.0
2023-04-17,5.1,5.14,5.03,5.11,6520.0
2023-04-18,4.99,5.84,4.97,5.54,44412.0
2023-04-19,5.54,6.0,5.51,6.0,25751.0
2023-04-20,6.19,6.35,5.9121,5.9121,32368.0
2023-04-21,5.87,6.02,5.7501,5.97,6275.0
2023-04-24,5.77,6.06,5.765,5.93,28620.0
2023-04-25,5.87,6.32,5.87,6.17,20863.0
2023-04-26,6.2,6.2299,5.971,6.01,6788.0
2023-04-27,6.08,6.16,5.81,6.13,3549.0
2023-04-28,6.105,6.28,5.9331,6.26,14455.0
2023-05-01,5.63,5.95,5.29,5.47,24378.0
2023-05-02,5.55,5.76,5.5101,5.52,11511.0
2023-05-03,5.7,6.09,5.56,5.73,19851.0
2023-05-04,5.5501,5.93,5.55,5.92,13133.0
2023-05-05,6.12,6.12,5.55,5.98,36229.0
2023-05-08,5.95,6.35,5.8044,6.3,12589.0
2023-05-09,6.2,6.2,5.72,5.9,11400.0
2023-05-10,6.08,6.08,5.5156,5.86,13030.0
2023-05-11,5.69,5.79,5.52,5.52,5192.0
2023-05-12,5.6856,5.72,5.4,5.67,27687.0
2023-05-15,5.55,5.71,5.47,5.5,11282.0
2023-05-16,5.5167,5.68,5.4082,5.67,7406.0
2023-05-17,5.53,5.6216,5.32,5.46,12130.0
2023-05-18,5.47,5.5799,5.26,5.26,6688.0
2023-05-19,5.375,5.375,4.9,4.92,23406.0
2023-05-22,5.08,5.15,4.93,4.96,48118.0
2023-05-23,5.1,5.1,4.91,4.95,7200.0
2023-05-24,4.89,5.0,4.75,4.76,12242.0
2023-05-25,4.76,4.92,4.76,4.8,10220.0
2023-05-26,4.8598,4.8999,4.65,4.8,9230.0
2023-05-30,4.8,4.85,4.58,4.75,7093.0
2023-05-31,4.62,4.9,4.62,4.7,6327.0
2023-06-01,4.9,4.9,4.66,4.66,7909.0
2023-06-02,4.82,4.91,4.7201,4.88,7393.0
2023-06-05,5.0,5.16,4.95,4.99,13711.0
2023-06-06,5.0105,5.09,5.0105,5.09,3120.0
2023-06-07,5.08,5.1374,5.0302,5.11,6584.0
2023-06-08,5.12,5.1201,5.0,5.0,5540.0
2023-06-09,5.08,5.08,4.98,4.98,3922.0
2023-06-12,4.9,5.2,4.8998,5.17,13061.0
2023-06-13,5.21,5.21,5.0,5.0,3681.0
2023-06-14,5.0,5.178,5.0,5.06,23843.0
2023-06-15,5.0494,5.08,5.0,5.0,4016.0
2023-06-16,5.0,5.2,5.0,5.2,19229.0
2023-06-20,4.95,5.19,4.95,5.11,3786.0
2023-06-21,4.92,5.2,4.92,5.2,5679.0
2023-06-22,5.0401,5.2,5.0401,5.2,2635.0
2023-06-23,5.19,5.41,5.145,5.41,13554.0
2023-06-26,5.5807,5.61,5.315,5.4,6422.0
2023-06-27,5.3953,5.465,5.11,5.11,11753.0
2023-06-28,5.39,5.39,5.1,5.19,3418.0
2023-06-29,5.32,5.38,5.1001,5.33,2447.0
2023-06-30,5.235,5.34,5.13,5.34,12247.0
2023-07-03,5.35,5.41,5.3363,5.41,3062.0
2023-07-05,5.41,6.2099,5.41,5.95,37761.0
2023-07-06,5.95,6.15,5.8,5.8,10432.0
2023-07-07,5.8,6.13,5.8,5.95,26401.0
2023-07-10,5.93,5.97,5.86,5.86,9501.0
2023-07-11,5.83,5.86,5.6629,5.68,5988.0
2023-07-12,5.67,5.8544,5.5,5.56,7144.0
2023-07-13,5.66,5.7599,5.53,5.62,13962.0
2023-07-14,5.54,5.74,5.52,5.71,6901.0
2023-07-17,5.6,5.82,5.58,5.58,10285.0
2023-07-18,5.75,5.75,5.43,5.61,6420.0
2023-07-19,5.645,5.74,5.5,5.59,27326.0
2023-07-20,5.68,5.71,5.61,5.67,3014.0
2023-07-21,5.5122,5.6911,5.5122,5.57,3996.0
2023-07-24,5.51,5.72,5.39,5.39,15114.0
2023-07-25,5.485,5.6638,5.34,5.42,19820.0
2023-07-26,5.61,5.61,5.29,5.54,4426.0
2023-07-27,5.64,5.64,5.25,5.3,6698.0
2023-07-28,5.28,5.3234,5.1101,5.2,18075.0
2023-07-31,5.22,5.415,5.22,5.35,5438.0
2023-08-01,5.35,5.47,5.16,5.16,8492.0
2023-08-02,5.17,5.34,5.17,5.23,2276.0
2023-08-03,5.2608,5.34,5.15,5.15,11141.0
2023-08-04,5.3399,5.3399,5.1901,5.27,5803.0
2023-08-07,5.12,5.26,5.12,5.18,6647.0
