date,open,high,low,close,volume
2023-01-11,236.19,238.13,235.1,235.48,823317.0
2023-01-12,235.48,237.59,233.73,236.25,471437.0
2023-01-13,235.5,239.195,235.33,238.9,262778.0
2023-01-17,239.31,240.09,236.35,236.7,205707.0
2023-01-18,238.8,239.855,233.7,233.97,355271.0
2023-01-19,233.84,233.84,226.18,226.47,431079.0
2023-01-20,227.5,231.41,225.91,231.2,298243.0
2023-01-23,230.77,232.665,229.41,230.86,293238.0
2023-01-24,229.41,234.21,228.375,232.35,226516.0
2023-01-25,230.13,232.86,228.04,232.8,242008.0
2023-01-26,234.53,235.075,231.855,234.15,326281.0
2023-01-27,233.88,239.84,233.845,238.73,448622.0
2023-01-30,238.1,238.74,232.61,232.99,397798.0
2023-01-31,234.63,240.15,232.61,239.68,547084.0
2023-02-01,239.0,239.0,225.51,227.73,904653.0
2023-02-02,229.71,230.2,223.185,225.59,765091.0
2023-02-03,224.77,229.88,224.69,229.84,601317.0
2023-02-06,228.4,229.3381,224.935,225.27,430021.0
2023-02-07,224.11,226.78,222.7,224.86,477877.0
2023-02-08,223.45,226.28,223.45,224.56,358300.0
2023-02-09,226.4,227.44,223.13,223.68,414629.0
2023-02-10,223.25,226.315,223.06,225.92,343534.0
2023-02-13,226.65,228.195,226.14,226.67,375325.0
2023-02-14,225.96,226.56,223.05,225.35,229193.0
2023-02-15,224.54,227.49,224.54,227.42,195013.0
2023-02-16,224.68,226.43,223.61,225.09,364468.0
2023-02-17,225.06,231.12,224.795,231.0,777178.0
2023-02-21,229.28,230.72,224.29,224.88,835684.0
2023-02-22,226.16,227.91,224.0,224.85,385569.0
2023-02-23,225.9,227.42,222.25,225.69,333799.0
2023-02-24,224.57,226.09,222.1,224.84,483240.0
2023-02-27,226.49,227.61,224.835,225.22,187456.0
2023-02-28,225.12,228.25,224.9,224.98,445319.0
2023-03-01,223.88,225.39,222.18,223.48,443416.0
2023-03-02,222.32,225.22,221.2,224.43,379776.0
2023-03-03,225.0,228.435,223.37,228.24,332271.0
2023-03-06,228.55,230.2,227.09,227.27,242303.0
2023-03-07,227.49,227.785,223.39,224.06,244609.0
2023-03-08,223.97,224.18,221.8958,223.44,346999.0
2023-03-09,224.78,226.2,222.3,223.13,362325.0
2023-03-10,223.42,224.34,218.14,219.93,466183.0
2023-03-13,218.15,220.595,217.035,219.02,329524.0
2023-03-14,222.62,225.246,220.72,223.96,345040.0
2023-03-15,220.3,220.95,212.94,215.8,447674.0
