date,open,high,low,close,volume
2023-01-11,30.0,30.87,29.95,30.8,122267.0
2023-01-12,31.0,31.45,30.72,31.37,135763.0
2023-01-13,31.0,31.81,31.0,31.67,70635.0
2023-01-17,31.88,32.0414,30.7,31.14,102124.0
2023-01-18,31.51,31.685,30.93,31.03,114889.0
2023-01-19,27.71,28.44,26.1507,26.89,634147.0
2023-01-20,27.5,28.76,27.21,27.86,286204.0
2023-01-23,27.73,28.74,27.73,28.07,164145.0
2023-01-24,27.92,29.1,27.82,28.54,110041.0
2023-01-25,28.51,29.86,28.405,29.43,122449.0
2023-01-26,29.43,29.77,29.03,29.48,111175.0
2023-01-27,29.71,30.3,29.45,30.09,122292.0
2023-01-30,29.65,29.955,29.07,29.11,86496.0
2023-01-31,29.2,30.13,29.15,29.99,307189.0
2023-02-01,30.05,30.92,29.715,30.5,109277.0
2023-02-02,30.59,31.32,30.51,31.28,96792.0
2023-02-03,30.83,31.46,30.63,30.94,110739.0
2023-02-06,30.69,31.17,30.105,30.16,123182.0
2023-02-07,30.09,31.13,29.85,30.77,105240.0
2023-02-08,30.63,30.81,30.0,30.12,68653.0
2023-02-09,30.37,30.6,29.3361,29.52,71704.0
2023-02-10,29.22,29.65,29.18,29.31,53155.0
2023-02-13,29.44,30.2,29.44,30.06,63958.0
2023-02-14,29.83,30.435,29.5,30.27,70322.0
2023-02-15,29.89,30.64,29.89,30.2,142269.0
2023-02-16,29.84,30.11,29.63,29.69,85361.0
2023-02-17,29.82,30.03,29.47,29.73,76146.0
2023-02-21,29.37,29.465,28.43,28.58,96752.0
2023-02-22,28.58,28.97,28.36,28.6,104473.0
2023-02-23,28.85,29.205,28.565,28.98,71881.0
2023-02-24,28.44,29.26,28.34,29.23,64165.0
2023-02-27,29.58,30.12,29.1895,29.66,71419.0
2023-02-28,29.54,29.89,29.3,29.75,121002.0
2023-03-01,29.72,30.37,29.72,30.35,67714.0
2023-03-02,30.16,30.63,30.0175,30.48,57031.0
2023-03-03,30.64,30.77,30.04,30.69,58636.0
2023-03-06,30.59,30.59,28.78,29.15,116709.0
2023-03-07,29.15,29.25,28.745,29.03,81444.0
2023-03-08,29.23,29.62,29.0,29.6,54027.0
2023-03-09,29.72,29.72,28.71,28.76,81907.0
2023-03-10,28.65,28.65,27.47,27.5,140771.0
2023-03-13,27.27,27.77,26.81,27.17,94489.0
2023-03-14,28.11,28.2,27.38,27.77,96741.0
2023-03-15,27.07,27.29,26.205,27.03,119117.0
2023-03-16,26.7,27.72,26.335,27.51,95119.0
2023-03-17,27.37,27.42,26.72,27.08,308732.0
2023-03-20,27.38,27.64,27.11,27.13,77738.0
2023-03-21,27.65,28.18,27.4616,27.81,104955.0
2023-03-22,27.8,27.95,26.77,26.8,61014.0
2023-03-23,26.93,27.24,26.24,26.57,61540.0
2023-03-24,26.4,27.18,26.07,27.08,50817.0
2023-03-27,27.5,27.89,27.305,27.66,48707.0
2023-03-28,27.6,27.75,27.33,27.73,59822.0
2023-03-29,28.05,28.17,27.5,27.82,80168.0
2023-03-30,28.09,28.09,27.5,27.66,47267.0
2023-03-31,27.9,28.04,27.46,27.82,95941.0
2023-04-03,27.76,28.14,27.32,27.84,83723.0
2023-04-04,28.01,28.05,26.81,26.92,68900.0
2023-04-05,26.82,27.0,26.28,26.49,63378.0
2023-04-06,26.61,26.61,26.27,26.44,44225.0
2023-04-10,26.3,27.35,26.3,27.17,93143.0
2023-04-11,27.34,27.84,27.3,27.51,74418.0
2023-04-12,27.84,27.84,27.37,27.59,76377.0
2023-04-13,27.71,27.95,27.42,27.86,37329.0
2023-04-14,27.93,28.11,27.31,27.65,43155.0
2023-04-17,27.77,27.85,27.57,27.61,46522.0
2023-04-18,27.77,28.07,27.59,27.76,51597.0
2023-04-19,27.71,28.14,27.67,27.72,68851.0
2023-04-20,26.22,28.37,25.44,28.34,119071.0
2023-04-21,28.85,29.47,27.405,27.55,146348.0
2023-04-24,27.55,28.165,27.52,27.84,92984.0
2023-04-25,27.62,27.75,27.35,27.47,66600.0
2023-04-26,27.11,27.58,27.11,27.52,81304.0
2023-04-27,27.62,28.0999,27.56,27.78,50468.0
2023-04-28,27.75,28.11,27.5,27.53,63038.0
2023-05-01,27.5,27.98,27.48,27.7,53639.0
2023-05-02,27.58,27.93,27.27,27.8,69136.0
2023-05-03,27.86,28.445,27.86,28.04,74050.0
2023-05-04,27.84,27.99,27.56,27.86,93399.0
2023-05-05,28.32,29.15,28.32,28.94,54720.0
2023-05-08,29.03,29.24,28.43,28.99,64484.0
2023-05-09,28.9,29.31,28.86,29.16,52898.0
2023-05-10,29.48,29.7899,29.16,29.67,67330.0
2023-05-11,29.4,29.845,29.38,29.8,68169.0
2023-05-12,29.94,30.01,29.51,29.89,56909.0
2023-05-15,29.93,30.45,29.89,30.3,47878.0
2023-05-16,30.0,30.57,29.92,30.1,54921.0
2023-05-17,30.4,30.58,29.96,30.3,122259.0
2023-05-18,30.29,31.16,29.91,31.08,110916.0
2023-05-19,31.4,31.4,30.46,30.9,59147.0
2023-05-22,30.96,31.18,30.61,30.91,59435.0
2023-05-23,30.89,31.795,30.6,31.37,74537.0
2023-05-24,31.36,31.36,30.84,31.07,77803.0
2023-05-25,30.92,31.32,30.84,30.96,45552.0
2023-05-26,30.98,31.52,30.89,31.42,33875.0
2023-05-30,31.37,31.48,31.06,31.16,35841.0
2023-05-31,31.07,31.12,29.6025,29.93,59679.0
2023-06-01,30.01,30.07,29.62,29.72,63611.0
2023-06-02,30.18,31.5,30.03,31.45,81783.0
2023-06-05,31.14,31.255,30.19,30.9,83733.0
2023-06-06,30.86,32.14,30.86,31.81,126706.0
2023-06-07,32.12,33.25,32.12,32.81,117334.0
2023-06-08,32.82,32.95,32.01,32.02,91893.0
2023-06-09,31.97,32.05,31.54,31.76,72095.0
2023-06-12,31.74,32.32,31.26,32.15,77896.0
2023-06-13,32.32,32.64,32.04,32.39,75006.0
2023-06-14,32.63,32.63,31.18,31.33,70799.0
2023-06-15,31.3,31.54,30.82,31.29,82322.0
2023-06-16,31.42,31.42,30.88,31.25,374694.0
2023-06-20,31.24,31.57,31.06,31.09,93976.0
2023-06-21,31.05,32.33,30.97,31.88,116617.0
2023-06-22,31.75,31.89,31.27,31.32,51133.0
2023-06-23,30.9,31.21,30.11,30.13,670106.0
2023-06-26,30.16,30.973,29.93,30.48,82442.0
2023-06-27,30.63,30.82,30.38,30.43,50264.0
2023-06-28,30.65,30.65,29.96,30.39,56282.0
2023-06-29,30.33,31.07,30.33,31.07,51699.0
2023-06-30,31.24,31.6,31.05,31.12,54493.0
2023-07-03,31.32,31.56,31.2301,31.33,32496.0
