date,open,high,low,close,volume
2023-01-11,22.0,22.18,21.39,22.16,417696.0
2023-01-12,22.41,23.3222,21.73,23.23,308721.0
2023-01-13,23.05,23.3468,22.69,23.28,224448.0
2023-01-17,22.45,23.42,22.01,22.61,407506.0
2023-01-18,22.86,23.5,21.85,22.0,224687.0
2023-01-19,21.72,22.4,21.44,21.71,241243.0
2023-01-20,22.02,22.62,21.41,22.6,216705.0
2023-01-23,22.68,24.08,22.3,24.06,179420.0
2023-01-24,23.97,24.31,23.43,23.5,88198.0
2023-01-25,23.31,23.53,22.335,22.36,103085.0
2023-01-26,22.62,23.3,22.46,22.78,56085.0
2023-01-27,22.71,23.0,22.295,22.85,131323.0
2023-01-30,22.65,22.97,22.3,22.45,90005.0
2023-01-31,22.55,23.55,22.4,23.33,180798.0
2023-02-01,23.37,24.18,21.95,24.13,219211.0
2023-02-02,24.44,25.92,23.265,25.69,176912.0
2023-02-03,25.17,26.11,24.23,26.0,245857.0
2023-02-06,25.75,26.05,24.95,25.19,165608.0
2023-02-07,25.12,25.45,24.785,25.14,210055.0
2023-02-08,24.82,25.14,23.45,23.6,158920.0
2023-02-09,23.95,24.11,23.63,23.75,147335.0
2023-02-10,23.57,24.04,22.945,23.5,140644.0
2023-02-13,23.63,24.13,23.04,23.84,256064.0
2023-02-14,23.67,24.0,23.2,23.33,234120.0
2023-02-15,23.18,23.53,22.93,23.44,102227.0
2023-02-16,23.02,23.8,22.79,23.48,153638.0
2023-02-17,23.58,23.585,23.245,23.5,87632.0
2023-02-21,23.27,23.27,22.61,22.73,126486.0
2023-02-22,22.82,23.41,22.82,23.17,124408.0
2023-02-23,23.4,23.54,22.93,23.16,108736.0
2023-02-24,20.35,21.29,14.51,15.89,1909791.0
2023-02-27,15.96,16.98,15.51,16.5,527601.0
2023-02-28,16.2,16.49,15.53,15.67,400030.0
2023-03-01,15.89,16.34,15.29,15.56,325865.0
2023-03-02,15.4,15.74,15.05,15.71,312158.0
2023-03-03,15.88,15.88,15.37,15.48,203192.0
2023-03-06,15.48,15.48,14.72,14.81,313798.0
2023-03-07,14.81,14.97,14.56,14.64,230557.0
2023-03-08,14.64,14.78,14.3,14.46,303385.0
2023-03-09,14.43,14.54,13.74,13.76,294301.0
2023-03-10,13.71,13.73,13.22,13.47,219122.0
2023-03-13,13.14,13.54,13.12,13.29,246605.0
2023-03-14,13.73,13.73,13.06,13.33,228426.0
2023-03-15,13.02,13.58,12.8501,13.41,449503.0
2023-03-16,13.2,13.58,12.95,13.38,318291.0
2023-03-17,13.29,13.335,12.581,12.66,812201.0
2023-03-20,12.72,12.99,12.6,12.71,335108.0
2023-03-21,12.97,13.43,12.83,13.35,499030.0
2023-03-22,13.32,13.515,12.65,12.69,361794.0
2023-03-23,12.8,13.275,12.65,12.7,234275.0
2023-03-24,12.51,12.84,12.22,12.41,283177.0
2023-03-27,12.61,12.68,12.26,12.33,297210.0
2023-03-28,12.26,12.3,11.85,11.89,269760.0
2023-03-29,12.08,12.12,11.6,11.88,498691.0
2023-03-30,12.07,12.35,11.99,12.15,359846.0
2023-03-31,12.2,12.6,12.18,12.48,279542.0
2023-04-03,12.52,12.629,12.15,12.18,234903.0
2023-04-04,12.17,12.42,11.77,12.01,311302.0
2023-04-05,11.98,12.25,11.89,12.12,262877.0
2023-04-06,12.19,12.595,12.13,12.53,196302.0
2023-04-10,12.57,12.87,12.3228,12.78,267011.0
2023-04-11,12.93,13.41,12.93,13.3,399816.0
2023-04-12,13.48,13.57,12.96,13.03,226977.0
2023-04-13,13.13,13.4,12.89,13.25,242098.0
2023-04-14,13.34,13.34,12.66,12.79,137659.0
2023-04-17,12.8,12.98,12.52,12.96,157152.0
2023-04-18,12.99,12.99,12.37,12.7,281803.0
2023-04-19,12.65,13.07,12.65,13.0,233677.0
2023-04-20,12.97,13.45,12.81,13.29,406512.0
2023-04-21,13.28,13.47,13.145,13.4,223153.0
2023-04-24,13.31,13.75,13.31,13.74,180551.0
2023-04-25,13.54,13.83,13.18,13.21,228137.0
2023-04-26,13.28,13.28,12.925,13.04,166756.0
2023-04-27,13.03,13.165,12.73,13.09,121882.0
2023-04-28,13.22,13.52,13.0928,13.31,156950.0
2023-05-01,13.34,13.7,13.23,13.61,145490.0
2023-05-02,13.59,13.59,13.21,13.36,167826.0
2023-05-03,13.45,14.1,13.44,13.86,207822.0
2023-05-04,13.76,13.86,13.54,13.75,163057.0
2023-05-05,13.81,13.84,12.66,13.01,236462.0
2023-05-08,12.99,13.45,11.76,11.85,274958.0
2023-05-09,11.73,11.7497,10.86,11.18,381296.0
2023-05-10,11.37,11.37,10.61,11.1,392612.0
2023-05-11,10.93,11.3222,10.87,11.09,267656.0
2023-05-12,11.09,11.125,10.57,10.85,153509.0
2023-05-15,10.84,10.91,10.735,10.81,221946.0
2023-05-16,10.81,10.94,10.68,10.85,146721.0
2023-05-17,10.81,11.31,10.625,11.16,167129.0
2023-05-18,11.1,11.23,10.77,10.93,209160.0
2023-05-19,11.11,11.21,10.98,11.11,140147.0
2023-05-22,11.1,11.385,11.02,11.31,144221.0
2023-05-23,11.25,11.5927,11.12,11.19,148527.0
2023-05-24,11.15,11.32,11.04,11.23,133126.0
2023-05-25,11.11,11.11,10.645,10.83,142344.0
2023-05-26,10.8,11.17,10.79,11.11,141853.0
2023-05-30,11.09,11.34,10.94,11.03,178561.0
2023-05-31,11.03,11.05,10.28,10.53,1094659.0
2023-06-01,10.57,10.8,10.26,10.37,274083.0
2023-06-02,10.5,10.87,10.37,10.82,286500.0
2023-06-05,10.1,10.43,9.88,10.01,712450.0
2023-06-06,10.09,10.83,9.945,10.71,461164.0
2023-06-07,10.83,11.35,10.76,11.16,341721.0
2023-06-08,11.13,11.13,10.63,10.68,306099.0
2023-06-09,10.64,10.64,10.25,10.36,279077.0
2023-06-12,10.34,10.54,10.18,10.43,379805.0
2023-06-13,10.45,10.55,10.07,10.11,437308.0
2023-06-14,10.23,10.47,9.98,10.05,681205.0
2023-06-15,10.06,10.4,9.955,10.39,699518.0
2023-06-16,10.56,10.91,10.5,10.62,6097482.0
2023-06-20,10.6,11.305,10.37,11.25,628339.0
2023-06-21,11.14,11.53,10.861,11.41,454714.0
2023-06-22,11.41,11.71,11.0925,11.56,345546.0
2023-06-23,11.43,11.705,11.41,11.6,514724.0
2023-06-26,11.25,11.63,11.13,11.13,238474.0
2023-06-27,11.17,11.68,10.91,11.65,287016.0
2023-06-28,11.72,11.9,11.45,11.59,183414.0
2023-06-29,11.57,11.98,11.57,11.75,194557.0
2023-06-30,11.87,11.96,11.5,11.55,172319.0
2023-07-03,11.5,11.6,11.215,11.28,131991.0
2023-07-05,11.3,11.3,10.245,10.46,337719.0
