date,open,high,low,close,volume
2023-01-11,30.17,31.27,30.16,31.15,5339447.0
2023-01-12,31.34,31.65,30.95,31.41,4579934.0
2023-01-13,31.15,31.495,30.94,31.21,2862492.0
2023-01-17,31.26,31.785,31.1,31.63,3043948.0
2023-01-18,31.78,31.91,30.93,30.96,2602112.0
2023-01-19,30.87,31.42,30.8001,30.94,2358178.0
2023-01-20,30.91,31.53,30.675,31.53,2956857.0
2023-01-23,31.58,31.765,31.255,31.46,2351950.0
2023-01-24,31.45,31.965,31.3,31.91,2681432.0
2023-01-25,31.8,32.08,31.61,32.08,2554464.0
2023-01-26,32.3,32.35,31.895,32.12,2660336.0
2023-01-27,32.1,32.805,31.98,32.55,2767945.0
2023-01-30,32.27,32.435,31.73,31.8,3625351.0
2023-01-31,31.65,32.69,31.55,32.5,5166276.0
2023-02-01,32.35,32.94,32.1,32.68,3700332.0
2023-02-02,33.07,34.048,33.06,33.91,3152444.0
2023-02-03,33.5,33.6493,33.135,33.42,3031608.0
2023-02-06,32.95,33.055,32.56,33.03,2374960.0
2023-02-07,32.8,33.32,32.555,33.1,2724931.0
2023-02-08,33.06,33.365,32.845,33.06,2087803.0
2023-02-09,33.2,33.41,32.475,32.63,2849589.0
2023-02-10,32.47,32.75,32.32,32.67,2306616.0
2023-02-13,32.56,33.125,32.56,33.07,3151886.0
2023-02-14,32.95,33.345,32.735,33.06,3216619.0
2023-02-15,32.9,32.94,32.65,32.91,3066378.0
2023-02-16,32.48,33.17,32.05,32.59,5311533.0
2023-02-17,32.5,32.69,31.92,32.63,2812234.0
2023-02-21,32.46,32.59,31.98,32.25,2753988.0
2023-02-22,32.44,32.55,31.93,32.1,2421790.0
2023-02-23,32.19,32.32,31.82,32.19,2839194.0
2023-02-24,31.87,32.0,31.46,31.55,2897588.0
2023-02-27,31.73,32.25,31.21,31.33,3279648.0
2023-02-28,31.38,31.745,31.2,31.26,3578488.0
2023-03-01,30.99,31.0602,30.03,30.36,2891538.0
2023-03-02,30.11,30.68,30.07,30.58,2907217.0
2023-03-03,30.82,31.885,30.795,31.83,3501739.0
2023-03-06,32.0,32.2,31.63,31.87,2806343.0
2023-03-07,31.83,31.875,30.98,31.09,2329126.0
2023-03-08,31.07,31.9699,31.07,31.63,3586959.0
2023-03-09,31.64,31.935,31.16,31.27,3568659.0
2023-03-10,31.3,31.41,30.0,30.26,5297153.0
2023-03-13,30.04,31.3,30.04,31.13,3797783.0
2023-03-14,31.62,31.75,30.87,31.26,4805662.0
2023-03-15,30.92,31.52,30.895,31.46,3602279.0
2023-03-16,31.23,31.41,30.5893,31.1,3931814.0
2023-03-17,30.97,31.115,30.35,30.49,6404021.0
2023-03-20,30.34,30.775,29.895,30.61,3816197.0
