date,open,high,low,close,volume
2023-01-11,106.07,107.015,105.45,106.76,315309.0
2023-01-12,106.85,108.095,106.4901,107.94,208290.0
2023-01-13,107.0,108.24,105.97,106.41,237422.0
2023-01-17,105.94,109.08,105.15,108.88,293408.0
2023-01-18,109.28,110.61,107.425,107.62,220320.0
2023-01-19,107.05,107.13,104.91,106.22,232084.0
2023-01-20,106.89,107.92,106.43,107.6,192461.0
2023-01-23,107.47,111.141,107.47,111.06,332721.0
2023-01-24,110.72,111.555,110.0754,110.98,269477.0
2023-01-25,109.22,110.53,108.33,110.34,157253.0
2023-01-26,110.96,111.69,110.14,110.87,109993.0
2023-01-27,110.48,111.65,110.12,111.45,139765.0
2023-01-30,110.67,111.535,109.62,109.87,168102.0
2023-01-31,110.0,112.28,110.0,112.1,225114.0
2023-02-01,112.32,115.29,111.52,114.8,294802.0
2023-02-02,116.07,118.52,115.695,116.36,228857.0
2023-02-03,114.56,116.65,114.56,115.23,183354.0
2023-02-06,114.0,114.62,112.38,113.24,177686.0
2023-02-07,112.82,114.29,111.57,113.97,231476.0
2023-02-08,112.77,114.06,111.85,112.39,138459.0
2023-02-09,113.44,113.75,110.93,111.52,173396.0
2023-02-10,110.67,112.18,110.13,111.56,203659.0
2023-02-13,111.07,114.09,110.47,112.54,416106.0
2023-02-14,110.87,126.685,110.87,125.55,851318.0
2023-02-15,125.12,131.11,124.805,131.1,646587.0
2023-02-16,131.21,134.81,129.575,133.51,477795.0
2023-02-17,132.37,132.76,129.07,131.17,354951.0
2023-02-21,129.29,131.75,126.06,126.1,310650.0
2023-02-22,126.21,127.525,124.985,125.7,226004.0
2023-02-23,127.21,127.515,124.15,125.86,202713.0
2023-02-24,123.43,124.69,122.36,124.0,181566.0
2023-02-27,124.96,125.57,123.28,123.46,150133.0
2023-02-28,122.8,125.32,122.34,123.24,205488.0
2023-03-01,123.24,126.43,123.105,124.64,260065.0
2023-03-02,123.33,127.18,122.8,127.0,206109.0
2023-03-03,127.19,128.0,125.515,127.12,268643.0
2023-03-06,127.12,127.12,121.79,122.38,256217.0
2023-03-07,122.7,123.38,120.2,121.11,242007.0
2023-03-08,121.79,123.39,121.275,122.56,174119.0
2023-03-09,122.63,123.79,120.57,120.79,252720.0
2023-03-10,121.13,121.33,116.95,118.13,236201.0
2023-03-13,116.59,118.37,115.72,116.76,325387.0
2023-03-14,119.26,120.22,116.47,117.96,218034.0
2023-03-15,116.0,116.97,113.2,116.22,253050.0
2023-03-16,114.86,120.15,114.86,119.88,234166.0
2023-03-17,119.12,119.12,115.52,116.33,530473.0
2023-03-20,117.19,118.36,116.17,116.91,212674.0
2023-03-21,118.04,118.54,116.65,117.7,150489.0
2023-03-22,117.32,119.35,116.05,116.06,136338.0
2023-03-23,116.74,119.76,116.23,116.94,162270.0
2023-03-24,116.0,117.09,114.74,116.82,215383.0
2023-03-27,117.76,118.52,114.36,115.03,176057.0
2023-03-28,115.12,116.77,113.77,116.74,331960.0
2023-03-29,118.45,121.16,118.14,120.95,267523.0
2023-03-30,121.65,123.18,121.14,121.27,173732.0
2023-03-31,121.88,123.44,121.34,123.31,165453.0
2023-04-03,122.36,122.88,119.16,121.61,174439.0
2023-04-04,121.25,122.575,117.385,118.48,198592.0
2023-04-05,118.0,118.0,115.915,116.56,518723.0
2023-04-06,112.72,117.0,112.45,115.46,221824.0
2023-04-10,114.85,117.13,114.85,117.02,150541.0
2023-04-11,117.02,117.87,116.39,116.66,113833.0
2023-04-12,117.94,118.165,115.48,116.02,115108.0
2023-04-13,116.61,116.86,115.27,115.93,164599.0
2023-04-14,115.62,116.96,115.06,116.09,137491.0
2023-04-17,116.03,116.57,114.98,116.35,125524.0
2023-04-18,117.15,117.15,113.77,114.8,122286.0
2023-04-19,113.43,116.0,113.16,115.43,213550.0
2023-04-20,114.84,116.25,114.47,115.36,121046.0
2023-04-21,115.36,115.935,114.315,115.54,113573.0
2023-04-24,114.87,115.345,113.585,114.86,107009.0
2023-04-25,113.82,114.005,110.75,110.77,135430.0
2023-04-26,110.98,111.08,110.14,110.76,122918.0
2023-04-27,111.05,111.14,108.51,110.8,149278.0
2023-04-28,110.89,115.21,110.89,114.98,276477.0
2023-05-01,114.98,119.21,114.18,117.93,549317.0
2023-05-02,122.41,122.5,116.025,119.69,264266.0
2023-05-03,120.35,122.03,117.22,118.71,351422.0
2023-05-04,118.31,118.31,115.8001,116.59,249655.0
2023-05-05,117.75,118.87,116.58,118.17,147109.0
2023-05-08,117.8,117.8,115.3301,116.4,161370.0
2023-05-09,115.12,115.865,112.4,112.72,187020.0
2023-05-10,113.6,113.66,110.71,112.69,140120.0
2023-05-11,112.27,112.27,109.99,110.68,129876.0
2023-05-12,110.87,111.7,109.53,110.53,133004.0
2023-05-15,110.98,113.39,110.92,112.3,411073.0
2023-05-16,111.85,113.48,111.07,111.2,117605.0
2023-05-17,112.01,113.135,110.78,112.76,135975.0
2023-05-18,113.09,114.2,112.12,113.35,189250.0
2023-05-19,114.01,114.38,112.03,112.31,207790.0
2023-05-22,112.37,113.92,112.37,113.75,215701.0
2023-05-23,113.5,114.7,111.84,114.24,233809.0
2023-05-24,112.87,112.87,108.715,109.81,179602.0
2023-05-25,110.94,112.29,108.54,111.56,162447.0
2023-05-26,111.8,115.04,111.8,114.61,192336.0
2023-05-30,115.3,115.41,113.53,113.53,7852.0
2023-05-31,112.61,113.705,109.82,110.47,371113.0
2023-06-01,110.66,110.81,109.02,110.42,133349.0
2023-06-02,111.49,112.765,110.21,112.61,132423.0
2023-06-05,111.15,111.15,108.05,108.72,188182.0
2023-06-06,108.55,111.51,107.54,110.29,132328.0
2023-06-07,110.87,113.7,110.87,113.1,158060.0
2023-06-08,112.6,113.44,111.41,112.63,156688.0
2023-06-09,112.59,112.96,110.85,111.29,101372.0
2023-06-12,111.35,114.49,111.2,114.29,134272.0
2023-06-13,115.55,118.1,115.26,117.06,225929.0
2023-06-14,121.89,136.715,121.37,132.83,863908.0
2023-06-15,132.3,137.33,132.185,134.34,684108.0
2023-06-16,135.47,135.69,132.93,134.75,1035365.0
2023-06-20,134.73,136.91,131.9201,133.03,282955.0
2023-06-21,131.74,132.47,129.42,130.08,194545.0
2023-06-22,129.69,130.54,127.81,130.35,225675.0
2023-06-23,128.89,133.5,128.04,133.39,888178.0
2023-06-26,133.27,133.39,129.245,129.54,186265.0
2023-06-27,129.89,134.08,129.28,133.83,194672.0
2023-06-28,132.57,135.21,132.57,134.19,167605.0
2023-06-29,134.19,134.38,132.63,134.36,118374.0
2023-06-30,135.33,136.065,134.33,135.82,181410.0
2023-07-03,135.33,136.26,134.425,135.08,123535.0
2023-07-05,133.06,135.0,132.0401,134.36,187971.0
2023-07-06,132.25,133.87,131.0467,133.61,173858.0
2023-07-07,133.61,135.4179,132.08,132.32,119885.0
2023-07-10,132.01,134.385,132.01,134.28,133554.0
2023-07-11,134.6,136.895,134.39,136.42,229252.0
2023-07-12,138.31,140.41,138.06,139.71,159719.0
2023-07-13,140.49,141.85,138.11,139.14,130361.0
2023-07-14,137.98,140.24,135.55,136.01,506995.0
2023-07-17,135.78,136.95,134.41,136.42,139597.0
2023-07-18,135.69,137.07,133.29,134.07,185348.0
2023-07-19,134.0,134.905,131.33,134.68,241983.0
2023-07-20,134.1,134.5,131.11,131.36,111603.0
2023-07-21,132.0,133.75,131.64,132.56,140937.0
2023-07-24,132.42,133.25,127.99,128.18,280210.0
2023-07-25,128.18,129.03,126.15,128.01,301578.0
2023-07-26,127.69,130.21,127.17,129.46,165100.0
2023-07-27,131.11,132.72,129.53,130.09,179350.0
2023-07-28,130.87,132.58,130.08,130.62,145527.0
2023-07-31,131.0,132.99,130.815,131.45,325012.0
2023-08-01,112.16,119.47,107.32,108.36,1171602.0
2023-08-02,110.71,114.2899,107.75,111.56,706169.0
2023-08-03,110.93,111.35,108.95,109.91,303184.0
2023-08-04,109.73,111.53,107.88,108.88,255182.0
2023-08-07,109.66,111.29,109.01,111.26,200000.0
2023-08-08,110.34,110.34,108.77,110.13,209299.0
2023-08-09,109.88,109.88,107.27,107.4,191127.0
2023-08-10,107.84,108.54,105.1,105.82,212818.0
2023-08-11,105.45,106.17,103.6,104.06,241574.0
2023-08-14,103.35,104.28,101.82,102.61,272344.0
2023-08-15,101.71,104.035,101.16,103.3,326487.0
2023-08-16,102.36,103.21,99.54,99.92,227005.0
2023-08-17,99.68,100.78,98.62,99.0,209210.0
2023-08-18,96.09,99.93,96.09,99.2,265533.0
2023-08-21,98.71,99.43,98.26,99.11,208165.0
2023-08-22,99.97,101.95,99.145,101.49,238555.0
2023-08-23,101.42,104.2596,101.42,103.53,191643.0
2023-08-24,103.53,104.1,101.72,101.78,200488.0
2023-08-25,101.68,102.72,101.51,102.08,164602.0
2023-08-28,102.48,105.94,102.45,105.65,200447.0
2023-08-29,105.56,107.7,105.56,107.25,211741.0
2023-08-30,106.79,108.72,106.41,107.94,162962.0
2023-08-31,107.86,109.575,107.86,108.36,281189.0
2023-09-01,108.9,109.05,107.6,108.11,184694.0
2023-09-05,108.26,108.54,106.0301,106.45,178033.0
2023-09-06,106.41,107.23,105.13,105.41,146944.0
2023-09-07,104.0,104.0,101.82,103.35,179404.0
2023-09-08,103.09,103.94,101.22,101.55,140751.0
2023-09-11,101.86,101.885,99.25,100.72,219658.0
2023-09-12,100.08,100.96,98.99,99.47,234892.0
2023-09-13,99.43,100.15,98.56,99.62,280013.0
2023-09-14,100.23,100.745,99.06,99.86,344574.0
2023-09-15,99.58,101.31,99.47,100.06,902624.0
2023-09-18,100.0,101.0,99.75,100.28,144303.0
2023-09-19,99.84,100.66,98.731,99.47,164467.0
2023-09-20,100.2,100.86,99.08,99.21,129806.0
