date,open,high,low,close,volume
2023-01-11,56.87,57.22,56.25,56.78,1683074.0
2023-01-12,56.93,57.6,56.45,57.39,2091413.0
2023-01-13,57.18,57.68,57.01,57.53,1260562.0
2023-01-17,57.5,57.77,56.58,56.8,1754056.0
2023-01-18,57.04,57.31,55.79,55.9,1659283.0
2023-01-19,55.63,55.76,53.78,53.88,1885705.0
2023-01-20,54.13,55.37,53.9,55.35,1801344.0
2023-01-23,55.48,56.21,55.26,55.89,2648229.0
2023-01-24,55.5,56.61,54.91,56.38,1705045.0
2023-01-25,55.72,56.07,54.89,55.95,1429513.0
2023-01-26,56.24,56.29,53.845,55.53,3741494.0
2023-01-27,55.32,56.03,54.95,55.66,2107947.0
2023-01-30,55.34,55.73,55.13,55.31,1718734.0
2023-01-31,55.54,56.2265,55.23,56.0,2633055.0
2023-02-01,55.75,56.17,54.8503,55.66,3450955.0
2023-02-02,56.12,56.59,55.51,56.01,2822344.0
2023-02-03,55.45,57.42,55.38,57.11,3437355.0
2023-02-06,56.44,56.78,55.99,56.39,1690027.0
2023-02-07,56.03,57.5,55.87,57.3,2152540.0
2023-02-08,56.99,57.87,56.99,57.38,2167494.0
2023-02-09,57.96,58.1,56.15,56.44,2125118.0
2023-02-10,56.29,56.855,56.09,56.69,1262955.0
2023-02-13,56.95,57.81,56.61,57.42,1830785.0
2023-02-14,57.12,57.69,56.65,57.43,1204530.0
2023-02-15,57.18,58.405,57.18,58.28,2029422.0
2023-02-16,57.56,57.99,57.11,57.39,1606737.0
2023-02-17,57.11,57.83,56.9204,57.58,1935271.0
2023-02-21,58.05,58.57,55.79,56.38,3334313.0
2023-02-22,56.84,57.98,56.59,57.46,3178562.0
2023-02-23,58.32,58.32,56.76,57.89,1907618.0
2023-02-24,57.26,57.88,56.67,57.68,1480259.0
2023-02-27,58.0,58.73,57.81,58.38,1976134.0
2023-02-28,58.35,58.9264,58.06,58.07,3272771.0
2023-03-01,57.95,58.52,57.6,58.04,2076421.0
2023-03-02,57.73,58.57,57.4,58.29,1727908.0
2023-03-03,58.75,59.65,58.49,59.47,1908867.0
2023-03-06,59.37,60.355,59.37,59.87,2133903.0
2023-03-07,59.91,60.3856,59.1925,59.37,2556122.0
2023-03-08,59.41,59.77,58.84,59.46,2792750.0
2023-03-09,59.59,59.769,57.92,58.14,4290916.0
2023-03-10,58.2,58.44,55.54,55.74,4381140.0
2023-03-13,54.81,55.41,54.07,54.71,3391051.0
2023-03-14,55.94,56.61,54.98,55.7,3038657.0
2023-03-15,54.39,54.43,52.14,52.93,4200931.0
2023-03-16,52.405,53.935,51.84,53.52,4558226.0
2023-03-17,53.085,53.24,51.84,52.46,4162271.0
2023-03-20,52.86,54.125,52.53,53.91,3032137.0
2023-03-21,55.02,56.0888,54.98,55.9,3367267.0
2023-03-22,55.9,56.91,54.95,54.96,2189243.0
2023-03-23,55.0,56.355,54.42,54.95,2469570.0
2023-03-24,54.27,55.2,53.38,55.03,1982426.0
2023-03-27,55.8,55.88,55.1,55.79,1893718.0
2023-03-28,55.78,56.3,55.62,55.96,1886839.0
2023-03-29,56.64,56.89,56.1,56.7,4620149.0
2023-03-30,57.26,57.775,57.015,57.33,2278678.0
2023-03-31,57.6,58.22,57.49,58.18,2175857.0
2023-04-03,58.095,58.6,57.365,58.29,2038452.0
2023-04-04,58.17,58.17,54.885,55.26,3569027.0
2023-04-05,54.72,54.98,54.12,54.89,6584895.0
2023-04-06,54.6,55.34,54.365,54.46,1887489.0
2023-04-10,54.27,55.64,54.13,55.47,1839411.0
2023-04-11,55.78,56.26,55.51,55.6,1233887.0
2023-04-12,56.43,56.71,55.82,56.42,1957000.0
2023-04-13,56.2,56.46,54.24,55.98,2984305.0
2023-04-14,56.02,57.025,55.44,55.7,2110416.0
2023-04-17,55.98,56.205,55.57,56.08,1519735.0
2023-04-18,56.52,57.0,55.9,56.32,1622415.0
2023-04-19,55.88,56.04,55.04,55.61,2524778.0
2023-04-20,55.1,55.72,55.005,55.36,2179277.0
2023-04-21,55.6,55.6,54.83,55.34,1878093.0
2023-04-24,55.23,55.69,55.13,55.37,1232466.0
2023-04-25,55.07,55.58,54.43,54.44,1748524.0
2023-04-26,53.89,54.4,53.24,53.41,1721102.0
2023-04-27,54.55,57.06,54.54,57.0,6102724.0
2023-04-28,56.88,57.61,56.86,57.02,2457983.0
2023-05-01,56.84,57.61,56.84,57.12,1807005.0
2023-05-02,56.94,57.2,55.86,57.1,2297177.0
2023-05-03,57.47,57.74,56.34,56.63,2454243.0
2023-05-04,58.0,59.27,56.8,57.09,4120882.0
2023-05-05,58.25,59.65,58.0,59.17,3022148.0
2023-05-08,59.83,59.9,58.38,58.94,1793325.0
2023-05-09,59.56,59.89,58.75,58.97,2062953.0
2023-05-10,59.26,59.315,57.67,58.41,1575103.0
2023-05-11,57.96,58.29,57.37,57.95,1572443.0
2023-05-12,58.32,58.7,57.79,58.25,1446767.0
2023-05-15,58.05,59.07,58.05,58.93,1143286.0
2023-05-16,58.41,58.72,58.15,58.53,1526974.0
2023-05-17,59.16,59.52,58.3,59.03,1876363.0
2023-05-18,58.87,60.09,58.87,59.93,1438740.0
2023-05-19,60.65,61.06,59.3,59.76,1647001.0
2023-05-22,59.93,60.43,59.2,59.74,1917140.0
2023-05-23,59.25,59.26,57.84,58.01,2445351.0
2023-05-24,57.69,57.95,56.66,56.91,1854847.0
2023-05-25,57.31,58.12,57.06,57.58,1972647.0
2023-05-26,57.93,59.09,57.39,58.89,2068004.0
2023-05-30,59.24,59.5325,58.255,58.44,1565300.0
2023-05-31,58.1,58.33,56.49,56.66,3338930.0
2023-06-01,56.92,58.26,56.61,58.15,2153097.0
2023-06-02,59.0,61.595,58.675,61.36,3217211.0
2023-06-05,61.5,61.66,60.1,60.68,2281805.0
2023-06-06,60.48,61.98,60.48,61.49,1486264.0
2023-06-07,61.75,62.81,61.22,62.69,1724256.0
2023-06-08,62.62,62.92,62.2201,62.76,1270856.0
2023-06-09,63.0,63.0,61.98,62.46,1215739.0
2023-06-12,62.27,63.12,61.93,62.83,1696724.0
2023-06-13,62.89,64.2,62.89,64.1,1765444.0
2023-06-14,64.38,64.45,63.72,64.12,1915701.0
2023-06-15,63.87,64.86,63.72,64.71,1961586.0
2023-06-16,65.0,65.244,64.04,64.52,4462597.0
2023-06-20,63.82,64.39,63.49,64.12,2438709.0
2023-06-21,63.78,64.71,63.44,64.13,2810780.0
2023-06-22,64.07,64.07,63.16,63.52,2803894.0
2023-06-23,62.71,63.53,62.02,63.37,5020506.0
2023-06-26,63.3,64.02,63.16,63.22,2882089.0
2023-06-27,63.52,64.01,63.15,63.93,3152338.0
2023-06-28,64.3,64.59,63.55,63.66,2829774.0
2023-06-29,63.45,64.59,63.0003,64.4,2852110.0
2023-06-30,65.16,65.73,64.6511,65.36,1880677.0
2023-07-03,64.91,65.32,64.5,65.24,702265.0
2023-07-05,64.62,65.05,64.0,64.12,1450420.0
2023-07-06,63.57,63.685,62.92,63.56,1796097.0
2023-07-07,63.42,64.925,63.33,64.26,1271668.0
2023-07-10,64.97,65.895,64.65,65.81,1395232.0
2023-07-11,66.01,66.74,65.87,66.25,1701170.0
2023-07-12,66.88,67.02,66.06,66.11,1333855.0
2023-07-13,66.22,66.91,65.85,66.68,1069878.0
2023-07-14,66.63,66.67,65.9,66.12,1475792.0
2023-07-17,66.03,66.725,65.95,66.29,1985160.0
2023-07-18,66.04,67.18,65.96,67.02,2535622.0
2023-07-19,66.36,66.37,64.86,65.72,2943253.0
2023-07-20,66.02,66.07,65.23,65.59,2048719.0
2023-07-21,65.69,65.81,65.08,65.26,1483744.0
2023-07-24,65.43,65.95,64.97,65.27,1546044.0
2023-07-25,64.89,65.86,64.75,65.07,1791710.0
2023-07-26,64.84,65.335,64.06,64.52,2205776.0
2023-07-27,64.87,65.02,63.87,64.05,2450726.0
2023-07-28,64.71,64.85,63.98,64.2,2456760.0
2023-07-31,64.63,65.325,64.35,65.27,2150959.0
2023-08-01,64.77,66.06,64.71,66.01,2874310.0
2023-08-02,65.62,65.9,65.07,65.49,3488905.0
2023-08-03,66.52,67.39,65.24,67.12,3897014.0
2023-08-04,67.4,67.74,66.57,66.91,2857637.0
2023-08-07,67.52,68.0,67.13,67.91,1669608.0
2023-08-08,67.41,68.92,66.98,68.62,2450979.0
2023-08-09,68.63,68.88,67.92,68.14,2853298.0
2023-08-10,68.38,68.74,67.39,67.92,2419902.0
2023-08-11,67.76,68.32,67.66,68.09,1522856.0
2023-08-14,67.91,68.2,67.645,67.9,1723877.0
2023-08-15,67.51,67.835,66.76,67.0,1638629.0
2023-08-16,66.93,67.38,66.63,66.71,1504997.0
2023-08-17,67.04,67.37,66.08,66.1,1814668.0
2023-08-18,65.4,67.16,65.0,66.49,3796418.0
2023-08-21,66.8,66.97,66.11,66.7,1553682.0
2023-08-22,67.3,67.7,66.75,66.85,1408347.0
2023-08-23,67.0,68.68,66.93,68.5,1880899.0
2023-08-24,68.48,69.15,68.17,68.24,3185116.0
2023-08-25,68.58,69.305,68.08,68.9,2648248.0
2023-08-28,68.85,69.44,68.6,69.1,1993254.0
2023-08-29,68.95,70.32,68.74,69.97,1993235.0
2023-08-30,70.13,70.65,69.67,69.89,1978098.0
2023-08-31,69.86,70.21,69.32,69.61,3961003.0
2023-09-01,69.99,70.52,69.56,69.95,2936229.0
2023-09-05,69.96,70.0,68.3,68.44,3946203.0
2023-09-06,68.3,70.05,68.25,70.01,3655463.0
2023-09-07,69.62,70.23,68.74,69.55,2989517.0
2023-09-08,69.52,69.98,69.32,69.42,2458579.0
2023-09-11,69.82,70.24,68.055,68.65,2885925.0
2023-09-12,68.29,69.17,67.9524,68.33,2752250.0
2023-09-13,68.02,68.48,65.2,65.73,3510978.0
2023-09-14,66.43,66.99,65.73,66.56,2405892.0
2023-09-15,66.29,66.62,65.485,65.9,2848138.0
2023-09-18,65.88,66.5,65.62,66.39,2039950.0
2023-09-19,66.17,66.75,65.28,66.23,4074980.0
2023-09-20,66.65,67.005,64.95,65.02,2642221.0
2023-09-21,64.79,64.79,63.735,64.04,2343339.0
2023-09-22,64.06,64.94,63.81,64.5,1473857.0
2023-09-25,64.18,64.38,63.28,64.32,2701572.0
2023-09-26,63.59,64.215,62.6,62.79,2125548.0
2023-09-27,63.41,63.79,62.94,63.27,2106320.0
2023-09-28,63.36,64.78,63.175,64.27,2109758.0
2023-09-29,64.78,65.145,63.43,63.72,3366797.0
2023-10-02,63.57,64.26,63.28,63.6,2576895.0
2023-10-03,63.25,63.415,62.14,62.85,3038187.0
2023-10-04,62.8,63.44,62.34,63.26,1797673.0
2023-10-05,63.38,63.58,62.2,62.82,3373029.0
2023-10-06,62.46,63.92,62.14,63.42,1824972.0
2023-10-09,63.27,64.26,62.51,64.1,1572201.0
2023-10-10,64.15,65.27,63.79,64.69,1644796.0
2023-10-11,64.87,66.075,64.83,65.99,2251096.0
2023-10-12,66.14,66.79,65.445,66.06,2763924.0
