date,open,high,low,close,volume
2023-01-11,60.04,60.41,59.3901,59.75,722709.0
2023-01-12,59.81,60.99,59.14,60.98,585185.0
2023-01-13,60.93,62.4799,60.53,61.64,647534.0
2023-01-17,61.64,62.2,60.58,60.62,547408.0
2023-01-18,60.66,61.16,59.46,59.8,646400.0
2023-01-19,59.8,59.915,58.84,58.97,441738.0
2023-01-20,59.59,60.09,58.63,60.01,476399.0
2023-01-23,60.01,60.47,59.27,59.85,403387.0
2023-01-24,59.87,60.47,59.48,59.58,404927.0
2023-01-25,59.17,60.0,58.52,59.29,517959.0
2023-01-26,59.72,59.82,59.0,59.16,329538.0
2023-01-27,59.09,59.76,58.775,59.05,343781.0
2023-01-30,59.0,59.38,58.12,58.52,544732.0
2023-01-31,58.72,60.1839,58.55,59.84,830725.0
2023-02-01,59.97,61.59,59.51,60.94,647727.0
2023-02-02,61.1,61.5,59.345,60.44,677160.0
2023-02-03,59.83,60.72,59.35,59.65,592942.0
2023-02-06,59.56,60.12,59.03,59.53,434414.0
2023-02-07,59.52,59.52,58.37,59.23,537878.0
2023-02-08,58.5,58.57,56.97,57.49,563557.0
2023-02-09,57.8,58.1762,56.85,56.91,506909.0
2023-02-10,56.71,57.67,56.39,57.0,453929.0
2023-02-13,57.47,57.59,56.67,57.38,353494.0
2023-02-14,57.32,57.755,56.4,56.94,485811.0
2023-02-15,56.68,57.23,56.15,57.09,491428.0
2023-02-16,57.26,60.65,55.7,59.31,1318744.0
2023-02-17,59.86,65.11,59.1101,64.99,1435345.0
2023-02-21,64.66,65.41,63.18,63.84,777062.0
2023-02-22,64.0,64.0,62.0,62.87,845211.0
2023-02-23,62.9,63.49,62.22,63.22,479942.0
2023-02-24,62.84,62.86,61.24,61.81,568034.0
2023-02-27,62.0,62.0,60.34,60.76,554103.0
2023-02-28,60.85,61.95,60.76,61.37,745610.0
2023-03-01,61.89,62.45,60.82,61.59,528175.0
2023-03-02,60.94,61.82,60.1,61.76,474492.0
2023-03-03,61.85,62.7769,61.1601,62.57,620675.0
2023-03-06,62.05,62.28,60.2013,61.05,928489.0
2023-03-07,61.02,61.61,60.6,60.81,564961.0
2023-03-08,60.78,60.885,59.04,59.26,956789.0
2023-03-09,59.75,60.245,59.36,59.39,648784.0
2023-03-10,59.11,60.12,58.25,58.69,794370.0
2023-03-13,57.99,61.13,57.55,59.47,1190239.0
2023-03-14,60.5,62.01,60.22,61.99,875651.0
2023-03-15,60.8,61.1,59.72,60.6,1118857.0
2023-03-16,60.14,61.35,59.18,60.99,984026.0
2023-03-17,60.02,60.51,58.74,59.26,2153817.0
2023-03-20,59.24,61.97,59.24,60.62,1052578.0
2023-03-21,61.7,63.2496,60.41,60.92,1101152.0
2023-03-22,60.9,60.9,59.36,59.39,794915.0
2023-03-23,59.64,60.44,59.25,59.69,666782.0
2023-03-24,59.0,59.88,58.73,59.85,578561.0
2023-03-27,60.47,60.95,60.31,60.94,453185.0
2023-03-28,60.92,61.99,60.865,61.42,669534.0
2023-03-29,61.63,61.89,60.96,61.14,392175.0
2023-03-30,61.14,61.98,61.12,61.28,321195.0
2023-03-31,61.71,62.355,61.34,61.93,709988.0
2023-04-03,61.66,62.44,60.79,62.06,628248.0
2023-04-04,62.1,62.1,60.882,61.64,496098.0
2023-04-05,61.51,61.68,60.65,61.04,447140.0
2023-04-06,61.28,61.28,60.42,60.98,344558.0
2023-04-10,60.54,61.05,60.04,60.53,406740.0
2023-04-11,60.41,60.91,59.89,59.97,475684.0
2023-04-12,60.26,60.26,59.34,59.36,456218.0
2023-04-13,59.32,59.76,58.96,59.46,581139.0
2023-04-14,59.28,59.82,58.67,59.43,582993.0
2023-04-17,59.65,60.14,59.535,60.13,404680.0
2023-04-18,60.11,60.21,58.79,58.82,682761.0
2023-04-19,58.55,59.24,58.0,58.64,1276855.0
2023-04-20,59.96,66.58,59.775,65.03,1997297.0
2023-04-21,65.19,67.56,65.07,67.26,1064195.0
2023-04-24,67.15,68.34,66.21,66.29,766314.0
2023-04-25,65.66,66.15,64.42,64.44,746959.0
2023-04-26,64.16,64.5066,62.65,62.82,610437.0
2023-04-27,63.26,63.63,62.1,62.76,459697.0
2023-04-28,61.99,64.062,61.82,63.47,623613.0
2023-05-01,63.22,64.84,63.185,63.48,472172.0
2023-05-02,62.97,64.915,62.105,64.72,774769.0
2023-05-03,65.0,65.6919,64.13,64.67,695297.0
2023-05-04,64.75,64.77,63.38,64.28,412661.0
2023-05-05,64.87,64.915,62.96,64.11,447993.0
2023-05-08,63.61,63.965,63.105,63.34,392373.0
2023-05-09,63.19,63.43,62.57,63.16,344776.0
2023-05-10,63.9,64.2599,63.285,63.59,300577.0
