date,open,high,low,close,volume
2023-01-11,29.16,29.57,28.3664,29.05,76817
2023-01-12,28.69,30.54,28.21,30.51,60162
2023-01-13,30.26,31.54,29.1019,31.08,22773
2023-01-17,30.89,30.93,29.955,30.52,18424
2023-01-18,30.45,33.35,30.45,33.3,44638
2023-01-19,33.28,33.4083,32.71,33.21,20296
2023-01-20,33.48,35.27,32.95,35.0,37740
2023-01-23,35.0,35.57,34.57,35.36,27122
2023-01-24,35.52,37.21,35.26,37.21,33149
2023-01-25,37.21,38.36,35.9502,36.27,49825
2023-01-26,36.61,36.66,35.095,36.58,28631
2023-01-27,36.3,36.68,36.15,36.3,9773
2023-01-30,35.95,37.07,35.5687,36.7,20428
2023-01-31,36.755,37.96,36.755,37.4,36201
2023-02-01,36.697,37.46,36.697,37.46,24503
2023-02-02,39.34,42.29,38.5,42.14,69910
2023-02-03,41.9,42.1435,40.56,41.26,32150
2023-02-06,41.77,41.77,38.78,39.92,105242
2023-02-07,39.92,41.3339,33.47,37.35,226667
2023-02-08,36.26,37.84,35.34,35.92,78539
2023-02-09,36.49,37.34,35.0745,35.295,61469
2023-02-10,34.36,36.12,34.17,36.06,50159
2023-02-13,35.61,36.0,34.85,35.24,51752
2023-02-14,34.84,35.9,34.84,35.44,45834
2023-02-15,35.02,37.18,35.02,37.15,44924
2023-02-16,37.09,38.72,36.85,38.03,55465
2023-02-17,38.11,38.6,37.15,37.38,54049
2023-02-21,37.1,37.1,36.37,36.74,41437
2023-02-22,36.89,38.26,36.6,37.6,39892
2023-02-23,37.88,38.37,37.11,37.42,33823
2023-02-24,37.1091,37.835,36.5,37.48,34068
2023-02-27,37.49,38.99,37.27,37.47,49762
2023-02-28,37.51,38.53,37.51,37.96,40238
2023-03-01,37.92,38.925,37.71,38.8,46354
2023-03-02,38.17,39.35,38.06,39.19,32717
2023-03-03,39.17,40.0,38.64,38.84,52580
2023-03-06,38.4,38.585,37.79,38.33,29914
2023-03-07,38.09,39.26,38.03,39.16,48406
2023-03-08,39.15,40.68,38.69,40.4,37889
2023-03-09,40.73,40.9399,37.78,38.3,77366
2023-03-10,38.19,38.5,37.81,38.06,40288
2023-03-13,37.51,38.715,37.33,37.68,54751
2023-03-14,38.26,39.71,38.23,39.32,41777
2023-03-15,38.76,39.1,37.62,37.99,39843
2023-03-16,37.69,39.015,37.4,38.64,31223
2023-03-17,38.34,38.36,37.47,37.76,60951
2023-03-20,37.96,38.07,36.98,37.49,52608
2023-03-21,37.97,38.64,37.89,38.4,19055
2023-03-22,38.28,38.58,37.03,37.07,21413
2023-03-23,37.22,38.01,36.96,37.6,26225
2023-03-24,37.0677,38.05,37.0677,38.04,16410
2023-03-27,38.04,38.92,37.3,38.585,45435
2023-03-28,38.24,38.82,38.06,38.12,26814
2023-03-29,38.02,39.57,37.89,39.44,24937
2023-03-30,39.44,40.1501,38.95,39.28,33583
2023-03-31,39.28,40.2,38.91,39.35,59024
2023-04-03,39.48,39.529,38.31,38.97,53215
2023-04-04,38.73,39.37,36.8301,38.88,41577
2023-04-05,38.33,39.19,38.3,39.04,45385
2023-04-06,39.07,41.0,38.61,40.92,26611
2023-04-10,40.53,41.3404,39.6,41.21,81477
2023-04-11,41.06,41.95,39.8387,41.11,32563
2023-04-12,41.68,42.0,40.64,40.64,32020
2023-04-13,40.77,41.44,40.51,40.63,25187
2023-04-14,40.84,40.98,39.36,39.45,36935
2023-04-17,39.79,40.305,39.32,40.07,34494
2023-04-18,40.33,40.72,39.96,40.36,11929
2023-04-19,40.4,41.28,40.4,41.05,17628
2023-04-20,40.67,41.88,40.31,41.49,13268
2023-04-21,41.35,42.1699,41.13,41.44,31296
2023-04-24,41.01,42.28,40.97,41.14,35496
2023-04-25,40.71,41.325,40.06,40.19,15660
2023-04-26,40.01,41.51,40.01,40.86,22660
2023-04-27,40.9006,41.759,40.6,40.83,16804
2023-04-28,40.61,42.28,40.61,41.63,20211
2023-05-01,41.37,42.06,41.1,41.96,22283
2023-05-02,41.61,42.25,41.21,41.57,35686
2023-05-03,41.54,43.89,41.54,43.15,40796
2023-05-04,44.0,46.47,42.73,46.2,56743
2023-05-05,46.59,47.1,45.5689,46.82,65356
2023-05-08,46.82,47.88,45.9,47.54,27002
2023-05-09,47.68,49.3,46.71,46.71,52993
2023-05-10,47.37,47.98,45.6601,47.41,51118
2023-05-11,47.01,47.88,45.915,46.19,25260
2023-05-12,46.19,47.99,45.26,46.25,23329
2023-05-15,46.04,47.11,45.64,45.83,32648
