date,open,high,low,close,volume
2023-01-11,63.31,63.55,61.38,62.17,568178.0
2023-01-12,62.6,64.13,61.85,64.09,458190.0
2023-01-13,63.59,63.94,62.96,63.42,297440.0
2023-01-17,63.32,64.06,62.7,62.87,325770.0
2023-01-18,62.94,63.54,60.51,60.64,388739.0
2023-01-19,60.22,62.77,60.14,62.1,607798.0
2023-01-20,62.63,63.84,62.18,63.76,488011.0
2023-01-23,63.95,64.28,62.79,64.27,340613.0
2023-01-24,63.47,64.71,63.12,64.67,212508.0
2023-01-25,64.0,65.13,63.395,64.96,237042.0
2023-01-26,65.49,65.52,64.0,65.12,342869.0
2023-01-27,65.04,66.38,64.925,66.22,392837.0
2023-01-30,65.63,66.695,64.74,64.89,487004.0
2023-01-31,67.46,71.28,65.13,70.78,864581.0
2023-02-01,71.1,74.19,70.53,72.13,1153300.0
2023-02-02,72.24,73.95,71.76,73.17,763870.0
2023-02-03,73.06,74.63,72.96,73.97,489369.0
2023-02-06,73.97,74.27,72.69,73.48,421400.0
2023-02-07,73.76,73.76,72.12,73.57,391307.0
2023-02-08,73.0,73.4,72.34,72.93,273380.0
2023-02-09,72.98,73.2699,71.85,72.13,314448.0
2023-02-10,71.98,73.32,71.74,73.27,228264.0
2023-02-13,73.0,73.3434,72.54,73.12,376445.0
2023-02-14,72.97,73.36,71.87,73.07,260602.0
2023-02-15,72.48,73.73,71.48,73.66,207779.0
2023-02-16,72.75,74.46,72.48,73.73,353287.0
2023-02-17,73.71,73.71,72.675,73.07,222589.0
2023-02-21,72.61,72.71,70.77,71.55,291580.0
2023-02-22,71.54,71.81,70.98,71.42,233538.0
2023-02-23,72.17,72.99,71.55,72.77,225719.0
2023-02-24,72.2,73.24,71.56,72.44,420691.0
2023-02-27,72.86,73.72,72.38,72.82,278473.0
2023-02-28,72.9,74.19,72.19,72.53,445326.0
2023-03-01,72.47,73.66,72.06,73.07,268910.0
2023-03-02,73.05,74.49,72.62,74.27,291084.0
2023-03-03,74.17,75.7553,74.0,75.64,419657.0
2023-03-06,75.84,76.34,74.89,74.99,272325.0
2023-03-07,74.65,74.9674,73.23,73.29,241140.0
2023-03-08,73.01,73.57,72.36,73.29,268151.0
2023-03-09,73.44,74.28,72.245,72.33,307278.0
2023-03-10,72.32,72.36,69.81,70.64,280749.0
2023-03-13,69.22,70.26,68.02,68.86,324415.0
2023-03-14,70.05,72.15,70.05,71.24,463465.0
2023-03-15,69.14,69.31,66.93,67.72,535801.0
2023-03-16,66.6,68.15,66.6,67.84,363414.0
2023-03-17,67.49,67.6273,64.92,65.05,611343.0
2023-03-20,65.67,67.94,65.42,67.36,529937.0
2023-03-21,69.0,69.3899,68.73,69.12,249669.0
2023-03-22,69.28,69.5,67.04,67.04,171217.0
2023-03-23,67.61,68.59,66.06,66.68,204000.0
2023-03-24,65.86,67.06,65.37,66.7,179179.0
2023-03-27,67.6,68.26,66.88,67.6,234508.0
2023-03-28,67.62,68.74,67.61,67.9,239855.0
2023-03-29,68.84,68.84,67.63,68.14,397839.0
2023-03-30,68.76,68.93,68.24,68.28,239256.0
2023-03-31,68.55,69.77,68.22,69.7,360706.0
2023-04-03,69.65,71.37,69.6,70.57,548416.0
2023-04-04,70.54,70.54,67.34,67.89,376479.0
2023-04-05,67.3,68.76,66.97,68.67,370391.0
2023-04-06,68.75,68.75,67.14,67.72,231358.0
2023-04-10,67.88,69.32,67.28,68.94,288722.0
2023-04-11,69.08,69.75,68.93,69.26,265229.0
2023-04-12,69.78,70.26,69.28,69.46,260743.0
