date,open,high,low,close,volume
2023-01-11,42.5,42.69,42.255,42.56,8550458.0
2023-01-12,42.6,42.715,42.2699,42.43,7034671.0
2023-01-13,42.23,42.56,42.19,42.42,5982522.0
2023-01-17,42.36,42.62,42.23,42.33,9789585.0
2023-01-18,42.11,42.2,39.56,39.66,20037552.0
2023-01-19,39.66,40.34,39.6415,40.04,9779459.0
2023-01-20,39.935,39.99,39.305,39.88,8773923.0
2023-01-23,40.03,40.46,39.855,40.26,6536839.0
2023-01-24,40.2,40.4,39.57,39.82,5834654.0
2023-01-25,39.65,40.05,39.29,39.95,4438488.0
2023-01-26,39.86,39.86,39.16,39.66,5426037.0
2023-01-27,39.63,39.765,39.08,39.69,5215326.0
2023-01-30,39.78,40.59,39.77,40.37,6228234.0
2023-01-31,40.56,40.68,40.005,40.53,7437797.0
2023-02-01,40.42,40.79,40.16,40.54,6064355.0
2023-02-02,40.04,40.155,39.71,39.99,8766979.0
2023-02-03,40.1,40.18,39.215,39.38,6196169.0
2023-02-06,39.35,39.96,39.15,39.93,6517439.0
2023-02-07,39.71,39.71,39.14,39.54,6112644.0
2023-02-08,39.4,39.54,39.0,39.07,6002494.0
2023-02-09,39.31,39.34,38.68,38.89,4941926.0
2023-02-10,38.98,39.85,38.94,39.63,5555246.0
2023-02-13,39.82,40.38,39.76,40.33,6591976.0
2023-02-14,40.38,40.41,39.74,39.88,7315976.0
2023-02-15,39.81,40.28,39.3801,40.13,7756949.0
2023-02-16,39.53,39.885,39.28,39.78,8923058.0
2023-02-17,39.76,40.2,39.62,40.0,10134458.0
2023-02-21,40.0,40.25,39.28,39.87,8348969.0
2023-02-22,40.04,40.04,39.47,39.58,6589411.0
2023-02-23,39.53,39.895,39.48,39.75,4959177.0
2023-02-24,39.63,39.825,39.45,39.61,5082190.0
2023-02-27,39.81,40.015,39.5414,39.66,4497442.0
2023-02-28,39.69,39.69,38.87,38.94,8956186.0
2023-03-01,38.87,38.9,38.1,38.4,5550355.0
2023-03-02,38.51,38.885,38.37,38.66,3977411.0
2023-03-03,38.56,39.165,38.1,39.04,5627785.0
