date,open,high,low,close,volume
2023-01-11,55.66,56.35,54.47,54.66,602001.0
2023-01-12,54.81,55.89,54.27,55.49,423993.0
2023-01-13,55.27,56.655,55.08,55.81,583732.0
2023-01-17,55.54,56.13,54.51,54.58,272953.0
2023-01-18,54.42,55.31,53.34,53.36,231845.0
2023-01-19,52.76,53.52,52.33,52.9,259077.0
2023-01-20,53.24,53.65,52.735,53.64,230798.0
2023-01-23,53.87,54.38,53.55,54.21,124264.0
2023-01-24,53.57,55.25,53.57,54.48,267520.0
2023-01-25,54.25,56.36,54.07,56.35,241177.0
2023-01-26,56.67,57.62,52.93,55.03,573039.0
2023-01-27,54.75,56.5,54.32,55.88,547862.0
2023-01-30,56.69,57.39,55.95,56.82,637865.0
2023-01-31,57.1,58.855,57.1,58.73,491884.0
2023-02-01,58.11,59.1005,56.89,57.61,592734.0
2023-02-02,57.73,57.95,55.91,56.61,525029.0
2023-02-03,57.77,62.74,57.77,61.0,922166.0
2023-02-06,60.81,62.3,60.52,61.88,565127.0
2023-02-07,64.0,68.15,63.67,68.05,1033970.0
2023-02-08,67.85,67.975,66.35,66.9,587434.0
2023-02-09,67.36,67.4,63.75,63.87,599980.0
2023-02-10,63.51,64.84,63.21,64.59,266777.0
2023-02-13,64.68,64.91,64.08,64.4,268952.0
2023-02-14,64.15,64.66,63.395,63.85,282142.0
2023-02-15,63.62,65.415,63.5,65.22,253058.0
2023-02-16,64.92,65.35,64.525,64.95,214422.0
2023-02-17,64.94,65.98,64.35,65.52,309860.0
2023-02-21,64.85,65.495,63.93,64.17,277980.0
2023-02-22,63.93,64.645,63.708,63.91,249158.0
2023-02-23,63.92,64.27,62.945,63.64,252245.0
2023-02-24,63.11,63.3634,62.14,62.16,405085.0
2023-02-27,62.53,63.5,61.79,61.88,306694.0
2023-02-28,61.86,62.72,61.53,61.6,515924.0
2023-03-01,61.45,62.0,60.82,61.48,500940.0
2023-03-02,61.04,61.15,60.035,61.05,296377.0
2023-03-03,61.09,63.16,60.53,62.94,328490.0
2023-03-06,62.92,63.61,60.95,61.39,466427.0
2023-03-07,61.4,61.86,60.02,60.06,322101.0
2023-03-08,60.1,61.24,59.8289,61.12,560793.0
2023-03-09,61.16,61.16,58.68,59.18,480430.0
2023-03-10,58.89,59.39,57.45,57.76,486829.0
2023-03-13,56.15,56.345,55.005,55.54,446683.0
2023-03-14,57.35,58.33,56.24,58.02,522598.0
2023-03-15,55.81,56.85,54.33,55.88,659939.0
2023-03-16,55.48,57.57,55.36,57.31,334494.0
2023-03-17,57.37,57.42,52.775,53.16,1073957.0
2023-03-20,53.76,55.96,53.76,54.35,489695.0
2023-03-21,55.68,56.79,55.3,55.53,287816.0
2023-03-22,55.53,55.82,53.44,53.49,261828.0
2023-03-23,53.51,54.2,52.11,52.38,276162.0
2023-03-24,51.7,53.28,51.21,52.83,415747.0
2023-03-27,53.62,53.84,52.74,53.43,363663.0
2023-03-28,53.02,53.92,52.83,53.15,353872.0
2023-03-29,53.82,54.57,53.37,54.43,488547.0
2023-03-30,54.68,55.12,53.38,53.96,267449.0
2023-03-31,54.4,54.89,53.58,54.66,464226.0
2023-04-03,54.78,55.91,54.56,55.66,377860.0
2023-04-04,56.21,56.5895,54.07,55.21,246051.0
2023-04-05,54.94,56.22,54.94,56.03,432353.0
2023-04-06,56.24,56.62,55.785,56.44,248585.0
