date,open,high,low,close,volume
2023-01-11,42.9,46.5,41.7,44.4,275292.0
2023-01-12,45.0,47.4,42.9,45.75,631805.066667
2023-01-13,45.15,53.7,44.85,49.5,436308.066667
2023-01-17,48.9,49.2,43.875,46.65,269637.733333
2023-01-18,46.8,51.225,45.6,46.05,204905.866667
2023-01-19,48.3,51.2745,46.95,50.1,259952.866667
2023-01-20,50.7,51.45,48.9,50.55,115680.133333
2023-01-23,50.55,51.0,48.45,48.75,128953.4
2023-01-24,48.3,50.22,48.0,49.8,101877.533333
2023-01-25,49.65,50.85,46.95,48.3,179697.6
2023-01-26,48.45,49.65,46.5,46.95,115168.733333
2023-01-27,47.55,49.05,46.8375,47.7,104810.133333
2023-01-30,46.95,48.0,45.6,46.2,109861.533333
2023-01-31,46.05,49.8,46.05,49.5,158953.333333
2023-02-01,49.5,50.55,48.15,50.1,127682.933333
2023-02-02,50.85,54.6,50.175,52.65,121773.866667
2023-02-03,50.7,53.1,49.05,51.0,134723.066667
2023-02-06,51.0,52.125,49.35,50.55,81838.6
2023-02-07,50.1,53.1,49.875,52.8,143021.733333
2023-02-08,53.25,53.325,48.975,49.2,152542.866667
2023-02-09,49.35,50.55,48.225,48.75,147577.533333
2023-02-10,48.9,49.2,47.25,48.6,115194.0
2023-02-13,48.6,50.7,47.4,49.8,107338.866667
2023-02-14,49.8,50.925,48.15,49.8,130165.8
2023-02-15,47.85,55.8,46.35,54.9,333238.066667
2023-02-16,54.75,57.45,52.65,53.85,167820.6
2023-02-17,52.65,54.3,50.85,53.25,111413.933333
2023-02-21,52.5,53.1,47.55,48.0,195397.2
2023-02-22,48.3,49.05,46.725,47.7,185639.0
2023-02-23,47.7,48.45,46.275,47.7,126435.533333
2023-02-24,47.1,47.6985,44.85,45.0,108727.133333
2023-02-27,45.3,46.5,44.55,45.6,106284.666667
2023-02-28,46.05,46.875,44.85,45.3,101611.0
2023-03-01,44.7,46.95,44.4,46.35,143118.133333
2023-03-02,46.05,46.875,45.0,46.2,79694.666667
2023-03-03,46.05,48.0,45.75,46.95,108877.066667
2023-03-06,47.4,48.525,45.525,48.0,137454.6
2023-03-07,47.85,48.825,47.175,47.25,114274.933333
2023-03-08,47.85,48.4485,46.35,46.65,115733.333333
2023-03-09,46.95,47.9985,43.95,44.25,154178.533333
2023-03-10,44.4,47.0985,42.525,45.0,227688.6
2023-03-13,45.0,52.35,44.7,52.05,240188.2
2023-03-14,52.5,53.775,51.6,52.8,147124.8
2023-03-15,51.3,53.775,50.8875,52.2,175031.866667
2023-03-16,51.75,52.275,49.05,51.3,147263.8
2023-03-17,51.3,51.6,49.5,51.0,531282.4
2023-03-20,50.1,53.85,48.225,52.95,216420.066667
2023-03-21,52.8,53.55,51.375,52.2,196218.266667
2023-03-22,52.2,52.2,48.3,48.6,178188.0
2023-03-23,48.9,50.7,46.8,48.3,145683.0
2023-03-24,48.3,49.95,46.65,49.8,120147.266667
2023-03-27,49.2,53.25,48.7605,52.35,114406.2
2023-03-28,51.9,54.45,51.525,52.65,145141.533333
2023-03-29,53.1,59.25,52.65,58.8,246350.333333
2023-03-30,60.9,60.9,52.5,52.8,163149.8
2023-03-31,52.65,58.65,52.2,58.35,135157.4
2023-04-03,58.05,62.55,58.05,59.55,145957.6
2023-04-04,59.55,60.525,57.075,58.95,126829.533333
2023-04-05,58.95,60.3,57.975,58.65,75078.066667
2023-04-06,58.05,63.15,57.3,61.5,139591.933333
2023-04-10,60.75,61.425,57.3,58.35,165968.466667
2023-04-11,58.35,62.925,58.35,62.4,143548.8
2023-04-12,62.85,64.0725,57.15,57.3,102704.533333
2023-04-13,58.05,66.45,57.3,64.8,153722.8
2023-04-14,63.6,70.35,62.1,64.8,240775.933333
2023-04-17,65.25,73.05,64.6515,68.85,190250.0
