date,open,high,low,close,volume
2023-01-11,15.28,15.75,14.98,15.64,8804
2023-01-12,15.57,15.74,15.35,15.74,6099
2023-01-13,15.61,15.75,14.945,15.25,23127
2023-01-17,15.45,15.45,15.1101,15.29,6189
2023-01-18,15.18,15.299,14.56,14.56,5431
2023-01-19,14.63,15.4496,14.45,14.9,24049
2023-01-20,15.18,15.2396,14.95,15.2,11424
2023-01-23,15.15,15.25,15.09,15.23,6645
2023-01-24,15.045,15.2115,15.045,15.05,1588
2023-01-25,14.9,14.96,14.675,14.96,9919
2023-01-26,14.95,15.2692,14.8793,15.19,7414
2023-01-27,14.9008,15.25,14.87,15.06,2939
2023-01-30,15.03,15.085,15.03,15.03,4344
2023-01-31,15.25,15.25,15.02,15.03,5344
2023-02-01,15.2195,15.25,15.12,15.2,7776
2023-02-02,15.21,15.27,14.98,14.98,22643
2023-02-03,15.179,15.27,15.1415,15.2,5066
2023-02-06,15.17,15.3,15.1419,15.29,7763
2023-02-07,15.24,15.45,15.058,15.45,18259
2023-02-08,15.41,16.41,15.2101,15.56,22022
2023-02-09,15.75,15.75,15.0415,15.32,66681
2023-02-10,15.46,15.55,15.1,15.42,5386
2023-02-13,15.465,15.72,15.465,15.65,2886
2023-02-14,15.65,15.75,15.5,15.52,10253
2023-02-15,15.66,15.98,15.585,15.98,30868
2023-02-16,15.72,16.0405,15.52,15.52,15114
2023-02-17,15.48,15.75,15.21,15.75,18255
2023-02-21,15.2626,15.7499,15.2626,15.31,16948
2023-02-22,16.2399,16.2399,15.69,15.74,13966
2023-02-23,15.9226,15.9226,15.5,15.66,10396
2023-02-24,15.43,15.9158,15.43,15.6,6663
2023-02-27,15.83,15.88,15.55,15.75,5720
2023-02-28,15.1942,15.91,15.1749,15.5,9504
2023-03-01,15.7,15.74,15.5932,15.69,6586
2023-03-02,15.745,15.98,15.6,15.61,11985
2023-03-03,15.7526,15.7673,15.0,15.38,16417
2023-03-06,15.6984,15.6984,14.9,15.0,47820
2023-03-07,15.05,15.24,14.91,15.24,7319
2023-03-08,15.19,15.59,15.03,15.11,8681
2023-03-09,15.11,15.14,14.65,14.65,8785
2023-03-10,14.5996,15.6,14.5,14.62,17588
2023-03-13,14.65,15.3699,14.26,14.5,13038
2023-03-14,14.82,15.155,14.32,14.39,14993
2023-03-15,14.2,14.33,14.0,14.17,8427
2023-03-16,14.239,14.8,14.1,14.55,17017
2023-03-17,14.0,14.38,13.5,13.95,62728
2023-03-20,13.95,13.95,13.49,13.49,21965
2023-03-21,13.41,13.41,13.15,13.24,20203
2023-03-22,13.2,13.2,12.77,12.77,5781
2023-03-23,12.9514,13.13,12.6501,12.98,7277
2023-03-24,12.56,13.0362,12.54,12.82,8928
2023-03-27,12.83,12.99,12.67,12.75,8650
2023-03-28,12.79,13.8877,12.57,12.9,15598
2023-03-29,13.07,13.6736,12.665,13.0,13773
2023-03-30,13.06,13.1,12.83,13.1,91955
2023-03-31,13.1,13.5,13.015,13.33,34052
2023-04-03,13.2,13.31,12.99,13.3,47398
2023-04-04,13.1286,13.2,12.7615,13.0,153511
2023-04-05,12.98,13.0,12.91,12.92,7504
2023-04-06,12.98,13.99,12.75,13.61,51389
2023-04-10,13.25,13.82,13.23,13.45,15842
2023-04-11,13.7,13.765,13.5,13.66,13733
2023-04-12,13.8204,13.9,13.6,13.76,10088
2023-04-13,13.6001,13.93,13.6001,13.63,249837
2023-04-14,13.89,13.89,13.25,13.29,139493
2023-04-17,13.19,13.48,13.01,13.19,196922
2023-04-18,13.18,13.9688,13.0116,13.51,63682
2023-04-19,13.34,13.98,13.34,13.89,13456
2023-04-20,13.75,14.12,13.53,14.0,8827
2023-04-21,13.92,14.25,13.85,14.04,11327
2023-04-24,14.237,14.48,13.79,14.08,9276
2023-04-25,14.14,14.46,14.0,14.21,4529
2023-04-26,14.14,14.14,13.6,13.7,8650
2023-04-27,13.9171,14.13,13.4319,14.13,5179
2023-04-28,14.35,14.3869,13.56,13.56,10370
2023-05-01,13.835,14.3,13.835,14.02,8028
2023-05-02,13.8078,14.19,13.76,14.19,14699
2023-05-03,13.75,15.0,13.75,14.62,24332
2023-05-04,14.72,14.92,13.64,13.72,27498
2023-05-05,14.05,14.7499,13.425,14.26,11589
2023-05-08,14.45,14.623,14.26,14.42,19547
2023-05-09,14.69,15.08,14.32,14.79,22702
2023-05-10,15.13,15.13,14.3,14.71,11815
2023-05-11,15.43,15.51,14.7781,15.32,8137
2023-05-12,15.465,15.96,15.4601,15.75,22624
2023-05-15,16.0,16.0,15.6,15.71,22134
2023-05-16,15.7,16.09,14.74,15.24,17974
2023-05-17,15.24,15.73,15.24,15.54,19680
2023-05-18,15.54,15.67,14.8001,15.67,5183
2023-05-19,15.81,15.811,15.6,15.74,20775
2023-05-22,15.73,15.77,15.1473,15.68,23949
2023-05-23,15.36,15.45,15.2002,15.45,7234
2023-05-24,15.445,16.1,15.445,15.89,13937
2023-05-25,15.335,15.87,15.335,15.55,18227
2023-05-26,15.71,16.23,15.25,15.72,30495
2023-05-30,15.72,15.9799,15.1901,15.71,9340
2023-05-31,15.55,16.18,15.31,15.94,33527
2023-06-01,16.0,16.04,15.85,16.0,13670
2023-06-02,16.0,16.395,15.87,16.0,32585
2023-06-05,16.08,16.08,15.85,15.93,18090
2023-06-06,16.0,16.73,15.75,15.95,131433
2023-06-07,15.99,16.21,15.7,15.98,82311
2023-06-08,16.1,16.1,15.73,16.08,38171
2023-06-09,16.07,16.81,16.01,16.64,29810
2023-06-12,16.91,17.58,16.82,17.55,44967
2023-06-13,17.55,18.0,17.34,17.84,23726
2023-06-14,17.85,18.5,17.8151,17.93,39218
2023-06-15,17.9,18.34,17.82,18.09,26374
2023-06-16,18.2,18.32,17.88,18.29,30444
2023-06-20,18.29,18.44,17.51,17.59,45179
2023-06-21,17.515,18.29,17.515,17.98,53650
2023-06-22,18.1,18.1,17.31,17.6,18779
2023-06-23,17.6,18.1964,17.11,17.76,66885
2023-06-26,17.53,18.555,17.53,18.04,31519
2023-06-27,18.0,18.15,17.96,18.02,20309
2023-06-28,17.89,18.3,17.89,17.94,17695
2023-06-29,18.0,18.335,18.0,18.25,13666
2023-06-30,18.26,18.475,18.175,18.25,13740
2023-07-03,18.25,18.98,18.1082,18.5,11766
2023-07-05,18.45,18.45,18.08,18.09,15037
2023-07-06,18.1,18.4,16.9,18.01,20923
2023-07-07,18.17,18.5,17.94,18.09,40892
2023-07-10,18.09,18.215,17.7301,17.98,13027
2023-07-11,18.16,18.37,17.79,18.29,22587
2023-07-12,18.35,18.64,18.23,18.41,15806
2023-07-13,18.45,18.7,18.45,18.66,8662
2023-07-14,18.7,19.24,18.536,19.11,31592
2023-07-17,19.08,19.4,19.02,19.16,21570
2023-07-18,19.05,19.2,18.82,19.19,13572
2023-07-19,19.17,19.17,18.635,19.08,12144
2023-07-20,18.805,19.06,18.6301,19.0,10208
2023-07-21,19.02,19.02,18.7195,18.99,10260
2023-07-24,18.85,19.12,18.85,18.92,13365
2023-07-25,18.91,19.13,18.77,19.04,14545
2023-07-26,19.0477,19.23,18.92,19.19,64841
2023-07-27,19.2,19.34,18.95,19.23,13618
2023-07-28,19.3,19.42,19.25,19.38,13737
2023-07-31,19.53,20.41,19.2,20.33,24473
2023-08-01,20.24,20.29,19.59,19.67,7371
2023-08-02,19.54,19.93,19.0,19.51,27641
2023-08-03,19.46,20.0,19.22,19.71,22602
2023-08-04,20.15,20.69,19.83,20.29,35052
2023-08-07,20.49,20.54,19.37,19.8,23600
2023-08-08,19.93,20.34,19.31,20.22,40119
2023-08-09,20.3499,20.57,20.0375,20.37,43583
2023-08-10,20.68,21.86,20.08,20.99,44011
2023-08-11,20.99,23.32,20.82,23.24,78299
2023-08-14,23.5,25.91,23.48,24.58,253213
2023-08-15,25.49,25.49,23.62,24.72,82890
2023-08-16,25.56,25.56,24.07,24.16,68723
2023-08-17,23.67,23.73,22.31,22.83,58797
2023-08-18,22.69,24.159,22.69,24.02,35186
2023-08-21,24.07,25.5,24.07,24.76,134566
2023-08-22,24.45,24.86,24.06,24.13,65624
2023-08-23,24.28,24.45,24.0,24.13,70751
2023-08-24,24.21,24.24,23.3198,23.49,31542
2023-08-25,23.49,23.975,22.65,23.67,72154
2023-08-28,23.78,24.24,23.65,24.01,63789
2023-08-29,24.01,24.63,23.95,24.0,37664
2023-08-30,23.96,25.34,23.96,25.0,128351
2023-08-31,25.3,26.5149,24.79,24.9,167760
2023-09-01,25.01,26.69,25.01,25.9,110369
2023-09-05,25.8,26.393,25.0,25.23,87195
2023-09-06,25.51,25.95,25.15,25.46,60123
2023-09-07,25.3,25.85,24.01,25.25,137765
2023-09-08,20.89,21.23,20.02,20.38,610409
2023-09-11,21.0,21.59,20.65,20.98,339282
2023-09-12,21.06,21.41,21.03,21.37,156794
2023-09-13,21.46,23.04,21.313,22.44,150846
2023-09-14,22.6,22.756,22.0101,22.38,92446
2023-09-15,22.3,22.3,21.4,21.75,173516
2023-09-18,21.55,22.04,21.32,21.97,75189
2023-09-19,22.37,22.8719,21.76,22.43,71595
2023-09-20,22.38,22.87,21.95,21.98,66713
2023-09-21,21.9,22.25,21.5,21.79,52135
2023-09-22,21.73,22.61,21.73,22.46,67767
2023-09-25,22.46,22.4942,21.85,21.97,79911
2023-09-26,21.97,22.32,21.73,21.81,44708
2023-09-27,21.97,22.31,21.75,22.0,62257
2023-09-28,22.04,22.33,21.9401,21.98,49085
2023-09-29,22.02,23.23,21.6384,23.06,139037
2023-10-02,23.06,23.7526,22.19,22.4,84970
2023-10-03,22.39,22.52,21.2901,21.37,94146
2023-10-04,21.4,21.73,21.1341,21.66,59732
2023-10-05,21.53,22.19,21.26,22.01,89012
2023-10-06,21.93,22.74,21.7901,22.35,64055
2023-10-09,22.4,22.5,22.1109,22.38,50492
2023-10-10,22.49,22.7443,22.09,22.15,56309
2023-10-11,22.19,23.21,22.0301,22.29,38954
2023-10-12,22.27,22.35,21.8412,22.0,67160
2023-10-13,22.17,22.308,21.31,21.83,82463
2023-10-16,21.97,22.58,21.97,22.55,42821
2023-10-17,22.46,22.64,21.82,22.19,79652
2023-10-18,22.07,22.1855,21.7101,22.0,39626
2023-10-19,22.0,22.0,21.7006,21.85,47709
2023-10-20,21.88,21.92,20.9,20.9,53074
2023-10-23,20.85,21.25,20.42,20.7,37953
2023-10-24,20.81,21.36,20.775,20.87,38854
2023-10-25,20.7,20.75,20.36,20.39,23869
2023-10-26,20.39,20.545,20.1471,20.33,39953
2023-10-27,20.43,20.8742,20.1962,20.28,51924
2023-10-30,20.17,20.44,20.16,20.36,69906
2023-10-31,20.36,20.77,20.245,20.63,21207
2023-11-01,20.48,21.09,20.48,20.95,23204
2023-11-02,21.14,21.605,21.14,21.54,26929
2023-11-03,21.6,22.39,21.6,22.05,36920
2023-11-06,22.01,22.05,21.525,21.67,64292
2023-11-07,21.67,23.23,21.67,22.81,78224
2023-11-08,22.75,23.19,22.5,23.14,91824
