date,open,high,low,close,volume
2023-01-11,22.35,22.57,22.03,22.33,7478718.0
2023-01-12,22.52,22.695,21.59,22.66,6984075.0
2023-01-13,21.96,22.8,21.8733,22.49,8221457.0
2023-01-17,21.935,22.01,21.22,21.86,7595830.0
2023-01-18,22.22,22.462,21.11,21.26,4979962.0
2023-01-19,21.655,21.96,21.28,21.32,3847928.0
2023-01-20,21.86,22.75,21.54,22.06,6214702.0
2023-01-23,22.5,23.75,22.465,23.57,6628953.0
2023-01-24,23.29,23.8,23.15,23.36,3822760.0
2023-01-25,22.93,23.37,22.72,23.16,2866528.0
2023-01-26,24.075,25.28,23.98,25.22,11571520.0
2023-01-27,24.92,26.085,24.53,24.97,10962203.0
2023-01-30,24.0,24.875,23.4315,24.51,8430364.0
2023-01-31,24.37,25.065,24.11,24.9,7312796.0
2023-02-01,26.42,26.935,25.73,26.34,10509035.0
2023-02-02,27.05,27.48,26.275,26.67,8736189.0
2023-02-03,25.615,26.21,25.07,25.08,6092451.0
2023-02-06,24.89,25.73,24.29,25.02,6526404.0
2023-02-07,25.53,25.91,24.6,25.46,5172372.0
2023-02-08,25.66,25.8,24.86,25.17,4548963.0
2023-02-09,26.376,26.5448,24.925,25.24,6842854.0
2023-02-10,23.89,24.1269,23.45,23.85,8965267.0
2023-02-13,24.52,25.95,24.4006,24.96,10434727.0
2023-02-14,24.67,25.73,24.3,25.64,7333723.0
2023-02-15,24.95,25.42,24.3,25.39,7712623.0
2023-02-16,24.965,25.31,24.692,24.74,4327794.0
2023-02-17,24.13,24.4299,23.7,24.04,4187742.0
2023-02-21,24.09,24.585,23.9,24.3,5015261.0
2023-02-22,23.99,24.23,23.4039,23.69,4740075.0
2023-02-23,24.34,24.37,23.56,24.17,4105121.0
2023-02-24,23.38,23.6161,23.062,23.23,7079085.0
2023-02-27,24.36,24.44,22.85,23.3,13613165.0
2023-02-28,23.3,24.0,23.0,23.61,12153503.0
2023-03-01,25.0,25.08,23.74,24.51,12231563.0
2023-03-02,24.63,25.36,24.4286,25.32,9189700.0
2023-03-03,25.24,25.32,24.91,25.1,4977454.0
2023-03-06,25.11,25.23,24.73,25.0,4625532.0
2023-03-07,24.35,24.4,23.3384,23.59,7730057.0
2023-03-08,23.0,23.05,21.82,22.29,12055470.0
