date,open,high,low,close,volume
2023-01-11,6.24,6.45,6.2114,6.28,26057.0
2023-01-12,6.41,6.41,6.03,6.17,45424.0
2023-01-13,6.22,6.3703,6.05,6.14,12370.0
2023-01-17,6.06,6.19,5.95,5.96,52340.0
2023-01-18,6.02,6.15,5.9,5.92,30486.0
2023-01-19,5.97,6.12,5.91,6.05,22412.0
2023-01-20,6.03,6.29,5.99,6.12,37499.0
2023-01-23,6.18,6.59,6.04,6.33,51478.0
2023-01-24,6.37,6.47,6.28,6.29,25167.0
2023-01-25,6.33,6.33,6.15,6.3,49140.0
2023-01-26,6.25,6.3,6.19,6.26,20507.0
2023-01-27,6.16,6.28,6.0,6.1,28360.0
2023-01-30,6.02,6.3,6.02,6.21,18154.0
2023-01-31,6.22,6.39,6.1946,6.35,18644.0
2023-02-01,6.29,6.47,6.27,6.43,20853.0
2023-02-02,6.41,6.8701,6.02,6.49,140377.0
2023-02-03,6.59,6.8,6.47,6.58,84749.0
2023-02-06,6.6,6.83,6.53,6.56,46202.0
2023-02-07,6.44,6.66,6.44,6.56,13684.0
2023-02-08,6.62,6.62,6.32,6.39,14093.0
2023-02-09,6.45,6.6548,6.3001,6.33,12249.0
2023-02-10,6.32,6.47,6.31,6.35,31507.0
2023-02-13,6.6714,6.6714,6.35,6.44,12944.0
2023-02-14,6.44,6.6931,6.37,6.48,19161.0
2023-02-15,6.46,6.88,6.38,6.765,33452.0
2023-02-16,6.71,6.7932,6.6348,6.73,21554.0
2023-02-17,6.76,6.8661,6.56,6.72,25477.0
2023-02-21,6.71,6.74,6.4,6.4,50268.0
2023-02-22,6.48,6.5,6.36,6.38,17910.0
2023-02-23,6.42,6.67,5.88,6.15,53616.0
2023-02-24,6.03,6.1189,5.81,6.01,24150.0
2023-02-27,5.96,6.1999,5.7,5.83,31584.0
2023-02-28,5.75,6.09,5.6201,5.85,94945.0
2023-03-01,5.85,6.35,5.85,6.18,79651.0
2023-03-02,6.09,6.24,5.918,6.0,24808.0
2023-03-03,6.07,6.2,5.91,6.19,45797.0
2023-03-06,6.17,6.26,5.98,6.16,35365.0
2023-03-07,6.1,6.26,5.86,6.12,71325.0
2023-03-08,6.06,6.31,5.995,6.3,117080.0
2023-03-09,6.23,6.3565,6.03,6.03,98446.0
2023-03-10,5.98,6.0,5.81,5.92,55354.0
2023-03-13,5.92,5.98,5.635,5.86,98675.0
2023-03-14,5.98,6.09,5.75,6.01,209202.0
2023-03-15,6.02,6.055,5.77,5.8,205826.0
2023-03-16,5.82,5.9,5.62,5.62,198796.0
2023-03-17,5.55,5.6572,5.24,5.28,255785.0
2023-03-20,5.43,5.495,5.12,5.14,211588.0
2023-03-21,5.22,5.44,5.05,5.09,156669.0
2023-03-22,5.13,5.24,5.09,5.11,80653.0
2023-03-23,5.16,5.53,5.105,5.2,86681.0
2023-03-24,5.2,5.65,5.2,5.56,124138.0
2023-03-27,5.56,5.65,5.53,5.58,63504.0
2023-03-28,5.52,5.7936,5.5,5.71,72922.0
2023-03-29,5.71,5.7782,5.62,5.62,30686.0
2023-03-30,5.69,5.75,5.57,5.62,30156.0
2023-03-31,5.63,5.69,5.58,5.66,14096.0
