date,open,high,low,close,volume
2023-01-11,14.85,15.7,14.68,15.6,969485.0
2023-01-12,15.75,16.625,14.87,16.51,1303469.0
2023-01-13,16.24,16.65,16.04,16.39,1143833.0
2023-01-17,16.51,16.642,15.94,16.56,585620.0
2023-01-18,16.78,16.939,15.7,15.83,908915.0
2023-01-19,15.38,15.705,14.9,15.12,876497.0
2023-01-20,14.95,15.08,14.28,14.82,1170014.0
2023-01-23,14.89,15.46,14.69,15.46,1036102.0
2023-01-24,15.46,15.9099,14.94,15.04,604838.0
2023-01-25,14.64,15.17,14.25,15.05,732540.0
2023-01-26,15.5,15.6,14.63,14.87,1031465.0
2023-01-27,14.73,15.85,14.7,15.15,1231440.0
2023-01-30,14.93,15.93,14.91,15.3,1099524.0
2023-01-31,15.23,16.35,15.23,16.28,1104713.0
2023-02-01,16.29,16.97,15.7125,16.7,1369067.0
2023-02-02,17.33,19.94,17.25,18.83,3177875.0
2023-02-03,17.92,19.5399,17.27,18.36,1851925.0
2023-02-06,18.01,18.55,17.72,18.13,957999.0
2023-02-07,18.16,18.67,17.55,18.17,1072201.0
2023-02-08,18.09,18.92,17.31,17.31,1249820.0
2023-02-09,17.7,17.7,16.51,16.53,1281624.0
2023-02-10,16.16,16.42,15.835,16.18,1078383.0
2023-02-13,16.23,16.77,15.8,16.68,749554.0
2023-02-14,16.43,16.83,15.86,16.8,1321343.0
2023-02-15,17.04,18.77,17.01,18.71,1609523.0
2023-02-16,18.1,18.348,17.26,17.28,1327348.0
2023-02-17,17.04,17.1481,16.43,16.68,925966.0
2023-02-21,16.25,16.45,15.67,15.88,981665.0
2023-02-22,16.0,16.64,15.86,16.41,1465283.0
2023-02-23,17.38,18.88,15.6938,16.93,3253852.0
2023-02-24,16.26,16.335,15.52,15.94,1299162.0
2023-02-27,16.29,16.48,15.73,15.91,1117145.0
2023-02-28,15.91,16.88,15.69,16.3,1178920.0
2023-03-01,16.31,16.4,14.845,15.2,1503678.0
2023-03-02,14.78,15.11,14.47,14.91,1174681.0
2023-03-03,14.95,15.8553,14.88,15.58,1164672.0
2023-03-06,15.83,16.01,14.975,15.0,737758.0
2023-03-07,15.0,15.17,14.63,14.7,781259.0
2023-03-08,14.71,14.87,14.46,14.57,736788.0
2023-03-09,14.44,14.69,13.72,13.78,1061411.0
2023-03-10,13.51,13.66,12.7544,13.52,1921013.0
2023-03-13,13.16,14.2,12.89,13.78,1192964.0
2023-03-14,14.48,14.8,13.4826,13.71,1132533.0
2023-03-15,13.2,13.57,12.835,13.5,1418499.0
2023-03-16,13.385,14.255,13.29,14.06,1088645.0
2023-03-17,13.95,13.9985,13.25,13.35,1106198.0
2023-03-20,13.22,13.31,12.68,12.73,1052891.0
2023-03-21,13.04,13.58,13.04,13.45,902144.0
2023-03-22,13.52,13.71,12.865,12.96,1093227.0
2023-03-23,13.01,13.61,12.575,12.74,1156656.0
2023-03-24,12.52,13.045,12.44,12.95,1151816.0
2023-03-27,13.03,13.16,12.3,12.59,1029434.0
2023-03-28,12.46,12.7861,12.28,12.35,919256.0
2023-03-29,12.67,13.35,12.58,13.16,1047595.0
2023-03-30,13.47,13.72,13.334,13.71,1078964.0
2023-03-31,13.95,15.05,13.86,14.26,1884373.0
2023-04-03,14.2,14.6128,13.84,14.2,1017867.0
2023-04-04,14.35,14.4,13.595,13.96,1174304.0
2023-04-05,13.74,13.88,13.2,13.51,807124.0
2023-04-06,13.52,14.24,13.16,13.84,862015.0
2023-04-10,13.51,14.05,13.48,14.04,645266.0
2023-04-11,14.14,14.53,13.98,14.11,626113.0
2023-04-12,14.45,14.66,13.38,13.42,748898.0
2023-04-13,13.53,13.87,13.3922,13.63,581559.0
2023-04-14,13.66,13.6799,12.85,12.98,1137667.0
