date,open,high,low,close,volume
2023-01-11,7.77,8.0,7.69,7.89,645388.0
2023-01-12,7.96,7.97,7.74,7.97,346789.0
2023-01-13,7.89,8.12,7.7932,8.07,480611.0
2023-01-17,8.06,8.14,7.94,8.11,381446.0
2023-01-18,8.18,8.4,7.96,7.99,506615.0
2023-01-19,7.78,8.255,7.76,8.24,401191.0
2023-01-20,8.38,8.635,8.165,8.59,880599.0
2023-01-23,8.6,8.7,8.24,8.39,840483.0
2023-01-24,8.25,8.75,8.25,8.64,966288.0
2023-01-25,8.51,8.53,8.185,8.5,555118.0
2023-01-26,8.66,8.69,8.365,8.55,470242.0
2023-01-27,8.52,8.8,8.52,8.68,637235.0
2023-01-30,8.6,8.66,8.345,8.4,481207.0
2023-01-31,8.43,8.81,8.411,8.77,649372.0
2023-02-01,8.74,8.855,8.59,8.77,836875.0
2023-02-02,8.85,10.32,8.85,9.89,1494670.0
2023-02-03,9.65,10.05,9.51,9.87,1173218.0
2023-02-06,9.62,9.67,8.84,8.95,877417.0
2023-02-07,8.9,9.23,8.65,9.15,706306.0
2023-02-08,9.15,9.15,8.785,8.86,574336.0
2023-02-09,9.03,9.07,8.755,8.78,452734.0
2023-02-10,8.68,8.87,8.65,8.79,564587.0
2023-02-13,8.8,8.99,8.68,8.98,477357.0
2023-02-14,8.91,9.14,8.77,9.13,556978.0
2023-02-15,9.05,9.53,8.95,9.49,757875.0
2023-02-16,9.22,9.325,9.0,9.01,636481.0
2023-02-17,8.99,9.05,8.83,8.94,368981.0
2023-02-21,8.72,8.8,8.19,8.21,609071.0
2023-02-22,8.25,8.47,8.21,8.43,547226.0
2023-02-23,8.51,8.67,8.315,8.65,761887.0
2023-02-24,7.125,7.125,5.35,6.64,5840705.0
2023-02-27,6.53,7.31,6.405,7.25,1845669.0
2023-02-28,7.18,7.43,7.07,7.08,1383517.0
2023-03-01,7.16,7.23,6.9,6.92,750114.0
2023-03-02,6.73,6.97,6.72,6.86,794499.0
2023-03-03,6.92,7.025,6.85,6.9,581529.0
2023-03-06,6.92,7.03,6.81,6.81,665930.0
2023-03-07,6.81,7.2,6.81,6.95,1516829.0
2023-03-08,6.93,7.065,6.835,6.98,1015066.0
2023-03-09,7.0,7.05,6.645,6.73,926282.0
2023-03-10,6.67,6.68,6.34,6.57,2424828.0
2023-03-13,6.46,6.85,6.35,6.46,1297615.0
2023-03-14,6.72,6.94,6.59,6.73,1319143.0
2023-03-15,6.46,6.76,6.46,6.72,1040400.0
2023-03-16,6.65,6.93,6.51,6.84,815504.0
2023-03-17,6.75,6.79,6.58,6.66,1350392.0
2023-03-20,6.7,6.85,6.68,6.76,880501.0
2023-03-21,6.9,7.025,6.795,7.01,870675.0
2023-03-22,7.05,7.17,6.85,6.86,518487.0
2023-03-23,6.9,7.115,6.885,7.01,844416.0
2023-03-24,6.845,7.25,6.845,7.21,664609.0
2023-03-27,7.28,7.28,6.965,6.99,866103.0
2023-03-28,6.93,7.12,6.925,7.01,683398.0
2023-03-29,7.14,7.2,6.97,7.14,821879.0
