date,open,high,low,close,volume
2023-01-11,61.83,64.83,61.83,64.57,776183.0
2023-01-12,63.5,64.17,62.08,63.86,921140.0
2023-01-13,63.16,63.85,62.8,63.63,489268.0
2023-01-17,63.45,64.42,63.22,63.6,807791.0
2023-01-18,64.22,65.8,63.03,63.09,757821.0
2023-01-19,62.35,62.74,61.26,61.92,704730.0
2023-01-20,62.0,62.9,61.69,62.9,549534.0
2023-01-23,63.5,64.5,63.2,64.11,527738.0
2023-01-24,63.48,65.1,63.28,64.08,529129.0
2023-01-25,63.13,65.96,63.0,65.67,697076.0
2023-01-26,66.0,68.36,65.71,67.12,964268.0
2023-01-27,66.64,68.04,66.38,67.48,634734.0
2023-01-30,66.84,67.045,66.01,66.22,425132.0
2023-01-31,66.51,68.09,66.39,68.09,674909.0
2023-02-01,67.92,70.76,67.29,70.5,577985.0
2023-02-02,71.02,73.035,71.02,72.16,592098.0
2023-02-03,71.28,71.71,70.595,70.67,626691.0
2023-02-06,69.8,70.24,67.4,68.85,595740.0
2023-02-07,68.24,68.59,67.06,68.42,614990.0
2023-02-08,67.99,68.29,66.3801,66.96,392796.0
2023-02-09,67.66,68.27,65.87,66.17,707169.0
2023-02-10,65.75,66.0474,65.035,65.67,633392.0
2023-02-13,65.89,67.23,65.53,67.16,481692.0
2023-02-14,66.36,67.22,65.23,66.65,1324083.0
2023-02-15,67.27,67.68,65.405,66.91,1163671.0
2023-02-16,65.55,66.51,64.9224,65.78,619355.0
2023-02-17,65.96,65.965,63.97,64.8,871676.0
2023-02-21,59.93,60.27,56.68,56.73,2938119.0
2023-02-22,56.76,58.02,56.34,57.86,1740955.0
2023-02-23,57.99,58.72,57.56,58.46,1139963.0
2023-02-24,57.42,58.265,57.03,57.83,1134189.0
2023-02-27,58.46,59.06,57.64,57.7,914847.0
2023-02-28,57.66,59.145,57.3,58.51,985909.0
2023-03-01,58.2,60.3,58.13,59.15,1379548.0
2023-03-02,58.43,60.43,58.35,60.2,580884.0
2023-03-03,60.55,60.79,59.97,60.35,675517.0
2023-03-06,60.3,60.55,58.45,58.69,949107.0
2023-03-07,58.68,58.855,57.48,57.89,525582.0
2023-03-08,58.05,58.51,57.35,58.03,592231.0
2023-03-09,57.88,58.7,57.26,57.4,529284.0
2023-03-10,57.8,57.82,55.52,55.85,713100.0
2023-03-13,54.92,56.475,54.49,55.08,856194.0
2023-03-14,56.24,56.73,54.83,55.61,685449.0
2023-03-15,54.32,55.58,54.23,54.48,862743.0
2023-03-16,54.05,56.0,53.76,55.64,1009256.0
2023-03-17,55.28,55.32,54.12,54.38,2403181.0
2023-03-20,55.09,56.83,55.09,56.01,704158.0
2023-03-21,56.76,57.13,55.93,56.59,542949.0
2023-03-22,56.57,56.745,54.94,55.02,557025.0
2023-03-23,55.37,56.34,54.24,54.62,597630.0
2023-03-24,54.04,55.04,53.63,54.89,404745.0
2023-03-27,55.22,55.48,54.43,55.19,435524.0
2023-03-28,54.97,55.62,54.42,54.84,590105.0
2023-03-29,55.47,55.71,54.32,54.77,752413.0
2023-03-30,55.21,55.65,53.71,53.76,829490.0
2023-03-31,54.05,54.655,53.77,54.21,1370764.0
2023-04-03,54.15,54.74,53.54,54.46,1006173.0
2023-04-04,54.48,54.68,51.99,52.67,840803.0
2023-04-05,52.21,53.03,51.6,52.98,901433.0
2023-04-06,52.97,54.02,52.6,54.0,956851.0
2023-04-10,53.83,55.51,53.79,55.36,899927.0
2023-04-11,55.5,57.025,55.5,56.81,699459.0
2023-04-12,57.53,57.74,56.38,56.63,496904.0
2023-04-13,56.84,58.33,55.8,58.25,1253436.0
2023-04-14,58.0,59.21,57.9,59.03,1301797.0
2023-04-17,58.89,59.73,58.8672,59.54,791652.0
2023-04-18,59.83,60.02,59.11,59.68,734639.0
2023-04-19,59.47,60.43,59.14,60.12,835429.0
2023-04-20,59.57,61.89,59.56,61.81,1271648.0
2023-04-21,61.81,62.62,60.97,61.33,815448.0
2023-04-24,61.23,61.58,60.69,60.87,652882.0
2023-04-25,60.5,60.68,59.56,59.98,794818.0
2023-04-26,59.46,59.85,57.16,57.74,1082933.0
2023-04-27,57.65,58.69,57.39,58.12,702811.0
2023-04-28,58.29,59.889,58.02,59.74,699457.0
2023-05-01,59.58,59.86,58.825,59.34,858815.0
2023-05-02,59.05,59.91,57.84,59.67,1054516.0
2023-05-03,59.67,64.75,59.25,61.97,2397031.0
2023-05-04,62.64,62.67,59.45,60.42,1611172.0
2023-05-05,61.27,62.28,60.44,61.88,1074934.0
2023-05-08,62.02,63.61,61.68,63.19,1660639.0
2023-05-09,62.85,64.09,62.64,63.72,947852.0
2023-05-10,64.68,64.834,62.92,63.56,939122.0
2023-05-11,62.99,63.49,62.18,62.65,718774.0
2023-05-12,63.04,63.34,61.47,62.55,581982.0
2023-05-15,62.6,63.79,62.155,63.74,466661.0
2023-05-16,63.05,64.0,61.83,62.86,982514.0
2023-05-17,62.95,63.28,62.17,62.64,980777.0
2023-05-18,62.43,63.35,62.1,63.34,601074.0
2023-05-19,63.72,63.72,61.33,61.66,697149.0
2023-05-22,61.47,61.8,60.08,61.31,737043.0
2023-05-23,61.0,61.51,59.21,59.26,882662.0
2023-05-24,59.18,59.25,58.07,58.42,684386.0
2023-05-25,58.34,59.51,58.17,59.49,581531.0
2023-05-26,59.65,59.73,58.73,59.16,474544.0
2023-05-30,59.66,59.74,58.04,59.62,691316.0
2023-05-31,59.26,59.7,58.39,58.52,1012097.0
2023-06-01,58.63,59.02,58.18,58.61,492877.0
2023-06-02,59.54,60.89,59.21,60.85,665829.0
2023-06-05,60.24,61.29,59.97,60.81,378480.0
2023-06-06,60.67,62.91,60.615,62.9,404022.0
2023-06-07,63.0,64.32,62.97,64.17,554355.0
2023-06-08,64.13,64.68,63.51,63.56,442526.0
2023-06-09,63.3,64.205,63.0,63.65,390594.0
2023-06-12,63.59,64.36,62.46,63.89,468602.0
2023-06-13,64.2,65.1,64.2,64.76,635778.0
2023-06-14,64.89,66.39,62.875,62.95,713213.0
2023-06-15,62.43,63.606,62.23,63.55,592317.0
2023-06-16,63.93,64.03,63.12,63.64,1271778.0
2023-06-20,63.57,65.7,63.43,65.41,772534.0
2023-06-21,65.41,68.25,65.235,68.06,1292144.0
2023-06-22,67.69,68.87,67.19,67.65,1125142.0
2023-06-23,67.03,68.39,66.895,67.85,1842769.0
2023-06-26,68.04,69.8,67.44,68.69,1074958.0
2023-06-27,68.42,71.35,68.42,70.82,774366.0
2023-06-28,72.61,74.23,72.04,73.87,1488359.0
2023-06-29,73.65,75.19,73.01,75.03,1020512.0
2023-06-30,75.47,75.5,73.72,74.98,1166817.0
2023-07-03,75.13,76.32,74.205,74.59,365309.0
2023-07-05,74.23,74.805,72.65,72.75,884140.0
2023-07-06,72.06,72.18,69.91,71.05,1441410.0
2023-07-07,71.24,73.125,71.1,72.61,1192501.0
2023-07-10,72.7,74.98,72.41,74.66,965882.0
2023-07-11,74.69,75.64,74.55,74.74,450590.0
2023-07-12,75.91,79.56,75.64,78.52,1620227.0
2023-07-13,79.03,79.03,77.86,78.42,1284031.0
2023-07-14,78.3,78.99,77.0,78.58,888597.0
2023-07-17,78.05,79.12,77.0,78.6,1236473.0
2023-07-18,77.84,79.11,77.43,77.91,635729.0
2023-07-19,77.68,78.14,76.275,77.43,967637.0
2023-07-20,77.52,77.52,75.22,75.48,971156.0
2023-07-21,75.65,76.68,75.06,76.02,849904.0
2023-07-24,75.9,76.45,75.16,75.65,504061.0
2023-07-25,75.5,78.416,75.5,76.37,762442.0
2023-07-26,76.32,76.78,75.54,76.26,741813.0
2023-07-27,77.01,77.86,75.65,75.93,855265.0
2023-07-28,76.79,77.05,75.5,75.74,577827.0
2023-07-31,76.06,76.32,74.95,76.13,635575.0
2023-08-01,75.24,77.19,74.765,76.44,996200.0
2023-08-02,68.66,70.08,65.4,67.45,3689295.0
2023-08-03,66.97,67.67,65.42,66.08,1296256.0
2023-08-04,66.18,66.18,64.97,65.05,1161040.0
2023-08-07,65.0,65.85,64.12,64.96,1286601.0
2023-08-08,64.32,64.66,63.02,63.85,1195540.0
2023-08-09,63.53,64.14,62.65,63.87,1189885.0
2023-08-10,63.85,64.21,63.2,63.72,957783.0
2023-08-11,63.51,63.76,62.46,62.7,656889.0
2023-08-14,62.49,63.98,62.09,63.87,1346493.0
2023-08-15,63.67,63.67,62.02,62.03,982175.0
2023-08-16,62.18,62.755,61.32,61.35,775436.0
2023-08-17,61.43,61.62,59.67,60.25,1158803.0
2023-08-18,59.85,60.305,59.225,59.32,780259.0
2023-08-21,59.42,59.61,58.425,59.42,881234.0
2023-08-22,59.6,59.93,59.0,59.55,550621.0
2023-08-23,60.66,62.1,60.07,61.77,897766.0
2023-08-24,61.46,61.95,60.53,60.55,676033.0
2023-08-25,60.84,61.3,59.53,60.68,910208.0
2023-08-28,60.85,61.84,60.85,61.62,445986.0
2023-08-29,61.35,62.77,60.85,62.74,967967.0
2023-08-30,62.77,63.055,61.61,62.62,900160.0
2023-08-31,62.69,63.23,62.058,62.48,1139092.0
2023-09-01,63.11,64.78,62.94,64.28,1169748.0
2023-09-05,63.65,64.015,61.93,62.66,1162457.0
2023-09-06,62.79,63.23,61.39,61.59,635904.0
2023-09-07,61.21,61.6,59.55,60.41,971577.0
2023-09-08,60.14,60.99,59.81,59.95,559114.0
2023-09-11,60.42,60.68,59.4,59.72,684057.0
2023-09-12,59.54,60.1,59.43,59.63,602305.0
2023-09-13,59.62,59.62,57.48,57.78,1283185.0
2023-09-14,58.48,59.8,58.445,59.25,1158301.0
2023-09-15,58.75,59.14,57.755,58.63,2982227.0
2023-09-18,58.92,59.26,57.705,58.04,744190.0
2023-09-19,57.86,58.56,57.29,57.87,639003.0
